"df.ind"	"df.values"
"1"	"CA9"	10.0283061971784
"2"	"AL031728.1"	9.05696486939573
"3"	"CTLA4"	9.05696486939573
"4"	"AC009630.3"	9.05696486939573
"5"	"AL356753.1"	9.05696486939573
"6"	"TEX43"	9.04394596390047
"7"	"AP000527.1"	9.04394596390047
"8"	"AL022323.2"	9.04394596390047
"9"	"BMX"	9.04394596390047
"10"	"AC121493.1"	8.09364818881955
"11"	"TMEM204"	8.09364818881955
"12"	"SLC26A8"	8.09364815928493
"13"	"MRLN"	8.09279286320812
"14"	"AL353719.1"	8.09279286320812
"15"	"AP000462.1"	8.0927926050994
"16"	"GRIP1"	8.0927926050994
"17"	"AL442067.3"	8.0927926050994
"18"	"PCSK6"	8.0927926050994
"19"	"AC125611.4"	8.08316952368025
"20"	"AL008725.1"	8.08316952368025
"21"	"TMEM191B"	8.08316952368025
"22"	"DISC1-IT1"	8.08316946002778
"23"	"YPEL4"	8.08316946002778
"24"	"AC107398.4"	8.08316939781498
"25"	"AC122710.2"	8.08316939781498
"26"	"AC003077.1"	8.08316939781498
"27"	"SLIT1"	8.08316939781498
"28"	"LINC01909"	8.08316939781498
"29"	"FBXO2"	7.49210459404414
"30"	"SMARCA5-AS1"	7.23295694479076
"31"	"BMP6"	7.23150846510696
"32"	"TFAP2E"	7.19813969457972
"33"	"AC100849.2"	7.19214608241273
"34"	"WDR11-AS1"	7.19214608241273
"35"	"GABRA5"	7.19214608241273
"36"	"ACBD3-AS1"	7.19204198922085
"37"	"ZFP2"	7.19113131780191
"38"	"AC107081.2"	7.1910284595914
"39"	"IFT74-AS1"	7.19080227586968
"40"	"FAM87B"	7.12506786137581
"41"	"AL645608.4"	7.12506786137581
"42"	"PLEKHN1"	7.12506786137581
"43"	"AL645608.1"	7.12506786137581
"44"	"RNF223"	7.12506786137581
"45"	"LINC01342"	7.12506786137581
"46"	"TTLL10-AS1"	7.12506786137581
"47"	"LINC01786"	7.12506786137581
"48"	"CALML6"	7.12506786137581
"49"	"PLCH2"	7.12506786137581
"50"	"AL139246.5"	7.12506786137581
"51"	"PRDM16"	7.12506786137581
"52"	"AL590438.1"	7.12506786137581
"53"	"AL354743.2"	7.12506786137581
"54"	"AL136528.1"	7.12506786137581
"55"	"AL359881.2"	7.12506786137581
"56"	"SLC45A1"	7.12506786137581
"57"	"CA6"	7.12506786137581
"58"	"BX323043.1"	7.12506786137581
"59"	"AL354956.1"	7.12506786137581
"60"	"AL031731.1"	7.12506786137581
"61"	"TNFRSF8"	7.12506786137581
"62"	"AC254633.1"	7.12506786137581
"63"	"PDPN"	7.12506786137581
"64"	"C1orf195"	7.12506786137581
"65"	"AL031283.1"	7.12506786137581
"66"	"AL450998.3"	7.12506786137581
"67"	"SRARP"	7.12506786137581
"68"	"HSPB7"	7.12506786137581
"69"	"LINC01783"	7.12506786137581
"70"	"BX284668.5"	7.12506786137581
"71"	"KLHDC7A"	7.12506786137581
"72"	"TMCO4"	7.12506786137581
"73"	"PLA2G2D"	7.12506786137581
"74"	"AL031432.1"	7.12506786137581
"75"	"RHD"	7.12506786137581
"76"	"AL031280.1"	7.12506786137581
"77"	"AL391650.1"	7.12506786137581
"78"	"FCN3"	7.12506786137581
"79"	"FO393419.2"	7.12506786137581
"80"	"THEMIS2"	7.12506786137581
"81"	"PTAFR"	7.12506786137581
"82"	"AL590729.1"	7.12506786137581
"83"	"PTPRU"	7.12506786137581
"84"	"LINC01226"	7.12506786137581
"85"	"AC114488.2"	7.12506786137581
"86"	"ADGRB2"	7.12506786137581
"87"	"ZMYM4-AS1"	7.12506786137581
"88"	"AL929472.2"	7.12506786137581
"89"	"HEYL"	7.12506786137581
"90"	"AL033527.3"	7.12506786137581
"91"	"MYCL"	7.12506786137581
"92"	"TMCO2"	7.12506786137581
"93"	"KCNQ4"	7.12506786137581
"94"	"AC098484.1"	7.12506786137581
"95"	"CFAP57"	7.12506786137581
"96"	"AL139289.2"	7.12506786137581
"97"	"AL139289.1"	7.12506786137581
"98"	"ARMH1"	7.12506786137581
"99"	"AL592166.1"	7.12506786137581
"100"	"BEST4"	7.12506786137581
"101"	"LINC01144"	7.12506786137581
"102"	"AL358075.1"	7.12506786137581
"103"	"MKNK1-AS1"	7.12506786137581
"104"	"KNCN"	7.12506786137581
"105"	"TEX38"	7.12506786137581
"106"	"CYP4A22-AS1"	7.12506786137581
"107"	"LINC01389"	7.12506786137581
"108"	"LINC01738"	7.12506786137581
"109"	"TTC39A-AS1"	7.12506786137581
"110"	"AC104170.2"	7.12506786137581
"111"	"AL445685.1"	7.12506786137581
"112"	"LINC01771"	7.12506786137581
"113"	"LINC02812"	7.12506786137581
"114"	"CDCP2"	7.12506786137581
"115"	"SSBP3-AS1"	7.12506786137581
"116"	"AC099796.2"	7.12506786137581
"117"	"FAM151A"	7.12506786137581
"118"	"DHCR24-DT"	7.12506786137581
"119"	"LINC01358"	7.12506786137581
"120"	"NFIA-AS1"	7.12506786137581
"121"	"ROR1-AS1"	7.12506786137581
"122"	"AL357078.2"	7.12506786137581
"123"	"INSL5"	7.12506786137581
"124"	"AL513166.1"	7.12506786137581
"125"	"AL583808.1"	7.12506786137581
"126"	"AC099786.1"	7.12506786137581
"127"	"AC099786.2"	7.12506786137581
"128"	"ST6GALNAC5"	7.12506786137581
"129"	"AC093575.1"	7.12506786137581
"130"	"GIPC2"	7.12506786137581
"131"	"LINC01362"	7.12506786137581
"132"	"DNASE2B"	7.12506786137581
"133"	"AL844170.1"	7.12506786137581
"134"	"AL359762.1"	7.12506786137581
"135"	"LINC01555"	7.12506786137581
"136"	"AC092807.2"	7.12506786137581
"137"	"AL049597.2"	7.12506786137581
"138"	"LINC02801"	7.12506786137581
"139"	"GBP5"	7.12506786137581
"140"	"AL161797.1"	7.12506786137581
"141"	"LINC02788"	7.12506786137581
"142"	"LINC01763"	7.12506786137581
"143"	"BRDT"	7.12506786137581
"144"	"AC104836.1"	7.12506786137581
"145"	"DPYD-AS1"	7.12506786137581
"146"	"DPYD-IT1"	7.12506786137581
"147"	"DPYD-AS2"	7.12506786137581
"148"	"AC093019.2"	7.12506786137581
"149"	"S1PR1"	7.12506786137581
"150"	"OLFM3"	7.12506786137581
"151"	"AL355310.2"	7.12506786137581
"152"	"OVGP1"	7.12506786137581
"153"	"LINC01160"	7.12506786137581
"154"	"LINC01356"	7.12506786137581
"155"	"AL137856.1"	7.12506786137581
"156"	"DENND2C"	7.12506786137581
"157"	"CD101"	7.12506786137581
"158"	"AL445231.1"	7.12506786137581
"159"	"AL139420.1"	7.12506786137581
"160"	"LINC01780"	7.12506786137581
"161"	"ADAM30"	7.12506786137581
"162"	"AC245008.1"	7.12506786137581
"163"	"AC244453.2"	7.12506786137581
"164"	"PPIAL4F"	7.12506786137581
"165"	"TXNIP"	7.12506786137581
"166"	"LINC02804"	7.12506786137581
"167"	"AC245100.6"	7.12506786137581
"168"	"NUDT4B"	7.12506786137581
"169"	"AC242988.1"	7.12506786137581
"170"	"CA14"	7.12506786137581
"171"	"ANXA9"	7.12506786137581
"172"	"AL589765.7"	7.12506786137581
"173"	"AL589765.5"	7.12506786137581
"174"	"AL589765.6"	7.12506786137581
"175"	"LINGO4"	7.12506786137581
"176"	"AQP10"	7.12506786137581
"177"	"SHE"	7.12506786137581
"178"	"AC234582.2"	7.12506786137581
"179"	"AL355388.3"	7.12506786137581
"180"	"HAPLN2"	7.12506786137581
"181"	"AL590666.3"	7.12506786137581
"182"	"AL590666.4"	7.12506786137581
"183"	"AL590666.5"	7.12506786137581
"184"	"NTRK1"	7.12506786137581
"185"	"FCRL2"	7.12506786137581
"186"	"OR10K1"	7.12506786137581
"187"	"AL590560.5"	7.12506786137581
"188"	"KCNJ9"	7.12506786137581
"189"	"AL139011.1"	7.12506786137581
"190"	"ARHGAP30"	7.12506786137581
"191"	"CFAP126"	7.12506786137581
"192"	"AL592295.3"	7.12506786137581
"193"	"AL590408.1"	7.12506786137581
"194"	"RXRG"	7.12506786137581
"195"	"LRRC52"	7.12506786137581
"196"	"RCSD1"	7.12506786137581
"197"	"ADCY10"	7.12506786137581
"198"	"SELL"	7.12506786137581
"199"	"LINC01142"	7.12506786137581
"200"	"FMO3"	7.12506786137581
"201"	"AL021026.1"	7.12506786137581
"202"	"MYOC"	7.12506786137581
"203"	"C1orf105"	7.12506786137581
"204"	"ANKRD45"	7.12506786137581
"205"	"KIAA0040"	7.12506786137581
"206"	"AL591043.2"	7.12506786137581
"207"	"BRINP2"	7.12506786137581
"208"	"RALGPS2"	7.12506786137581
"209"	"AXDND1"	7.12506786137581
"210"	"AL160286.2"	7.12506786137581
"211"	"AL158011.1"	7.12506786137581
"212"	"AL713852.1"	7.12506786137581
"213"	"OCLM"	7.12506786137581
"214"	"ERVMER61-1"	7.12506786137581
"215"	"RGS13"	7.12506786137581
"216"	"LINC01724"	7.12506786137581
"217"	"CFHR3"	7.12506786137581
"218"	"CFHR1"	7.12506786137581
"219"	"CFHR2"	7.12506786137581
"220"	"AL365258.1"	7.12506786137581
"221"	"PTPRC"	7.12506786137581
"222"	"LINC00862"	7.12506786137581
"223"	"ASCL5"	7.12506786137581
"224"	"IGFN1"	7.12506786137581
"225"	"NFASC"	7.12506786137581
"226"	"CR1"	7.12506786137581
"227"	"MIR29B2CHG"	7.12506786137581
"228"	"LINC02767"	7.12506786137581
"229"	"LAMB3"	7.12506786137581
"230"	"AL590101.1"	7.12506786137581
"231"	"LPGAT1-AS1"	7.12506786137581
"232"	"AL360091.1"	7.12506786137581
"233"	"AC092803.3"	7.12506786137581
"234"	"AL590648.2"	7.12506786137581
"235"	"ESRRG"	7.12506786137581
"236"	"LINC01653"	7.12506786137581
"237"	"AL360093.1"	7.12506786137581
"238"	"AC096642.2"	7.12506786137581
"239"	"AL445423.1"	7.12506786137581
"240"	"AL392172.2"	7.12506786137581
"241"	"LINC02765"	7.12506786137581
"242"	"LEFTY1"	7.12506786137581
"243"	"ITPKB-AS1"	7.12506786137581
"244"	"AL353689.2"	7.12506786137581
"245"	"LINC02809"	7.12506786137581
"246"	"AL353593.3"	7.12506786137581
"247"	"AL670729.2"	7.12506786137581
"248"	"AL118511.4"	7.12506786137581
"249"	"AL391832.4"	7.12506786137581
"250"	"LINC01348"	7.12506786137581
"251"	"EDARADD"	7.12506786137581
"252"	"LGALS8-AS1"	7.12506786137581
"253"	"AL358176.4"	7.12506786137581
"254"	"AL365184.2"	7.12506786137581
"255"	"AL365184.1"	7.12506786137581
"256"	"AL359764.2"	7.12506786137581
"257"	"PLD5"	7.12506786137581
"258"	"AL606534.2"	7.12506786137581
"259"	"NLRP3"	7.12506786137581
"260"	"OR2B11"	7.12506786137581
"261"	"OR2G6"	7.12506786137581
"262"	"AC098483.1"	7.12506786137581
"263"	"AL672291.1"	7.12506786137581
"264"	"AC092159.2"	7.12506786137581
"265"	"AC116609.1"	7.12506786137581
"266"	"TRAPPC12-AS1"	7.12506786137581
"267"	"AC010907.2"	7.12506786137581
"268"	"LINC01248"	7.12506786137581
"269"	"LINC01247"	7.12506786137581
"270"	"AC104794.5"	7.12506786137581
"271"	"AC062028.1"	7.12506786137581
"272"	"AC099344.2"	7.12506786137581
"273"	"MYCNOS"	7.12506786137581
"274"	"GACAT3"	7.12506786137581
"275"	"AC079145.1"	7.12506786137581
