"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Crym" 23.3825941568584 -4.64320332993368 -6.4850671778478 8.86922580280261e-11 1.34031740331953e-06 0.0543478260869565 0.0909090909090909 "C1qa" "sgNegCtrl_3"
"2" "Acta2" 29.9054729287599 1.85507635894574 4.10120990223234 4.109955297046e-05 0.310548222244796 0.347826086956522 0.212121212121212 "C1qa" "sgNegCtrl_3"
"3" "Sdc4" 151.383815357578 0.805850738475869 3.9955636555824 6.45405119985762e-05 0.325112072440828 0.826086956521739 0.878787878787879 "C1qa" "sgNegCtrl_3"
"4" "Mki67" 41.9135815106959 -1.25858902677332 -3.89906758047818 9.65638228558179e-05 0.36481812274928 0.293478260869565 0.378787878787879 "C1qa" "sgNegCtrl_3"
"5" "Igfbp3" 173.754968906312 0.772279159994226 3.14734148267458 0.00164762416029343 0.999067342101772 0.739130434782609 0.757575757575758 "C1qa" "sgNegCtrl_3"
"6" "Cenpf" 61.1913682602527 -0.840261581704891 -3.10223786349578 0.00192063564832005 0.999067342101772 0.347826086956522 0.409090909090909 "C1qa" "sgNegCtrl_3"
"7" "Aqp4" 196.395278102544 0.599417622992002 3.03850553073609 0.00237754740534057 0.999067342101772 0.717391304347826 0.772727272727273 "C1qa" "sgNegCtrl_3"
"8" "Gbp10" 10.7038772597627 -2.28483156275226 -3.032816930946 0.00242282532931783 0.999067342101772 0.119565217391304 0.242424242424242 "C1qa" "sgNegCtrl_3"
"9" "Chst2" 72.4433363850159 0.736181984560143 3.02777564215885 0.00246360919524703 0.999067342101772 0.815217391304348 0.757575757575758 "C1qa" "sgNegCtrl_3"
"10" "Anxa2" 33.8247137397687 1.18797952695109 2.9585775158241 0.0030906250056294 0.999067342101772 0.380434782608696 0.393939393939394 "C1qa" "sgNegCtrl_3"
"11" "Ly6a" 7.16253473604006 -3.07164019185024 -2.87094356597478 0.00409248579897606 0.999067342101772 0.0434782608695652 0.0909090909090909 "C1qa" "sgNegCtrl_3"
"12" "Gbp6" 33.55745222488 -1.1097822962141 -2.78961044016265 0.00527714948884004 0.999067342101772 0.33695652173913 0.46969696969697 "C1qa" "sgNegCtrl_3"
"13" "Anks3" 1.96385300756519 -4.55345288137212 -2.67158202951846 0.00754946180111111 0.999067342101772 0 0.166666666666667 "C1qa" "sgNegCtrl_3"
"14" "Sparcl1" 167.622227222368 0.55348992225641 2.66048756015887 0.00780276095456205 0.999067342101772 0.923913043478261 0.909090909090909 "C1qa" "sgNegCtrl_3"
"15" "F3" 31.7990345119354 0.96890215825962 2.61533740855063 0.00891393500170851 0.999067342101772 0.576086956521739 0.53030303030303 "C1qa" "sgNegCtrl_3"
"16" "Rgs1" 10.9415004682641 -2.19681284043105 -2.55073188983493 0.0107496985596602 0.999067342101772 0.119565217391304 0.212121212121212 "C1qa" "sgNegCtrl_3"
"17" "C1qb" 22.0767441186414 -1.46759178050689 -2.48160565670718 0.0130791929100533 0.999067342101772 0.304347826086957 0.303030303030303 "C1qa" "sgNegCtrl_3"
"18" "Rad50" 13.613954043826 -1.38103110714103 -2.43735716156263 0.0147950580949327 0.999067342101772 0.228260869565217 0.439393939393939 "C1qa" "sgNegCtrl_3"
"19" "Dpysl2" 27.4822066142391 -0.953182663178664 -2.39670452046269 0.0165432582560168 0.999067342101772 0.478260869565217 0.772727272727273 "C1qa" "sgNegCtrl_3"
"20" "Dhrs1" 69.7371536426821 0.699990579081657 2.39561865767654 0.0165923427826079 0.999067342101772 0.75 0.696969696969697 "C1qa" "sgNegCtrl_3"
"21" "mt-Nd5" 276.953172507706 0.373860714821025 2.39343809475406 0.0166912977485064 0.999067342101772 0.989130434782609 0.984848484848485 "C1qa" "sgNegCtrl_3"
"22" "Kcnj10" 35.0678200849763 0.835345474841927 2.38425994439367 0.0171135092282919 0.999067342101772 0.619565217391304 0.545454545454545 "C1qa" "sgNegCtrl_3"
"23" "Tubb5" 262.034138614812 -0.364245733002575 -2.34006024082193 0.0192806296864845 0.999067342101772 0.83695652173913 0.924242424242424 "C1qa" "sgNegCtrl_3"
"24" "Hexb" 14.4751599587864 -1.41171600415412 -2.33676154426186 0.0194515864380403 0.999067342101772 0.217391304347826 0.348484848484849 "C1qa" "sgNegCtrl_3"
"25" "Hist1h2ap" 113.056153962357 -0.615542242580124 -2.33533410741659 0.0195259737212415 0.999067342101772 0.239130434782609 0.318181818181818 "C1qa" "sgNegCtrl_3"
"26" "Bhlhe40" 53.5682402873983 -0.692665612600831 -2.33199913916069 0.0197007364456195 0.999067342101772 0.597826086956522 0.757575757575758 "C1qa" "sgNegCtrl_3"
"27" "Nhsl1" 7.77990367473159 1.75982858085465 2.32548162414673 0.0200462213819354 0.999067342101772 0.33695652173913 0.106060606060606 "C1qa" "sgNegCtrl_3"
"28" "Lrrc4" 4.11088399816292 -2.57645736044371 -2.31427626270791 0.0206525730074929 0.999067342101772 0.0434782608695652 0.227272727272727 "C1qa" "sgNegCtrl_3"
"29" "Cebpd" 217.05823173609 -0.41877170862953 -2.31370861094272 0.0206837112382248 0.999067342101772 0.83695652173913 0.893939393939394 "C1qa" "sgNegCtrl_3"
"30" "Timp1" 26.7139743565995 0.939038366589186 2.31296985713719 0.0207242964703813 0.999067342101772 0.315217391304348 0.378787878787879 "C1qa" "sgNegCtrl_3"
"31" "Cd14" 8.31644608789108 -2.29903650123262 -2.31079866089823 0.0208439785204973 0.999067342101772 0.0869565217391304 0.0909090909090909 "C1qa" "sgNegCtrl_3"
"32" "Ube2c" 81.37538045146 -0.626801152033774 -2.30258800997465 0.0213020344053281 0.999067342101772 0.282608695652174 0.287878787878788 "C1qa" "sgNegCtrl_3"
"33" "mt-Co1" 3227.15863711273 0.229208889440154 2.30015363411468 0.0214395175822906 0.999067342101772 1 1 "C1qa" "sgNegCtrl_3"
"34" "Idh2" 53.2028592042678 0.655329204295464 2.28357442712596 0.0223965541313628 0.999067342101772 0.739130434782609 0.787878787878788 "C1qa" "sgNegCtrl_3"
"35" "Lgals3" 13.9897143898211 -1.52019949124818 -2.26764636312547 0.0233507694479803 0.999067342101772 0.152173913043478 0.181818181818182 "C1qa" "sgNegCtrl_3"
"36" "Pcdhga11" 2.44882080258949 3.58340244133716 2.24947428327137 0.0244823371855213 0.999067342101772 0.141304347826087 0.0151515151515152 "C1qa" "sgNegCtrl_3"
"37" "Pou3f1" 3.4398056319064 -2.721720505142 -2.24892682575519 0.0245171519649722 0.999067342101772 0.0326086956521739 0.121212121212121 "C1qa" "sgNegCtrl_3"
"38" "Adamts1" 61.7116950372091 -0.656324007797929 -2.22400998078906 0.0261477727349225 0.999067342101772 0.532608695652174 0.621212121212121 "C1qa" "sgNegCtrl_3"
"39" "Tnfrsf12a" 28.7364224553323 0.841590331901141 2.21810853565558 0.0265474329717735 0.999067342101772 0.489130434782609 0.393939393939394 "C1qa" "sgNegCtrl_3"
"40" "Azin2" 4.39709955482816 -2.59369460555454 -2.2057809763635 0.0273993389118139 0.999067342101772 0.0326086956521739 0.166666666666667 "C1qa" "sgNegCtrl_3"
"41" "Gabrg3" 1.46315978392226 -4.1218948321255 -2.19620953980089 0.0280769488724506 0.999067342101772 0 0.121212121212121 "C1qa" "sgNegCtrl_3"
"42" "9930111J21Rik2" 3.18908939124448 3.06113255614829 2.1872712551676 0.0287227278457793 0.999067342101772 0.119565217391304 0.0303030303030303 "C1qa" "sgNegCtrl_3"
"43" "Hdac9" 1.51250029536238 3.9503517359772 2.18083507112004 0.0291956175364286 0.999067342101772 0.0869565217391304 0 "C1qa" "sgNegCtrl_3"
"44" "Plk2" 10.437652488878 -1.48475478708391 -2.1769807295144 0.0294820052772555 0.999067342101772 0.141304347826087 0.287878787878788 "C1qa" "sgNegCtrl_3"
"45" "Hacd2" 33.1499394605641 0.755848991895914 2.17230435215544 0.0298327139811939 0.999067342101772 0.58695652173913 0.621212121212121 "C1qa" "sgNegCtrl_3"
"46" "Mat2a" 76.904927309953 -0.51528938781036 -2.16479187659954 0.0304036272000051 0.999067342101772 0.760869565217391 0.96969696969697 "C1qa" "sgNegCtrl_3"
"47" "Ogdh" 17.0255944607912 1.09380101090639 2.15315357033429 0.0313066112594077 0.999067342101772 0.510869565217391 0.378787878787879 "C1qa" "sgNegCtrl_3"
"48" "Hpgd" 5.1343479552871 2.5571269135118 2.14564604839287 0.0319012286161362 0.999067342101772 0.0978260869565217 0.0151515151515152 "C1qa" "sgNegCtrl_3"
"49" "Hist1h4h" 13.7793710804381 -1.39775998363202 -2.14005360037932 0.0323504352723241 0.999067342101772 0.108695652173913 0.287878787878788 "C1qa" "sgNegCtrl_3"
"50" "Pycard" 8.04724257142288 -1.5197420305369 -2.12288765319353 0.0337632673266314 0.999067342101772 0.152173913043478 0.303030303030303 "C1qa" "sgNegCtrl_3"
"51" "mt-Nd4" 1272.048789146 0.237239760643203 2.1116085322688 0.0347200401270055 0.999067342101772 1 1 "C1qa" "sgNegCtrl_3"
"52" "Hist1h3c" 13.5582938757126 -1.19737290082499 -2.10021624052641 0.0357098233722413 0.999067342101772 0.0978260869565217 0.166666666666667 "C1qa" "sgNegCtrl_3"
"53" "Dst" 46.9769795429459 0.637361435608925 2.08958137308293 0.0366554212232663 0.999067342101772 0.728260869565217 0.621212121212121 "C1qa" "sgNegCtrl_3"
"54" "Dmap1" 5.85756485196899 -1.76753262729842 -2.07728152226125 0.0377755834732107 0.999067342101772 0.0869565217391304 0.333333333333333 "C1qa" "sgNegCtrl_3"
"55" "Rb1" 15.9386981776694 -1.02248367172412 -2.06352258965072 0.0390630038286352 0.999067342101772 0.293478260869565 0.575757575757576 "C1qa" "sgNegCtrl_3"
"56" "Csf2ra" 2.71139982768045 -3.0511571572319 -2.06049709070764 0.0393510436945455 0.999067342101772 0.0217391304347826 0.196969696969697 "C1qa" "sgNegCtrl_3"
"57" "Ppp4r2" 17.3821377693083 1.06401865910706 2.05935187148083 0.0394605427313385 0.999067342101772 0.543478260869565 0.393939393939394 "C1qa" "sgNegCtrl_3"
"58" "Ubr5" 15.7759385115347 1.0436270271217 2.0590709405103 0.0394874431495509 0.999067342101772 0.521739130434783 0.378787878787879 "C1qa" "sgNegCtrl_3"
"59" "Pim3" 14.1800391121689 -1.08540405299192 -2.0583505363436 0.039556496276373 0.999067342101772 0.228260869565217 0.439393939393939 "C1qa" "sgNegCtrl_3"
"60" "mt-Co3" 5602.12120692773 0.207652571581321 2.04522042596168 0.0408331316069949 0.999067342101772 1 1 "C1qa" "sgNegCtrl_3"
"61" "Ccl3" 3.20961117313271 3.03332068915412 2.03074230364938 0.0422811425781889 0.999067342101772 0.0652173913043478 0.0303030303030303 "C1qa" "sgNegCtrl_3"
"62" "Gjc3" 1.41120594783153 -4.08075516546411 -2.02310991431966 0.0430618166110044 0.999067342101772 0 0.0606060606060606 "C1qa" "sgNegCtrl_3"
"63" "Ociad2" 20.9009591776012 1.12889370217827 2.01937461506988 0.043448297920907 0.999067342101772 0.282608695652174 0.272727272727273 "C1qa" "sgNegCtrl_3"
"64" "Meg3" 15.5881918386504 -1.32602424617044 -2.01672655345395 0.0437240572944332 0.999067342101772 0.119565217391304 0.212121212121212 "C1qa" "sgNegCtrl_3"
"65" "mt-Cytb" 2256.15460292967 0.206402878375895 2.0127467990825 0.0441412733095399 0.999067342101772 1 1 "C1qa" "sgNegCtrl_3"
"66" "Ptp4a1" 1.3367415508701 3.77735890449492 2.00812903993562 0.0446295810726455 0.999067342101772 0.0978260869565217 0 "C1qa" "sgNegCtrl_3"
"67" "Pdlim4" 31.2662567932009 0.867331375231343 2.00613029631806 0.0448423482428209 0.999067342101772 0.445652173913043 0.484848484848485 "C1qa" "sgNegCtrl_3"
"68" "Rab18" 40.1180564524132 -0.66307066624041 -2.0042365947693 0.0450447222401962 0.999067342101772 0.576086956521739 0.818181818181818 "C1qa" "sgNegCtrl_3"
"69" "Rnf214" 6.5737703422999 -1.58200615066013 -2.00012255598552 0.0454870316859244 0.999067342101772 0.119565217391304 0.318181818181818 "C1qa" "sgNegCtrl_3"
"70" "Top2a" 95.4495424396501 -0.472790114527783 -1.99876694489322 0.0456335758499773 0.999067342101772 0.380434782608696 0.5 "C1qa" "sgNegCtrl_3"
"71" "Cdc25a" 4.42074984171 -1.96260735108377 -1.99562162823892 0.0459751235063012 0.999067342101772 0.0543478260869565 0.227272727272727 "C1qa" "sgNegCtrl_3"
"72" "Mbp" 14.8503221952896 1.31413825443344 1.98144679574058 0.0475411903116697 0.999067342101772 0.25 0.242424242424242 "C1qa" "sgNegCtrl_3"
