"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Polr2l" 105.981640365113 1.48277466433208 6.30578121449428 2.8674385222168e-10 1.25020319568653e-06 0.8 0.913793103448276 "Brca2_RT" "non-targeting_RT"
"2" "Ybx1" 1135.87036835544 -0.718807654629336 -5.79679136134538 6.75956989797628e-09 1.47358623775883e-05 1 1 "Brca2_RT" "non-targeting_RT"
"3" "Opalin" 39.505563132527 -7.31083868029212 -5.63499761152324 1.75060763435136e-08 2.54421642859064e-05 0 0.379310344827586 "Brca2_RT" "non-targeting_RT"
"4" "Trf" 107.208226281627 -1.86586120297463 -5.4590786096289 4.78611833392984e-08 5.21686898398353e-05 0.9 0.879310344827586 "Brca2_RT" "non-targeting_RT"
"5" "H2-Eb1" 194.74562733804 1.36950714188703 5.36906046037293 7.91478845241406e-08 6.90169553050506e-05 1 0.862068965517241 "Brca2_RT" "non-targeting_RT"
"6" "Cd74" 522.802690824787 1.28831743777379 5.1041580308534 3.32270528332976e-07 0.000241449917255296 1 0.982758620689655 "Brca2_RT" "non-targeting_RT"
"7" "C130026I21Rik" 64.410482452399 2.42508871392025 4.89766618253273 9.69816063034234e-07 0.000526580278667122 1 0.620689655172414 "Brca2_RT" "non-targeting_RT"
"8" "Chit1" 43.8614581522109 -3.11243553377482 -4.88443201547492 1.03727423502906e-06 0.000526580278667122 0.3 0.413793103448276 "Brca2_RT" "non-targeting_RT"
"9" "Igtp" 253.80528980099 0.925587202043813 4.87520092107522 1.08697763945048e-06 0.000526580278667122 1 1 "Brca2_RT" "non-targeting_RT"
"10" "Etfb" 97.4160613170942 0.947336467431669 4.69469814999788 2.67000688519974e-06 0.00116412300194709 1 1 "Brca2_RT" "non-targeting_RT"
"11" "Pcolce2" 99.3305217036283 -1.21479804707521 -4.58962905885215 4.44034388623743e-06 0.00174349620769358 0.9 0.96551724137931 "Brca2_RT" "non-targeting_RT"
"12" "Fxyd3" 91.3892032767817 -2.31920235212683 -4.57340498385089 4.79861341567041e-06 0.00174349620769358 0.7 0.862068965517241 "Brca2_RT" "non-targeting_RT"
"13" "Crip1" 110.819413121291 -1.15539198658617 -4.55555137841938 5.22483422952033e-06 0.00175232901851605 0.9 1 "Brca2_RT" "non-targeting_RT"
"14" "Grina" 108.554177082693 1.01815773596604 4.52028362678059 6.17568364101029e-06 0.00192328433391463 1 1 "Brca2_RT" "non-targeting_RT"
"15" "Tubb5" 295.472423445491 -0.809069465876579 -4.47771886663773 7.54448638476575e-06 0.00219293070917191 1 0.982758620689655 "Brca2_RT" "non-targeting_RT"
"16" "Csrp2" 82.5264270532179 -1.68544154374071 -4.38038614661381 1.18469180132993e-05 0.00322828515862406 0.6 0.879310344827586 "Brca2_RT" "non-targeting_RT"
"17" "Brinp3" 5.92925066522849 4.36773697513315 4.35525033223388 1.32914933331588e-05 NA 0.5 0.0862068965517241 "Brca2_RT" "non-targeting_RT"
"18" "Raet1e" 36.8662693518084 1.48940153207862 4.31430596009559 1.60105085826603e-05 0.00410622455414112 1 0.896551724137931 "Brca2_RT" "non-targeting_RT"
"19" "Ddt" 55.4306889470414 1.12793646043836 4.26547295786717 1.99479175494034e-05 0.00483182891752215 1 0.96551724137931 "Brca2_RT" "non-targeting_RT"
"20" "Raet1d" 15.776467258237 2.08273720838518 4.23998832060424 2.23531416782629e-05 NA 0.8 0.53448275862069 "Brca2_RT" "non-targeting_RT"
"21" "Bphl" 25.1851687446623 2.02070588935058 4.22913831372298 2.34588094227717e-05 0.00527996333375726 0.9 0.672413793103448 "Brca2_RT" "non-targeting_RT"
"22" "H2-T23" 273.163964261431 0.722636761074316 4.22194785117718 2.42200152924645e-05 0.00527996333375726 1 1 "Brca2_RT" "non-targeting_RT"
"23" "Ripk2" 35.5517584250155 1.39999459051128 4.20919901761651 2.56277581216557e-05 0.00532081073382948 0.9 0.689655172413793 "Brca2_RT" "non-targeting_RT"
"24" "Psmb8" 443.872140886593 0.945746195608293 4.19012515737337 2.78800630589277e-05 0.00552532158804204 1 1 "Brca2_RT" "non-targeting_RT"
