"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Ifi47" 259.455602212041 1.43559632686125 8.49118222374599 2.0454555529045e-17 1.75970541216374e-13 0.955555555555556 0.931034482758621 "Cdkn1a_RT" "non-targeting_RT"
"2" "C130026I21Rik" 120.756800729796 2.0251904602369 8.20219902445124 2.36029107633524e-16 1.0152792064856e-12 0.888888888888889 0.620689655172414 "Cdkn1a_RT" "non-targeting_RT"
"3" "Ly6e" 708.244214628988 0.950898562011457 8.00435303329658 1.2009639079433e-15 3.44396416667873e-12 1 0.982758620689655 "Cdkn1a_RT" "non-targeting_RT"
"4" "Gbp4" 105.412743827134 2.00675281519956 7.52133851833039 5.4218264269238e-14 1.16609931877064e-10 0.688888888888889 0.448275862068966 "Cdkn1a_RT" "non-targeting_RT"
"5" "Sri" 258.945737736179 1.16022805461956 7.45002082999877 9.33254957318036e-14 1.60575847956141e-10 1 0.982758620689655 "Cdkn1a_RT" "non-targeting_RT"
"6" "Psmb8" 1080.14473285396 0.873621880240685 7.34913677964065 1.99490968201488e-13 2.86036799906234e-10 1 1 "Cdkn1a_RT" "non-targeting_RT"
"7" "Iigp1" 281.866270831331 1.27862947175899 7.15371297997847 8.44615737942777e-13 1.03803274193167e-09 0.977777777777778 0.948275862068966 "Cdkn1a_RT" "non-targeting_RT"
"8" "Ly6a" 453.444755498506 1.34500318502711 6.75799479772388 1.39914553057646e-11 1.50460612494366e-08 0.955555555555556 0.724137931034483 "Cdkn1a_RT" "non-targeting_RT"
"9" "Col9a2" 315.216088735216 -1.32876637667125 -6.59199953266491 4.33941961944208e-11 4.14800299845113e-08 1 1 "Cdkn1a_RT" "non-targeting_RT"
"10" "Cd74" 1105.3310882505 0.909390175079909 6.32638155239608 2.5097678549991e-10 2.15915328565573e-07 1 0.982758620689655 "Cdkn1a_RT" "non-targeting_RT"
"11" "S100a4" 412.778833485975 1.1407102844114 6.16826073349448 6.90452271240536e-10 5.39996444498393e-07 1 0.948275862068966 "Cdkn1a_RT" "non-targeting_RT"
"12" "H2-T23" 726.855609841265 0.825635324333715 6.05918779786454 1.36810589405283e-09 9.80817917211377e-07 1 1 "Cdkn1a_RT" "non-targeting_RT"
"13" "Psmb9" 672.407060521366 0.792229499119676 6.01827617389922 1.76284249164283e-09 1.15443038686254e-06 1 1 "Cdkn1a_RT" "non-targeting_RT"
"14" "Zbp1" 401.455465926644 0.887462878399274 6.00796619886956 1.87864993793741e-09 1.15443038686254e-06 1 1 "Cdkn1a_RT" "non-targeting_RT"
"15" "H2-DMa" 141.25615356473 1.41746902382511 5.99037550486824 2.093570852525e-09 1.20073266961817e-06 0.955555555555556 0.931034482758621 "Cdkn1a_RT" "non-targeting_RT"
"16" "AA467197" 92.699841700943 1.63871531786655 5.92835442010454 3.05985514070957e-09 1.64524586097028e-06 0.8 0.53448275862069 "Cdkn1a_RT" "non-targeting_RT"
"17" "Plaat3" 125.919813986923 1.24325657561963 5.86722233841486 4.43156251401071e-09 2.2426313122373e-06 0.933333333333333 0.896551724137931 "Cdkn1a_RT" "non-targeting_RT"
"18" "Opalin" 102.635084038523 -5.07545246895203 -5.84764636373902 4.98577088096026e-09 2.38292149382784e-06 0.0888888888888889 0.379310344827586 "Cdkn1a_RT" "non-targeting_RT"
"19" "H2-DMb1" 204.317333603063 1.10111031606618 5.82042590136583 5.8697861591777e-09 2.65777738565293e-06 1 0.96551724137931 "Cdkn1a_RT" "non-targeting_RT"
