"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Plscr2" 54.1658819958359 2.62161849674957 7.61063467880677 2.72753179593496e-14 1.30938708541069e-10 0.875 0.431034482758621 "Cenpj_RT" "non-targeting_RT"
"2" "Mt1" 686.692975177115 -1.4098790359842 -7.54605889097387 4.48627247208065e-14 1.30938708541069e-10 1 1 "Cenpj_RT" "non-targeting_RT"
"3" "Adgra3" 86.0333083574008 1.70781077030381 7.52849525091027 5.13283843751741e-14 1.30938708541069e-10 0.875 0.931034482758621 "Cenpj_RT" "non-targeting_RT"
"4" "Gpnmb" 285.892806417274 1.25894572183057 7.41058846470391 1.25740211197178e-13 2.40572459073e-10 1 0.844827586206897 "Cenpj_RT" "non-targeting_RT"
"5" "Moxd1" 294.172231553338 0.92678021355972 7.2016420861156 5.94916878527484e-13 9.10579774274166e-10 1 0.982758620689655 "Cenpj_RT" "non-targeting_RT"
"6" "Grasp" 56.8131169815958 -3.28229006696292 -6.67476303031399 2.47631967590707e-11 3.15854574661946e-08 0.5 0.862068965517241 "Cenpj_RT" "non-targeting_RT"
"7" "Anxa7" 61.7626496951737 -2.32705778473159 -6.48065543192331 9.13250185389741e-11 9.98443381255384e-08 1 1 "Cenpj_RT" "non-targeting_RT"
"8" "Cntn1" 20.3968319752875 3.22482637085723 6.41910063348123 1.37081772733771e-10 1.21817013431164e-07 0.75 0.275862068965517 "Cenpj_RT" "non-targeting_RT"
"9" "Csrp2" 72.9028453721881 -2.74448626190944 -6.41238769462834 1.4325795385868e-10 1.21817013431164e-07 0.625 0.879310344827586 "Cenpj_RT" "non-targeting_RT"
"10" "Cks2" 163.960645244044 -1.54963880187623 -6.08778264712557 1.14485147302938e-09 8.76154832309382e-07 1 1 "Cenpj_RT" "non-targeting_RT"
"11" "Arl6ip1" 161.71854703053 -1.14621160465437 -6.06264238546175 1.33903174398901e-09 9.31600903340717e-07 1 1 "Cenpj_RT" "non-targeting_RT"
"12" "Opalin" 41.1122079462523 -7.2979135731994 -5.97099317027087 2.35813616323267e-09 1.50390133810164e-06 0 0.379310344827586 "Cenpj_RT" "non-targeting_RT"
"13" "Plod2" 153.361447187635 1.43433755424062 5.89881702024839 3.66116973657993e-09 2.15530246108048e-06 1 0.948275862068966 "Cenpj_RT" "non-targeting_RT"
"14" "Lhfpl3" 19.098974564969 2.73866792009332 5.72959484346818 1.00670790509905e-08 5.50309685551646e-06 0.875 0.327586206896552 "Cenpj_RT" "non-targeting_RT"
"15" "B230209E15Rik" 10.6188676204816 8.43535358430286 5.68624542631161 1.29862731292391e-08 6.49782836565626e-06 0.625 0 "Cenpj_RT" "non-targeting_RT"
"16" "Tlr3" 17.8924531143279 2.37010442146932 5.67854031393279 1.35849018490135e-08 6.49782836565626e-06 0.75 0.586206896551724 "Cenpj_RT" "non-targeting_RT"
"17" "Trf" 91.6945725074256 -3.26181270059314 -5.63106547453505 1.79099714233736e-08 8.06264772371047e-06 0.5 0.879310344827586 "Cenpj_RT" "non-targeting_RT"
"18" "Timp1" 222.546714731569 -1.42302951396301 -5.61216427617243 1.99811609984461e-08 8.49532361783933e-06 0.875 0.982758620689655 "Cenpj_RT" "non-targeting_RT"
"19" "Ifi213" 44.4240293797966 1.60802560969165 5.57512892054008 2.47346619929451e-08 9.48180089229998e-06 0.75 0.758620689655172 "Cenpj_RT" "non-targeting_RT"
