"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Rorb" 347.893023813244 1.08656700422505 5.99074919601319 2.08876549997284e-09 4.98588324843518e-06 1 0.982142857142857 "Fanca_noRT" "non-targeting_noRT"
"2" "Dnajb1" 66.868603412991 1.35163488693649 5.12737183582664 2.9381486339235e-07 0.00035066803945877 0.857142857142857 0.875 "Fanca_noRT" "non-targeting_noRT"
"3" "Car6" 78.3985192658265 -1.37653743176879 -4.98729970993625 6.12290424789837e-07 0.000487179081324447 0.8 0.839285714285714 "Fanca_noRT" "non-targeting_noRT"
"4" "Enpp2" 20.0399263546126 -2.45620066550738 -4.46766131768729 7.9079373772347e-06 NA 0.2 0.482142857142857 "Fanca_noRT" "non-targeting_noRT"
"5" "Ube2c" 585.630711441056 0.659455500561434 4.36810677202498 1.25328222901937e-05 0.00747896170167311 0.771428571428571 0.839285714285714 "Fanca_noRT" "non-targeting_noRT"
"6" "Timp4" 17.2225370792263 2.25796109520101 4.14981741286809 3.32740586303392e-05 NA 0.4 0.107142857142857 "Fanca_noRT" "non-targeting_noRT"
"7" "Spry2" 44.0401798659052 1.45069317364858 4.06875731434302 4.72645448952977e-05 0.0193223836004014 0.8 0.642857142857143 "Fanca_noRT" "non-targeting_noRT"
"8" "Cstb" 902.492270446121 -0.716870378655344 -4.06240824190297 4.8569041308089e-05 0.0193223836004014 1 1 "Fanca_noRT" "non-targeting_noRT"
"9" "Wdr83os" 205.490885903443 0.672697097571395 3.92416273720349 8.70318907711681e-05 0.0296778747529683 1 1 "Fanca_noRT" "non-targeting_noRT"
"10" "Atp1a2" 20.7272360253271 -2.22860943905064 -3.92384747177717 8.71459218306846e-05 NA 0.228571428571429 0.285714285714286 "Fanca_noRT" "non-targeting_noRT"
"11" "Pttg1" 293.981855668779 0.602548336336134 3.84238425152511 0.000121844880652985 0.0363554662648344 0.971428571428571 0.910714285714286 "Fanca_noRT" "non-targeting_noRT"
"12" "Chic2" 110.532169110615 0.775794602027533 3.76320422340294 0.000167750101888949 0.0444910548009913 0.971428571428571 1 "Fanca_noRT" "non-targeting_noRT"
"13" "Tulp2" 4.37064997895864 -5.17983001005389 -3.68566055457604 0.000228110221309097 NA 0 0.428571428571429 "Fanca_noRT" "non-targeting_noRT"
"14" "Acod1" 10.5610487223792 -3.59938779385736 -3.59667678016004 0.000322308567116385 NA 0.0857142857142857 0.232142857142857 "Fanca_noRT" "non-targeting_noRT"
"15" "Gpm6b" 47.4066610889252 1.07233959489706 3.57364253084557 0.000352049469509108 0.0769861197029807 0.885714285714286 0.821428571428571 "Fanca_noRT" "non-targeting_noRT"
"16" "Cycs" 696.844766974247 0.560712458333181 3.57162382311444 0.000354774745175026 0.0769861197029807 1 1 "Fanca_noRT" "non-targeting_noRT"
"17" "Hmgb1" 816.302973250711 0.4918515539361 3.54731640178072 0.00038917689872439 0.0771919354501475 1 1 "Fanca_noRT" "non-targeting_noRT"
"18" "Klf2" 43.2739660066554 1.30694193090681 3.52693487735277 0.000420400151173824 0.0771919354501475 0.628571428571429 0.607142857142857 "Fanca_noRT" "non-targeting_noRT"
"19" "Glod5" 8.08120991666028 -4.20564195360092 -3.50493575971459 0.00045671747197311 NA 0.0285714285714286 0.160714285714286 "Fanca_noRT" "non-targeting_noRT"
"20" "Col9a1" 83.1753824544185 0.846701021953028 3.44527537304839 0.000570477895824233 0.0949768348629482 0.971428571428571 0.892857142857143 "Fanca_noRT" "non-targeting_noRT"
"21" "Mrps6" 123.911187064999 0.690994163233551 3.43304724376598 0.000596838090885724 0.0949768348629482 1 0.946428571428571 "Fanca_noRT" "non-targeting_noRT"
"22" "H2-T23" 269.434781179977 -0.698608430681446 -3.39168068625224 0.000694653441422852 0.0987243368506104 0.942857142857143 1 "Fanca_noRT" "non-targeting_noRT"
