"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Cxcl10" 91.5472889382625 -3.66694151918556 -7.3779037323247 1.60801164330769e-13 3.39451257902254e-10 0.428571428571429 0.75 "Fbxo5_noRT" "non-targeting_noRT"
"2" "S100a6" 311.907951719987 -1.48095725405385 -5.84635808651169 5.02451833735102e-09 5.1490123691374e-06 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"3" "Krt8" 61.109638762505 -2.72990886707915 -5.7834727933075 7.31740270365334e-09 5.1490123691374e-06 0.571428571428571 0.625 "Fbxo5_noRT" "non-targeting_noRT"
"4" "Ccl5" 44.2902668547257 4.38986790253515 5.07910636911553 3.79214359164647e-07 0.000200130378049142 0.714285714285714 0.214285714285714 "Fbxo5_noRT" "non-targeting_noRT"
"5" "Anxa1" 116.414390863789 -1.5684692180615 -4.94702085848109 7.53579042061524e-07 0.000318161071558375 0.857142857142857 1 "Fbxo5_noRT" "non-targeting_noRT"
"6" "Tinagl1" 40.8884465629805 -2.6333284514478 -4.74766637726331 2.05777099173873e-06 0.000723992427260077 0.714285714285714 0.928571428571429 "Fbxo5_noRT" "non-targeting_noRT"
"7" "Psmb10" 87.1810669535296 -1.14822013823715 -4.24944510821509 2.14300713994774e-05 0.00587519370114572 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"8" "H2-Eb1" 106.860917531498 -1.15676097870887 -4.24087447085814 2.22650637655925e-05 0.00587519370114572 0.714285714285714 0.982142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"9" "Ccsap" 6.36604767375276 2.83891999480802 3.98050535529556 6.87689154319192e-05 NA 0.428571428571429 0.25 "Fbxo5_noRT" "non-targeting_noRT"
"10" "Fn1" 21.5738040517795 -2.71675883215774 -3.96966974111949 7.19723199122078e-05 0.0168815074816301 0.714285714285714 0.75 "Fbxo5_noRT" "non-targeting_noRT"
"11" "Ifit3" 24.8864131739022 -3.70667842751494 -3.87573954619229 0.000106301342962951 0.0212224418521413 0.142857142857143 0.821428571428571 "Fbxo5_noRT" "non-targeting_noRT"
"12" "Klk8" 23.3684579706021 -2.53446108477122 -3.84599925869959 0.000120062125255193 0.0212224418521413 0.714285714285714 0.857142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"13" "Tmsb10" 139.201164725604 -1.05848985520653 -3.84482362634434 0.000120639176800424 0.0212224418521413 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"14" "Slc2a1" 19.5270467701661 -2.59837532305226 -3.71597053173416 0.000202425175638667 0.0302123799103022 0.571428571428571 0.857142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"15" "1110038F14Rik" 44.6357282049622 -1.30767589801829 -3.70673438210217 0.000209948934736929 0.0302123799103022 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"16" "Brd1" 33.6920014861245 1.20669551941141 3.70108657531837 0.000214678208742081 0.0302123799103022 0.857142857142857 0.892857142857143 "Fbxo5_noRT" "non-targeting_noRT"
"17" "Psmb9" 119.167789477148 -0.839155063779824 -3.6533576175285 0.000258833342317738 0.0341498241020466 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"18" "Smim10l1" 39.9976554863882 1.34748029495156 3.62835889057207 0.000285228577665344 0.0354186780853847 0.857142857142857 0.964285714285714 "Fbxo5_noRT" "non-targeting_noRT"
"19" "Psmb8" 181.149521405083 -0.830297270063359 -3.60068173470177 0.000317383893782858 0.0372220777653118 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"20" "Cltb" 41.132083041995 -1.359452576644 -3.53692443330798 0.000404815473456256 0.0449771297087451 1 0.946428571428571 "Fbxo5_noRT" "non-targeting_noRT"
"21" "Gpm6b" 20.9977510615935 1.44826626734015 3.51700971401699 0.000436437809347496 0.0460660107766282 1 0.821428571428571 "Fbxo5_noRT" "non-targeting_noRT"
"22" "Rasl11a" 7.12238615190024 2.27050442734724 3.51264984390639 0.000443661752863564 NA 0.428571428571429 0.232142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"23" "Apol9a" 26.0105464039437 -1.81813538687159 -3.49181421390262 0.000479751817207922 0.0482264802917107 0.857142857142857 0.964285714285714 "Fbxo5_noRT" "non-targeting_noRT"
"24" "Atp1a2" 6.81266400762348 -4.43035093192248 -3.4819982801398 0.000497686888669225 NA 0 0.285714285714286 "Fbxo5_noRT" "non-targeting_noRT"
"25" "Hist1h2ap" 18.2025937206209 -2.82570239826904 -3.45736639959843 0.000545482640207953 0.0517561545750121 0.285714285714286 0.607142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"26" "Zfp101" 5.51949814953457 2.70498190576067 3.44924614108404 0.000562154026176127 NA 0.714285714285714 0.25 "Fbxo5_noRT" "non-targeting_noRT"
"27" "Tspo" 131.722226680321 -0.98698721799484 -3.44840904031976 0.00056389936296792 0.0517561545750121 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"28" "B430218F22Rik" 1.7482909165548 6.0562741697407 3.42381771009677 0.000617480259332218 NA 0.428571428571429 0 "Fbxo5_noRT" "non-targeting_noRT"
"29" "Ssb" 101.804272238036 0.704764895647356 3.40433789269867 0.000663246545272834 0.0583380607112896 1 0.982142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"30" "Cmpk2" 7.49386904429387 -4.56985356837006 -3.38868745010619 0.00070228009346852 NA 0 0.678571428571429 "Fbxo5_noRT" "non-targeting_noRT"
"31" "H2-D1" 242.407661603024 -0.651478214559163 -3.37327647697955 0.0007427932763093 0.0627214642515573 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"32" "Gm26917" 38.5279715839293 1.99344162105047 3.32402430878585 0.000887284614332351 0.0720406854175228 0.571428571428571 0.732142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"33" "Tmem9" 11.7006702453271 1.73512708640097 3.27961487461264 0.00103948881228902 NA 0.857142857142857 0.625 "Fbxo5_noRT" "non-targeting_noRT"
"34" "Psma7" 214.089424574423 -0.58073408254389 -3.27828097045593 0.00104441381590243 0.081657687606297 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"35" "Ift27" 29.578867996992 -1.45845230818931 -3.26257821793704 0.00110403701162448 0.0832365046978317 0.714285714285714 0.946428571428571 "Fbxo5_noRT" "non-targeting_noRT"
"36" "Hdac8" 6.22397444534963 2.24746039130386 3.24124130197578 0.00119010398195716 NA 0.571428571428571 0.357142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"37" "Ero1l" 57.5382886591834 -1.42856909703362 -3.2389585521453 0.00119967005711699 0.0855588363914411 0.714285714285714 0.982142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"38" "Iigp1" 26.2970417784359 -1.96403585153619 -3.23512377442964 0.00121590009083052 0.0855588363914411 0.428571428571429 0.910714285714286 "Fbxo5_noRT" "non-targeting_noRT"
"39" "Hnrnpa3" 87.8965018486349 1.05424456311334 3.2219763507702 0.0012730964280888 0.0866937599901762 1 0.964285714285714 "Fbxo5_noRT" "non-targeting_noRT"
"40" "Cd81" 160.226989116016 -2.23299906866145 -3.20875664751447 0.00133310272175111 0.0879431201755187 0.857142857142857 0.857142857142857 "Fbxo5_noRT" "non-targeting_noRT"
"41" "H2afx" 16.1709991743104 -2.65978658879293 -3.17829214373729 0.00148145396960659 NA 0.428571428571429 0.75 "Fbxo5_noRT" "non-targeting_noRT"
"42" "Hist1h3c" 10.0302459198058 -3.92091928634376 -3.17162779660775 0.00151587154400922 NA 0.142857142857143 0.553571428571429 "Fbxo5_noRT" "non-targeting_noRT"
"43" "H2-DMb1" 32.0683990489065 -1.45568145977268 -3.16629754355323 0.00154392778613852 0.0986026595305723 0.714285714285714 1 "Fbxo5_noRT" "non-targeting_noRT"
"44" "Ifi35" 53.9464375098967 -1.01076889957637 -3.15223017988608 0.00162028491387291 0.0986026595305723 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"45" "Ubtf" 25.7128449954163 1.339074926507 3.14587131711669 0.0016559284634154 0.0986026595305723 1 0.821428571428571 "Fbxo5_noRT" "non-targeting_noRT"
"46" "Olig1" 57.141136684869 -1.1029312738044 -3.1413823834208 0.00168152332690696 0.0986026595305723 1 1 "Fbxo5_noRT" "non-targeting_noRT"
"47" "Ngfr" 4.73311268346198 3.91875876910279 3.13138544200129 0.00173983649222039 NA 0.428571428571429 0.0714285714285714 "Fbxo5_noRT" "non-targeting_noRT"
"48" "Mid1ip1" 11.5985853211933 1.67481504388261 3.12877711172764 0.00175535405236169 NA 0.857142857142857 0.571428571428571 "Fbxo5_noRT" "non-targeting_noRT"
"49" "Ntm" 4.32745065066034 4.10925859176041 3.12561654163537 0.00177432749042367 NA 0.285714285714286 0.0892857142857143 "Fbxo5_noRT" "non-targeting_noRT"
"50" "Mipol1" 4.80463779988226 2.51148112205704 3.11633475486878 0.00183114274581836 NA 0.714285714285714 0.214285714285714 "Fbxo5_noRT" "non-targeting_noRT"
