"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Phlda2" 308.48149734563 -2.64497114610331 -8.45969883973478 2.68068902324789e-17 2.28233863439325e-13 0.631578947368421 0.931034482758621 "Lig4_RT" "non-targeting_RT"
"2" "Gng11" 68.7136818936827 -2.09074489074858 -6.18241947390677 6.31265143697662e-10 2.68729571672095e-06 0.789473684210526 0.948275862068966 "Lig4_RT" "non-targeting_RT"
"3" "S100a4" 231.517912813255 1.34994041262303 6.00566094576248 1.9055403040195e-09 5.40792338280733e-06 0.947368421052632 0.948275862068966 "Lig4_RT" "non-targeting_RT"
"4" "Opalin" 54.1525801059972 -7.13953847656403 -5.88745294525083 3.92192781400215e-09 8.34782335210357e-06 0.0526315789473684 0.379310344827586 "Lig4_RT" "non-targeting_RT"
"5" "Dap" 144.815232095937 -1.18057714136018 -5.78922100068191 7.07136075557027e-09 1.18782607825859e-05 0.842105263157895 0.982758620689655 "Lig4_RT" "non-targeting_RT"
"6" "Csrp2" 114.063467167636 -1.62663343093696 -5.76081515439899 8.37086735911622e-09 1.18782607825859e-05 0.842105263157895 0.879310344827586 "Lig4_RT" "non-targeting_RT"
"7" "Car6" 77.7565997704368 -1.96505485664897 -5.66588119572352 1.46270849925314e-08 1.77907145180588e-05 0.578947368421053 0.913793103448276 "Lig4_RT" "non-targeting_RT"
"8" "Rpl22l1" 390.861494257642 0.99239500616489 5.53129945127512 3.17867141942962e-08 3.38290105812797e-05 1 1 "Lig4_RT" "non-targeting_RT"
"9" "Krt18" 24.1584219389333 -6.94502382575481 -5.46361579785605 4.6653269492515e-08 4.41339929399192e-05 0 0.482758620689655 "Lig4_RT" "non-targeting_RT"
"10" "Itpr2" 42.0418359861132 -2.2380313367598 -5.12891485505199 2.91417101728011e-07 0.000248112520411228 0.526315789473684 0.879310344827586 "Lig4_RT" "non-targeting_RT"
"11" "Krt8" 727.754288411934 -1.46633143561549 -5.01431229135393 5.32234823922921e-07 0.000411949753716341 0.842105263157895 0.931034482758621 "Lig4_RT" "non-targeting_RT"
"12" "Plod2" 77.8145744650461 -1.38191632308323 -4.95383459630966 7.27650660585501e-07 0.000516268143685413 0.578947368421053 0.948275862068966 "Lig4_RT" "non-targeting_RT"
"13" "Yipf1" 81.3556417739887 -1.28959879278049 -4.87826355646032 1.07023857415067e-06 0.000700923940024523 0.736842105263158 0.96551724137931 "Lig4_RT" "non-targeting_RT"
"14" "Olfr889" 61.1361350496658 -1.62732468355061 -4.82221964133059 1.4196949235515e-06 0.000814786084026036 0.842105263157895 0.844827586206897 "Lig4_RT" "non-targeting_RT"
"15" "1700012B07Rik" 8.37884399120681 4.18979596017734 4.82001233517135 1.43549345318188e-06 0.000814786084026036 0.421052631578947 0.0517241379310345 "Lig4_RT" "non-targeting_RT"
"16" "Atf3" 71.7037745587218 -2.23888560001995 -4.73951812549984 2.14227072350517e-06 0.00106109033877123 0.473684210526316 0.862068965517241 "Lig4_RT" "non-targeting_RT"
"17" "Rgs5" 13.5356320540454 -6.10870895801014 -4.73779347007324 2.16057838727121e-06 0.00106109033877123 0 0.172413793103448 "Lig4_RT" "non-targeting_RT"
"18" "Matn2" 32.3240997519446 -2.12315567336468 -4.73016991811511 2.24331995511888e-06 0.00106109033877123 0.421052631578947 0.879310344827586 "Lig4_RT" "non-targeting_RT"
"19" "Rhob" 46.0058173822084 -1.77897662947672 -4.63135826035644 3.63274651114779e-06 0.0016278528313638 0.736842105263158 0.982758620689655 "Lig4_RT" "non-targeting_RT"
"20" "S100b" 127.214973368683 -1.09474993826174 -4.58467934151823 4.54683678525534e-06 0.0019355884194832 0.842105263157895 0.982758620689655 "Lig4_RT" "non-targeting_RT"
"21" "Tnfrsf13c" 23.0786766987508 -2.84969465806642 -4.55597807345493 5.21423758376605e-06 0.00211400089467543 0.210526315789474 0.655172413793103 "Lig4_RT" "non-targeting_RT"
"22" "Kpna2" 42.1085119017 1.33552117644335 4.38809885111379 1.14345805382764e-05 0.0039582280320808 0.789473684210526 0.724137931034483 "Lig4_RT" "non-targeting_RT"
"23" "Shisa8" 31.4322260944337 -1.99035065953574 -4.38748778158705 1.14667433175644e-05 0.0039582280320808 0.368421052631579 0.586206896551724 "Lig4_RT" "non-targeting_RT"
"24" "Areg" 13.6467804829501 -6.12035149369713 -4.38468859027926 1.16151818469438e-05 0.0039582280320808 0 0.258620689655172 "Lig4_RT" "non-targeting_RT"
"25" "Bag1" 577.859915866998 -0.639520067625681 -4.37815821946366 1.19686451751978e-05 0.0039582280320808 1 1 "Lig4_RT" "non-targeting_RT"
"26" "Tspan9" 38.0303946588257 -2.29091549792097 -4.37600161170911 1.20876120312545e-05 0.0039582280320808 0.315789473684211 0.689655172413793 "Lig4_RT" "non-targeting_RT"
"27" "Has2" 48.642623627166 -1.92711664337142 -4.35407150951431 1.336320838278e-05 0.00421386504336997 0.473684210526316 0.96551724137931 "Lig4_RT" "non-targeting_RT"
"28" "Ceacam1" 9.24336604065699 -5.55444914442485 -4.3280389952222 1.50442837660616e-05 0.0045745368565803 0 0.362068965517241 "Lig4_RT" "non-targeting_RT"
"29" "Col2a1" 73.2855096858892 -2.21179494501004 -4.31451588747028 1.59953031194479e-05 0.00469600037099929 0.315789473684211 0.827586206896552 "Lig4_RT" "non-targeting_RT"
"30" "Fos" 373.397641225037 -1.40024164664432 -4.21725460282606 2.47294706995394e-05 0.00701822378452927 0.789473684210526 1 "Lig4_RT" "non-targeting_RT"
