"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "H1f0" 64.6327736793797 -1.5213373032199 -4.21727847627431 2.47268536114504e-05 0.346299584828364 0.833333333333333 0.910714285714286 "Mcm2_noRT" "non-targeting_noRT"
"2" "Fbxo2" 87.0235179771931 1.7806045379686 3.89071664549327 9.99485940900282e-05 0.699890030115423 0.916666666666667 0.785714285714286 "Mcm2_noRT" "non-targeting_noRT"
"3" "Mcm2" 9.2056027268273 -4.66584244792225 -3.67169806009094 0.000240944245344628 0.853117427058527 0.0833333333333333 0.642857142857143 "Mcm2_noRT" "non-targeting_noRT"
"4" "Crip1" 61.590009363638 1.23370368330854 3.66883232505878 0.000243660814582943 0.853117427058527 1 0.892857142857143 "Mcm2_noRT" "non-targeting_noRT"
"5" "Ccl5" 27.7735828539512 2.69870759353045 3.53701451700551 0.000404677421983471 0.94674538459853 0.5 0.214285714285714 "Mcm2_noRT" "non-targeting_noRT"
"6" "Tk1" 16.4970488357855 -2.03969322998548 -3.51825330463797 0.000434397499262249 0.94674538459853 0.5 0.589285714285714 "Mcm2_noRT" "non-targeting_noRT"
"7" "Cltb" 76.4586638578392 -1.13710083212925 -3.47483175750115 0.000511173840757996 0.94674538459853 0.833333333333333 0.946428571428571 "Mcm2_noRT" "non-targeting_noRT"
"8" "Klf2" 36.058578118602 1.77464933278177 3.45642644189902 0.000547388584338117 0.94674538459853 0.75 0.607142857142857 "Mcm2_noRT" "non-targeting_noRT"
"9" "Ifi27l2a" 337.966034577136 0.565607077044101 3.42783963199753 0.000608404745547074 0.94674538459853 1 1 "Mcm2_noRT" "non-targeting_noRT"
"10" "Iscu" 81.5429093968356 1.5154782462052 3.3956331069806 0.000684700725812074 0.95892336649981 1 0.910714285714286 "Mcm2_noRT" "non-targeting_noRT"
"11" "Cenpa" 209.520286975111 0.876616458789879 3.25589616114168 0.00113035082811524 0.999374494960996 1 0.821428571428571 "Mcm2_noRT" "non-targeting_noRT"
"12" "H19" 5.99013220748126 -5.07182512292049 -3.21738400287629 0.00129365326029939 0.999374494960996 0 0.125 "Mcm2_noRT" "non-targeting_noRT"
"13" "Gm9895" 2.05880983591833 5.45842082554171 3.20717187440415 0.00134046882472713 0.999374494960996 0.416666666666667 0 "Mcm2_noRT" "non-targeting_noRT"
