"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Zfas1" 318.618730291712 1.22944818759415 7.71139236010492 1.24452400213997e-14 2.97441236511453e-11 1 1 "Mtor_noRT" "non-targeting_noRT"
"2" "Hbegf" 117.838413361144 1.64627884033618 7.23000573635657 4.82973634616139e-13 5.77153493366286e-10 1 0.803571428571429 "Mtor_noRT" "non-targeting_noRT"
"3" "Gm42418" 3399.76948828952 1.13461448016612 5.9298756967658 3.03164095246298e-09 2.41520729212884e-06 1 1 "Mtor_noRT" "non-targeting_noRT"
"4" "Ero1l" 131.421182284447 -1.32934928315831 -5.57497459388383 2.47565993215392e-08 1.47920680946196e-05 0.742857142857143 0.982142857142857 "Mtor_noRT" "non-targeting_noRT"
"5" "Gas5" 1090.17284202167 0.746534460052535 5.42906849124263 5.66489426476449e-08 2.70781945855743e-05 1 1 "Mtor_noRT" "non-targeting_noRT"
"6" "Nr4a1" 64.225900558384 1.84734558137989 5.31066455230744 1.09226212042934e-07 4.35084411304353e-05 0.857142857142857 0.767857142857143 "Mtor_noRT" "non-targeting_noRT"
"7" "Pgam1" 183.163973361555 -0.954567464139075 -5.23643054174696 1.6371181132448e-07 5.32091025639971e-05 0.971428571428571 1 "Mtor_noRT" "non-targeting_noRT"
"8" "Ift27" 63.1244928026101 -1.60318567062201 -5.22084789614996 1.78105782640994e-07 5.32091025639971e-05 0.628571428571429 0.946428571428571 "Mtor_noRT" "non-targeting_noRT"
"9" "Hes1" 84.0184874955676 1.35219832443066 5.12657218521212 2.95064957084394e-07 7.62088083504776e-05 0.857142857142857 0.767857142857143 "Mtor_noRT" "non-targeting_noRT"
"10" "Tnfrsf12a" 64.1435707559735 1.41082349188261 5.11194106968438 3.18865306905764e-07 7.62088083504776e-05 0.885714285714286 0.767857142857143 "Mtor_noRT" "non-targeting_noRT"
"11" "Kcnn4" 10.4570833736167 3.74110995414167 4.94199365898385 7.7327731472868e-07 NA 0.2 0.125 "Mtor_noRT" "non-targeting_noRT"
"12" "2410006H16Rik" 1395.73689723946 0.752297416252052 4.92322837041268 8.51280104343846e-07 0.000184959949943799 1 1 "Mtor_noRT" "non-targeting_noRT"
"13" "Ly6a" 172.172561788462 -1.39524975047203 -4.72217163598835 2.33339631515324e-06 0.000464734766101354 0.628571428571429 0.839285714285714 "Mtor_noRT" "non-targeting_noRT"
"14" "Rock2" 103.12072631211 0.99858386204536 4.51073456387591 6.46035195794334e-06 0.00118771085996035 0.914285714285714 0.928571428571429 "Mtor_noRT" "non-targeting_noRT"
"15" "Cyp51" 26.3612213393901 -2.02882370611724 -4.44770406316178 8.67929922047987e-06 NA 0.428571428571429 0.821428571428571 "Mtor_noRT" "non-targeting_noRT"
"16" "Fdps" 60.5130918313527 -1.43733454287927 -4.39330754633225 1.11639019855607e-05 0.00177917699990401 0.685714285714286 0.839285714285714 "Mtor_noRT" "non-targeting_noRT"
"17" "Col2a1" 76.2335736033746 1.1866154478338 4.39325926183759 1.11663828445859e-05 0.00177917699990401 0.885714285714286 0.678571428571429 "Mtor_noRT" "non-targeting_noRT"
"18" "Adamts1" 53.4284074453891 1.2993935705164 4.33051678011777 1.48759808877216e-05 0.00222209964510341 0.8 0.642857142857143 "Mtor_noRT" "non-targeting_noRT"
"19" "Aldoa" 331.182713823962 -0.994731642837229 -4.28733764229544 1.80827332663239e-05 0.00254221955920671 0.971428571428571 1 "Mtor_noRT" "non-targeting_noRT"
"20" "Gpx2" 17.071664191595 -2.51628286395285 -4.25390620393008 2.10073324552689e-05 NA 0.228571428571429 0.535714285714286 "Mtor_noRT" "non-targeting_noRT"
"21" "Dusp6" 67.7347860190925 1.09230610891937 4.19330676776132 2.74917265251267e-05 0.00365029035528071 0.885714285714286 0.821428571428571 "Mtor_noRT" "non-targeting_noRT"
"22" "Eif5a" 618.606576693645 -0.594638306374125 -4.13890875613715 3.48961691802555e-05 0.00438957075477951 1 1 "Mtor_noRT" "non-targeting_noRT"
"23" "Idi1" 25.2887073013467 -1.91461558485394 -4.024616128965 5.7068327683285e-05 NA 0.314285714285714 0.625 "Mtor_noRT" "non-targeting_noRT"
"24" "Cnp" 51.508302593531 -1.39832781595413 -3.99611267506083 6.43910956472566e-05 0.00769473592984716 0.771428571428571 0.821428571428571 "Mtor_noRT" "non-targeting_noRT"
"25" "Lpcat2" 37.5761485496835 -1.6368380634927 -3.95927384117837 7.51779972252206e-05 0.00855597206515606 0.457142857142857 0.714285714285714 "Mtor_noRT" "non-targeting_noRT"
"26" "Igfbp4" 15.3276372312949 1.9665036070756 3.92453362867756 8.68979203315867e-05 NA 0.6 0.357142857142857 "Mtor_noRT" "non-targeting_noRT"
"27" "1110038B12Rik" 536.321896092543 0.705061486559858 3.90190916115043 9.54369747876827e-05 0.0103679258973892 1 1 "Mtor_noRT" "non-targeting_noRT"
