"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Gpx2" 157.298668534029 -3.81162017937921 -9.00837139981069 2.09139040136321e-19 1.67206662588989e-15 0.466666666666667 0.741379310344828 "Rad21_RT" "non-targeting_RT"
"2" "Cd81" 237.736340920857 -2.55999715641846 -7.95010681720846 1.86350766388897e-15 7.44937188639616e-12 0.8 0.913793103448276 "Rad21_RT" "non-targeting_RT"
"3" "Avpi1" 125.348817908163 1.71686413478752 7.50944231294192 5.93797775966439e-14 1.58247107295056e-10 1 0.96551724137931 "Rad21_RT" "non-targeting_RT"
"4" "Ube2c" 268.007500677477 -1.92189739300759 -7.38368673867533 1.53965464854775e-13 2.29077297365784e-10 0.933333333333333 0.931034482758621 "Rad21_RT" "non-targeting_RT"
"5" "Prkg2" 192.412884647625 1.78122548273783 7.37157613257498 1.68622421205694e-13 2.29077297365784e-10 1 0.931034482758621 "Rad21_RT" "non-targeting_RT"
"6" "Trf" 129.043501855522 -2.46644012921925 -7.36899786069443 1.71915420161939e-13 2.29077297365784e-10 0.666666666666667 0.879310344827586 "Rad21_RT" "non-targeting_RT"
"7" "Myo10" 38.9657663008665 3.06912162425197 7.28736172972888 3.16083426461796e-13 3.6101242779458e-10 0.533333333333333 0.517241379310345 "Rad21_RT" "non-targeting_RT"
"8" "Rad21" 53.8898129866275 -3.05130477197928 -7.18410717844227 6.7647782625023e-13 6.76055027608823e-10 0.666666666666667 0.982758620689655 "Rad21_RT" "non-targeting_RT"
"9" "Col9a2" 159.658576542595 -1.30842907060996 -6.85137910939641 7.31413945377952e-12 6.49739388144081e-09 0.933333333333333 1 "Rad21_RT" "non-targeting_RT"
"10" "Gpnmb" 138.497344145674 -2.47657701004086 -6.76287566529564 1.35279328362122e-11 1.08155823025516e-08 0.666666666666667 0.844827586206897 "Rad21_RT" "non-targeting_RT"
"11" "Mt1" 1018.30600749783 -0.952410919453443 -6.67800838231865 2.42211188926654e-11 1.7604349595169e-08 1 1 "Rad21_RT" "non-targeting_RT"
"12" "Ero1l" 258.825648205936 1.20331148066159 6.47457519480602 9.50790532993025e-11 6.33464192606603e-08 1 0.982758620689655 "Rad21_RT" "non-targeting_RT"
"13" "Gatm" 152.759616924475 -1.353076104399 -6.10796240552756 1.00911114306182e-09 6.20603352983017e-07 0.933333333333333 0.948275862068966 "Rad21_RT" "non-targeting_RT"
"14" "Prc1" 125.530434290684 -1.8879582052008 -6.06380514791734 1.32938197594923e-09 7.59172064122433e-07 0.733333333333333 0.96551724137931 "Rad21_RT" "non-targeting_RT"
"15" "Top2a" 193.272274511968 -1.645586605495 -5.97331290657224 2.32483375159418e-09 1.2391363895997e-06 0.866666666666667 0.879310344827586 "Rad21_RT" "non-targeting_RT"
"16" "Nusap1" 29.8927589821466 -3.50036750695842 -5.74614675942221 9.13000710827249e-09 4.56215042691491e-06 0.333333333333333 0.517241379310345 "Rad21_RT" "non-targeting_RT"
"17" "Ccl5" 57.7065788420076 2.76916732616315 5.66368328343832 1.48157758082349e-08 6.96777221099046e-06 0.333333333333333 0.155172413793103 "Rad21_RT" "non-targeting_RT"
"18" "Tubb2b" 221.832966551252 -1.03840543330511 -5.48638140271774 4.10250629832319e-08 1.82219654750522e-05 0.8 1 "Rad21_RT" "non-targeting_RT"
"19" "Ncald" 105.358040133676 -1.39064253561013 -5.47347655415166 4.4129129170205e-08 1.85690730376731e-05 0.933333333333333 1 "Rad21_RT" "non-targeting_RT"
"20" "Gsn" 129.479762529674 -1.28940743489095 -5.4504748404421 5.02355096009718e-08 2.00816449629885e-05 0.933333333333333 1 "Rad21_RT" "non-targeting_RT"
"21" "Tesc" 90.2679393234721 1.30586334079265 5.42270827090962 5.87027551016805e-08 2.2348977477997e-05 1 0.793103448275862 "Rad21_RT" "non-targeting_RT"
