"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Crip1" 44.3257379213964 1.37367408227988 4.90517411969558 9.3344497109504e-07 0.0129160780650421 1 0.892857142857143 "Rad51_noRT" "non-targeting_noRT"
"2" "Phlda2" 67.7040593867044 -2.09245024934351 -4.74118812176825 2.12468531978481e-06 0.0146996353849312 0.666666666666667 0.821428571428571 "Rad51_noRT" "non-targeting_noRT"
"3" "Anxa5" 81.8397941320759 1.4358939552874 4.48205069912714 7.39291738864842e-06 0.0277839982717338 1 0.964285714285714 "Rad51_noRT" "non-targeting_noRT"
"4" "Nol4l" 19.4027278780408 2.38601389252163 4.46433455325581 8.03179830071079e-06 0.0277839982717338 0.5 0.517857142857143 "Rad51_noRT" "non-targeting_noRT"
"5" "Prph" 49.6122815775772 1.49500120488548 4.3052232774065 1.66817398084679e-05 0.0461650467459542 1 0.75 "Rad51_noRT" "non-targeting_noRT"
"6" "3110039M20Rik" 19.3216356561294 2.14407261399958 3.75539706001149 0.000173066884329926 0.399121079745531 0.5 0.607142857142857 "Rad51_noRT" "non-targeting_noRT"
"7" "Slc2a3" 34.3242437991165 2.92513075993943 3.60431190001275 0.000312981021888785 0.557854918543692 0.666666666666667 0.553571428571429 "Rad51_noRT" "non-targeting_noRT"
"8" "Tuba1b" 178.393165430422 -0.877535803743106 -3.5671402886634 0.000360898290956908 0.557854918543692 1 1 "Rad51_noRT" "non-targeting_noRT"
"9" "Hist1h2bc" 22.2890223392689 3.2204512210262 3.56572942619915 0.000362845578296829 0.557854918543692 0.5 0.196428571428571 "Rad51_noRT" "non-targeting_noRT"
"10" "Mest" 8.29323422704373 2.43640455426324 3.51626238410308 0.00043766822384265 0.588719050726495 0.5 0.25 "Rad51_noRT" "non-targeting_noRT"
"11" "Wwc2" 11.323318659563 1.88938890894748 3.49791091529034 0.000468917734297408 0.588719050726495 1 0.482142857142857 "Rad51_noRT" "non-targeting_noRT"
"12" "Capg" 118.428138491875 0.906089933910242 3.47515370674166 0.000510560714657653 0.588719050726495 1 1 "Rad51_noRT" "non-targeting_noRT"
"13" "Anxa2" 186.983101078261 1.11872925580543 3.37017989773389 0.000751191251409458 0.750519956364869 1 1 "Rad51_noRT" "non-targeting_noRT"
"14" "Hsp90b1" 557.062656032899 0.849657103828407 3.36719813656366 0.000759361089044458 0.750519956364869 1 1 "Rad51_noRT" "non-targeting_noRT"
"15" "Gm14326" 2.32533678883207 5.30838254520506 3.33908711697835 0.000840541996475334 0.775371973681947 0.5 0.0178571428571429 "Rad51_noRT" "non-targeting_noRT"
"16" "Srsf3" 81.2344644849037 -1.1184089464299 -3.28415883348122 0.00102287257610955 0.884592989726739 1 1 "Rad51_noRT" "non-targeting_noRT"
"17" "Id1" 27.2753000842899 1.48032344438847 3.20670612002115 0.00134264080275386 0.999333673755174 0.666666666666667 0.660714285714286 "Rad51_noRT" "non-targeting_noRT"
"18" "Ube2c" 131.186644168538 -1.7594275155331 -3.14513392884639 0.0016601081240365 0.999333673755174 1 0.839285714285714 "Rad51_noRT" "non-targeting_noRT"
"19" "H2afx" 20.3363272142824 -2.11562450975709 -3.13370393486651 0.00172614923684643 0.999333673755174 0.5 0.75 "Rad51_noRT" "non-targeting_noRT"
"20" "Atp1a2" 8.62580479080237 -3.93217284932045 -3.10936066399454 0.00187492694856323 0.999333673755174 0.166666666666667 0.285714285714286 "Rad51_noRT" "non-targeting_noRT"
"21" "D330023K18Rik" 5.66875885111057 2.33846925858238 3.08533378395224 0.00203323833782308 0.999333673755174 1 0.214285714285714 "Rad51_noRT" "non-targeting_noRT"
"22" "Xlr" 18.4979471910871 1.37076460535228 3.05015596518142 0.00228722556418438 0.999333673755174 0.833333333333333 0.821428571428571 "Rad51_noRT" "non-targeting_noRT"
"23" "B3galt1" 3.97765910194268 3.41373356380436 3.03712310714514 0.00238847886508835 0.999333673755174 0.5 0.0892857142857143 "Rad51_noRT" "non-targeting_noRT"
"24" "Tslrn1" 3.45964526312059 3.0957961635182 3.00498704624807 0.00265592160413504 0.999333673755174 0.333333333333333 0.107142857142857 "Rad51_noRT" "non-targeting_noRT"
"25" "Ccdc30" 6.61901391062808 2.22412084995393 2.96771933000993 0.00300018148407268 0.999333673755174 0.666666666666667 0.267857142857143 "Rad51_noRT" "non-targeting_noRT"
"26" "Fam8a1" 8.43972851500525 1.93375816422007 2.95911160021752 0.00308527347806159 0.999333673755174 0.833333333333333 0.446428571428571 "Rad51_noRT" "non-targeting_noRT"
"27" "Ier5" 22.2468742984257 3.15926490443233 2.95434863135714 0.0031332982010142 0.999333673755174 0.666666666666667 0.375 "Rad51_noRT" "non-targeting_noRT"
"28" "Tubb6" 15.7188053268123 -1.8647397640209 -2.95279641904756 0.00314909568333749 0.999333673755174 0.833333333333333 0.785714285714286 "Rad51_noRT" "non-targeting_noRT"
"29" "Hist3h2ba" 4.94573383083397 2.92328366107762 2.95025722362481 0.00317509468078649 0.999333673755174 0.666666666666667 0.142857142857143 "Rad51_noRT" "non-targeting_noRT"
"30" "Hbp1" 4.05098228614046 -3.91786850309418 -2.94480701847595 0.00323156153920032 0.999333673755174 0 0.678571428571429 "Rad51_noRT" "non-targeting_noRT"
"31" "Sat1" 67.1523265377671 -1.20703074026887 -2.92972686677023 0.00339260062030296 0.999333673755174 1 1 "Rad51_noRT" "non-targeting_noRT"
"32" "Saa3" 6.62716505973865 -4.62122967083159 -2.92079056396203 0.00349144451093769 0.999333673755174 0 0.25 "Rad51_noRT" "non-targeting_noRT"
