"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Hspa5" 734.737038438397 1.32759646560244 8.23582022624606 1.78331556680432e-16 1.25170919633995e-12 0.96 1 "Sel1l_noRT" "non-targeting_noRT"
"2" "Manf" 502.621356668251 1.24274745728858 6.71093356124462 1.93383150042662e-11 6.78678165074722e-08 0.96 0.982142857142857 "Sel1l_noRT" "non-targeting_noRT"
"3" "Hsp90b1" 1158.07453657261 1.02364644912241 6.5497357449065 5.76389847960358e-11 1.34856011427792e-07 1 1 "Sel1l_noRT" "non-targeting_noRT"
"4" "Pdia6" 343.58183472123 1.28175497306425 6.46019329710171 1.04569323978851e-10 1.83493021251888e-07 0.96 1 "Sel1l_noRT" "non-targeting_noRT"
"5" "Calr" 421.824870725721 1.04644147770948 6.11916286261828 9.40682248979022e-10 1.32052974111675e-06 1 0.964285714285714 "Sel1l_noRT" "non-targeting_noRT"
"6" "Sdf2l1" 62.8097931579715 1.78129329071346 5.64572230765371 1.64489166597086e-08 1.92424910057491e-05 0.88 0.857142857142857 "Sel1l_noRT" "non-targeting_noRT"
"7" "Dnajc3" 60.7513605309596 1.49502209723183 5.30800755724703 1.10830048170553e-07 0.000111130872587016 0.88 0.910714285714286 "Sel1l_noRT" "non-targeting_noRT"
"8" "Pdia3" 427.728977011889 0.88489887428755 5.27853574357308 1.30220267201617e-07 0.000114252006936018 0.96 1 "Sel1l_noRT" "non-targeting_noRT"
"9" "Serp1" 139.428511921175 1.0158979688766 4.72260456942105 2.32843300256928e-06 0.00181591902722597 0.92 0.982142857142857 "Sel1l_noRT" "non-targeting_noRT"
"10" "Oaf" 12.6744268983223 3.85603286044626 4.65977544706593 3.1655453024551e-06 0.00222189624779324 0.28 0.107142857142857 "Sel1l_noRT" "non-targeting_noRT"
"11" "Atp1a2" 15.6013568685237 -5.79572405759871 -4.60051598959566 4.2144566671224e-06 0.00268920648604838 0.04 0.285714285714286 "Sel1l_noRT" "non-targeting_noRT"
"12" "Gadd45g" 14.9852423994869 2.61125463689279 4.53553796608375 5.74568407626013e-06 0.00336074637760582 0.44 0.214285714285714 "Sel1l_noRT" "non-targeting_noRT"
"13" "Fth1" 2896.54092874676 -0.674323716066138 -4.40926907598881 1.03720090134178e-05 0.00560008702039843 0.96 1 "Sel1l_noRT" "non-targeting_noRT"
"14" "Cst6" 549.312467418229 -0.820691115157636 -4.32662865644284 1.51408898383015e-05 0.00759099326964557 0.92 1 "Sel1l_noRT" "non-targeting_noRT"
"15" "Pdia4" 100.280715960151 0.98492513648792 4.30304798659075 1.68464344752694e-05 0.00788300823879442 0.96 0.982142857142857 "Sel1l_noRT" "non-targeting_noRT"
"16" "Phlda2" 305.491245603268 0.92504190119779 4.27176770916393 1.93929531203505e-05 0.00826087140420895 0.76 0.821428571428571 "Sel1l_noRT" "non-targeting_noRT"
"17" "Creld2" 124.83089807183 1.23360830154777 4.26480362747639 2.00078093562548e-05 0.00826087140420895 0.92 0.946428571428571 "Sel1l_noRT" "non-targeting_noRT"
"18" "H2-Aa" 199.003398857124 -1.04529282855468 -4.24832008780023 2.15379514127001e-05 0.00839860449809677 0.84 0.982142857142857 "Sel1l_noRT" "non-targeting_noRT"
