"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Sat1" 333.333409235404 1.30023858520891 6.96262970846137 3.33978849931933e-12 1.77042188348918e-08 0.961538461538462 1 "Xrcc5_noRT" "non-targeting_noRT"
"2" "Hbegf" 127.996331573456 1.58875018213171 6.56858914307968 5.07942209503127e-11 1.34630082628804e-07 0.923076923076923 0.803571428571429 "Xrcc5_noRT" "non-targeting_noRT"
"3" "Slc29a1" 107.246651201219 1.74029561088214 6.31336237911278 2.73037133554886e-10 4.82456614991483e-07 0.923076923076923 0.892857142857143 "Xrcc5_noRT" "non-targeting_noRT"
"4" "Kcnn4" 14.9017661532863 4.09933602750678 5.24046055799218 1.60176322341723e-07 0.000212273671183368 0.461538461538462 0.125 "Xrcc5_noRT" "non-targeting_noRT"
"5" "Areg" 13.0839987508156 3.93415507621066 5.11860010345479 3.07811846814108e-07 0.000326342119992317 0.192307692307692 0.0714285714285714 "Xrcc5_noRT" "non-targeting_noRT"
"6" "Xrcc5" 18.3673424605243 -4.68342714589845 -4.99344259744518 5.93124200603681e-07 0.000524025231233352 0.0769230769230769 0.821428571428571 "Xrcc5_noRT" "non-targeting_noRT"
"7" "Cd74" 828.290472315485 -0.934707787613862 -4.94451051743841 7.63354205862624e-07 0.000574662748697442 1 1 "Xrcc5_noRT" "non-targeting_noRT"
"8" "H2-Aa" 210.192016243686 -1.25145811073216 -4.91959112940821 8.67251837309853e-07 0.000574662748697442 1 0.982142857142857 "Xrcc5_noRT" "non-targeting_noRT"
"9" "Cnp" 55.1494208935131 -1.59409103580949 -4.72773144455465 2.27042200803673e-06 0.00120570257042421 0.846153846153846 0.821428571428571 "Xrcc5_noRT" "non-targeting_noRT"
"10" "H2-Eb1" 272.020279683319 -1.07283677406505 -4.72736861809643 2.27448136280741e-06 0.00120570257042421 1 0.982142857142857 "Xrcc5_noRT" "non-targeting_noRT"
"11" "Apod" 25.8412930022268 2.18837505148087 4.39163533009873 1.12501277049177e-05 0.00542153881488809 0.538461538461538 0.339285714285714 "Xrcc5_noRT" "non-targeting_noRT"
"12" "H2-Ab1" 161.05028924552 -1.01543612072807 -4.29859535416025 1.71883951067333e-05 0.00759297353839943 1 0.982142857142857 "Xrcc5_noRT" "non-targeting_noRT"
"13" "Ldhb" 38.6106867905512 1.76753046054035 4.2046299659459 2.6150963788342e-05 0.0106635583878462 0.692307692307692 0.696428571428571 "Xrcc5_noRT" "non-targeting_noRT"
"14" "Fxyd3" 68.5641145030976 1.67731182551106 4.13075426958097 3.6157491938104e-05 0.0136907760545635 0.730769230769231 0.642857142857143 "Xrcc5_noRT" "non-targeting_noRT"
"15" "Col9a1" 94.6491593409006 1.26602796520048 4.10116548038129 4.11074447778107e-05 0.0141425284747664 0.923076923076923 0.892857142857143 "Xrcc5_noRT" "non-targeting_noRT"
"16" "Mt1" 458.918381305685 -0.952145994911401 -4.09243674067618 4.26863715518322e-05 0.0141425284747664 0.961538461538462 1 "Xrcc5_noRT" "non-targeting_noRT"
"17" "Ddit3" 78.581218406281 -1.08869314833637 -3.96232579104331 7.42231627506704e-05 0.0224521564533366 0.846153846153846 0.964285714285714 "Xrcc5_noRT" "non-targeting_noRT"
"18" "Ppp1r14c" 57.1875965812496 1.2159535340416 3.95592768489731 7.62382222524163e-05 0.0224521564533366 0.923076923076923 0.660714285714286 "Xrcc5_noRT" "non-targeting_noRT"
"19" "Cdca8" 107.072848311266 0.971438705999465 3.89000053000484 0.000100244003052088 0.0279680768515324 0.961538461538462 0.75 "Xrcc5_noRT" "non-targeting_noRT"
"20" "Atp1a2" 20.9584644782919 -2.14606011187296 -3.79464238124938 0.000147856414768036 0.039189342734268 0.269230769230769 0.285714285714286 "Xrcc5_noRT" "non-targeting_noRT"
"21" "Dusp2" 17.8318783733289 2.14775726863328 3.74163582833386 0.000182826319029753 0.0461505865322249 0.384615384615385 0.267857142857143 "Xrcc5_noRT" "non-targeting_noRT"
"22" "Spry2" 40.7809558393117 1.45339433720279 3.72177958551644 0.00019782366885083 0.0476665122081022 0.769230769230769 0.642857142857143 "Xrcc5_noRT" "non-targeting_noRT"
