"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Scg2" 13.9693270771571 -1.99441522739196 -3.18218675256407 0.00146167535156646 0.999869862233122 0.0775862068965517 0.121546961325967 "Ptprc" "sgNegCtrl_3"
"2" "Prc1" 100.873281132369 0.650570335735816 3.00934324094084 0.00261813146932165 0.999869862233122 0.379310344827586 0.337016574585635 "Ptprc" "sgNegCtrl_3"
"3" "Dlk1" 45.679138992056 0.957771487523755 2.93897051846173 0.00329304396241869 0.999869862233122 0.163793103448276 0.25414364640884 "Ptprc" "sgNegCtrl_3"
"4" "Top2a" 129.961433713875 0.619728986818344 2.93600902221894 0.00332464652674328 0.999869862233122 0.28448275862069 0.259668508287293 "Ptprc" "sgNegCtrl_3"
"5" "Apoe" 448.179918887566 -0.389132439747041 -2.62509089466794 0.00866258388143771 0.999869862233122 0.982758620689655 0.994475138121547 "Ptprc" "sgNegCtrl_3"
"6" "Pkn2" 28.4746544065789 0.913332893603098 2.57212501011119 0.010107638724503 0.999869862233122 0.439655172413793 0.325966850828729 "Ptprc" "sgNegCtrl_3"
"7" "Fabp7" 584.99951184134 -0.273530805398679 -2.5611857164796 0.0104315576121827 0.999869862233122 0.974137931034483 0.994475138121547 "Ptprc" "sgNegCtrl_3"
"8" "Col5a2" 2.5520636232388 4.1694451769182 2.55669769939461 0.0105671005162558 0.999869862233122 0.0344827586206897 0.00552486187845304 "Ptprc" "sgNegCtrl_3"
"9" "Spsb2" 7.47915791348548 -2.00151113826026 -2.53517631360103 0.0112390742288116 0.999869862233122 0.0603448275862069 0.215469613259669 "Ptprc" "sgNegCtrl_3"
"10" "Vps29" 69.2904005201706 -0.595516069278658 -2.50297369400826 0.0123154697421541 0.999869862233122 0.629310344827586 0.707182320441989 "Ptprc" "sgNegCtrl_3"
"11" "Gadd45b" 8.65547436205746 -1.81063983588287 -2.45355990219343 0.0141449978197035 0.999869862233122 0.0689655172413793 0.149171270718232 "Ptprc" "sgNegCtrl_3"
