"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "S100a6" 14926.9441301713 0.600122087810127 5.82009727340506 5.88133890535569e-09 0.000104940730088262 0.983471074380165 0.99645390070922 "Abtb1_RT" "non-targeting_RT"
"2" "S100a4" 2821.97927659586 0.509819454251977 4.81490117360872 1.472727563243e-06 0.0131389389554724 0.950413223140496 0.953900709219858 "Abtb1_RT" "non-targeting_RT"
"3" "Nppb" 68.9299411425308 -1.21453830906136 -4.27846934683667 1.8818289853481e-05 0.0853251949442094 0.247933884297521 0.276595744680851 "Abtb1_RT" "non-targeting_RT"
"4" "Cxcl2" 6.94505038322184 -5.64802971765034 -4.27483379838936 1.9127993037989e-05 0.0853251949442094 0 0.0390070921985816 "Abtb1_RT" "non-targeting_RT"
"5" "Phf11d" 26.2130604394228 -1.74883947797888 -3.98867957324591 6.6442097034025e-05 0.237105267475621 0.12396694214876 0.216312056737589 "Abtb1_RT" "non-targeting_RT"
"6" "Ccn1" 70.6789776345621 -1.11026438574572 -3.91961432245294 8.86907833665354e-05 0.263751607934849 0.31404958677686 0.315602836879433 "Abtb1_RT" "non-targeting_RT"
"7" "Cebpd" 156.824615396379 0.8409711095534 3.52022427351118 0.000431182040063593 0.999957490585627 0.537190082644628 0.5 "Abtb1_RT" "non-targeting_RT"
"8" "Hmga2" 402.208074639444 -0.578302956296117 -3.36490896448002 0.000765689177103183 0.999957490585627 0.801652892561983 0.794326241134752 "Abtb1_RT" "non-targeting_RT"
"9" "Ctdnep1" 103.352452454378 -0.711464816862853 -3.30203953498532 0.000959845403160792 0.999957490585627 0.619834710743802 0.702127659574468 "Abtb1_RT" "non-targeting_RT"
"10" "Gm26885" 10.5269267244858 -3.26141316678494 -3.2884977565721 0.00100723587222398 0.999957490585627 0.0247933884297521 0.0425531914893617 "Abtb1_RT" "non-targeting_RT"
"11" "Ifit2" 98.4438438434725 -0.724170225299971 -3.22153941065397 0.00127503925280413 0.999957490585627 0.446280991735537 0.397163120567376 "Abtb1_RT" "non-targeting_RT"
"12" "Col11a1" 213.12549548374 0.538138904789433 3.16808685810919 0.00153445669113215 0.999957490585627 0.71900826446281 0.624113475177305 "Abtb1_RT" "non-targeting_RT"
"13" "Gem" 7.94407400185638 -3.89803903186703 -3.15805460963506 0.00158825802215923 0.999957490585627 0.0165289256198347 0.0283687943262411 "Abtb1_RT" "non-targeting_RT"
"14" "Cthrc1" 231.00011267203 0.582663737067252 3.05678911332198 0.00223721614176424 0.999957490585627 0.685950413223141 0.602836879432624 "Abtb1_RT" "non-targeting_RT"
"15" "S100a13" 256.654323825249 0.455252240216392 2.99409706285205 0.00275258362629298 0.999957490585627 0.859504132231405 0.794326241134752 "Abtb1_RT" "non-targeting_RT"
"16" "Npr1" 118.758578030752 0.610422776485134 2.99342039684271 0.00275869462946476 0.999957490585627 0.652892561983471 0.570921985815603 "Abtb1_RT" "non-targeting_RT"
"17" "Saa3" 29.0106115105295 -1.43448950547366 -2.94069638820656 0.0032747533923269 0.999957490585627 0.0826446280991736 0.102836879432624 "Abtb1_RT" "non-targeting_RT"
"18" "Snhg3" 2314.85967626388 0.37272940578239 2.9019809065959 0.00370811140241867 0.999957490585627 0.925619834710744 0.936170212765957 "Abtb1_RT" "non-targeting_RT"
"19" "4930402H24Rik" 27.1064488634425 1.05934658127345 2.83182108453368 0.00462837384546613 0.999957490585627 0.388429752066116 0.212765957446809 "Abtb1_RT" "non-targeting_RT"
"20" "Cd47" 199.634780322493 -0.522545721568336 -2.81837863518738 0.00482668542742722 0.999957490585627 0.710743801652893 0.730496453900709 "Abtb1_RT" "non-targeting_RT"
"21" "1600020E01Rik" 54.0557640509765 0.880148664637986 2.81209948617265 0.00492192773815345 0.999957490585627 0.40495867768595 0.400709219858156 "Abtb1_RT" "non-targeting_RT"
"22" "1810062G17Rik" 17.7595786227868 1.36112991837461 2.80697072472533 0.0050009786361953 0.999957490585627 0.31404958677686 0.127659574468085 "Abtb1_RT" "non-targeting_RT"
"23" "Chchd10" 177.542423416543 -0.541619833688112 -2.79489592876405 0.0051916425113804 0.999957490585627 0.59504132231405 0.592198581560284 "Abtb1_RT" "non-targeting_RT"
"24" "Ccl20" 8.39693819829325 -2.19793445243068 -2.70131786946824 0.00690652955940746 0.999957490585627 0.0330578512396694 0.0390070921985816 "Abtb1_RT" "non-targeting_RT"
"25" "Hspa5" 574.954762476713 0.428016144338597 2.69744341572129 0.00698741587163381 0.999957490585627 0.900826446280992 0.882978723404255 "Abtb1_RT" "non-targeting_RT"
"26" "Rps6kl1" 4.02560876269087 -3.80516374357691 -2.68367248679792 0.00728184017926219 0.999957490585627 0.00826446280991736 0.0886524822695035 "Abtb1_RT" "non-targeting_RT"
"27" "BC049715" 28.4321179975561 1.01112443697206 2.65626581287096 0.00790113079129167 0.999957490585627 0.289256198347107 0.216312056737589 "Abtb1_RT" "non-targeting_RT"
"28" "Krt17" 2.73520054787944 4.47569212083844 2.63327616305887 0.00845655560604599 0.999957490585627 0.0165289256198347 0.00354609929078014 "Abtb1_RT" "non-targeting_RT"
"29" "Mest" 161.026204514597 0.593364468964062 2.63304266740684 0.00846237157768532 0.999957490585627 0.553719008264463 0.482269503546099 "Abtb1_RT" "non-targeting_RT"
"30" "Rsad2" 559.179579998814 -0.382002973195985 -2.63032299934531 0.00853037773987584 0.999957490585627 0.752066115702479 0.780141843971631 "Abtb1_RT" "non-targeting_RT"
"31" "Gm12976" 53.6516172282156 0.970682328000013 2.61403600928652 0.00894796053044051 0.999957490585627 0.289256198347107 0.212765957446809 "Abtb1_RT" "non-targeting_RT"
"32" "Npc2" 396.214562170529 -0.361514336806148 -2.61341053368521 0.00896435503834566 0.999957490585627 0.909090909090909 0.918439716312057 "Abtb1_RT" "non-targeting_RT"
"33" "Areg" 40.5607045452143 -1.03608478331338 -2.59468814725905 0.00946767789024872 0.999957490585627 0.165289256198347 0.141843971631206 "Abtb1_RT" "non-targeting_RT"
"34" "Tpd52" 71.0577208323325 0.613718110015033 2.5869052527168 0.00968422170208256 0.999957490585627 0.570247933884298 0.475177304964539 "Abtb1_RT" "non-targeting_RT"
"35" "Lcn2" 146.669311595556 -4.55892047399703 -2.58243552411974 0.00981056917548992 0.999957490585627 0.0330578512396694 0.0638297872340425 "Abtb1_RT" "non-targeting_RT"
"36" "E030037K01Rik" 3.01202343483055 3.65586297034023 2.58114662433187 0.00984727482643375 0.999957490585627 0.0661157024793388 0.00709219858156028 "Abtb1_RT" "non-targeting_RT"
"37" "Zfas1" 502.724535326918 0.326522094846252 2.56218241903833 0.0104016668751172 0.999957490585627 0.84297520661157 0.833333333333333 "Abtb1_RT" "non-targeting_RT"
"38" "Olfm1" 31.1181905664145 -0.962958611497403 -2.56156529372781 0.0104201652337829 0.999957490585627 0.223140495867769 0.308510638297872 "Abtb1_RT" "non-targeting_RT"
"39" "Zdhhc16" 32.7876172152399 -0.929860847038699 -2.55935094625902 0.0104867815764569 0.999957490585627 0.297520661157025 0.411347517730496 "Abtb1_RT" "non-targeting_RT"
"40" "Pmvk" 78.3565338430815 0.624237025113152 2.55577362106163 0.0105952023635155 0.999957490585627 0.520661157024793 0.439716312056738 "Abtb1_RT" "non-targeting_RT"
"41" "Ctsl" 526.661884709369 -0.413662694281178 -2.54653106302322 0.0108799527864741 0.999957490585627 0.84297520661157 0.858156028368794 "Abtb1_RT" "non-targeting_RT"
"42" "A230072C01Rik" 15.4318099196536 1.26736467214523 2.53390415525762 0.0112799579567144 0.999957490585627 0.28099173553719 0.127659574468085 "Abtb1_RT" "non-targeting_RT"
"43" "Mettl7b" 3.64397613559221 -3.65775405445603 -2.52812260533558 0.0114674298420611 0.999957490585627 0.00826446280991736 0.0567375886524823 "Abtb1_RT" "non-targeting_RT"
"44" "Tslp" 11.4305679088385 -1.68993495788218 -2.52259774901883 0.0116491569208214 0.999957490585627 0.0826446280991736 0.148936170212766 "Abtb1_RT" "non-targeting_RT"
"45" "Gm32913" 15.5529212387371 -3.00799854308586 -2.50485206464667 0.0122502619113061 0.999957490585627 0.0495867768595041 0.074468085106383 "Abtb1_RT" "non-targeting_RT"
"46" "Mt4" 5.87646375492437 2.55606343635191 2.50377641137063 0.0122875657954875 0.999957490585627 0.0165289256198347 0.0141843971631206 "Abtb1_RT" "non-targeting_RT"
"47" "Cox6a2" 139.366983994316 -0.54439215267488 -2.49929285088039 0.0124441428199263 0.999957490585627 0.446280991735537 0.436170212765957 "Abtb1_RT" "non-targeting_RT"
"48" "Dpm3" 667.416164122616 0.319723252179661 2.49634112614399 0.0125481864811123 0.999957490585627 0.958677685950413 0.929078014184397 "Abtb1_RT" "non-targeting_RT"
"49" "Nfib" 221.644834835272 -0.382391594484258 -2.48716369536827 0.0128766134384984 0.999957490585627 0.785123966942149 0.734042553191489 "Abtb1_RT" "non-targeting_RT"
"50" "Gpalpp1" 34.8769507350694 0.839602129714744 2.48158138528199 0.013080083701617 0.999957490585627 0.363636363636364 0.273049645390071 "Abtb1_RT" "non-targeting_RT"
"51" "Foxc1" 31.7119645762321 0.909591851979336 2.4732501979612 0.0133890370420105 0.999957490585627 0.347107438016529 0.25886524822695 "Abtb1_RT" "non-targeting_RT"
"52" "Pdia4" 124.910039262973 0.489445612574835 2.44552737058469 0.0144640469494832 0.999957490585627 0.661157024793388 0.659574468085106 "Abtb1_RT" "non-targeting_RT"
"53" "Ccdc173" 13.6450966023987 1.3034098081908 2.43846192784429 0.0147499123286043 0.999957490585627 0.206611570247934 0.109929078014184 "Abtb1_RT" "non-targeting_RT"
"54" "Nudcd1" 63.2417533113783 0.597620964814486 2.42954648950684 0.015117725973385 0.999957490585627 0.628099173553719 0.471631205673759 "Abtb1_RT" "non-targeting_RT"
"55" "2010003K11Rik" 1.51353044783905 4.65504803262896 2.42626019379012 0.0152553285731815 0.999957490585627 0.0330578512396694 0 "Abtb1_RT" "non-targeting_RT"
"56" "Rtn4" 396.972878160674 -0.334923656300472 -2.42275255880525 0.0154034145248455 0.999957490585627 0.884297520661157 0.890070921985816 "Abtb1_RT" "non-targeting_RT"
"57" "Ccn2" 2.25091959069157 -4.02508768604585 -2.41948793066144 0.0155423764992442 0.999957490585627 0 0.0354609929078014 "Abtb1_RT" "non-targeting_RT"
"58" "Gm39459" 3.60959901106146 -3.64598720941612 -2.40362926198442 0.0162332268470747 0.999957490585627 0.00826446280991736 0.0390070921985816 "Abtb1_RT" "non-targeting_RT"
"59" "Ccl2" 54.1838151378145 -4.06365816792898 -2.40339045990459 0.0162438327839178 0.999957490585627 0.0330578512396694 0.074468085106383 "Abtb1_RT" "non-targeting_RT"
"60" "Gm10138" 15.8354845882864 1.19167535088122 2.39806157239966 0.0164820944133727 0.999957490585627 0.264462809917355 0.102836879432624 "Abtb1_RT" "non-targeting_RT"
"61" "Cd9" 2290.77435344228 0.307516953355441 2.39196798617191 0.0167583040518941 0.999957490585627 0.975206611570248 0.978723404255319 "Abtb1_RT" "non-targeting_RT"
"62" "Tnfaip8" 213.443396602952 -0.391164372920807 -2.38636913197471 0.0170156622401255 0.999957490585627 0.776859504132231 0.773049645390071 "Abtb1_RT" "non-targeting_RT"
"63" "Gm32618" 16.4525701757775 1.28311744318138 2.38010845387212 0.0173075433319522 0.999957490585627 0.15702479338843 0.120567375886525 "Abtb1_RT" "non-targeting_RT"
"64" "Ccnd1" 868.849337064648 -0.257378604414463 -2.37702732513255 0.0174527951874156 0.999957490585627 0.884297520661157 0.865248226950355 "Abtb1_RT" "non-targeting_RT"
"65" "S100b" 527.030192124752 0.370824429963828 2.37491758305964 0.0175528689896587 0.999957490585627 0.851239669421488 0.840425531914894 "Abtb1_RT" "non-targeting_RT"
"66" "Igf1" 53.5885590763967 -0.675049605881782 -2.37347371463734 0.0176216472530294 0.999957490585627 0.338842975206612 0.343971631205674 "Abtb1_RT" "non-targeting_RT"
"67" "Ankrd46" 33.110064963934 0.81436574327403 2.37036269987899 0.017770642851153 0.999957490585627 0.471074380165289 0.304964539007092 "Abtb1_RT" "non-targeting_RT"
"68" "Slc3a2" 300.574600716279 -0.408303683710911 -2.36878233904659 0.0178467529255664 0.999957490585627 0.801652892561983 0.847517730496454 "Abtb1_RT" "non-targeting_RT"
"69" "Tubgcp2" 21.1941058449476 -1.09309250443909 -2.3573762941262 0.0184045863070529 0.999957490585627 0.173553719008264 0.312056737588652 "Abtb1_RT" "non-targeting_RT"
"70" "Tubb2b" 275.260760673996 -0.386472823246517 -2.35403853286858 0.0185706859105055 0.999957490585627 0.760330578512397 0.762411347517731 "Abtb1_RT" "non-targeting_RT"
"71" "Mrpl20" 522.027235868752 0.279904116709515 2.35170359539767 0.0186876595898057 0.999957490585627 0.867768595041322 0.893617021276596 "Abtb1_RT" "non-targeting_RT"
"72" "Mrps21" 549.44102204667 0.286769107947607 2.34729155938839 0.0189104506589212 0.999957490585627 0.958677685950413 0.932624113475177 "Abtb1_RT" "non-targeting_RT"
"73" "Sntb2" 44.1408699959247 -0.706462440676549 -2.34109723588869 0.0192271588237486 0.999957490585627 0.355371900826446 0.439716312056738 "Abtb1_RT" "non-targeting_RT"
"74" "Gm13663" 8.78084231162057 1.52611354746365 2.33725795242518 0.0194257754599325 0.999957490585627 0.198347107438017 0.0638297872340425 "Abtb1_RT" "non-targeting_RT"
"75" "Comt" 127.992492437846 0.544236342424295 2.33136615970145 0.0197340603405234 0.999957490585627 0.570247933884298 0.606382978723404 "Abtb1_RT" "non-targeting_RT"
"76" "Zdhhc4" 25.1125521776987 -0.945277853843331 -2.32737765886727 0.0199451737645507 0.999957490585627 0.239669421487603 0.372340425531915 "Abtb1_RT" "non-targeting_RT"
"77" "Svil" 10.8919502225978 -1.54694608980399 -2.32262433306833 0.0201993423577274 0.999957490585627 0.0743801652892562 0.191489361702128 "Abtb1_RT" "non-targeting_RT"
"78" "Gm3448" 46.6086571221798 0.686207381933213 2.32226398202146 0.0202187256975521 0.999957490585627 0.363636363636364 0.333333333333333 "Abtb1_RT" "non-targeting_RT"
"79" "Klf6" 104.544941806915 -0.501599973765421 -2.32117068754582 0.0202776335291541 0.999957490585627 0.471074380165289 0.546099290780142 "Abtb1_RT" "non-targeting_RT"
"80" "Prdx5" 680.139260374322 0.307033300000573 2.30938118911899 0.0209224379293335 0.999957490585627 0.900826446280992 0.939716312056738 "Abtb1_RT" "non-targeting_RT"
"81" "Mndal" 376.819512497033 -0.344968118803606 -2.29149602343632 0.0219347416011226 0.999957490585627 0.834710743801653 0.833333333333333 "Abtb1_RT" "non-targeting_RT"
"82" "Abhd2" 81.3872377835087 -0.617198867409646 -2.29095556286053 0.0219659838895571 0.999957490585627 0.487603305785124 0.553191489361702 "Abtb1_RT" "non-targeting_RT"
"83" "Cdip1" 17.4613092664124 -1.1104051189803 -2.2892330618572 0.0220658145921997 0.999957490585627 0.140495867768595 0.26241134751773 "Abtb1_RT" "non-targeting_RT"
"84" "Usp36" 42.2896468073162 -0.727237027015399 -2.28338893689063 0.0224074683521498 0.999957490585627 0.322314049586777 0.475177304964539 "Abtb1_RT" "non-targeting_RT"
"85" "Raet1e" 30.6318703272491 -0.826430516612728 -2.28267673568289 0.022449417148383 0.999957490585627 0.256198347107438 0.365248226950355 "Abtb1_RT" "non-targeting_RT"
"86" "Emp1" 160.264169028638 0.540632686552306 2.28037182199973 0.022585645368424 0.999957490585627 0.669421487603306 0.634751773049645 "Abtb1_RT" "non-targeting_RT"
"87" "Ccdc141" 4.99170266964497 2.03113631349558 2.27969187142878 0.022625969747382 0.999957490585627 0.0991735537190083 0.0319148936170213 "Abtb1_RT" "non-targeting_RT"
"88" "Dnph1" 83.2239834290664 0.507123250954796 2.27884110881773 0.0226765122209777 0.999957490585627 0.578512396694215 0.471631205673759 "Abtb1_RT" "non-targeting_RT"
"89" "Gm11961" 3.15473277052338 2.66104164920595 2.2782743235415 0.0227102384755326 0.999957490585627 0.0661157024793388 0.0141843971631206 "Abtb1_RT" "non-targeting_RT"
"90" "Nipbl" 235.594917906472 -0.391529096370526 -2.26956756279991 0.0232338335844901 0.999957490585627 0.801652892561983 0.787234042553192 "Abtb1_RT" "non-targeting_RT"
"91" "Arc" 1.89977245552103 3.93282698140094 2.26612896207469 0.0234434884580471 0.999957490585627 0.0247933884297521 0.00354609929078014 "Abtb1_RT" "non-targeting_RT"
"92" "Zfp667" 22.2824152172668 -0.974159498737184 -2.2560867688014 0.0240651975971238 0.999957490585627 0.181818181818182 0.297872340425532 "Abtb1_RT" "non-targeting_RT"
"93" "Mef2c" 211.016531348063 0.471382696627565 2.25566836699074 0.0240914080715163 0.999957490585627 0.702479338842975 0.578014184397163 "Abtb1_RT" "non-targeting_RT"
"94" "Ints13" 59.1945425690177 0.613363810911543 2.24693592983551 0.0246441220622733 0.999957490585627 0.512396694214876 0.439716312056738 "Abtb1_RT" "non-targeting_RT"
"95" "Lamtor2" 587.659994133257 0.248430341944936 2.24648188130541 0.0246731588136284 0.999957490585627 0.925619834710744 0.900709219858156 "Abtb1_RT" "non-targeting_RT"
"96" "Rint1" 113.793069937894 0.447115514516121 2.24345504749005 0.0248674855388703 0.999957490585627 0.578512396694215 0.595744680851064 "Abtb1_RT" "non-targeting_RT"
"97" "Rgs16" 32.1177358339566 -0.870606553338079 -2.23701440494141 0.0252853985768195 0.999957490585627 0.214876033057851 0.226950354609929 "Abtb1_RT" "non-targeting_RT"
"98" "Tpi1" 502.423611582942 0.29420399057697 2.23650557552279 0.0253186724963736 0.999957490585627 0.884297520661157 0.865248226950355 "Abtb1_RT" "non-targeting_RT"
"99" "Ly6g6d" 8.87940050298921 1.44704485932321 2.22826586690662 0.0258627910606946 0.999957490585627 0.165289256198347 0.074468085106383 "Abtb1_RT" "non-targeting_RT"
"100" "Spry2" 174.13694628201 -0.422623665715694 -2.22754262696861 0.0259110302187277 0.999957490585627 0.619834710743802 0.691489361702128 "Abtb1_RT" "non-targeting_RT"
"101" "Ndufaf5" 24.3401530652162 -0.896627715075695 -2.21502450463533 0.0267583826096877 0.999957490585627 0.239669421487603 0.361702127659574 "Abtb1_RT" "non-targeting_RT"
"102" "Adgra3" 100.172534291821 -0.483751924141567 -2.20071508174466 0.0277562004501309 0.999957490585627 0.586776859504132 0.549645390070922 "Abtb1_RT" "non-targeting_RT"
"103" "2310034G01Rik" 82.0491164832076 0.534582032940805 2.19554358957801 0.0281246276651542 0.999957490585627 0.537190082644628 0.528368794326241 "Abtb1_RT" "non-targeting_RT"
"104" "Ikzf2" 2.88049147179542 -3.27830990203465 -2.1930992534043 0.0283002288112904 0.999957490585627 0.00826446280991736 0.0709219858156028 "Abtb1_RT" "non-targeting_RT"
"105" "Tinagl1" 246.310546881458 -0.367654523070449 -2.19172265342096 0.0283995389841446 0.999957490585627 0.71900826446281 0.677304964539007 "Abtb1_RT" "non-targeting_RT"
"106" "Trf" 19.8653843177125 -1.03974954985864 -2.19155280644412 0.0284118128046233 0.999957490585627 0.15702479338843 0.187943262411348 "Abtb1_RT" "non-targeting_RT"
"107" "4933429H19Rik" 13.0185739909503 1.20296081647628 2.18819955353773 0.0286550696238018 0.999957490585627 0.115702479338843 0.106382978723404 "Abtb1_RT" "non-targeting_RT"
"108" "Wdr93" 2.55989128243025 3.38563277192246 2.18548362111944 0.0288534055819885 0.999957490585627 0.0330578512396694 0.00709219858156028 "Abtb1_RT" "non-targeting_RT"
"109" "Hspa12b" 5.74777034129676 -2.72775255243884 -2.17193020285287 0.0298609279402626 0.999957490585627 0.0247933884297521 0.0354609929078014 "Abtb1_RT" "non-targeting_RT"
"110" "Nol4l" 186.148573450653 -0.448139890188686 -2.14979731626643 0.0315712505759612 0.999957490585627 0.537190082644628 0.50354609929078 "Abtb1_RT" "non-targeting_RT"
"111" "Cyp1a1" 14.9591722332217 2.47711400331939 2.14817638641294 0.031699745839885 0.999957490585627 0.0495867768595041 0.0354609929078014 "Abtb1_RT" "non-targeting_RT"
"112" "Klhl36" 3.98463457188603 -2.7725969688823 -2.14735896723981 0.0317647146803975 0.999957490585627 0.0165289256198347 0.102836879432624 "Abtb1_RT" "non-targeting_RT"
"113" "Sec61a1" 114.695945054242 0.452516401175312 2.1465122471897 0.0318321327195339 0.999957490585627 0.727272727272727 0.645390070921986 "Abtb1_RT" "non-targeting_RT"
"114" "Tmem176b" 165.998670576352 0.442530097900645 2.14337047833566 0.0320833616640746 0.999957490585627 0.785123966942149 0.677304964539007 "Abtb1_RT" "non-targeting_RT"
"115" "B930036N10Rik" 67.6902757815606 0.622737418723611 2.14316520021968 0.0320998355402025 0.999957490585627 0.421487603305785 0.329787234042553 "Abtb1_RT" "non-targeting_RT"
"116" "B930094E09Rik" 3.88047231128189 -2.75946035361054 -2.14098848505205 0.0322749666638757 0.999957490585627 0.0165289256198347 0.0921985815602837 "Abtb1_RT" "non-targeting_RT"
"117" "Slc4a11" 1.7548264323778 -3.661124069669 -2.1352252520089 0.0327426151837929 0.999957490585627 0 0.049645390070922 "Abtb1_RT" "non-targeting_RT"
"118" "Wdr18" 76.8246278928685 -0.505314101473997 -2.13217954604939 0.032992089271317 0.999957490585627 0.537190082644628 0.592198581560284 "Abtb1_RT" "non-targeting_RT"
