"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Polr2g" 295.410361443697 1.26160701035986 8.80606479815089 1.2961613224602e-18 1.32169570051266e-14 0.933333333333333 0.960992907801418 "Aurkb_RT" "non-targeting_RT"
"2" "Tmem258" 207.677888778216 1.20457877854309 6.4172261740799 1.38779668887901e-10 7.07568141824963e-07 0.866666666666667 0.904255319148936 "Aurkb_RT" "non-targeting_RT"
"3" "Sema3b" 19.8880575866984 3.37585401426755 5.85365311612704 4.80891105309323e-09 1.48014671757787e-05 0.266666666666667 0.187943262411348 "Aurkb_RT" "non-targeting_RT"
"4" "Cdk1" 89.3367072796381 1.22244003320131 5.82224587059069 5.80620463892466e-09 1.48014671757787e-05 0.533333333333333 0.592198581560284 "Aurkb_RT" "non-targeting_RT"
"5" "Plekhn1" 8.63988854946596 3.6697456901166 5.64449110037144 1.6567055057799e-08 3.37868520848752e-05 0.333333333333333 0.0851063829787234 "Aurkb_RT" "non-targeting_RT"
"6" "Snhg3" 295.692198251728 -1.66166241228034 -5.52666434095093 3.26376532844469e-08 5.4725967218187e-05 0.733333333333333 0.936170212765957 "Aurkb_RT" "non-targeting_RT"
"7" "Tpm1" 161.648979388734 -1.21190764500309 -5.50191838861025 3.75680857631959e-08 5.4725967218187e-05 0.8 0.929078014184397 "Aurkb_RT" "non-targeting_RT"
"8" "Rps26" 1563.91100468436 0.605689674851246 5.45407158293418 4.92293691502242e-08 6.27489846531045e-05 0.933333333333333 0.99290780141844 "Aurkb_RT" "non-targeting_RT"
"9" "Tcirg1" 17.0140569781863 2.73143211477993 5.33200361101036 9.71350067582801e-08 0.000110053962657131 0.266666666666667 0.212765957446809 "Aurkb_RT" "non-targeting_RT"
"10" "Fam135b" 7.31751218736102 4.78914471315951 5.26683121498448 1.38798710597641e-07 0.000141533045196415 0.2 0.0354609929078014 "Aurkb_RT" "non-targeting_RT"
"11" "Ccl5" 718.836814271072 3.85689898239548 5.06645618026737 4.05289993485782e-07 0.00037570382396132 0.666666666666667 0.372340425531915 "Aurkb_RT" "non-targeting_RT"
"12" "Ncl" 127.632007586996 -1.46450531162584 -4.96830390971034 6.75410518966399e-07 0.000573930088491697 0.866666666666667 0.925531914893617 "Aurkb_RT" "non-targeting_RT"
"13" "Fbn2" 24.0828822890068 2.280379902285 4.91146336184412 9.03991805046993e-07 0.00070907726431263 0.266666666666667 0.273049645390071 "Aurkb_RT" "non-targeting_RT"
"14" "Oas3" 27.5816567860721 2.09880040246951 4.86222343198239 1.16074494664398e-06 0.000833010029258154 0.333333333333333 0.404255319148936 "Aurkb_RT" "non-targeting_RT"
"15" "Arl2" 41.8418753810117 1.42824761459671 4.85148979619296 1.22537515336592e-06 0.000833010029258154 0.6 0.599290780141844 "Aurkb_RT" "non-targeting_RT"
"16" "Set" 154.96001659484 -1.12097417545832 -4.83087640360309 1.35933371258521e-06 0.000853024842505194 0.666666666666667 0.946808510638298 "Aurkb_RT" "non-targeting_RT"
"17" "Adk" 35.2023852416802 1.57597278356151 4.82187840008629 1.4221263432959e-06 0.000853024842505194 0.533333333333333 0.563829787234043 "Aurkb_RT" "non-targeting_RT"
"18" "Cdkn3" 32.4540127042597 2.12042053469266 4.70562144678266 2.5309378002172e-06 0.00143377626382304 0.666666666666667 0.361702127659574 "Aurkb_RT" "non-targeting_RT"
"19" "Mybl1" 10.3610393651038 2.67110888263557 4.66860653856297 3.03249510822927e-06 0.00162749224308494 0.2 0.156028368794326 "Aurkb_RT" "non-targeting_RT"
"20" "Rpl13a" 399.168543277575 0.623159012755004 4.64158338282995 3.45749444153424e-06 0.0017619049064744 0.933333333333333 0.978723404255319 "Aurkb_RT" "non-targeting_RT"
"21" "Hnrnpab" 162.630519528119 -0.986527788565237 -4.63159932572885 3.62851848935592e-06 0.0017619049064744 0.733333333333333 0.946808510638298 "Aurkb_RT" "non-targeting_RT"
"22" "Rab2a" 88.3372867037177 -1.53825458703093 -4.61843196172991 3.86650714256794e-06 0.00179212606058024 0.6 0.911347517730496 "Aurkb_RT" "non-targeting_RT"
"23" "Npm1" 546.951751823818 -0.556732124370441 -4.59554273350828 4.31624319249117e-06 0.00191359703625358 0.866666666666667 0.982269503546099 "Aurkb_RT" "non-targeting_RT"
"24" "Eif4a1" 166.866024777117 0.882788511826145 4.55113413036324 5.33575176694743e-06 0.00226702753198179 0.733333333333333 0.907801418439716 "Aurkb_RT" "non-targeting_RT"
"25" "Zup1" 21.2256355304858 2.47214177803218 4.52616271047837 6.00643409503077e-06 0.00244990433868115 0.4 0.358156028368794 "Aurkb_RT" "non-targeting_RT"
"26" "Sppl2b" 24.4719240506562 2.57063269862659 4.44524696739732 8.77909558372763e-06 0.00337455261082877 0.533333333333333 0.343971631205674 "Aurkb_RT" "non-targeting_RT"
"27" "Phf11d" 18.8806229308176 1.94852458272371 4.44145490748359 8.93526728374784e-06 0.00337455261082877 0.266666666666667 0.216312056737589 "Aurkb_RT" "non-targeting_RT"
"28" "Parpbp" 21.69159754556 2.46585970128881 4.38054897440815 1.18380680873829e-05 0.00419364853349611 0.4 0.280141843971631 "Aurkb_RT" "non-targeting_RT"
"29" "AA467197" 81.0741291423675 1.17444057785407 4.3789248228766 1.19266262107862e-05 0.00419364853349611 0.533333333333333 0.687943262411348 "Aurkb_RT" "non-targeting_RT"
"30" "Oxct1" 43.4585893534437 1.27121438252529 4.34182881389874 1.41301611343256e-05 0.00480284176955727 0.6 0.641843971631206 "Aurkb_RT" "non-targeting_RT"
"31" "Zc3h15" 71.5325867881326 -1.69241130884531 -4.3235451445455 1.53541700918922e-05 0.0050505313686137 0.533333333333333 0.897163120567376 "Aurkb_RT" "non-targeting_RT"
"32" "Dnaja1" 159.265450286854 -1.03731437875519 -4.30002707178727 1.70777246301214e-05 0.00544192368916711 0.666666666666667 0.953900709219858 "Aurkb_RT" "non-targeting_RT"
"33" "Mlh1" 10.8409137825975 3.80797529149935 4.26345262778916 2.01292190827856e-05 0.00621992869658075 0.2 0.0957446808510638 "Aurkb_RT" "non-targeting_RT"
"34" "Zfhx2os" 6.95422322723349 4.13525777504744 4.2473353062234 2.16328078355998e-05 0.00631837300750779 0.133333333333333 0.049645390070922 "Aurkb_RT" "non-targeting_RT"
"35" "Pold1" 12.9621196289687 2.61835517381128 4.24677381074237 2.16870702425e-05 0.00631837300750779 0.466666666666667 0.173758865248227 "Aurkb_RT" "non-targeting_RT"
"36" "Eif3a" 88.8836762617181 -1.34203429408755 -4.23942634436741 2.24091704075924e-05 0.00634739751795056 0.666666666666667 0.911347517730496 "Aurkb_RT" "non-targeting_RT"
"37" "Gsdmd" 10.6642133945313 2.52303805686312 4.22589036144321 2.37997856002587e-05 0.00655909226394158 0.4 0.205673758865248 "Aurkb_RT" "non-targeting_RT"
"38" "Ldha" 122.357260908945 -1.11812521891591 -4.21971081048445 2.44615894423128e-05 0.00656407440903325 0.666666666666667 0.886524822695035 "Aurkb_RT" "non-targeting_RT"
"39" "Snx3" 112.491980735276 -1.10336293697259 -4.21317668038958 2.51803938933869e-05 0.00658370452643246 0.6 0.925531914893617 "Aurkb_RT" "non-targeting_RT"
"40" "Ywhaz" 139.765755906981 -0.954759220424247 -4.2018183717609 2.64779538037005e-05 0.00674989237340836 0.733333333333333 0.950354609929078 "Aurkb_RT" "non-targeting_RT"
"41" "Neil3" 6.05446180209231 3.79539920088526 4.18501485469103 2.8514745357451e-05 0.00709182581487629 0.133333333333333 0.0460992907801418 "Aurkb_RT" "non-targeting_RT"
"42" "Nek4" 9.09613642906526 2.89980465513912 4.16091106926557 3.16980510500835e-05 0.00769583396565956 0.2 0.134751773049645 "Aurkb_RT" "non-targeting_RT"
"43" "Hdgf" 125.284891634322 -0.986710581792422 -4.1342761196239 3.56075168243371e-05 0.00834434408755614 0.8 0.921985815602837 "Aurkb_RT" "non-targeting_RT"
"44" "Dock3" 6.66646919552514 4.09534580915579 4.13093777797707 3.61286370348724e-05 0.00834434408755614 0.2 0.0460992907801418 "Aurkb_RT" "non-targeting_RT"
"45" "Pif1" 8.05638725160804 3.74525387910027 4.12655302101768 3.6824113360795e-05 0.00834434408755614 0.133333333333333 0.0638297872340425 "Aurkb_RT" "non-targeting_RT"
"46" "F3" 43.5741080417306 -2.48348784387397 -4.10582904681413 4.02867353299703e-05 0.00874966989206562 0.266666666666667 0.652482269503546 "Aurkb_RT" "non-targeting_RT"
"47" "Ube2c" 223.676281183819 0.799521766881362 4.10558687560506 4.03289678265259e-05 0.00874966989206562 0.666666666666667 0.691489361702128 "Aurkb_RT" "non-targeting_RT"
"48" "Selenos" 82.6909195379553 -1.23372837834356 -4.08724567613338 4.36524790392434e-05 0.00927342351589927 0.6 0.911347517730496 "Aurkb_RT" "non-targeting_RT"
"49" "Mcm10" 12.1919766099795 2.21585363150666 4.05784638187979 4.95273272178749e-05 0.0103067378702178 0.266666666666667 0.198581560283688 "Aurkb_RT" "non-targeting_RT"
"50" "Padi2" 3.77496430951084 3.95920392943811 4.04775504402504 5.17112222281161e-05 0.010343731448457 0.133333333333333 0.0354609929078014 "Aurkb_RT" "non-targeting_RT"
"51" "Exd1" 4.7089264510636 4.15231363468077 4.04765251081089 5.17338730873108e-05 0.010343731448457 0.2 0.0425531914893617 "Aurkb_RT" "non-targeting_RT"
"52" "Iah1" 56.0034657589836 1.17611452893704 4.03982872219753 5.34902496372756e-05 0.0104892322221404 0.733333333333333 0.709219858156028 "Aurkb_RT" "non-targeting_RT"
"53" "Hspa5" 72.2378824838625 -1.56001094260467 -4.01868659968159 5.85234517091463e-05 0.0112319047651028 0.666666666666667 0.882978723404255 "Aurkb_RT" "non-targeting_RT"
"54" "Cers4" 18.519776914333 1.80287966592924 4.01339251615356 5.98522627785301e-05 0.0112319047651028 0.533333333333333 0.336879432624113 "Aurkb_RT" "non-targeting_RT"
"55" "Capg" 92.9770563034675 1.02918425296277 4.00716827018414 6.14510832660098e-05 0.0112319047651028 0.733333333333333 0.840425531914894 "Aurkb_RT" "non-targeting_RT"
"56" "Phkb" 12.0517976045459 2.21349743428677 4.0062762519629 6.16835017010646e-05 0.0112319047651028 0.266666666666667 0.26241134751773 "Aurkb_RT" "non-targeting_RT"
"57" "Col6a2" 14.5833454318576 2.02483698528429 3.99584200485327 6.4464717924127e-05 0.0115323987486372 0.266666666666667 0.283687943262411 "Aurkb_RT" "non-targeting_RT"
"58" "Gm17066" 4.9421959339719 3.33176119852556 3.96024593471912 7.48726140334816e-05 0.0131633800913692 0.2 0.0709219858156028 "Aurkb_RT" "non-targeting_RT"
"59" "Dnase2a" 13.4186436628682 2.06582687552166 3.95159536492709 7.76319241738431e-05 0.0134171649288251 0.266666666666667 0.26241134751773 "Aurkb_RT" "non-targeting_RT"
"60" "Hbegf" 68.9936816358355 -1.36303798502862 -3.94136917546943 8.10178192663806e-05 0.0137689783843214 0.4 0.826241134751773 "Aurkb_RT" "non-targeting_RT"
"61" "Cacybp" 89.9711143176907 -1.17475320845986 -3.92660987181898 8.61515476198537e-05 0.0143207368134596 0.533333333333333 0.886524822695035 "Aurkb_RT" "non-targeting_RT"
"62" "Rfx1" 8.20200027552155 3.40830194021247 3.92404841210216 8.70732256972144e-05 0.0143207368134596 0.266666666666667 0.099290780141844 "Aurkb_RT" "non-targeting_RT"
"63" "Nap1l1" 108.616947833667 -0.997405015028982 -3.90947033455585 9.24987133189847e-05 0.0149715774557728 0.6 0.918439716312057 "Aurkb_RT" "non-targeting_RT"
"64" "Cdv3" 61.8746153127618 -1.47085586862943 -3.90050928123282 9.59905458507275e-05 0.0151547735314068 0.466666666666667 0.851063829787234 "Aurkb_RT" "non-targeting_RT"
