"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Cenpa" 216.746585616733 -1.34964376419 -8.091900615803 5.87408313485104e-16 1.51786308204551e-12 0.466666666666667 0.684397163120567 "Brca2_RT" "non-targeting_RT"
"2" "Cited2" 264.446328871403 1.16359908662463 6.43365965547924 1.24567618344651e-10 1.60941362901289e-07 0.688888888888889 0.737588652482269 "Brca2_RT" "non-targeting_RT"
"3" "Dancr" 360.170823522543 1.24323556337588 5.51272624310688 3.53317570652442e-08 3.04324200855303e-05 0.733333333333333 0.790780141843972 "Brca2_RT" "non-targeting_RT"
"4" "Birc5" 147.273271537948 -1.22246339500521 -5.23692085665344 1.63277665216548e-07 0.00010547737172989 0.444444444444444 0.613475177304965 "Brca2_RT" "non-targeting_RT"
"5" "Vim" 1753.63939680596 -0.930006943287956 -5.11918712026236 3.06855388587422e-07 0.000158582864821979 1 0.985815602836879 "Brca2_RT" "non-targeting_RT"
"6" "Ifi27l2a" 1301.56600924857 -0.866017851309711 -5.06540925116626 4.07523883361976e-07 0.000175506952434558 0.933333333333333 0.971631205673759 "Brca2_RT" "non-targeting_RT"
"7" "Rab26os" 129.58143455087 1.52871822559539 5.03352887141446 4.81532254718134e-07 0.000177754192313094 0.488888888888889 0.460992907801418 "Brca2_RT" "non-targeting_RT"
"8" "Ablim3" 21.2053623757496 2.51158602951017 4.88374875199064 1.04087690594974e-06 NA 0.222222222222222 0.113475177304965 "Brca2_RT" "non-targeting_RT"
"9" "Cenpw" 218.85796329055 -0.831470280152274 -4.68618683146361 2.78342193341689e-06 0.000899045284493655 0.733333333333333 0.836879432624113 "Brca2_RT" "non-targeting_RT"
"10" "Cnih4" 213.028686764838 -0.689511880664194 -4.39171922224296 1.12457868068308e-05 0.00322879034542787 0.777777777777778 0.875886524822695 "Brca2_RT" "non-targeting_RT"
"11" "Gt(ROSA)26Sor" 124.251473359179 0.869721566462557 4.22865886072712 2.35088492043003e-05 0.00607468663439119 0.688888888888889 0.670212765957447 "Brca2_RT" "non-targeting_RT"
"12" "Ccdc9b" 12.8025524941483 2.03519042392393 4.11625501634025 3.85078224911691e-05 NA 0.288888888888889 0.141843971631206 "Brca2_RT" "non-targeting_RT"
"13" "Hmmr" 49.0018852756515 -1.36523143927065 -4.11469072640934 3.8769887960501e-05 0.00910739913544859 0.155555555555556 0.407801418439716 "Brca2_RT" "non-targeting_RT"
"14" "Snhg3" 1553.5257839028 0.965677753298902 4.07890233382192 4.52488399504535e-05 0.00974358353599765 0.911111111111111 0.936170212765957 "Brca2_RT" "non-targeting_RT"
"15" "Polr3h" 85.3247741846204 -0.940524267546309 -4.05366625726923 5.04211359879263e-05 0.0100221704148309 0.422222222222222 0.75177304964539 "Brca2_RT" "non-targeting_RT"
"16" "Hdhd5" 7.6434577349754 2.59552814081123 4.00932537919638 6.08924631147421e-05 NA 0.244444444444444 0.0602836879432624 "Brca2_RT" "non-targeting_RT"
"17" "Adgra3" 41.0320267894375 -1.50942239457902 -4.00861542409045 6.1075785109193e-05 NA 0.355555555555556 0.549645390070922 "Brca2_RT" "non-targeting_RT"
"18" "C130036L24Rik" 51.2955082137244 0.995469347881086 3.98880093573199 6.64081187591314e-05 0.012257041348114 0.533333333333333 0.460992907801418 "Brca2_RT" "non-targeting_RT"
"19" "Ybey" 34.9515862283235 1.19169417341871 3.95816658686411 7.55272760222078e-05 NA 0.466666666666667 0.400709219858156 "Brca2_RT" "non-targeting_RT"
"20" "Dnajb6" 213.602214609264 0.575768195053663 3.94412896793932 8.00905498230989e-05 0.0123685085694656 0.844444444444444 0.904255319148936 "Brca2_RT" "non-targeting_RT"
"21" "Mgst1" 91.8467253435511 0.896571673066491 3.94140750323566 8.10048722222874e-05 0.0123685085694656 0.444444444444444 0.436170212765957 "Brca2_RT" "non-targeting_RT"
"22" "Junb" 124.170579083868 0.885844160424681 3.94032360331463 8.1371766904379e-05 0.0123685085694656 0.6 0.670212765957447 "Brca2_RT" "non-targeting_RT"
"23" "Gm5617" 86.2499632809931 1.00866957713811 3.90693166373698 9.34755760658887e-05 0.0134189382530142 0.622222222222222 0.599290780141844 "Brca2_RT" "non-targeting_RT"
"24" "4932422M17Rik" 16.9616362287653 1.83181512113154 3.87441789308628 0.0001068798704095 NA 0.333333333333333 0.163120567375887 "Brca2_RT" "non-targeting_RT"
"25" "Phlda1" 409.989488690092 -0.589038655794834 -3.84379914418653 0.000121144168537786 0.0164756069211389 0.8 0.904255319148936 "Brca2_RT" "non-targeting_RT"
"26" "Rpl11" 1062.49833664402 -0.554796941440407 -3.81939619323928 0.000133778743194929 0.0172842136207848 0.933333333333333 0.978723404255319 "Brca2_RT" "non-targeting_RT"
"27" "Gm10138" 13.4992442313094 2.07120296188753 3.81668986586309 0.000135254003254918 NA 0.288888888888889 0.102836879432624 "Brca2_RT" "non-targeting_RT"
"28" "Gm43672" 8.75905127024144 2.37902210447467 3.77767332903107 0.00015830032948942 NA 0.133333333333333 0.0638297872340425 "Brca2_RT" "non-targeting_RT"
"29" "Gm13283" 18.0468145997051 1.63177416725283 3.76961824233108 0.00016349743710882 NA 0.311111111111111 0.195035460992908 "Brca2_RT" "non-targeting_RT"
"30" "Depdc1a" 18.9590144803159 -2.30500673491576 -3.76363699504703 0.000167459920299909 NA 0.111111111111111 0.326241134751773 "Brca2_RT" "non-targeting_RT"
"31" "Wdr93" 3.54603219975335 4.99468723687359 3.75626577883488 0.000172467532359421 NA 0.111111111111111 0.00709219858156028 "Brca2_RT" "non-targeting_RT"
