"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Rps15a" 1807.45219451159 -0.746610651345536 -6.20236032624282 5.56225442798229e-10 1.4004600310085e-06 1 0.982269503546099 "Chek1_RT" "non-targeting_RT"
"2" "Ly6a" 128.346411754203 -1.86920126233827 -6.13221819521912 8.6662130631714e-10 1.4004600310085e-06 0.288888888888889 0.453900709219858 "Chek1_RT" "non-targeting_RT"
"3" "Atp6v0b" 819.89386609334 0.667334955356851 5.8569461539502 4.71455899314151e-09 5.07915155527778e-06 0.955555555555556 0.975177304964539 "Chek1_RT" "non-targeting_RT"
"4" "Lgals1" 2804.76239500965 -0.742596945511027 -5.69377722422409 1.24259195449596e-08 1.00401429923273e-05 0.955555555555556 0.99645390070922 "Chek1_RT" "non-targeting_RT"
"5" "Hist1h4h" 29.6763861047455 2.40962055512056 5.62005581966153 1.90895771929324e-08 NA 0.377777777777778 0.187943262411348 "Chek1_RT" "non-targeting_RT"
"6" "Cops9" 659.721330323815 0.585733648710635 5.13332011903458 2.84675102257372e-07 0.000184013986099165 0.933333333333333 0.968085106382979 "Chek1_RT" "non-targeting_RT"
"7" "Rpl36a" 563.704551934038 -0.637065674426851 -4.80636236843216 1.53701206308126e-06 0.000729300443898008 0.866666666666667 0.897163120567376 "Chek1_RT" "non-targeting_RT"
"8" "2310039H08Rik" 117.265584225818 1.1185883545016 4.80089900071573 1.5795492287395e-06 0.000729300443898008 0.555555555555556 0.691489361702128 "Chek1_RT" "non-targeting_RT"
"9" "Usp18" 162.648087288646 0.776541249314166 4.76126122106985 1.92386832690988e-06 0.000777242804071593 0.8 0.808510638297872 "Chek1_RT" "non-targeting_RT"
"10" "Tesc" 53.6936585503075 -1.77405380997195 -4.48679404298233 7.23029067714382e-06 0.00259647771872542 0.288888888888889 0.535460992907801 "Chek1_RT" "non-targeting_RT"
"11" "Dut" 109.689019596203 -0.956668297498278 -4.41951730811065 9.8921599075855e-06 0.00319714608213163 0.577777777777778 0.723404255319149 "Chek1_RT" "non-targeting_RT"
"12" "Rps9" 1669.39296671091 -0.52954787007549 -4.26614433834912 1.98880138327022e-05 0.00560745287570776 0.977777777777778 0.99645390070922 "Chek1_RT" "non-targeting_RT"
"13" "Ptma" 1965.8382010069 -0.424554612360166 -4.25591316265321 2.08197507761427e-05 0.00560745287570776 1 0.982269503546099 "Chek1_RT" "non-targeting_RT"
"14" "Hist1h4j" 20.5695230889689 3.33730235934007 4.2527823609183 2.11130747957445e-05 NA 0.111111111111111 0.0957446808510638 "Chek1_RT" "non-targeting_RT"
"15" "Bsdc1" 29.5856414588426 1.55125056945523 4.24181380975272 2.21720599224069e-05 NA 0.488888888888889 0.333333333333333 "Chek1_RT" "non-targeting_RT"
"16" "Ly6c1" 59.5048716833569 -1.50685931596464 -4.20888006915439 2.56639554961091e-05 0.0060656803159724 0.177777777777778 0.219858156028369 "Chek1_RT" "non-targeting_RT"
"17" "Derl1" 201.561455736858 0.733871219426418 4.18034084838099 2.91072470923791e-05 0.0060656803159724 0.777777777777778 0.854609929078014 "Chek1_RT" "non-targeting_RT"
"18" "Ubc" 277.053857587056 0.786432754801957 4.17342434045824 3.00055334397273e-05 0.0060656803159724 0.888888888888889 0.882978723404255 "Chek1_RT" "non-targeting_RT"
"19" "S100a13" 141.876442715367 0.717934804475121 4.17325297721434 3.0028120376101e-05 0.0060656803159724 0.8 0.794326241134752 "Chek1_RT" "non-targeting_RT"
"20" "Hist1h2bc" 92.7260860603733 1.61667492937129 4.08040566628831 4.49571718287112e-05 0.0085471517264938 0.466666666666667 0.347517730496454 "Chek1_RT" "non-targeting_RT"
"21" "2300009A05Rik" 47.3567857601472 1.03095983834887 3.98942159587547 6.62346073285804e-05 0.0118927917158873 0.555555555555556 0.539007092198582 "Chek1_RT" "non-targeting_RT"
