"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Eif2s1" 146.640519416011 -1.43142512422147 -7.27669265633323 3.42103432662449e-13 6.01828358739781e-09 0.654320987654321 0.858156028368794 "Eif2s1_RT" "non-targeting_RT"
"2" "Gm12280" 16.5131096906157 20.7183753317381 5.29688351176548 1.17795787232631e-07 0.00103613174449822 0.0123456790123457 0 "Eif2s1_RT" "non-targeting_RT"
"3" "Ccl5" 274.585308461567 -0.971670594775275 -3.9717914314772 7.13341628767877e-05 0.418303531109483 0.37037037037037 0.372340425531915 "Eif2s1_RT" "non-targeting_RT"
"4" "Hist1h2ae" 191.163181631196 1.14160051897626 3.90055763420689 9.5971374614712e-05 0.422082105555503 0.641975308641975 0.414893617021277 "Eif2s1_RT" "non-targeting_RT"
"5" "Cth" 35.9255814389348 -1.46306244650372 -3.8113033665596 0.000138235993374414 0.486369519088539 0.259259259259259 0.336879432624113 "Eif2s1_RT" "non-targeting_RT"
"6" "Nol4l" 144.225685524286 -0.923210344336769 -3.70696562896388 0.000209757397683903 0.615008690009203 0.444444444444444 0.50354609929078 "Eif2s1_RT" "non-targeting_RT"
"7" "Fabp3" 37.5835207813044 -1.21928884252906 -3.51770462819811 0.000435296590906961 0.840875037262865 0.283950617283951 0.301418439716312 "Eif2s1_RT" "non-targeting_RT"
"8" "Gtpbp2" 23.0250891671917 -1.63427270099143 -3.49914350377751 0.000466755299648642 0.840875037262865 0.209876543209877 0.397163120567376 "Eif2s1_RT" "non-targeting_RT"
"9" "Hist1h2ap" 496.394855471939 0.695711494632575 3.48511557204155 0.000491924519807033 0.840875037262865 0.691358024691358 0.592198581560284 "Eif2s1_RT" "non-targeting_RT"
"10" "Rhox5" 10.9027482459083 2.34693563124873 3.46779015471059 0.000524756890758345 0.840875037262865 0.0864197530864197 0.0354609929078014 "Eif2s1_RT" "non-targeting_RT"
"11" "G0s2" 25.0495058815158 -1.87332399621796 -3.46726365478703 0.000525785891876507 0.840875037262865 0.148148148148148 0.230496453900709 "Eif2s1_RT" "non-targeting_RT"
"12" "Areg" 29.4556948827596 -1.98512031762498 -3.38151959803069 0.000720860905192991 0.999242660564455 0.111111111111111 0.141843971631206 "Eif2s1_RT" "non-targeting_RT"
"13" "Pycr1" 20.0413899956233 -1.65562430154735 -3.37211244663581 0.000745939865165239 0.999242660564455 0.185185185185185 0.301418439716312 "Eif2s1_RT" "non-targeting_RT"
"14" "5430416N02Rik" 120.205036913907 -0.758980314024337 -3.34186856613937 0.000832164549854358 0.999242660564455 0.62962962962963 0.624113475177305 "Eif2s1_RT" "non-targeting_RT"
"15" "Iah1" 118.653944834108 -0.668764122330142 -3.25141898763663 0.00114830495611223 0.999242660564455 0.703703703703704 0.709219858156028 "Eif2s1_RT" "non-targeting_RT"
"16" "Cox7b" 977.158705959845 0.366875090432958 3.20860116720923 0.00133382374605092 0.999242660564455 1 0.953900709219858 "Eif2s1_RT" "non-targeting_RT"
"17" "Ivns1abp" 56.8318153088422 0.82068916324807 3.20332997926814 0.00135848227376252 0.999242660564455 0.62962962962963 0.443262411347518 "Eif2s1_RT" "non-targeting_RT"
"18" "Rps12" 9822.03476744018 0.365269700391541 3.16334796233965 0.00155965793003099 0.999242660564455 1 0.98936170212766 "Eif2s1_RT" "non-targeting_RT"
"19" "Cnih4" 520.189083689491 0.41450233297644 3.1551074157492 0.00160439024706022 0.999242660564455 0.91358024691358 0.875886524822695 "Eif2s1_RT" "non-targeting_RT"
"20" "Rspo3" 14.6352177068718 -3.1984847009219 -3.14280183250266 0.00167339087805855 0.999242660564455 0.0617283950617284 0.0815602836879433 "Eif2s1_RT" "non-targeting_RT"
"21" "Slc25a5" 199.516359976525 0.538503013238527 3.08295017865723 0.00204959465561969 0.999242660564455 0.802469135802469 0.723404255319149 "Eif2s1_RT" "non-targeting_RT"
"22" "Npm1" 2927.66730410702 0.3262324666767 3.0565913535213 0.00223869250860995 0.999242660564455 0.962962962962963 0.982269503546099 "Eif2s1_RT" "non-targeting_RT"
"23" "Gem" 6.70930255201645 -4.37111393330827 -3.05161124768996 0.00227616684354143 0.999242660564455 0.0123456790123457 0.0283687943262411 "Eif2s1_RT" "non-targeting_RT"
"24" "Cxcl2" 6.24189098029146 -4.28613998018636 -3.03963079456432 0.00236868326259021 0.999242660564455 0.0123456790123457 0.0390070921985816 "Eif2s1_RT" "non-targeting_RT"
"25" "Ifi211" 160.768359031111 0.54299896236206 3.01836704567341 0.00254140889419932 0.999242660564455 0.765432098765432 0.609929078014184 "Eif2s1_RT" "non-targeting_RT"
"26" "Matr3" 117.720351616757 0.606499369646895 2.99000684654865 0.002789711940864 0.999242660564455 0.802469135802469 0.687943262411348 "Eif2s1_RT" "non-targeting_RT"
"27" "Tpt1" 4988.49721439553 0.308089167254422 2.96063897877294 0.00307001574104896 0.999242660564455 1 1 "Eif2s1_RT" "non-targeting_RT"
"28" "Mtdh" 918.983123047154 0.380444810886559 2.93834004915839 0.00329974877660269 0.999242660564455 0.925925925925926 0.911347517730496 "Eif2s1_RT" "non-targeting_RT"
"29" "Tuba1b" 653.631633191181 0.458381436596872 2.9149677989463 0.00355725243911179 0.999242660564455 0.888888888888889 0.858156028368794 "Eif2s1_RT" "non-targeting_RT"
"30" "Snhg12" 318.014023152185 -0.599756905028516 -2.89783528070668 0.00375747876513883 0.999242660564455 0.814814814814815 0.840425531914894 "Eif2s1_RT" "non-targeting_RT"
"31" "Rpl4" 709.827055260386 0.391724025832797 2.8954102998603 0.00378663234077231 0.999242660564455 0.950617283950617 0.929078014184397 "Eif2s1_RT" "non-targeting_RT"
"32" "Ddit4l" 7.40667061803749 -3.62253154850523 -2.88703530933909 0.00388890585397669 0.999242660564455 0.0246913580246914 0.0673758865248227 "Eif2s1_RT" "non-targeting_RT"
"33" "Eif5" 566.268053186471 0.354172288977575 2.872377001399 0.00407396633821948 0.999242660564455 0.925925925925926 0.882978723404255 "Eif2s1_RT" "non-targeting_RT"
"34" "Junb" 181.473546029955 0.540569279209856 2.86560871368379 0.00416208337134378 0.999242660564455 0.790123456790123 0.670212765957447 "Eif2s1_RT" "non-targeting_RT"
"35" "Tma16" 123.732313734004 0.592764085657793 2.85111644628018 0.00435660115226114 0.999242660564455 0.765432098765432 0.648936170212766 "Eif2s1_RT" "non-targeting_RT"
"36" "Pdcd4" 104.405353676688 -0.61685890363544 -2.82282535925702 0.00476024939909363 0.999242660564455 0.691358024691358 0.712765957446808 "Eif2s1_RT" "non-targeting_RT"
"37" "Ube2d3" 534.423968126969 0.40324835672228 2.81589183811121 0.00486420398992745 0.999242660564455 0.925925925925926 0.925531914893617 "Eif2s1_RT" "non-targeting_RT"
"38" "4930455G09Rik" 5.74955897794192 2.49091181477237 2.80997641535407 0.00495451304844353 0.999242660564455 0.0987654320987654 0.0319148936170213 "Eif2s1_RT" "non-targeting_RT"
"39" "Hist2h3c1" 2.45145481532815 4.50209243394642 2.78629143710702 0.00533149142697586 0.999242660564455 0.0740740740740741 0.00354609929078014 "Eif2s1_RT" "non-targeting_RT"
"40" "Tbl1x" 174.343448497124 0.518723891424375 2.78242707498869 0.0053953989140089 0.999242660564455 0.777777777777778 0.75177304964539 "Eif2s1_RT" "non-targeting_RT"
