"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "S100a6" 11482.9074695392 0.955592120776877 5.16342492938244 2.42471850132346e-07 0.000469667973706354 1 0.99645390070922 "Ercc4_RT" "non-targeting_RT"
"2" "Gng11" 361.666303768993 0.733217106795162 4.64696984325332 3.36846386044786e-06 0.00228821946814749 0.805970149253731 0.843971631205674 "Ercc4_RT" "non-targeting_RT"
"3" "Rgcc" 81.8442862702106 -1.10368591309714 -4.6364777013638 3.5439640704401e-06 0.00228821946814749 0.343283582089552 0.517730496453901 "Ercc4_RT" "non-targeting_RT"
"4" "Egr1" 93.8695534751584 1.67613770071407 4.35766691195223 1.31456240473556e-05 0.00479321537663907 0.343283582089552 0.407801418439716 "Ercc4_RT" "non-targeting_RT"
"5" "Hsp90b1" 548.39770407599 -0.586705668042969 -4.3493778428122 1.36524307797964e-05 0.00479321537663907 0.91044776119403 0.929078014184397 "Ercc4_RT" "non-targeting_RT"
"6" "Fos" 154.790721401684 0.807409862822611 4.33094113658498 1.48473372533993e-05 0.00479321537663907 0.537313432835821 0.648936170212766 "Ercc4_RT" "non-targeting_RT"
"7" "Ifit2" 57.7023200866313 -1.20684180699047 -4.23648494087347 2.27046140653877e-05 NA 0.343283582089552 0.397163120567376 "Ercc4_RT" "non-targeting_RT"
"8" "Nupr1" 704.874592398576 0.603776990205646 4.07464500437133 4.60845914347087e-05 0.0127522648012901 0.850746268656716 0.769503546099291 "Ercc4_RT" "non-targeting_RT"
"9" "Rps15a" 2707.82419465315 -0.283133321940643 -4.01529548681064 5.93713630548199e-05 0.0143752912796483 1 0.982269503546099 "Ercc4_RT" "non-targeting_RT"
"10" "Arpc1b" 871.114678277175 -0.364104642918642 -3.80594540045532 0.000141263546302439 0.0304030543542028 0.940298507462687 0.950354609929078 "Ercc4_RT" "non-targeting_RT"
"11" "A930029G22Rik" 20.9761976356136 1.48341031138141 3.76577506021841 0.000166033223285159 NA 0.298507462686567 0.180851063829787 "Ercc4_RT" "non-targeting_RT"
"12" "Mrps6" 603.328435945916 0.437188920266662 3.73901867777273 0.000184740002316673 0.0357841384487395 0.805970149253731 0.893617021276596 "Ercc4_RT" "non-targeting_RT"
"13" "Basp1" 51.4837617332175 1.0893642114422 3.62645117006966 0.000287343125961424 NA 0.328358208955224 0.280141843971631 "Ercc4_RT" "non-targeting_RT"
"14" "Lbhd2" 15.2680495756995 2.06100553018441 3.61796565709396 0.000296927784458968 NA 0.17910447761194 0.0921985815602837 "Ercc4_RT" "non-targeting_RT"
"15" "Chl1" 187.430584270674 -0.554903527133229 -3.59789976758733 0.000320797192189358 0.0564894692064352 0.686567164179104 0.762411347517731 "Ercc4_RT" "non-targeting_RT"
"16" "Nfkbia" 247.804327116799 0.974289395399869 3.54033379953237 0.000399621245966017 0.0645055294530145 0.716417910447761 0.734042553191489 "Ercc4_RT" "non-targeting_RT"
"17" "Fosl2" 26.8292010611056 1.24355766047114 3.53039198475736 0.00041494440687543 NA 0.313432835820896 0.269503546099291 "Ercc4_RT" "non-targeting_RT"
"18" "Gm26737" 8.49767020484689 3.32880214749856 3.48590359797827 0.00049047772387967 NA 0.0746268656716418 0.024822695035461 "Ercc4_RT" "non-targeting_RT"
"19" "Gm26885" 6.50709245819462 -4.95608861680872 -3.43211798476194 0.000598886953531296 NA 0 0.0425531914893617 "Ercc4_RT" "non-targeting_RT"
"20" "Junb" 177.355336840531 1.16424195075937 3.40591171997608 0.00065943498755433 0.0949065875156952 0.537313432835821 0.670212765957447 "Ercc4_RT" "non-targeting_RT"
"21" "Cystm1" 237.524488102009 0.444040170470337 3.38207988958839 0.000719392199815362 0.0949065875156952 0.761194029850746 0.843971631205674 "Ercc4_RT" "non-targeting_RT"
