"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Nol4l" 96.1734142009287 -1.40680100162854 -4.4332796798704 9.28103443040956e-06 0.161981893913938 0.46551724137931 0.50354609929078 "Fanca_RT" "non-targeting_RT"
"2" "Lxn" 39.1064255279619 -1.60554110157781 -4.28145609289856 1.85674361983536e-05 0.162028731984933 0.310344827586207 0.471631205673759 "Fanca_RT" "non-targeting_RT"
"3" "Ccn1" 43.5908814167054 -1.36102664346943 -3.9965397262828 6.42750995608303e-05 0.373931104211724 0.310344827586207 0.315602836879433 "Fanca_RT" "non-targeting_RT"
"4" "Myo10" 38.0058714319444 1.12614528040287 3.86422407374102 0.000111442885334098 0.486253169434001 0.396551724137931 0.382978723404255 "Fanca_RT" "non-targeting_RT"
"5" "Eif5" 436.018383400957 0.465575189458892 3.77112932601541 0.000162510419093723 0.567258868888548 0.96551724137931 0.882978723404255 "Fanca_RT" "non-targeting_RT"
"6" "Retn" 7.74396072577994 4.42043513565352 3.55388136367069 0.000379590404473384 0.999868981696797 0.0517241379310345 0.0141843971631206 "Fanca_RT" "non-targeting_RT"
"7" "Gm42418" 366.331048740591 0.930852290350899 3.53106033820448 0.000413897319487849 0.999868981696797 0.896551724137931 0.886524822695035 "Fanca_RT" "non-targeting_RT"
"8" "Plk4" 102.316005031132 -0.99928130782952 -3.47932696100697 0.000502674881046936 0.999868981696797 0.603448275862069 0.531914893617021 "Fanca_RT" "non-targeting_RT"
"9" "Psph" 125.431647273799 -0.635558320316777 -3.35722047152923 0.000787303064805149 0.999868981696797 0.655172413793103 0.734042553191489 "Fanca_RT" "non-targeting_RT"
"10" "Lcn2" 94.0294664880807 -5.70989696613711 -3.32312328180536 0.00089015564993834 0.999868981696797 0.0172413793103448 0.0638297872340425 "Fanca_RT" "non-targeting_RT"
"11" "Cryba4" 3.00390263543202 5.30576510565022 3.31887309174887 0.00090381495115929 0.999868981696797 0.0689655172413793 0.00354609929078014 "Fanca_RT" "non-targeting_RT"
"12" "Cox6a2" 80.2878966205177 -0.951281944318709 -3.28746916682474 0.0010109225857704 0.999868981696797 0.327586206896552 0.436170212765957 "Fanca_RT" "non-targeting_RT"
"13" "Slc7a11" 20.620831570139 -1.67966682293444 -3.2448763281529 0.00117501642683943 0.999868981696797 0.137931034482759 0.24822695035461 "Fanca_RT" "non-targeting_RT"
"14" "Spire1" 12.9867710064307 -2.23293820515877 -3.23876825312607 0.00120047072200355 0.999868981696797 0.0862068965517241 0.333333333333333 "Fanca_RT" "non-targeting_RT"
"15" "Atp1b2" 9.92249003828134 2.56057251366688 3.16224231264159 0.00156559230059967 0.999868981696797 0.103448275862069 0.0602836879432624 "Fanca_RT" "non-targeting_RT"
"16" "Magoh" 255.411168326686 0.465600604200207 3.15386774659573 0.00161122085091567 0.999868981696797 0.775862068965517 0.882978723404255 "Fanca_RT" "non-targeting_RT"
"17" "Tulp2" 11.6489523887914 -2.33023846338897 -3.13460245214526 0.0017208715032595 0.999868981696797 0.0862068965517241 0.287234042553192 "Fanca_RT" "non-targeting_RT"
"18" "Mrpl53" 126.392991319352 -0.649129154696875 -3.12328563105765 0.00178844093150601 0.999868981696797 0.741379310344828 0.829787234042553 "Fanca_RT" "non-targeting_RT"
"19" "S100b" 372.568722506867 0.587380702847946 3.06504348512486 0.0021763835091317 0.999868981696797 0.810344827586207 0.840425531914894 "Fanca_RT" "non-targeting_RT"
"20" "Stmn4" 7.42853895909938 -4.09117458444409 -3.05788039346075 0.00222908527208258 0.999868981696797 0.0172413793103448 0.074468085106383 "Fanca_RT" "non-targeting_RT"
"21" "Psmd13" 87.0450700530409 0.644878824106923 3.05563388805791 0.00224585305608667 0.999868981696797 0.672413793103448 0.617021276595745 "Fanca_RT" "non-targeting_RT"
"22" "Brd2" 196.233910401118 0.45873766352538 3.02356077931822 0.0024981884162257 0.999868981696797 0.844827586206897 0.812056737588652 "Fanca_RT" "non-targeting_RT"
"23" "Rhox7a" 5.30451015905953 3.29719761077973 3.01168640672782 0.00259800835875284 0.999868981696797 0.0689655172413793 0.0177304964539007 "Fanca_RT" "non-targeting_RT"
"24" "Klk10" 5.46666789544324 2.331227079229 3.00339053045392 0.00266989581104368 0.999868981696797 0.172413793103448 0.0425531914893617 "Fanca_RT" "non-targeting_RT"
"25" "Peg3" 39.913481105076 1.0287129304065 2.99426941481294 0.00275102908472026 0.999868981696797 0.5 0.301418439716312 "Fanca_RT" "non-targeting_RT"
"26" "Gm12976" 38.3148714471825 1.22809645394873 2.95535187165223 0.00312312629810303 0.999868981696797 0.275862068965517 0.212765957446809 "Fanca_RT" "non-targeting_RT"
"27" "Lamc1" 21.6353105653274 1.16456536566571 2.94498233063336 0.00322973106606625 0.999868981696797 0.396551724137931 0.24113475177305 "Fanca_RT" "non-targeting_RT"
"28" "Yae1d1" 111.145127973948 -0.74577973924071 -2.91717900993876 0.00353212994233106 0.999868981696797 0.620689655172414 0.709219858156028 "Fanca_RT" "non-targeting_RT"
"29" "Prm2" 1.76197777256536 5.55070128774032 2.91647634901953 0.00354009561495641 0.999868981696797 0.0344827586206897 0 "Fanca_RT" "non-targeting_RT"
"30" "Ubash3a" 11.0813696221552 -3.10330534102477 -2.91366736254198 0.00357210304815449 0.999868981696797 0.0517241379310345 0.120567375886525 "Fanca_RT" "non-targeting_RT"
"31" "Lztfl1" 51.3945648052912 0.717929100746653 2.86042748013434 0.00423070301398577 0.999868981696797 0.637931034482759 0.542553191489362 "Fanca_RT" "non-targeting_RT"
"32" "Csta2" 45.535625087265 -0.885912604639528 -2.84875087147036 0.00438912344218062 0.999868981696797 0.344827586206897 0.524822695035461 "Fanca_RT" "non-targeting_RT"
"33" "Spink2" 4.7672023451509 -4.48311436944742 -2.83594224402947 0.00456907079101994 0.999868981696797 0 0.0921985815602837 "Fanca_RT" "non-targeting_RT"
"34" "Cenpe" 34.3040389074117 -1.24444252833375 -2.8278068075894 0.00468680810709622 0.999868981696797 0.293103448275862 0.329787234042553 "Fanca_RT" "non-targeting_RT"
"35" "Tmem29" 42.1317561766036 -0.896902216762552 -2.82472726927563 0.00473208757528623 0.999868981696797 0.379310344827586 0.560283687943262 "Fanca_RT" "non-targeting_RT"
"36" "Ptgds" 13.8519508866489 2.62495803884737 2.79816375265587 0.00513940495678056 0.999868981696797 0.120689655172414 0.0638297872340425 "Fanca_RT" "non-targeting_RT"
"37" "Rnh1" 167.689653614037 0.441350740551879 2.79790136895125 0.00514358166535976 0.999868981696797 0.689655172413793 0.787234042553192 "Fanca_RT" "non-targeting_RT"
"38" "Cdh6" 42.2263604766903 -0.867327325665874 -2.7862496226872 0.00533217926504514 0.999868981696797 0.362068965517241 0.471631205673759 "Fanca_RT" "non-targeting_RT"
"39" "Rilpl2" 12.1104507770859 -1.81260419404414 -2.7860584629991 0.00533532482092383 0.999868981696797 0.103448275862069 0.315602836879433 "Fanca_RT" "non-targeting_RT"
"40" "Rpl15" 2443.72284810661 -0.263332326659072 -2.78483313811068 0.00535552752012116 0.999868981696797 1 0.985815602836879 "Fanca_RT" "non-targeting_RT"
"41" "Gpalpp1" 26.3379551582977 1.20902298679389 2.77679413522091 0.00548979378397166 0.999868981696797 0.362068965517241 0.273049645390071 "Fanca_RT" "non-targeting_RT"
"42" "Ifi27" 149.864140125341 0.682288621268837 2.77612528818707 0.0055011005339666 0.999868981696797 0.655172413793103 0.670212765957447 "Fanca_RT" "non-targeting_RT"
"43" "Gm47223" 4.82208804640227 -4.50196088795884 -2.77583756814646 0.00550597085644311 0.999868981696797 0 0.0354609929078014 "Fanca_RT" "non-targeting_RT"
"44" "Gng5" 1287.12461318358 -0.431338384892094 -2.7686913151715 0.00562819312306136 0.999868981696797 0.913793103448276 0.975177304964539 "Fanca_RT" "non-targeting_RT"
"45" "Col6a2" 12.0780607951599 -1.8337448896728 -2.76152889268503 0.0057531425971422 0.999868981696797 0.120689655172414 0.283687943262411 "Fanca_RT" "non-targeting_RT"
"46" "Slc6a13" 5.81359913302915 2.81666635375272 2.75671981378262 0.0058384355870681 0.999868981696797 0.103448275862069 0.0283687943262411 "Fanca_RT" "non-targeting_RT"
"47" "Sept11" 71.4764034031634 -0.69090049356136 -2.74985735228558 0.00596212133083817 0.999868981696797 0.568965517241379 0.670212765957447 "Fanca_RT" "non-targeting_RT"
"48" "Fam89a" 61.4116295496691 0.697008856751124 2.74669980258501 0.00601982065119958 0.999868981696797 0.517241379310345 0.446808510638298 "Fanca_RT" "non-targeting_RT"
"49" "Zfp607a" 17.2290263221191 1.7897934686301 2.72711162035776 0.00638914220739333 0.999868981696797 0.172413793103448 0.134751773049645 "Fanca_RT" "non-targeting_RT"
"50" "Sat1" 1310.98412904807 -0.627632595148721 -2.72521383738288 0.00642598535431095 0.999868981696797 0.931034482758621 0.946808510638298 "Fanca_RT" "non-targeting_RT"
"51" "Sult5a1" 7.430160706888 2.51319654695566 2.7125387554986 0.00667699730946977 0.999868981696797 0.0689655172413793 0.0460992907801418 "Fanca_RT" "non-targeting_RT"
"52" "Cth" 27.414974709616 -1.29588288847583 -2.71210528452676 0.00668573536913428 0.999868981696797 0.206896551724138 0.336879432624113 "Fanca_RT" "non-targeting_RT"
"53" "Cbr3" 9.90171251448295 1.69935577878168 2.65846354131262 0.00784978433448623 0.999868981696797 0.137931034482759 0.0886524822695035 "Fanca_RT" "non-targeting_RT"
"54" "Atf5" 57.3109889503894 -0.894899403367429 -2.6551043334186 0.00792838825129303 0.999868981696797 0.46551724137931 0.588652482269504 "Fanca_RT" "non-targeting_RT"
"55" "Olr1" 12.6899789106024 3.07094676491721 2.6550361295409 0.00792999146647638 0.999868981696797 0.0344827586206897 0.0638297872340425 "Fanca_RT" "non-targeting_RT"
"56" "Hist1h3c" 24.9022873921313 1.60919822330738 2.64453874622585 0.00818023406913486 0.999868981696797 0.241379310344828 0.170212765957447 "Fanca_RT" "non-targeting_RT"
"57" "Gm10800" 4.43712466853819 2.9368277325946 2.63858118020207 0.00832537645897113 0.999868981696797 0.0862068965517241 0.024822695035461 "Fanca_RT" "non-targeting_RT"
"58" "Gm12940" 9.90773035761959 1.44884502740144 2.62973574774899 0.00854512614310606 0.999868981696797 0.206896551724138 0.117021276595745 "Fanca_RT" "non-targeting_RT"
"59" "Pcna" 102.691069724293 0.509781273608622 2.62279254556928 0.00872123585523519 0.999868981696797 0.706896551724138 0.613475177304965 "Fanca_RT" "non-targeting_RT"
"60" "Ccl20" 4.94458410682134 -3.43369306401443 -2.60924002762152 0.00907435672175616 0.999868981696797 0.0172413793103448 0.0390070921985816 "Fanca_RT" "non-targeting_RT"
"61" "Plpp7" 2.67019159149394 -3.64768582299878 -2.60584988486969 0.00916466177181957 0.999868981696797 0 0.120567375886525 "Fanca_RT" "non-targeting_RT"
"62" "Siah2" 30.3357877548607 -1.00593718771784 -2.59847128109633 0.00936398775652332 0.999868981696797 0.310344827586207 0.51063829787234 "Fanca_RT" "non-targeting_RT"
