"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Col6a1" 153.054043796146 -1.49310539136651 -5.66946110813403 1.43247361997493e-08 0.000124954673870414 0.422222222222222 0.807775377969762 "Fanca_noRT" "non-targeting_noRT"
"2" "Cisd1" 504.136543944979 -0.438028917526243 -4.9693044252192 6.71935054456128e-07 0.00223851080284993 0.966666666666667 0.976241900647948 "Fanca_noRT" "non-targeting_noRT"
"3" "Mt1" 2066.08298024088 0.558921141011536 4.9428556168679 7.69865001553339e-07 0.00223851080284993 1 0.991360691144708 "Fanca_noRT" "non-targeting_noRT"
"4" "Cd9" 1157.0645205421 -0.418680253836161 -4.56207231638413 5.06511942534326e-06 0.00931775609911621 0.966666666666667 1 "Fanca_noRT" "non-targeting_noRT"
"5" "Gas7" 108.576402657361 -1.08035698508497 -4.54131533351928 5.59043413379691e-06 0.00931775609911621 0.533333333333333 0.742980561555076 "Fanca_noRT" "non-targeting_noRT"
"6" "Neat1" 783.651302755415 -0.514885855775755 -4.51242384198706 6.4090951042872e-06 0.00931775609911621 0.888888888888889 0.939524838012959 "Fanca_noRT" "non-targeting_noRT"
"7" "Ly6e" 123.543729264216 0.716035922221818 4.40796324665163 1.04347246392618e-05 0.0130031575754686 0.622222222222222 0.550755939524838 "Fanca_noRT" "non-targeting_noRT"
"8" "Ivns1abp" 70.7023772422814 0.905870375404055 4.26739862254094 1.97765593874378e-05 0.0215638659420775 0.677777777777778 0.451403887688985 "Fanca_noRT" "non-targeting_noRT"
"9" "Abca7" 22.5364677150767 1.42871775217485 4.03803730495111 5.3900282936158e-05 0.0522413520057896 0.288888888888889 0.123110151187905 "Fanca_noRT" "non-targeting_noRT"
"10" "Hist1h2ae" 192.228031841215 -0.745878902035874 -3.9072268525237 9.33614909363404e-05 0.0810757278811602 0.466666666666667 0.561555075593952 "Fanca_noRT" "non-targeting_noRT"
"11" "Id2" 705.049397475408 -0.399769727003918 -3.88521527318572 0.000102239253317983 0.0810757278811602 0.888888888888889 0.930885529157667 "Fanca_noRT" "non-targeting_noRT"
"12" "Tmsb4x" 69.7549078731273 1.02845700826098 3.85196322445417 0.000117174623291525 0.085176186580998 0.3 0.244060475161987 "Fanca_noRT" "non-targeting_noRT"
"13" "Fgfr3" 208.767780954161 -0.621761562114319 -3.79536614551277 0.000147425719297438 0.0989226576485811 0.744444444444444 0.827213822894168 "Fanca_noRT" "non-targeting_noRT"
"14" "Hist1h1e" 148.440182564844 -0.590242636231817 -3.73058489419027 0.000191035757378757 0.119028922258207 0.577777777777778 0.602591792656587 "Fanca_noRT" "non-targeting_noRT"
"15" "Eif4ebp1" 697.52186217138 0.355204794757954 3.58334190704938 0.000339226109650006 0.197271290298467 0.955555555555556 0.961123110151188 "Fanca_noRT" "non-targeting_noRT"
"16" "Nrp2" 263.79333849622 -0.471858745676911 -3.52673265645079 0.000420721345529797 0.229372018566026 0.822222222222222 0.885529157667387 "Fanca_noRT" "non-targeting_noRT"
"17" "Rhod" 36.5560381315425 -1.11042016282616 -3.43359139011183 0.000595641368776965 0.305634097637733 0.3 0.464362850971922 "Fanca_noRT" "non-targeting_noRT"
"18" "Fn3krp" 9.04635929226422 1.97636194251932 3.42030915328961 0.000625500072625974 NA 0.188888888888889 0.0518358531317495 "Fanca_noRT" "non-targeting_noRT"
"19" "Col6a2" 35.4909462655121 -1.17375026230119 -3.40147455548469 0.000670233675781285 0.324802686324453 0.211111111111111 0.449244060475162 "Fanca_noRT" "non-targeting_noRT"
"20" "Gpx8" 114.627114171728 0.540698794822796 3.30983551870125 0.000933508100195046 0.428578482000073 0.744444444444444 0.68682505399568 "Fanca_noRT" "non-targeting_noRT"
"21" "Pmepa1" 338.556923451561 0.391150848047561 3.25760232464845 0.00112357741872653 0.47763515609118 0.833333333333333 0.812095032397408 "Fanca_noRT" "non-targeting_noRT"
"22" "Aak1" 156.366570502555 -0.513682549898456 -3.24630706890815 0.00116912661339711 0.47763515609118 0.677777777777778 0.831533477321814 "Fanca_noRT" "non-targeting_noRT"
"23" "Cthrc1" 160.892530852674 -0.497540257835625 -3.23778195585241 0.00120462838862845 0.47763515609118 0.555555555555556 0.691144708423326 "Fanca_noRT" "non-targeting_noRT"
"24" "Ncs1" 27.5555337973821 1.19163482710378 3.19886723221589 0.00137968691248563 0.523261258157051 0.388888888888889 0.215982721382289 "Fanca_noRT" "non-targeting_noRT"
"25" "Id1" 855.56957679201 -0.300767703465807 -3.14870069597618 0.00163998068561627 0.556409171091899 0.933333333333333 0.954643628509719 "Fanca_noRT" "non-targeting_noRT"
"26" "Tars" 275.957746863552 0.432333097211423 3.14186301550989 0.00167876557938938 0.556409171091899 0.866666666666667 0.868250539956803 "Fanca_noRT" "non-targeting_noRT"
"27" "Bud31" 218.8552684856 0.391124379688725 3.13780966131947 0.00170215370890849 0.556409171091899 0.9 0.874730021598272 "Fanca_noRT" "non-targeting_noRT"
"28" "Col18a1" 29.5158997872989 1.14905124335286 3.13437024047574 0.00172223405015262 0.556409171091899 0.444444444444444 0.211663066954644 "Fanca_noRT" "non-targeting_noRT"
