"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Col2a1" 441.135857440935 -1.88846452635148 -9.35819792386277 8.11081988369824e-21 4.85270353641666e-17 0.485714285714286 0.846652267818574 "Lmo7_noRT" "non-targeting_noRT"
"2" "Cd63" 2485.32791027794 0.471120865334391 8.84432522822254 9.20830525682066e-19 2.7546645175779e-15 1 1 "Lmo7_noRT" "non-targeting_noRT"
"3" "Col18a1" 55.4811675605158 2.19155446737927 8.72417344961414 2.68131855307855e-18 5.34744296768966e-15 0.580952380952381 0.211663066954644 "Lmo7_noRT" "non-targeting_noRT"
"4" "Bccip" 180.787488518053 -1.29812147252232 -7.78482997076781 6.98070233571437e-15 1.04413855186448e-11 0.523809523809524 0.879049676025918 "Lmo7_noRT" "non-targeting_noRT"
"5" "mt-Nd1" 5883.90442410682 -0.38970011493478 -7.36471879506967 1.77520673572851e-13 1.83733319871491e-10 1 0.995680345572354 "Lmo7_noRT" "non-targeting_noRT"
"6" "Mbp" 543.242451633193 -0.82531747625629 -7.35974970949316 1.84255376772346e-13 1.83733319871491e-10 0.895238095238095 0.948164146868251 "Lmo7_noRT" "non-targeting_noRT"
"7" "Tmsb4x" 88.4050466654284 1.33445126070658 6.60873805464526 3.87609858985895e-11 3.31295683758945e-08 0.428571428571429 0.244060475161987 "Lmo7_noRT" "non-targeting_noRT"
"8" "Txnip" 35.7000790515649 3.75295075458873 6.1905851303979 5.99412837295395e-10 4.48285875692294e-07 0.142857142857143 0.0431965442764579 "Lmo7_noRT" "non-targeting_noRT"
"9" "Jun" 220.390507541585 0.761334953797497 6.067985575046 1.29524535603429e-09 8.6105032946146e-07 0.771428571428571 0.697624190064795 "Lmo7_noRT" "non-targeting_noRT"
"10" "Ly6a" 51.1989052245873 2.36002716415059 5.94193986418607 2.81668756836108e-09 1.68522417215044e-06 0.304761904761905 0.105831533477322 "Lmo7_noRT" "non-targeting_noRT"
"11" "Timp1" 418.750001950285 0.67722682749457 5.73464907953744 9.77144451406057e-09 5.31477750251131e-06 0.914285714285714 0.881209503239741 "Lmo7_noRT" "non-targeting_noRT"
"12" "Ctsl" 379.897680234304 0.722672259690305 5.58826691300595 2.29346947366222e-08 1.14348565507675e-05 0.914285714285714 0.857451403887689 "Lmo7_noRT" "non-targeting_noRT"
"13" "Wbp1l" 37.0264470615043 -2.12210170480489 -5.4423859326401 5.25716241187938e-08 2.41950790079033e-05 0.142857142857143 0.531317494600432 "Lmo7_noRT" "non-targeting_noRT"
"14" "Esd" 384.154946236527 0.652616828830967 5.40562562131878 6.45825676521782e-08 2.7599821590213e-05 0.933333333333333 0.907127429805616 "Lmo7_noRT" "non-targeting_noRT"
"15" "Gxylt2" 60.0274486491433 -1.55242991430388 -5.35489434007055 8.56064267669432e-08 3.41455500897747e-05 0.228571428571429 0.526997840172786 "Lmo7_noRT" "non-targeting_noRT"
"16" "Smarcad1" 186.436162489973 0.666266395638585 4.88463782078879 1.03619143107869e-06 0.000387470833258988 0.866666666666667 0.760259179265659 "Lmo7_noRT" "non-targeting_noRT"
"17" "Nbdy" 400.204730014073 -0.54597551846429 -4.82896309695466 1.37245837633034e-06 0.000483024615622614 0.876190476190476 0.961123110151188 "Lmo7_noRT" "non-targeting_noRT"
"18" "Zfr" 310.471701514507 0.499610532455612 4.77367324571934 1.8089579491106e-06 0.000601277522751595 0.885714285714286 0.909287257019438 "Lmo7_noRT" "non-targeting_noRT"
"19" "Tiam1" 36.3248879207149 -1.7566772623949 -4.75643297538982 1.97043618522989e-06 0.000620479984012129 0.19047619047619 0.449244060475162 "Lmo7_noRT" "non-targeting_noRT"
"20" "Lgals3" 2167.81666885352 0.514792341532462 4.63086757312796 3.64136722265987e-06 0.0010893150046587 0.971428571428571 0.987041036717063 "Lmo7_noRT" "non-targeting_noRT"
"21" "Zdhhc2" 237.094616437607 -0.632277551496028 -4.54634612644194 5.45852429074052e-06 0.00155515956340479 0.780952380952381 0.853131749460043 "Lmo7_noRT" "non-targeting_noRT"
"22" "Procr" 12.2657915141693 2.7565866982091 4.50328959269603 6.69096096501442e-06 NA 0.104761904761905 0.0367170626349892 "Lmo7_noRT" "non-targeting_noRT"
"23" "Akr1b3" 411.878686555382 0.498473364277242 4.46422609224563 8.0358675368081e-06 0.00215277883594696 0.933333333333333 0.920086393088553 "Lmo7_noRT" "non-targeting_noRT"
"24" "Creg1" 40.8583472013823 -1.49576778539118 -4.45335405134106 8.45391801191136e-06 0.00215277883594696 0.247619047619048 0.509719222462203 "Lmo7_noRT" "non-targeting_noRT"
"25" "Birc6" 150.334643671187 -0.783281772424537 -4.44279948070481 8.87959122290286e-06 0.00215277883594696 0.666666666666667 0.83585313174946 "Lmo7_noRT" "non-targeting_noRT"
"26" "Csrp2" 282.397590117295 0.612200133869795 4.44001169854066 8.99539877965467e-06 0.00215277883594696 0.8 0.717062634989201 "Lmo7_noRT" "non-targeting_noRT"
"27" "Ly6c1" 22.3614797476188 2.18550906364598 4.40847840857267 1.04099396063662e-05 NA 0.161904761904762 0.0453563714902808 "Lmo7_noRT" "non-targeting_noRT"
"28" "Cadm4" 32.9588777826485 -1.65167917089207 -4.34169806027752 1.41385745191191e-05 0.00325350351338038 0.2 0.434125269978402 "Lmo7_noRT" "non-targeting_noRT"
