"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Lgals1" 3770.23098739369 -0.676321260226667 -6.04903593477642 1.45715158106626e-09 2.82541691568748e-06 0.968253968253968 0.99645390070922 "Mcm2_RT" "non-targeting_RT"
"2" "F3" 156.600333012082 -0.999132715912662 -5.38852087285173 7.10399134899415e-08 5.27567903859551e-05 0.587301587301587 0.652482269503546 "Mcm2_RT" "non-targeting_RT"
"3" "Cebpd" 139.463973097689 1.4644182737899 5.35227220387998 8.68566092538278e-08 5.27567903859551e-05 0.523809523809524 0.5 "Mcm2_RT" "non-targeting_RT"
"4" "Tm4sf1" 1305.98928721693 -0.652234358620593 -5.3113217512896 1.08832986871491e-07 5.27567903859551e-05 0.920634920634921 0.953900709219858 "Mcm2_RT" "non-targeting_RT"
"5" "Cd24a" 20.7054858487349 3.26765809593758 5.27290758420015 1.34279189683859e-07 NA 0.126984126984127 0.0531914893617021 "Mcm2_RT" "non-targeting_RT"
"6" "Enho" 27.1912823605504 1.80156444468024 5.19946227285168 1.99865887988156e-07 NA 0.301587301587302 0.177304964539007 "Mcm2_RT" "non-targeting_RT"
"7" "Cebpb" 270.7302039428 0.768767538868577 4.77950811490391 1.75724580058169e-06 0.00068145992146558 0.857142857142857 0.801418439716312 "Mcm2_RT" "non-targeting_RT"
"8" "Prdx1" 1508.14574134096 -0.563957043966669 -4.28336800996314 1.8408531952333e-05 0.00594902390926229 0.968253968253968 0.964539007092199 "Mcm2_RT" "non-targeting_RT"
"9" "Eef1d" 483.119637857597 -0.591317771600846 -4.07194508828346 4.66221718548896e-05 0.012043126113856 0.904761904761905 0.946808510638298 "Mcm2_RT" "non-targeting_RT"
"10" "Cox5a" 620.814155753277 -0.48499428688294 -4.0551616870491 5.00996358544846e-05 0.012043126113856 0.920634920634921 0.964539007092199 "Mcm2_RT" "non-targeting_RT"
"11" "Actg1" 617.552562480988 -0.530789767033726 -4.02948582359598 5.58989866037671e-05 0.012043126113856 0.873015873015873 0.939716312056738 "Mcm2_RT" "non-targeting_RT"
"12" "Nme1" 738.668392448804 -0.592380212282646 -3.99576470644722 6.44857577063397e-05 0.0125037884192593 0.936507936507937 0.957446808510638 "Mcm2_RT" "non-targeting_RT"
"13" "Ctsd" 167.336119674914 0.667142522610589 3.96939822930343 7.2054373258608e-05 0.0127012208862219 0.841269841269841 0.801418439716312 "Mcm2_RT" "non-targeting_RT"
"14" "Ywhaq" 413.739657878432 -0.500695097933236 -3.92573377783312 8.64657461863069e-05 0.0139714234879374 0.888888888888889 0.946808510638298 "Mcm2_RT" "non-targeting_RT"
"15" "Ppia" 4139.05535131488 -0.537046806177291 -3.87576817398646 0.000106288844470855 0.0158533899560759 1 0.99645390070922 "Mcm2_RT" "non-targeting_RT"
"16" "Tle5" 457.060311559318 0.438305773175208 3.84680361979723 0.000119668810349775 0.0165741302334438 0.873015873015873 0.932624113475177 "Mcm2_RT" "non-targeting_RT"
"17" "Socs3" 39.9028200723465 1.12782305819157 3.82091593612245 0.000132956969128459 NA 0.444444444444444 0.351063829787234 "Mcm2_RT" "non-targeting_RT"
"18" "Hsp90aa1" 1020.30077064412 -0.500596783582937 -3.81947011917242 0.00013373865857169 0.0167629196325278 0.952380952380952 0.975177304964539 "Mcm2_RT" "non-targeting_RT"
"19" "Ctsb" 147.719092507714 0.936864067540659 3.81114931048464 0.000138322183661911 0.0167629196325278 0.698412698412698 0.698581560283688 "Mcm2_RT" "non-targeting_RT"
"20" "Matn2" 53.8103299819241 1.19896507818461 3.80837485873722 0.000139883107499115 NA 0.476190476190476 0.386524822695035 "Mcm2_RT" "non-targeting_RT"
"21" "Pabpn1" 142.899038718833 0.728405704776299 3.78497123497919 0.000153726358342507 0.0175338475780071 0.650793650793651 0.75177304964539 "Mcm2_RT" "non-targeting_RT"
"22" "Mosmo" 88.6673139287088 0.746286499577197 3.75510177588321 0.00017327105431723 0.0186651430178394 0.761904761904762 0.663120567375887 "Mcm2_RT" "non-targeting_RT"
"23" "Fam181b" 21.0426311395636 1.68903001762019 3.73270486715282 0.000189434510021028 NA 0.253968253968254 0.159574468085106 "Mcm2_RT" "non-targeting_RT"
"24" "Tslrn1" 45.9770404020438 1.19879355983568 3.72839220038682 0.000192705308725027 NA 0.380952380952381 0.25531914893617 "Mcm2_RT" "non-targeting_RT"
"25" "Cfl1" 674.865560448554 -0.428703933174867 -3.71044856119862 0.00020689233350841 0.0194044761127384 0.857142857142857 0.946808510638298 "Mcm2_RT" "non-targeting_RT"
"26" "Pfn1" 1306.60416552326 -0.359458510325163 -3.70908920154858 0.000208006142957366 0.0194044761127384 0.920634920634921 0.975177304964539 "Mcm2_RT" "non-targeting_RT"
"27" "Nrip1" 100.005371419607 0.827558930456157 3.70648366882058 0.000210156781004387 0.0194044761127384 0.603174603174603 0.592198581560284 "Mcm2_RT" "non-targeting_RT"
"28" "Vgll3" 40.9601745487151 1.65502632915735 3.66019783864694 0.000252020588426091 NA 0.253968253968254 0.24113475177305 "Mcm2_RT" "non-targeting_RT"
"29" "Btg1" 156.1562682763 0.945069345434231 3.65759845712523 0.000254589476440332 0.0224385906735365 0.650793650793651 0.663120567375887 "Mcm2_RT" "non-targeting_RT"
"30" "Bag1" 869.651394147537 0.380141071276404 3.63987193267481 0.000272773673947229 0.0229960066862468 0.904761904761905 0.953900709219858 "Mcm2_RT" "non-targeting_RT"
"31" "Mcm2" 12.2676107602712 -3.29726649814118 -3.63476955279795 0.000278229222498976 NA 0.0476190476190476 0.351063829787234 "Mcm2_RT" "non-targeting_RT"
"32" "Areg" 19.990537349771 -3.26301821240939 -3.62323982357827 0.000290935836785082 NA 0.0634920634920635 0.141843971631206 "Mcm2_RT" "non-targeting_RT"
"33" "Lgals3" 837.652873414529 -0.745883794680212 -3.61839148745252 0.000296439744651659 0.0239498610366486 0.841269841269841 0.943262411347518 "Mcm2_RT" "non-targeting_RT"
"34" "Scamp1" 51.6158131046405 0.944402765910952 3.51275053534855 0.000443493663891881 NA 0.476190476190476 0.457446808510638 "Mcm2_RT" "non-targeting_RT"
"35" "Zdhhc20" 39.4880459122832 1.18526456138495 3.47285476609045 0.00051495393304747 NA 0.365079365079365 0.375886524822695 "Mcm2_RT" "non-targeting_RT"
"36" "Mrpl58" 63.4294255380065 -0.918611450042772 -3.39438234723312 0.000687835875886483 NA 0.380952380952381 0.641843971631206 "Mcm2_RT" "non-targeting_RT"
"37" "Trip6" 87.5806382224413 0.775739081206682 3.37300688971425 0.000743520921600565 0.0576674826793398 0.634920634920635 0.570921985815603 "Mcm2_RT" "non-targeting_RT"
"38" "Psmb3" 715.405190969364 -0.594093971525953 -3.31683944421225 0.000910419189001316 0.0645758809808784 0.936507936507937 0.99645390070922 "Mcm2_RT" "non-targeting_RT"
"39" "Nip7" 117.156867661202 -0.695584304802647 -3.31329003806287 0.000922053078634205 0.0645758809808784 0.603174603174603 0.776595744680851 "Mcm2_RT" "non-targeting_RT"
"40" "Junb" 160.37662027343 0.926791546383136 3.31013684376476 0.000932503696474778 0.0645758809808784 0.682539682539683 0.670212765957447 "Mcm2_RT" "non-targeting_RT"
"41" "Nr4a2" 15.6307752510888 1.63761544724592 3.30358523131053 0.000954569475106565 NA 0.222222222222222 0.124113475177305 "Mcm2_RT" "non-targeting_RT"
"42" "Cited2" 265.327781562047 0.661969181253532 3.29627718685924 0.000979752966142651 0.0655083103914 0.73015873015873 0.737588652482269 "Mcm2_RT" "non-targeting_RT"
"43" "Pld3" 39.9336376899024 0.916914351795884 3.28961609476855 0.00100324160340635 NA 0.619047619047619 0.468085106382979 "Mcm2_RT" "non-targeting_RT"
"44" "Snrpd1" 401.068035769319 -0.552614429242229 -3.2849799680318 0.00101989622577378 0.0659192927258453 0.873015873015873 0.907801418439716 "Mcm2_RT" "non-targeting_RT"
"45" "Gm17251" 25.060524374342 1.40801019665853 3.28136154775362 0.00103307228768815 NA 0.285714285714286 0.219858156028369 "Mcm2_RT" "non-targeting_RT"
"46" "Nme2" 2405.94343899656 -0.508334072598119 -3.2689589676403 0.00107943953969664 0.0668513326514757 0.936507936507937 0.985815602836879 "Mcm2_RT" "non-targeting_RT"
"47" "Zmym5" 30.3430195427334 1.05881709933313 3.25944176216709 0.00111631696620931 NA 0.380952380952381 0.340425531914894 "Mcm2_RT" "non-targeting_RT"
"48" "Rpl27" 2916.99489932502 -0.642468414502073 -3.25476395193773 0.00113486647441793 0.0668513326514757 0.952380952380952 0.98936170212766 "Mcm2_RT" "non-targeting_RT"
"49" "Eif4a1" 299.80594187173 -0.544991424079519 -3.25404356297762 0.0011377483122737 0.0668513326514757 0.873015873015873 0.907801418439716 "Mcm2_RT" "non-targeting_RT"
"50" "Pdzrn3" 47.5231099330654 0.853147858604094 3.24369684652333 0.00117989250769132 NA 0.523809523809524 0.407801418439716 "Mcm2_RT" "non-targeting_RT"
"51" "Hist1h2ap" 213.243011417248 -1.00776356052894 -3.23723888658966 0.00120692333337494 0.0680890896055316 0.555555555555556 0.592198581560284 "Mcm2_RT" "non-targeting_RT"
"52" "Cpe" 323.354334113824 0.635669828231214 3.23205245181885 0.00122904493872801 0.0680890896055316 0.841269841269841 0.858156028368794 "Mcm2_RT" "non-targeting_RT"
"53" "Nkd2" 31.2169455270146 1.3727719396362 3.22810196899638 0.00124614545189625 NA 0.238095238095238 0.226950354609929 "Mcm2_RT" "non-targeting_RT"
"54" "Cmpk2" 59.794415667895 -1.2054090257895 -3.21933309646813 0.00128489134983878 NA 0.349206349206349 0.542553191489362 "Mcm2_RT" "non-targeting_RT"
"55" "Atp5o" 330.369191577873 -0.425147375842486 -3.20324921321157 0.00135886334586231 0.0723195277357832 0.857142857142857 0.890070921985816 "Mcm2_RT" "non-targeting_RT"
"56" "Atp5g3" 483.095124091558 -0.384219100928176 -3.19243341460108 0.00141079467546548 0.0723195277357832 0.888888888888889 0.957446808510638 "Mcm2_RT" "non-targeting_RT"
"57" "Eif5a" 828.369238736242 -0.570597896557128 -3.18203670656972 0.00146243282486041 0.0723195277357832 0.936507936507937 0.960992907801418 "Mcm2_RT" "non-targeting_RT"
"58" "Alyref" 604.767648630081 -0.359802105079007 -3.1772416862893 0.00148683074484078 0.0723195277357832 0.920634920634921 0.964539007092199 "Mcm2_RT" "non-targeting_RT"
"59" "Banf1" 242.44375021207 -0.477996758454369 -3.17426995821581 0.00150213909397654 0.0723195277357832 0.746031746031746 0.911347517730496 "Mcm2_RT" "non-targeting_RT"
"60" "Psap" 178.541748810426 0.600215092479729 3.16908614639294 0.0015291906328866 0.0723195277357832 0.80952380952381 0.815602836879433 "Mcm2_RT" "non-targeting_RT"
"61" "Pik3r1" 61.7929035714541 0.781753996252385 3.15283525703422 0.00161693031071136 NA 0.53968253968254 0.48936170212766 "Mcm2_RT" "non-targeting_RT"
