"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Hspa8" 719.227875598355 -0.862227415538006 -8.89222736613687 5.98959779714691e-19 6.90420938077125e-15 0.974358974358974 0.991360691144708 "Mcm2_noRT" "non-targeting_noRT"
"2" "Rps15" 2181.28110758964 -0.477810851470327 -8.78566074344913 1.55448087029846e-18 8.95925049596516e-15 1 1 "Mcm2_noRT" "non-targeting_noRT"
"3" "Rps8" 4879.38319322646 -0.515771395575743 -8.02010824057238 1.05652023708461e-15 4.05950292429144e-12 0.974358974358974 1 "Mcm2_noRT" "non-targeting_noRT"
"4" "Rps4x" 4524.30011731664 -0.61002642547058 -7.51890129751867 5.52384657891104e-14 1.59183448787769e-10 1 1 "Mcm2_noRT" "non-targeting_noRT"
"5" "Lamp1" 296.476373844606 0.748157757871096 6.51910861058569 7.07264300932303e-11 1.56648088636601e-07 0.974358974358974 0.980561555075594 "Mcm2_noRT" "non-targeting_noRT"
"6" "Rpl23a" 1335.37150073435 -0.383011291502785 -6.48141793239522 9.08645887545451e-11 1.56648088636601e-07 1 0.997840172786177 "Mcm2_noRT" "non-targeting_noRT"
"7" "Pgk1" 524.494660760707 -0.613161356141834 -6.47449800647755 9.51276672556788e-11 1.56648088636601e-07 0.948717948717949 0.989200863930886 "Mcm2_noRT" "non-targeting_noRT"
"8" "Gadd45g" 131.424061551716 2.00255262463978 6.40543290880646 1.49943311108301e-10 2.16049568393173e-07 0.666666666666667 0.585313174946004 "Mcm2_noRT" "non-targeting_noRT"
"9" "Rps13" 2275.85692064833 -0.315792219807548 -6.18050448762114 6.38970799054894e-10 8.18379600078419e-07 1 1 "Mcm2_noRT" "non-targeting_noRT"
"10" "Eef1g" 723.149688230769 -0.487580510198408 -6.02255212299257 1.71688052863252e-09 1.97904818535471e-06 0.948717948717949 0.997840172786177 "Mcm2_noRT" "non-targeting_noRT"
"11" "Ptma" 2739.21741262069 -0.492213156158392 -5.97679045211113 2.27576622592057e-09 2.38479611692604e-06 1 0.997840172786177 "Mcm2_noRT" "non-targeting_noRT"
