"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Eef1a1" 6082.25257221067 1.15207063769013 17.1633574415397 4.99412592137689e-66 2.58495957690468e-62 1 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"2" "Tpt1" 5458.04567318253 0.867592416105138 11.7591078000957 6.34007028850226e-32 1.64081019066438e-28 0.978260869565217 1 "Mtor_RT" "non-targeting_RT"
"3" "Eef2" 1010.38166320819 1.06977381657825 11.7199791663833 1.00696758293082e-31 1.73735473641664e-28 0.989130434782609 0.943262411347518 "Mtor_RT" "non-targeting_RT"
"4" "Rpl18a" 6070.14034101843 0.896406200042179 11.5018572589344 1.29107022394021e-30 1.67064486977863e-27 0.989130434782609 1 "Mtor_RT" "non-targeting_RT"
"5" "Eif3f" 431.776241132401 1.24714086226604 10.5815821563928 3.6277978366412e-26 3.75549632049097e-23 0.91304347826087 0.861702127659574 "Mtor_RT" "non-targeting_RT"
"6" "Rpl10" 2264.52525355713 0.980463337432127 10.4942663832112 9.17879371488154e-26 7.91823937803781e-23 1 0.960992907801418 "Mtor_RT" "non-targeting_RT"
"7" "Rps9" 4318.60127298733 0.910300029730576 10.1177412171106 4.60929983344097e-24 3.40824799112721e-21 0.978260869565217 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"8" "Rpl3" 2041.29700851347 0.94506180060274 9.38503449005314 6.28958529436778e-21 4.06936168545596e-18 0.978260869565217 0.982269503546099 "Mtor_RT" "non-targeting_RT"
"9" "Rps15a" 4501.85982390927 0.684918547828991 9.31442049594317 1.22620070649339e-20 7.05201650756644e-18 0.967391304347826 0.982269503546099 "Mtor_RT" "non-targeting_RT"
"10" "Lgals1" 4194.84825741074 -0.803836890799604 -9.17706747488327 4.42990714796619e-20 2.2929199397873e-17 0.989130434782609 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"11" "Rps18" 5916.14380255661 0.695136054624369 9.09859727040202 9.15059854303758e-20 4.30577255079659e-17 0.978260869565217 0.98936170212766 "Mtor_RT" "non-targeting_RT"
"12" "Eef1b2" 1657.4287933472 0.837438696495802 9.02220564133461 1.84339785002078e-19 7.45651308089394e-17 1 0.982269503546099 "Mtor_RT" "non-targeting_RT"
"13" "Rps10" 5151.02493951275 0.788317737822228 9.02047401675367 1.87277183252746e-19 7.45651308089394e-17 0.989130434782609 0.985815602836879 "Mtor_RT" "non-targeting_RT"
"14" "Rpl21" 2818.75691238125 0.715890935799729 8.89714191178894 5.73032107400176e-19 2.11858156278808e-16 0.978260869565217 0.960992907801418 "Mtor_RT" "non-targeting_RT"
"15" "Rps24" 5721.86728939956 0.776208237031624 8.7606539667041 1.94120854370305e-18 6.69846361480467e-16 1 0.98936170212766 "Mtor_RT" "non-targeting_RT"
"16" "Rps3" 3412.443188302 0.772397344267618 8.73131129458648 2.51736759476263e-18 8.14368416905711e-16 0.989130434782609 0.971631205673759 "Mtor_RT" "non-targeting_RT"
"17" "Rpl4" 754.364058471484 0.8918374552068 8.68811396893239 3.6850600991215e-18 1.12199241606193e-15 0.934782608695652 0.929078014184397 "Mtor_RT" "non-targeting_RT"
"18" "Rps4x" 9736.66814072059 0.956253210404271 8.66471108642974 4.52659445728095e-18 1.30164738393812e-15 1 0.985815602836879 "Mtor_RT" "non-targeting_RT"
"19" "Mest" 260.710211443764 2.10587567594488 8.50035425415086 1.89012982114007e-17 5.14911155485316e-15 0.576086956521739 0.482269503546099 "Mtor_RT" "non-targeting_RT"
"20" "Rpl7" 1879.51701141477 0.720728033626071 8.44234452761702 3.1103498011167e-17 8.04958528529002e-15 0.978260869565217 0.968085106382979 "Mtor_RT" "non-targeting_RT"
"21" "Rps5" 6457.68306808099 0.686137903017915 8.42302512697219 3.66885750119111e-17 9.04286020293579e-15 0.989130434782609 0.98936170212766 "Mtor_RT" "non-targeting_RT"
"22" "Rpl10a" 2037.6628731442 0.905182511185333 8.24188740982928 1.69515047496798e-16 3.98822675383375e-14 0.978260869565217 0.98936170212766 "Mtor_RT" "non-targeting_RT"
"23" "Rpl23" 10632.2348844356 0.730799810121955 8.23577158762465 1.7840403125704e-16 4.01486637298451e-14 1 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"24" "Rpl17" 2569.31128651837 0.698819845553103 8.02730682953945 9.96356751831946e-16 2.14880939478423e-13 0.978260869565217 0.985815602836879 "Mtor_RT" "non-targeting_RT"
"25" "Rpl32" 6074.98813489748 0.526986745752783 7.81138388895604 5.65634440469758e-15 1.17108954554859e-12 1 0.99290780141844 "Mtor_RT" "non-targeting_RT"
"26" "Rps16" 5557.60853517578 0.541893891512725 7.62069863758479 2.52306374012439e-14 5.02283766110917e-12 0.978260869565217 0.98936170212766 "Mtor_RT" "non-targeting_RT"
"27" "Eif3h" 737.47658189445 0.75274309740226 7.56293442120353 3.94076310561905e-14 7.55458882766081e-12 0.989130434782609 0.943262411347518 "Mtor_RT" "non-targeting_RT"
"28" "Rpl15" 4133.75409026288 0.714460271884718 7.47172780716822 7.91485985730737e-14 1.4327614831847e-11 0.989130434782609 0.985815602836879 "Mtor_RT" "non-targeting_RT"
"29" "Ly6a" 195.726682279589 -1.84634440549887 -7.4698693158955 8.02745035014612e-14 1.4327614831847e-11 0.293478260869565 0.453900709219858 "Mtor_RT" "non-targeting_RT"
"30" "Rpl27a" 4448.26512184922 0.541182269006456 7.38490319320169 1.52564351052362e-13 2.63224360349009e-11 0.989130434782609 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"31" "Cycs" 768.174134694561 -0.83361434344669 -7.35615204232908 1.89287406869319e-13 3.16048909017934e-11 0.956521739130435 0.971631205673759 "Mtor_RT" "non-targeting_RT"
"32" "Rps7" 3663.61179248757 0.739295367146185 7.19362776751981 6.30920560978918e-13 1.0205140073834e-10 0.989130434782609 0.982269503546099 "Mtor_RT" "non-targeting_RT"
"33" "Rpl28" 4661.87949274538 0.614755859229383 7.15648810835461 8.2770056579111e-13 1.29823579652569e-10 1 0.985815602836879 "Mtor_RT" "non-targeting_RT"
"34" "Rps13" 3364.3307499426 0.67529371723083 7.09705401464807 1.2744425931766e-12 1.94015143008297e-10 0.989130434782609 0.985815602836879 "Mtor_RT" "non-targeting_RT"
"35" "Erbb3" 107.245642303405 1.33403787494325 7.07947578660695 1.4470077892631e-12 2.13991780492166e-10 0.630434782608696 0.436170212765957 "Mtor_RT" "non-targeting_RT"
"36" "Nme1" 826.356362667051 -0.70524109713325 -7.04546817110516 1.84838961005991e-12 2.65757350601947e-10 0.967391304347826 0.957446808510638 "Mtor_RT" "non-targeting_RT"
"37" "Eif3e" 678.4736273417 0.711783979054491 7.03078663138029 2.05372359911725e-12 2.87299279703538e-10 0.956521739130435 0.936170212765957 "Mtor_RT" "non-targeting_RT"
"38" "Tmsb10" 1285.35546786176 -0.771174104253069 -6.83637836297299 8.12202579792794e-12 1.10630540868619e-09 0.956521739130435 0.943262411347518 "Mtor_RT" "non-targeting_RT"
"39" "Rpl30" 9491.72215937582 0.683499623911651 6.72855799431569 1.71352701898122e-11 2.27415791031969e-09 1 1 "Mtor_RT" "non-targeting_RT"
"40" "Ly6c1" 77.6597811663304 -2.5746443817023 -6.72408687911752 1.76696985643493e-11 2.2864589942268e-09 0.16304347826087 0.219858156028369 "Mtor_RT" "non-targeting_RT"
"41" "Akr1b3" 433.595384075423 -0.97346375062732 -6.57019028702918 5.02510022539796e-11 6.34388262601459e-09 0.815217391304348 0.865248226950355 "Mtor_RT" "non-targeting_RT"
"42" "AA467197" 117.410826437455 -1.5278798380488 -6.56283687507057 5.27935928736441e-11 6.50618182652337e-09 0.358695652173913 0.687943262411348 "Mtor_RT" "non-targeting_RT"
"43" "Rpl8" 4636.46526049946 0.506107835639225 6.51670136113453 7.18703107737223e-11 8.65117973406481e-09 0.989130434782609 0.99290780141844 "Mtor_RT" "non-targeting_RT"
"44" "Psph" 126.077457886768 -1.28844929546168 -6.4661568432686 1.00526739515218e-10 1.17341365702602e-08 0.532608695652174 0.734042553191489 "Mtor_RT" "non-targeting_RT"
"45" "Rps25" 1744.20568166444 0.609676113475022 6.46393270127948 1.0201625688982e-10 1.17341365702602e-08 0.989130434782609 0.975177304964539 "Mtor_RT" "non-targeting_RT"
"46" "Plk4" 106.752454144737 -1.54231229674476 -6.29629101555386 3.04851805203622e-10 3.43024552985641e-08 0.456521739130435 0.531914893617021 "Mtor_RT" "non-targeting_RT"
"47" "S100a4" 1363.22775997505 -0.877293254397083 -6.20266525009933 5.55148421685322e-10 6.11371963966644e-08 0.869565217391304 0.953900709219858 "Mtor_RT" "non-targeting_RT"
"48" "Zfas1" 482.054237578548 0.880802521246762 6.04538842883947 1.49050466516465e-09 1.59921963396905e-07 0.91304347826087 0.833333333333333 "Mtor_RT" "non-targeting_RT"
"49" "Paics" 267.959171079114 0.890370870817374 6.04287234216301 1.51394439846374e-09 1.59921963396905e-07 0.858695652173913 0.790780141843972 "Mtor_RT" "non-targeting_RT"
"50" "Ppp1r14b" 1179.9904137251 -0.58687841653207 -6.01611718199823 1.78650270300370e-09 1.84938759814943e-07 0.978260869565217 0.985815602836879 "Mtor_RT" "non-targeting_RT"
"51" "Rpl37a" 5148.43781590466 0.617316590411328 5.99739273050183 2.00510729693437e-09 2.03498732724163e-07 1 0.99290780141844 "Mtor_RT" "non-targeting_RT"
"52" "Rpl23a" 1202.81898474347 0.503733814317765 5.96936744453444 2.38175173159729e-09 2.37075903129761e-07 0.978260869565217 0.968085106382979 "Mtor_RT" "non-targeting_RT"
"53" "Rplp1" 4792.90789408015 0.544565928663029 5.95994217730082 2.52327201424175e-09 2.46423697088968e-07 1 0.99290780141844 "Mtor_RT" "non-targeting_RT"
"54" "Rpl26" 4289.29337600498 0.538184744946123 5.94662500501487 2.73727512842789e-09 2.62372890087829e-07 1 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"55" "Npm1" 2700.87512197051 0.494018349458462 5.87869231283073 4.13520193270492e-09 3.89160094612375e-07 0.989130434782609 0.982269503546099 "Mtor_RT" "non-targeting_RT"
"56" "Rps26" 5208.27247224777 0.562622174273549 5.87532908467368 4.22004168318098e-09 3.90052424145442e-07 0.989130434782609 0.99290780141844 "Mtor_RT" "non-targeting_RT"
"57" "Col11a1" 208.082388135359 1.11757454536491 5.84716584545914 5.00018928890552e-09 4.54052276480263e-07 0.782608695652174 0.624113475177305 "Mtor_RT" "non-targeting_RT"
"58" "Impdh2" 168.726799589846 0.9096274541868 5.84106109720422 5.1869375856847e-09 4.62889464543173e-07 0.771739130434783 0.659574468085106 "Mtor_RT" "non-targeting_RT"
"59" "Cst6" 824.561143784638 -1.18166519465911 -5.83433940978565 5.40040919742703e-09 4.73771491625124e-07 0.847826086956522 0.975177304964539 "Mtor_RT" "non-targeting_RT"
"60" "Nars" 248.576065627913 -0.855956309437395 -5.81911200788964 5.91610812879947e-09 5.10362927911101e-07 0.793478260869565 0.893617021276596 "Mtor_RT" "non-targeting_RT"
"61" "Cdh6" 111.966217765681 1.31495680860262 5.79402194900574 6.87204713847279e-09 5.83110098175986e-07 0.630434782608696 0.471631205673759 "Mtor_RT" "non-targeting_RT"
"62" "Rpl36a" 1291.4466738798 0.565548761516353 5.78294129176746 7.34056866074066e-09 6.12819086903124e-07 0.956521739130435 0.897163120567376 "Mtor_RT" "non-targeting_RT"
"63" "Rps19" 6002.52208469007 0.552552526547215 5.72516944621023 1.03330553941209e-08 8.48950709840794e-07 0.989130434782609 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"64" "Cdkn2a" 927.65698479199 -0.574494865915878 -5.70813778860914 1.14218939765115e-08 9.23745675350371e-07 0.923913043478261 0.975177304964539 "Mtor_RT" "non-targeting_RT"
"65" "Rps27" 3942.76698026323 0.740006287365711 5.68846008906185 1.28190062978975e-08 1.02078733227566e-06 1 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"66" "1110008P14Rik" 162.83952936965 -1.02468413445297 -5.67741685915413 1.36743951948187e-08 1.07240408376336e-06 0.641304347826087 0.833333333333333 "Mtor_RT" "non-targeting_RT"
"67" "Rpl36" 4240.93564443449 0.519980424742859 5.58828620887711 2.29321470317887e-08 1.75598304627218e-06 1 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"68" "Rps3a1" 3495.71042694088 0.659876255024643 5.58725016505655 2.30693290468525e-08 1.75598304627218e-06 0.989130434782609 0.98936170212766 "Mtor_RT" "non-targeting_RT"
"69" "Rps20" 17043.3467032928 0.689217638477502 5.5801576482219 2.40300685833556e-08 1.8026034056152e-06 1 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"70" "Gas5" 2122.5791646061 0.698422092788905 5.4820871608973 4.20337038331044e-08 3.1080921577164e-06 0.978260869565217 0.978723404255319 "Mtor_RT" "non-targeting_RT"
"71" "Nupr1" 470.610850927059 -1.11061038016502 -5.46021015325228 4.75571308422324e-08 3.43556148880066e-06 0.630434782608696 0.769503546099291 "Mtor_RT" "non-targeting_RT"
"72" "Fth1" 10021.0440268947 -0.771875689209248 -5.45934333516211 4.77898816061916e-08 3.43556148880066e-06 1 0.99645390070922 "Mtor_RT" "non-targeting_RT"
"73" "Uba52" 1963.83370340106 0.517436599621888 5.44880123301281 5.07104464766642e-08 3.56084167360768e-06 1 0.98936170212766 "Mtor_RT" "non-targeting_RT"
"74" "Hmgb2" 741.607357261185 0.542965567880329 5.44810788181069 5.09084783321037e-08 3.56084167360768e-06 0.858695652173913 0.829787234042553 "Mtor_RT" "non-targeting_RT"
"75" "Mef2c" 201.989384703382 0.994507867546094 5.41486420022875 6.13352386231663e-08 4.23294926818012e-06 0.728260869565217 0.578014184397163 "Mtor_RT" "non-targeting_RT"
"76" "Rpl37" 19327.4513088158 0.533899495246035 5.39390080113167 6.89442903514564e-08 4.69546903762024e-06 1 1 "Mtor_RT" "non-targeting_RT"
"77" "Atp5g1" 1583.77217981699 -0.601827133995155 -5.38423942239528 7.27516132656439e-08 4.89042013328536e-06 0.978260869565217 0.985815602836879 "Mtor_RT" "non-targeting_RT"
"78" "Rps8" 5352.64615864541 0.519804079193833 5.33514000070443 9.54708663640122e-08 6.33534877307855e-06 1 0.985815602836879 "Mtor_RT" "non-targeting_RT"
