"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "mt-Nd3" 450.608437770637 0.892845508195146 6.43526844863724 1.23255294714571e-10 2.98749249256846e-07 0.911392405063291 0.875886524822695 "Pars2_RT" "non-targeting_RT"
"2" "Snhg1" 925.233953861971 0.784294111762103 6.34013248238245 2.29567669099783e-10 2.98749249256846e-07 0.89873417721519 0.897163120567376 "Pars2_RT" "non-targeting_RT"
"3" "Ifi27l2a" 2022.66602387612 -0.761203795262054 -6.31177481596389 2.75853415749627e-10 2.98749249256846e-07 0.949367088607595 0.971631205673759 "Pars2_RT" "non-targeting_RT"
"4" "mt-Atp6" 14109.6146073618 0.536379390784843 4.9899262386837 6.04023525747689e-07 0.00049061810878856 1 0.99290780141844 "Pars2_RT" "non-targeting_RT"
"5" "mt-Nd2" 1201.34793917122 0.695441746722499 4.94479148821972 7.62254076344756e-07 0.000495312698808823 0.962025316455696 0.960992907801418 "Pars2_RT" "non-targeting_RT"
"6" "Lcn2" 113.820727273603 -7.43677850342646 -4.74771948746166 2.05723087025347e-06 0.00111399051624225 0.0253164556962025 0.0638297872340425 "Pars2_RT" "non-targeting_RT"
"7" "Sat1" 1488.79681548973 -0.918877953345534 -4.5926818606051 4.37585889188835e-06 0.00203102364853503 0.873417721518987 0.946808510638298 "Pars2_RT" "non-targeting_RT"
"8" "mt-Nd4l" 673.42107825388 0.521458222921437 4.35488886183683 1.33134446817234e-05 0.0054069227213649 0.936708860759494 0.929078014184397 "Pars2_RT" "non-targeting_RT"
"9" "Junb" 209.115025370787 1.08963402364581 4.301877928771 1.69356611125547e-05 0.00611377366163226 0.746835443037975 0.670212765957447 "Pars2_RT" "non-targeting_RT"
"10" "Polr2g" 776.717620022848 0.514644217184482 4.25231340630242 2.115734838534e-05 0.00687402249039698 0.936708860759494 0.960992907801418 "Pars2_RT" "non-targeting_RT"
"11" "mt-Cytb" 10285.1476180909 0.433292870565031 4.19436646722028 2.73635289623744e-05 0.00808219141806859 1 0.985815602836879 "Pars2_RT" "non-targeting_RT"
"12" "Gm26885" 7.72757709093031 -5.47402001635413 -4.04950957081578 5.13250789123939e-05 NA 0 0.0425531914893617 "Pars2_RT" "non-targeting_RT"
"13" "Zfas1" 450.460046209372 0.626209379690542 3.97518231903042 7.03253606231021e-05 0.0190405913887049 0.835443037974684 0.833333333333333 "Pars2_RT" "non-targeting_RT"
"14" "Gfod2" 22.0787251374586 1.88654937501258 3.70015669375127 0.000215466384709268 NA 0.240506329113924 0.131205673758865 "Pars2_RT" "non-targeting_RT"
"15" "Il6" 28.3974712796155 1.56360859852512 3.59788919206533 0.000320810232999315 NA 0.177215189873418 0.138297872340426 "Pars2_RT" "non-targeting_RT"
"16" "mt-Nd4" 2488.09346077027 0.41850432778001 3.59014213994318 0.000330497688708515 0.0825989992779973 0.962025316455696 0.953900709219858 "Pars2_RT" "non-targeting_RT"
"17" "Egr1" 81.9763548647629 0.97326549820511 3.5390947893993 0.000401501654016893 0.0931770624214919 0.531645569620253 0.407801418439716 "Pars2_RT" "non-targeting_RT"
"18" "Hist1h3a" 15.5977453697138 1.72369234496941 3.51120547925312 0.000446079452440381 NA 0.240506329113924 0.124113475177305 "Pars2_RT" "non-targeting_RT"
"19" "Ubash3a" 13.8620399127595 -2.66664181836446 -3.50953218202063 0.000448895731846571 NA 0.0506329113924051 0.120567375886525 "Pars2_RT" "non-targeting_RT"
"20" "Rnaset2b" 46.9371689454175 1.04825341491648 3.50437789616165 0.000457675396253456 NA 0.455696202531646 0.340425531914894 "Pars2_RT" "non-targeting_RT"
"21" "Ccl8" 7.35479837125236 4.34336346324625 3.4777372849618 0.000505665267059029 NA 0.0379746835443038 0.0141843971631206 "Pars2_RT" "non-targeting_RT"
"22" "Cth" 33.144451052808 -1.41393020588146 -3.46427175063106 0.000531669117429862 NA 0.164556962025316 0.336879432624113 "Pars2_RT" "non-targeting_RT"
"23" "Hist1h1e" 75.6678142986419 0.914093808549062 3.42781661282097 0.000608456333529182 0.131791641842421 0.455696202531646 0.397163120567376 "Pars2_RT" "non-targeting_RT"
"24" "Atrx" 197.887007439449 -0.599384253744889 -3.34902916018428 0.000810952602077076 0.161937199639767 0.810126582278481 0.797872340425532 "Pars2_RT" "non-targeting_RT"
"25" "Ccl5" 1862.18097393808 3.4033056734824 3.33685650212573 0.000847316834064649 0.161937199639767 0.430379746835443 0.372340425531915 "Pars2_RT" "non-targeting_RT"
"26" "Basp1" 59.9614609729957 1.04302482149015 3.30717230755509 0.000942429031849036 0.170108440248751 0.341772151898734 0.280141843971631 "Pars2_RT" "non-targeting_RT"
"27" "Apoo" 66.3922405801062 -0.880006821524124 -3.2612964022167 0.00110904044665747 0.189645916378428 0.443037974683544 0.659574468085106 "Pars2_RT" "non-targeting_RT"
"28" "Odc1" 290.237434170565 0.568059370141058 3.24229100195982 0.00118572881419483 0.19262164586595 0.734177215189873 0.74822695035461 "Pars2_RT" "non-targeting_RT"
"29" "Shisa8" 16.7529817643395 1.97648181921216 3.18474817413769 0.00144880023777246 NA 0.113924050632911 0.0638297872340425 "Pars2_RT" "non-targeting_RT"
"30" "Upp1" 36.7621472178827 1.53317174569152 3.18092225674523 0.00146807020478092 NA 0.227848101265823 0.202127659574468 "Pars2_RT" "non-targeting_RT"
"31" "Smap1" 110.637294075043 -0.669717358862495 -3.16578384699103 0.00154665678452301 0.239289899662632 0.607594936708861 0.74468085106383 "Pars2_RT" "non-targeting_RT"
"32" "Plp1" 127.467703303135 -0.769160382468387 -3.13821706831339 0.00169978946696204 0.250191767137181 0.518987341772152 0.556737588652482 "Pars2_RT" "non-targeting_RT"
"33" "Rpl12" 1909.05242133405 0.311073290984295 3.12614651781396 0.0017711328544645 0.250191767137181 0.974683544303797 0.975177304964539 "Pars2_RT" "non-targeting_RT"
"34" "Rps4x" 6139.79398130701 -0.36621381083269 -3.11226997469736 0.00185654632224865 0.251329958374411 0.974683544303797 0.985815602836879 "Pars2_RT" "non-targeting_RT"
"35" "Angptl2" 16.6259329993373 1.53881193101014 3.11163420846506 0.00186054881285915 NA 0.265822784810127 0.127659574468085 "Pars2_RT" "non-targeting_RT"
"36" "Myo10" 42.3124423395629 0.91778502470989 3.08572730381796 0.00203054954888064 NA 0.493670886075949 0.382978723404255 "Pars2_RT" "non-targeting_RT"
"37" "Actg1" 771.962431766611 -0.396398733599889 -3.08549203714781 0.0020321566544613 0.263135070054344 0.89873417721519 0.939716312056738 "Pars2_RT" "non-targeting_RT"
"38" "Thbs2" 102.860780633701 -0.71887262995975 -3.07490041941649 0.00210572847688918 0.263135070054344 0.582278481012658 0.609929078014184 "Pars2_RT" "non-targeting_RT"
"39" "S100a7a" 7.01509166867033 2.51263712688304 3.07092066019095 0.00213399847844048 NA 0.139240506329114 0.0354609929078014 "Pars2_RT" "non-targeting_RT"
"40" "Hsph1" 106.924502809122 0.650175928406953 3.03626775031072 0.00239526558715894 0.269726538151001 0.658227848101266 0.609929078014184 "Pars2_RT" "non-targeting_RT"
"41" "Plk4" 134.460558733819 -0.698809909315553 -3.034889013667 0.00240624216949182 0.269726538151001 0.569620253164557 0.531914893617021 "Pars2_RT" "non-targeting_RT"
"42" "Sdc4" 89.8289060781022 1.07626489441192 3.03472745176887 0.00240753142701725 0.269726538151001 0.506329113924051 0.517730496453901 "Pars2_RT" "non-targeting_RT"
"43" "Adap1" 8.01910737654934 2.41073200232375 3.02309298042483 0.0025020535430649 NA 0.10126582278481 0.049645390070922 "Pars2_RT" "non-targeting_RT"
"44" "Ammecr1" 93.168899472545 -0.849112523539436 -3.02215558346318 0.00250981513154726 0.271812978746568 0.493670886075949 0.670212765957447 "Pars2_RT" "non-targeting_RT"
"45" "AW112010" 10.0327971199114 3.09877357384818 3.0187893312183 0.00253786940189634 NA 0.0632911392405063 0.0354609929078014 "Pars2_RT" "non-targeting_RT"
"46" "Epb41l4aos" 120.121616412813 0.581746612429665 2.97530271036544 0.00292699557717747 0.306768020330632 0.708860759493671 0.641843971631206 "Pars2_RT" "non-targeting_RT"
"47" "Cited1" 27.4832472582495 -1.29837851363206 -2.97331028604057 0.00294606465007247 NA 0.189873417721519 0.25177304964539 "Pars2_RT" "non-targeting_RT"
"48" "Cryl1" 40.586826174969 -1.06991137901487 -2.97294413561934 0.00294958130495816 NA 0.291139240506329 0.425531914893617 "Pars2_RT" "non-targeting_RT"
"49" "Lpar6" 35.1093101761359 1.04259526934284 2.91980209527779 0.0035025373590834 NA 0.367088607594937 0.276595744680851 "Pars2_RT" "non-targeting_RT"
"50" "Kcnq1ot1" 59.9778577143473 0.833479722243029 2.90726261169383 0.00364606963852498 0.370190007986489 0.468354430379747 0.351063829787234 "Pars2_RT" "non-targeting_RT"
"51" "Pfdn2" 350.428118691812 0.41309901730243 2.87945039595127 0.00398368960357028 0.388826174630345 0.810126582278481 0.868794326241135 "Pars2_RT" "non-targeting_RT"
"52" "Gapdh" 4339.48090204568 0.328371163664556 2.87276458566483 0.00406897197212427 0.388826174630345 1 1 "Pars2_RT" "non-targeting_RT"
"53" "Ube2t" 52.0867187136806 -0.84782901885113 -2.85925967050328 0.00424631035810943 NA 0.30379746835443 0.457446808510638 "Pars2_RT" "non-targeting_RT"
"54" "Hist1h3f" 10.0574440493972 1.75187132808987 2.85666934821421 0.00428111558821361 NA 0.164556962025316 0.0815602836879433 "Pars2_RT" "non-targeting_RT"
"55" "Gm10457" 37.1454730592888 -1.26892363520127 -2.84571629729133 0.00443116540449982 NA 0.177215189873418 0.223404255319149 "Pars2_RT" "non-targeting_RT"
"56" "Hils1" 2.32133118806296 4.58442065806967 2.83043619362838 0.00464845820077674 NA 0.0506329113924051 0.00354609929078014 "Pars2_RT" "non-targeting_RT"
"57" "Lgals9" 210.890434858808 -0.464146880687594 -2.78171059240349 0.00540732358248213 0.501954123413842 0.784810126582278 0.826241134751773 "Pars2_RT" "non-targeting_RT"
"58" "Trf" 13.780703165406 -1.78800624395434 -2.77444369964002 0.0055296204204501 NA 0.0886075949367089 0.187943262411348 "Pars2_RT" "non-targeting_RT"
"59" "Tra2a" 134.552298923729 0.543956721074545 2.75691224808402 0.00583500083018281 0.520041907897305 0.784810126582278 0.698581560283688 "Pars2_RT" "non-targeting_RT"
"60" "Phlda2" 141.646761586347 0.627481455751487 2.75205267819506 0.00592229935124662 0.520041907897305 0.531645569620253 0.460992907801418 "Pars2_RT" "non-targeting_RT"
