"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Rbm3" 927.180453472196 -0.616330627183053 -7.56561327111933 3.86038957380614e-14 3.45118827898269e-10 0.896551724137931 0.997840172786177 "Polr2a_noRT" "non-targeting_noRT"
"2" "Gm5617" 58.4884545621624 1.76308473136881 7.11760132249411 1.09821483394309e-12 4.9090203077256e-09 0.793103448275862 0.52267818574514 "Polr2a_noRT" "non-targeting_noRT"
"3" "H2afj" 545.64381549296 0.651162410215664 6.55827098883122 5.44352229354848e-11 1.62216964347745e-07 1 0.993520518358531 "Polr2a_noRT" "non-targeting_noRT"
"4" "Cpe" 190.967766998817 1.05150850171844 6.5132656424935 7.35342968408199e-11 1.64349153439233e-07 0.862068965517241 0.924406047516199 "Polr2a_noRT" "non-targeting_noRT"
"5" "Timp2" 369.225355490732 0.721715416788527 6.20521220510828 5.46231459907096e-10 9.76661850313888e-07 0.96551724137931 0.98488120950324 "Polr2a_noRT" "non-targeting_noRT"
"6" "Tmem203" 38.6869874548217 1.74981487332333 6.10550863088638 1.02473816753097e-09 1.33427578761294e-06 0.586206896551724 0.371490280777538 "Polr2a_noRT" "non-targeting_noRT"
"7" "3222401L13Rik" 39.6796379991875 1.76154355881476 6.10242139156823 1.04473495674391e-09 1.33427578761294e-06 0.655172413793103 0.39524838012959 "Polr2a_noRT" "non-targeting_noRT"
"8" "Gpx1" 343.168853248563 0.643987590911777 6.01686642472128 1.77825696705115e-09 1.98720216067966e-06 0.896551724137931 0.987041036717063 "Polr2a_noRT" "non-targeting_noRT"
"9" "Ldha" 375.419694843236 -0.699573058800099 -5.79248750972566 6.93514851116535e-09 6.88891418775758e-06 0.862068965517241 0.98488120950324 "Polr2a_noRT" "non-targeting_noRT"
"10" "Cox7a2" 1160.2551736238 0.508998981789207 5.73343497921335 9.84168049814233e-09 8.79846236533924e-06 0.96551724137931 0.997840172786177 "Polr2a_noRT" "non-targeting_noRT"
"11" "mt-Nd3" 455.557792687941 0.580106350709967 5.6479022529653 1.6241747444197e-08 1.32001111046474e-05 0.931034482758621 0.971922246220302 "Polr2a_noRT" "non-targeting_noRT"
"12" "Dbi" 3786.48795862326 -0.405743825126194 -5.43143758506556 5.5901868346667e-08 4.16468919182669e-05 1 1 "Polr2a_noRT" "non-targeting_noRT"
"13" "Ptma" 2200.63699254404 -0.479939863941703 -5.33606666741039 9.49844900274313e-08 6.52973476914551e-05 1 0.997840172786177 "Polr2a_noRT" "non-targeting_noRT"
"14" "Rpl32" 3392.3149483206 -0.338552906037763 -5.31228967291669 1.08256339218613e-07 6.52973476914551e-05 1 1 "Polr2a_noRT" "non-targeting_noRT"
"15" "Prc1" 127.71819999286 -1.32886351316869 -5.30798455817437 1.10844030048065e-07 6.52973476914551e-05 0.482758620689655 0.734341252699784 "Polr2a_noRT" "non-targeting_noRT"
"16" "Serbp1" 744.763334941317 -0.515975649757901 -5.29578059645992 1.18509061628591e-07 6.52973476914551e-05 0.931034482758621 1 "Polr2a_noRT" "non-targeting_noRT"
"17" "Eef1d" 425.916684356763 -0.621448904239902 -5.28725246465456 1.24167215968091e-07 6.52973476914551e-05 0.896551724137931 0.993520518358531 "Polr2a_noRT" "non-targeting_noRT"
"18" "Chl1" 173.565550903557 -0.943972192047379 -5.1961753255489 2.03430410279717e-07 0.000101037103772259 0.655172413793103 0.920086393088553 "Polr2a_noRT" "non-targeting_noRT"
"19" "Tomm7" 952.393605196358 0.642960743474368 5.15583951395713 2.52497087798573e-07 0.000118806524469434 1 0.997840172786177 "Polr2a_noRT" "non-targeting_noRT"
"20" "Resf1" 87.3607642931403 1.43435533145201 5.14277739409016 2.70706311090764e-07 0.000121005721057572 0.620689655172414 0.632829373650108 "Polr2a_noRT" "non-targeting_noRT"
"21" "2610008E11Rik" 12.9178733517506 2.4165512941745 5.01940771192963 5.1831038596177e-07 0.000220652135738011 0.275862068965517 0.127429805615551 "Polr2a_noRT" "non-targeting_noRT"
"22" "Mxd4" 67.3943250009095 1.17835989814908 4.96164641677696 6.98981507913279e-07 0.000277143675210801 0.620689655172414 0.611231101511879 "Polr2a_noRT" "non-targeting_noRT"
"23" "Tomm6" 392.008211178575 0.607891668989472 4.95254168149372 7.32503595657993e-07 0.000277143675210801 0.96551724137931 0.989200863930886 "Polr2a_noRT" "non-targeting_noRT"
"24" "Anp32b" 511.30926399639 -0.680494127390279 -4.94950887146802 7.4400986633772e-07 0.000277143675210801 0.896551724137931 0.991360691144708 "Polr2a_noRT" "non-targeting_noRT"
"25" "Dek" 183.803078162349 -0.874072730832821 -4.9265298685592 8.37028222673385e-07 0.000299321292428003 0.793103448275862 0.952483801295896 "Polr2a_noRT" "non-targeting_noRT"
"26" "Tmsb4x" 45.8062173441761 1.70087848488411 4.91658430757256 8.80672804358909e-07 0.000302815956575717 0.310344827586207 0.244060475161987 "Polr2a_noRT" "non-targeting_noRT"
"27" "Gadd45g" 77.1291299185903 1.38732843832404 4.83139182323128 1.35581879125581e-06 0.000448926666438034 0.655172413793103 0.585313174946004 "Polr2a_noRT" "non-targeting_noRT"
"28" "Ybx3" 405.23166283741 -0.640197879916126 -4.77279008466641 1.81691136848634e-06 0.000564359580261183 0.896551724137931 0.980561555075594 "Polr2a_noRT" "non-targeting_noRT"
"29" "mt-Co2" 7832.68672111493 0.493897577866122 4.77126810911303 1.83069662500831e-06 0.000564359580261183 1 0.997840172786177 "Polr2a_noRT" "non-targeting_noRT"
"30" "Tpt1" 3793.0568665334 -0.322235096681888 -4.74229207837174 2.11313663745306e-06 0.000611774738649439 1 1 "Polr2a_noRT" "non-targeting_noRT"
"31" "Cdc34" 234.192423984467 0.702891010650163 4.7415047775156 2.12136654341528e-06 0.000611774738649439 0.96551724137931 0.967602591792657 "Polr2a_noRT" "non-targeting_noRT"
"32" "Polr2a" 40.6387863387819 -2.65669740886955 -4.71439481993966 2.42430190382709e-06 0.000677289344381693 0.137931034482759 0.814254859611231 "Polr2a_noRT" "non-targeting_noRT"
"33" "mt-Nd2" 1480.13350429068 0.387164679834566 4.70014309982819 2.59979247898688e-06 0.000704307417034629 0.96551724137931 0.991360691144708 "Polr2a_noRT" "non-targeting_noRT"
"34" "Serinc2" 8.84923411939005 3.00473859183027 4.67573972635833 2.92895897081093e-06 0.000770143917619109 0.206896551724138 0.0583153347732181 "Polr2a_noRT" "non-targeting_noRT"
"35" "Hist1h1b" 43.3458869858956 -2.31160898989589 -4.66012887803362 3.16011456389499e-06 0.00080718354860632 0.137931034482759 0.475161987041037 "Polr2a_noRT" "non-targeting_noRT"
"36" "Larp4b" 97.4856584626845 1.00606845155973 4.63860410741302 3.50770231913684e-06 0.000871079409252315 0.896551724137931 0.814254859611231 "Polr2a_noRT" "non-targeting_noRT"
"37" "BC005624" 56.6468188782471 1.15710435301813 4.62585192709187 3.73061761858759e-06 0.000901397878653326 0.689655172413793 0.619870410367171 "Polr2a_noRT" "non-targeting_noRT"
"38" "Rpl36" 2084.71601663002 -0.45611219806052 -4.61398831929071 3.95014634120395e-06 0.000929323902377981 1 1 "Polr2a_noRT" "non-targeting_noRT"
"39" "Gm19412" 26.548294026541 1.60086695612972 4.59174319332825 4.39559042055006e-06 0.00100760457332609 0.413793103448276 0.298056155507559 "Polr2a_noRT" "non-targeting_noRT"
"40" "Iapp" 8.28670904373027 3.7427002910488 4.58049812945447 4.63869765864977e-06 0.00103674892670822 0.241379310344828 0.0302375809935205 "Polr2a_noRT" "non-targeting_noRT"
"41" "Tpr" 160.594822186519 -0.860519189829334 -4.5541634898733 5.25944418004491e-06 0.00109671646335896 0.724137931034483 0.952483801295896 "Polr2a_noRT" "non-targeting_noRT"
"42" "Uqcrfs1" 129.455291921751 0.800586392831785 4.55260593275686 5.29854657347937e-06 0.00109671646335896 0.862068965517241 0.909287257019438 "Polr2a_noRT" "non-targeting_noRT"
"43" "Fgfr3" 79.2054546178487 -1.28804095156019 -4.5476242671921 5.42548855629537e-06 0.00109671646335896 0.413793103448276 0.827213822894168 "Polr2a_noRT" "non-targeting_noRT"
"44" "Man1b1" 17.8271371941924 1.95811842577836 4.5419505757431 5.57361098756582e-06 0.00109671646335896 0.413793103448276 0.190064794816415 "Polr2a_noRT" "non-targeting_noRT"
"45" "Ube2s" 597.330581018638 -0.515711741217191 -4.5405810314627 5.60994125588727e-06 0.00109671646335896 0.896551724137931 0.993520518358531 "Polr2a_noRT" "non-targeting_noRT"
"46" "Hsp90ab1" 2766.2714167116 -0.283843065509845 -4.53933992584678 5.64306010229442e-06 0.00109671646335896 1 1 "Polr2a_noRT" "non-targeting_noRT"
"47" "Atp5e" 856.628164337101 0.333118926364873 4.51867020720158 6.22292366028648e-06 0.00118367952176513 1 1 "Polr2a_noRT" "non-targeting_noRT"
"48" "Zfp87" 14.0850539277556 2.14144327817192 4.4931388183897 7.01810032230993e-06 0.00130712118503022 0.310344827586207 0.153347732181425 "Polr2a_noRT" "non-targeting_noRT"
"49" "Serf2" 1650.03023376183 0.40583866578779 4.47630322306254 7.59466009047363e-06 0.00138563798385376 1 1 "Polr2a_noRT" "non-targeting_noRT"
"50" "Cenpa" 235.991484386771 -0.684962753870655 -4.4610471512467 8.15601411509908e-06 0.00145829532377972 0.586206896551724 0.814254859611231 "Polr2a_noRT" "non-targeting_noRT"
"51" "Bloc1s6os" 17.3878657961923 3.05747290242322 4.4512214996507 8.53832150546602e-06 0.00149671753448757 0.310344827586207 0.101511879049676 "Polr2a_noRT" "non-targeting_noRT"
"52" "Mgst1" 16.4934248132726 2.0381400940562 4.42230292092283 9.76544116943927e-06 0.00167890469336129 0.206896551724138 0.125269978401728 "Polr2a_noRT" "non-targeting_noRT"
"53" "Hist1h2ae" 76.3521333527406 -1.2722453800171 -4.41678232693162 1.00181024293983e-05 0.00168984595695888 0.551724137931034 0.561555075593952 "Polr2a_noRT" "non-targeting_noRT"
"54" "Pomc" 20.8295002718087 2.77685872486755 4.32593535837159 1.51885962736292e-05 0.00251455649418972 0.310344827586207 0.155507559395248 "Polr2a_noRT" "non-targeting_noRT"
"55" "Hspd1" 581.142900350525 -0.547689694346637 -4.31390485582725 1.60395996953942e-05 0.00260716402321498 0.896551724137931 0.98488120950324 "Polr2a_noRT" "non-targeting_noRT"
"56" "Btg2" 25.0388944890092 1.6663611092025 4.28676938493015 1.8129032465748e-05 0.00289417054006762 0.413793103448276 0.237580993520518 "Polr2a_noRT" "non-targeting_noRT"
"57" "Cst3" 268.903877663475 0.605051323408831 4.27801895908599 1.88563964131199e-05 0.00295747691111039 0.931034482758621 0.974082073434125 "Polr2a_noRT" "non-targeting_noRT"
"58" "Abi1" 52.4101666501322 1.15287216411203 4.25250539357753 2.11392123621008e-05 0.00323024330839789 0.620689655172414 0.580993520518359 "Polr2a_noRT" "non-targeting_noRT"
"59" "Phlda2" 172.891866470686 1.14138860847532 4.25061787572318 2.13181605364067e-05 0.00323024330839789 0.620689655172414 0.65658747300216 "Polr2a_noRT" "non-targeting_noRT"
"60" "2310001H17Rik" 12.3382506823429 2.77051450658027 4.23690236675677 2.26624619658303e-05 0.00333693457258794 0.206896551724138 0.0799136069114471 "Polr2a_noRT" "non-targeting_noRT"
"61" "Ran" 652.73152607271 -0.427071982726421 -4.23585080129625 2.27687929449513e-05 0.00333693457258794 0.96551724137931 0.995680345572354 "Polr2a_noRT" "non-targeting_noRT"
"62" "Prpf31" 96.0542500963374 0.872937650439362 4.21494826996461 2.49835448154975e-05 0.00360246597823464 0.862068965517241 0.796976241900648 "Polr2a_noRT" "non-targeting_noRT"
"63" "Rpl31" 924.641232893913 -0.360250052772948 -4.20885505254801 2.56667966796753e-05 0.00364224067168726 0.931034482758621 0.995680345572354 "Polr2a_noRT" "non-targeting_noRT"
"64" "Tpi1" 231.142706472587 -0.632991503237583 -4.20131682426462 2.65366912395282e-05 0.00370684405752159 0.827586206896552 0.974082073434125 "Polr2a_noRT" "non-targeting_noRT"
