"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Tmsb4x" 110.299802726509 -1.86532305960365 -7.06941684462476 1.55586131607700e-12 5.99628951216078e-09 0.344827586206897 0.429078014184397 "Rad21_RT" "non-targeting_RT"
"2" "Nme2" 1703.84189394305 -0.39320973243226 -4.69265273969205 2.69685046526187e-06 0.00519683084655962 0.96551724137931 0.985815602836879 "Rad21_RT" "non-targeting_RT"
"3" "BC065397" 9.39647350251704 3.55303257474883 4.62169848801786 3.8061092609077e-06 NA 0.137931034482759 0.0390070921985816 "Rad21_RT" "non-targeting_RT"
"4" "Oser1" 62.1863825334323 1.16705763046965 4.60420414374504 4.14046165742473e-06 0.00529829566926258 0.758620689655172 0.592198581560284 "Rad21_RT" "non-targeting_RT"
"5" "Rad21" 52.7155024471715 -1.45090508100139 -4.54478982825667 5.49900951661918e-06 0.00529829566926258 0.413793103448276 0.726950354609929 "Rad21_RT" "non-targeting_RT"
"6" "Ddias" 10.5554934534439 2.26262382759722 4.31350228488224 1.60688478400478e-05 NA 0.241379310344828 0.117021276595745 "Rad21_RT" "non-targeting_RT"
"7" "Ly6a" 115.977716960192 -1.92874385332911 -4.1743737441507 2.98806873082639e-05 0.0230320337772098 0.413793103448276 0.453900709219858 "Rad21_RT" "non-targeting_RT"
"8" "Eef1g" 302.675750758359 -0.613799706545336 -4.0263720515242 5.66440389420643e-05 0.0338046534915883 0.827586206896552 0.939716312056738 "Rad21_RT" "non-targeting_RT"
"9" "Fth1" 5959.05984575652 -0.763608563954769 -3.96704566195477 7.27690548535593e-05 0.0338046534915883 0.931034482758621 0.99645390070922 "Rad21_RT" "non-targeting_RT"
"10" "Chchd10" 69.3037194601576 -1.24430676100194 -3.95847076203586 7.54311726527887e-05 0.0338046534915883 0.448275862068966 0.592198581560284 "Rad21_RT" "non-targeting_RT"
"11" "Aurka" 45.7900211488994 1.06387684597249 3.9475899935042 7.8941847800803e-05 0.0338046534915883 0.448275862068966 0.386524822695035 "Rad21_RT" "non-targeting_RT"
"12" "Phlda1" 344.07004438906 -0.674724896894437 -3.86952892053605 0.000109045846259239 0.0362670643367651 0.931034482758621 0.904255319148936 "Rad21_RT" "non-targeting_RT"
"13" "Atp5d" 305.703251331692 -0.585917099771251 -3.85360531344492 0.000116391165917851 0.0362670643367651 0.96551724137931 0.950354609929078 "Rad21_RT" "non-targeting_RT"
"14" "Rps23" 1202.81854676513 -0.388891705081153 -3.8501110340602 0.000118064289754941 0.0362670643367651 1 0.975177304964539 "Rad21_RT" "non-targeting_RT"
"15" "Cox8a" 2056.4688752502 -0.311587373317529 -3.84140292021533 0.000122333117897754 0.0362670643367651 0.96551724137931 0.98936170212766 "Rad21_RT" "non-targeting_RT"
"16" "Rps15a" 1789.7808680033 -0.409325433957374 -3.81409732391048 0.000136681599988261 0.0369476973927845 1 0.982269503546099 "Rad21_RT" "non-targeting_RT"
"17" "Hist1h2ap" 136.472008926783 -1.26925170836728 -3.80153458252188 0.000143802662400563 0.0369476973927845 0.620689655172414 0.592198581560284 "Rad21_RT" "non-targeting_RT"
"18" "Rps25" 693.665961296823 -0.522386656849061 -3.74698948319295 0.000178969586531714 0.0409962896077108 0.931034482758621 0.975177304964539 "Rad21_RT" "non-targeting_RT"
"19" "AI506816" 565.7804291751 0.429730892832446 3.74438705964235 0.000180834697283623 0.0409962896077108 0.862068965517241 0.960992907801418 "Rad21_RT" "non-targeting_RT"
"20" "Dap" 105.139404207139 -0.756151997012981 -3.7241468188596 0.00019597685606621 0.0419608224043986 0.758620689655172 0.808510638297872 "Rad21_RT" "non-targeting_RT"
