"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Tmsb4x" 133.630005957107 -2.50457615164604 -6.96389023098603 3.31002554307231e-12 2.7877035123755e-08 0.34 0.429078014184397 "Rad9a_RT" "non-targeting_RT"
"2" "Cdkn3" 64.3772169059098 1.61728986137978 6.09303837783692 1.10787488467537e-09 3.88896113960423e-06 0.4 0.361702127659574 "Rad9a_RT" "non-targeting_RT"
"3" "5430416N02Rik" 156.085177507785 1.04088128931879 6.05717987663563 1.38528656124587e-09 3.88896113960423e-06 0.68 0.624113475177305 "Rad9a_RT" "non-targeting_RT"
"4" "Gm5662" 22.3659975078046 22.5469462788924 5.76376804811376 8.22564449659676e-09 1.43849608021943e-05 0.02 0 "Rad9a_RT" "non-targeting_RT"
"5" "Prex2" 22.0271187576863 22.5226258317973 5.75743606640135 8.54010971396005e-09 1.43849608021943e-05 0.02 0 "Rad9a_RT" "non-targeting_RT"
"6" "Gm6803" 17.6216950061491 22.214825491587 5.67688589440234 1.37168904035131e-08 1.92539418297312e-05 0.02 0 "Rad9a_RT" "non-targeting_RT"
"7" "Gm5286" 15.5884225054396 22.0445758717006 5.63217258166737 1.7795347098544e-08 2.01382593559436e-05 0.02 0 "Rad9a_RT" "non-targeting_RT"
"8" "BC080695" 14.9106650052031 21.9826890345385 5.61588733566292 1.95556056540512e-08 2.01382593559436e-05 0.02 0 "Rad9a_RT" "non-targeting_RT"
"9" "AF067063" 16.2661800056761 21.9142679492731 5.59931259466119 2.15203436480043e-08 2.01382593559436e-05 0.02 0 "Rad9a_RT" "non-targeting_RT"
"10" "Ifit2" 44.7911991845885 -2.08912662736386 -5.34781808135779 8.90208737996732e-08 7.49733799140848e-05 0.24 0.397163120567376 "Rad9a_RT" "non-targeting_RT"
"11" "Ube2s" 864.108852421916 0.580062736427377 5.30462245781863 1.12906428125297e-07 8.64452670610232e-05 0.96 0.943262411347518 "Rad9a_RT" "non-targeting_RT"
"12" "C730034F03Rik" 136.71158799749 3.22547241501431 4.78102014992171 1.74407878165981e-06 0.00122405262492825 0.28 0.304964539007092 "Rad9a_RT" "non-targeting_RT"
