"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Col18a1" 38.1006007933753 1.8093863953961 6.16141325456668 7.20985627754416e-10 1.20051316877388e-05 0.523809523809524 0.211663066954644 "Rad9a_noRT" "non-targeting_noRT"
"2" "Ivns1abp" 70.9820295826385 1.10224024978186 5.39499323788689 6.85261332031309e-08 0.000570514321982666 0.702380952380952 0.451403887688985 "Rad9a_noRT" "non-targeting_noRT"
"3" "Zbp1" 130.150101712702 0.681196438554645 4.34392160596225 1.39961478394951e-05 0.0776832858918109 0.75 0.667386609071274 "Rad9a_noRT" "non-targeting_noRT"
"4" "Cebpb" 132.103620097541 0.715969782444665 4.13914599945702 3.48601058550132e-05 0.145113905647956 0.595238095238095 0.619870410367171 "Rad9a_noRT" "non-targeting_noRT"
"5" "Oasl2" 316.746779221529 0.42570721857009 3.99825499114007 6.38111871687166e-05 0.21250401550926 0.845238095238095 0.881209503239741 "Rad9a_noRT" "non-targeting_noRT"
"6" "Rad9a" 9.91389879441691 -4.44254700302474 -3.61554255470763 0.000299719232430804 0.623060029564518 0.0119047619047619 0.241900647948164 "Rad9a_noRT" "non-targeting_noRT"
"7" "Gm10138" 11.1655453414105 2.02089682594307 3.6145558850864 0.000300862915662092 0.623060029564518 0.202380952380952 0.0647948164146868 "Rad9a_noRT" "non-targeting_noRT"
"8" "Rnf215" 25.5469164007077 1.29897270080577 3.60515860172944 0.000311962350356228 0.623060029564518 0.321428571428571 0.203023758099352 "Rad9a_noRT" "non-targeting_noRT"
"9" "Nrcam" 34.8548603827862 1.25228873946454 3.58523952351732 0.000336768978804917 0.623060029564518 0.416666666666667 0.24622030237581 "Rad9a_noRT" "non-targeting_noRT"
"10" "Prrg4" 66.9423296812147 0.791171786261616 3.49451711206247 0.00047492016369323 0.723735462278404 0.571428571428571 0.462203023758099 "Rad9a_noRT" "non-targeting_noRT"
"11" "Lipa" 40.3828227917888 0.970679135039606 3.49272711155827 0.000478114833046811 0.723735462278404 0.428571428571429 0.356371490280778 "Rad9a_noRT" "non-targeting_noRT"
"12" "Tanc1" 48.2640061540395 0.851959385213923 3.40391785937713 0.00066426725630225 0.850989749604322 0.476190476190476 0.393088552915767 "Rad9a_noRT" "non-targeting_noRT"
"13" "Ly6e" 110.940761461472 0.682513368201274 3.40386470165593 0.000664396537436562 0.850989749604322 0.523809523809524 0.550755939524838 "Rad9a_noRT" "non-targeting_noRT"
