"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Hmox1" 232.674477532928 1.49829459250767 5.0242203593845 5.05481724909416e-07 0.00888586324218262 0.650793650793651 0.585106382978723 "Trp53bp1_RT" "non-targeting_RT"
"2" "Lcn2" 109.39518191418 -5.29442754102248 -4.50752757719298 6.55874083428526e-06 0.0576480525629503 0.0793650793650794 0.0638297872340425 "Trp53bp1_RT" "non-targeting_RT"
"3" "Id3" 940.964713902031 -0.620558738568039 -3.93523234622773 8.31162471818874e-05 0.397855161460949 0.888888888888889 0.911347517730496 "Trp53bp1_RT" "non-targeting_RT"
"4" "Hspa5" 461.604636024168 0.583317486659541 3.91466544349824 9.05296459322939e-05 0.397855161460949 0.873015873015873 0.882978723404255 "Trp53bp1_RT" "non-targeting_RT"
"5" "Nrarp" 11.4950815430626 3.6706863088161 3.85056478851137 0.000117845749719856 0.402301740400411 0.126984126984127 0.0212765957446809 "Trp53bp1_RT" "non-targeting_RT"
"6" "Slurp1" 13.1873064955856 2.99446923365748 3.7822850994246 0.000155395234498956 0.402301740400411 0.0793650793650794 0.0283687943262411 "Trp53bp1_RT" "non-targeting_RT"
"7" "Mt3" 172.452196276685 1.20008744643456 3.7747043865459 0.000160197518789629 0.402301740400411 0.53968253968254 0.468085106382979 "Trp53bp1_RT" "non-targeting_RT"
"8" "Gm8251" 14.8026798797059 2.46569033038191 3.66461324465149 0.000247712619163912 0.544317516535302 0.253968253968254 0.0567375886524823 "Trp53bp1_RT" "non-targeting_RT"
"9" "Jund" 553.290060273133 0.759120202814175 3.54437300058439 0.000393548050609938 0.768686797963566 0.904761904761905 0.854609929078014 "Trp53bp1_RT" "non-targeting_RT"
"10" "Anp32a" 85.3382534243278 -0.79181701558304 -3.49906662295466 0.000466889905686578 0.816299789130453 0.634920634920635 0.698581560283688 "Trp53bp1_RT" "non-targeting_RT"
"11" "C130026I21Rik" 66.7033702992348 1.12032292267993 3.47502967503674 0.000510796841710847 0.816299789130453 0.523809523809524 0.411347517730496 "Trp53bp1_RT" "non-targeting_RT"
"12" "1700056E22Rik" 21.340281062223 1.44862819396878 3.43796478992381 0.000586103904122412 0.858593377547323 0.396825396825397 0.180851063829787 "Trp53bp1_RT" "non-targeting_RT"
"13" "Tmem140" 53.613060637691 1.07326849463202 3.39862650921174 0.000677251329437315 0.905000382303471 0.571428571428571 0.368794326241135 "Trp53bp1_RT" "non-targeting_RT"
"14" "G0s2" 62.2085604771979 1.41619195508999 3.38156314698165 0.000720746649539143 0.905000382303471 0.333333333333333 0.230496453900709 "Trp53bp1_RT" "non-targeting_RT"
"15" "AC168977.1" 16.9334081441234 2.3137632247833 3.3154175904525 0.000915063170507545 0.992538280232647 0.142857142857143 0.0780141843971631 "Trp53bp1_RT" "non-targeting_RT"
"16" "Fos" 100.491675728822 -0.888333212496286 -3.31325828375197 0.000922157778683299 0.992538280232647 0.555555555555556 0.648936170212766 "Trp53bp1_RT" "non-targeting_RT"
"17" "Olig1" 30.8912925887434 -1.23900479881434 -3.30203906251531 0.000959847019964446 0.992538280232647 0.222222222222222 0.25886524822695 "Trp53bp1_RT" "non-targeting_RT"
"18" "Dusp8" 22.6493386249081 1.25963301538271 3.28314683716029 0.00102655179807623 0.996918608105021 0.349206349206349 0.209219858156028 "Trp53bp1_RT" "non-targeting_RT"
"19" "Cyp1a1" 11.2998904505783 2.440205759323 3.25849450922251 0.00112005043775742 0.996918608105021 0.0952380952380952 0.0354609929078014 "Trp53bp1_RT" "non-targeting_RT"
"20" "Rspo3" 12.9223088939988 -3.61884995556577 -3.21490331227911 0.00130488465883923 0.996918608105021 0.0476190476190476 0.0815602836879433 "Trp53bp1_RT" "non-targeting_RT"
"21" "Ptgds" 13.2318208403653 2.29458122357302 3.20316477179903 0.0013592618645379 0.996918608105021 0.126984126984127 0.0638297872340425 "Trp53bp1_RT" "non-targeting_RT"
"22" "Gclm" 131.363812384 0.600832006557475 3.19838867356053 0.00138197880323138 0.996918608105021 0.793650793650794 0.695035460992908 "Trp53bp1_RT" "non-targeting_RT"
"23" "Spred1" 78.0701907323777 -0.757369971129453 -3.19385792552668 0.00140385188614283 0.996918608105021 0.634920634920635 0.695035460992908 "Trp53bp1_RT" "non-targeting_RT"
"24" "Nav3" 113.478161394445 -0.638225171492481 -3.18748736795741 0.00143514726596753 0.996918608105021 0.73015873015873 0.695035460992908 "Trp53bp1_RT" "non-targeting_RT"
"25" "Ifi27l2a" 2042.3120147466 -0.536395256953024 -3.16488014033128 0.0015514684845398 0.996918608105021 0.904761904761905 0.971631205673759 "Trp53bp1_RT" "non-targeting_RT"
"26" "Ccnd1" 628.675430669368 -0.391224638593016 -3.15451701594345 0.00160764003148415 0.996918608105021 0.746031746031746 0.865248226950355 "Trp53bp1_RT" "non-targeting_RT"
"27" "Phlda1" 602.62877500277 -0.530916572055761 -3.14870155321024 0.00163997587531242 0.996918608105021 0.904761904761905 0.904255319148936 "Trp53bp1_RT" "non-targeting_RT"
"28" "Wdfy1" 49.7232169226248 0.82099854186616 3.14069447411549 0.00168547763097134 0.996918608105021 0.571428571428571 0.436170212765957 "Trp53bp1_RT" "non-targeting_RT"
"29" "Nt5c" 81.0972666520623 -0.758424099864021 -3.11710682529716 0.00182635379957414 0.996918608105021 0.571428571428571 0.631205673758865 "Trp53bp1_RT" "non-targeting_RT"
"30" "Ddit3" 542.113925684438 0.531128290487796 3.10283517389373 0.00191676361699892 0.996918608105021 0.825396825396825 0.847517730496454 "Trp53bp1_RT" "non-targeting_RT"
"31" "AA467197" 246.606122659449 0.889347067496922 3.08228673270564 0.00205416865482813 0.996918608105021 0.746031746031746 0.687943262411348 "Trp53bp1_RT" "non-targeting_RT"
"32" "Tcf12" 167.099864552527 -0.671417730055121 -3.01532820178806 0.00256701317082791 0.996918608105021 0.777777777777778 0.812056737588652 "Trp53bp1_RT" "non-targeting_RT"
"33" "Csf1" 59.917624639644 0.86127226004551 3.00807258054665 0.00262910339262357 0.996918608105021 0.523809523809524 0.372340425531915 "Trp53bp1_RT" "non-targeting_RT"
"34" "Sde2" 120.879159189335 0.603182788118668 2.97074297080735 0.00297080302389239 0.996918608105021 0.714285714285714 0.698581560283688 "Trp53bp1_RT" "non-targeting_RT"
"35" "Gm10457" 33.0715646026395 -1.62260233651186 -2.96905956745315 0.00298712684772984 0.996918608105021 0.158730158730159 0.223404255319149 "Trp53bp1_RT" "non-targeting_RT"
"36" "Mbp" 227.721616340803 -0.579273361750082 -2.96203838017768 0.00305609686719732 0.996918608105021 0.793650793650794 0.794326241134752 "Trp53bp1_RT" "non-targeting_RT"
"37" "Gnai2" 218.70285363646 -0.480953313871613 -2.95176267308092 0.00315965676894262 0.996918608105021 0.793650793650794 0.822695035460993 "Trp53bp1_RT" "non-targeting_RT"
"38" "Gdnf" 26.6449770102981 1.17270995927035 2.94938238560211 0.00318409742285676 0.996918608105021 0.412698412698413 0.216312056737589 "Trp53bp1_RT" "non-targeting_RT"
"39" "Camk2b" 4.1506189869874 3.18493577740418 2.94896586824387 0.00318839186999396 0.996918608105021 0.0952380952380952 0.0141843971631206 "Trp53bp1_RT" "non-targeting_RT"
"40" "Zfand2a" 20.2209672445116 1.28083362077793 2.94589694006536 0.00322019673847967 0.996918608105021 0.444444444444444 0.177304964539007 "Trp53bp1_RT" "non-targeting_RT"
"41" "Mvb12a" 99.9941033150665 -0.645026991366423 -2.93719169604809 0.00331199305823477 0.996918608105021 0.682539682539683 0.773049645390071 "Trp53bp1_RT" "non-targeting_RT"
"42" "D730003I15Rik" 61.254212056894 0.748095071409029 2.9234288085547 0.00346199381996514 0.996918608105021 0.476190476190476 0.425531914893617 "Trp53bp1_RT" "non-targeting_RT"
"43" "Sqstm1" 343.109984582596 0.503203742820788 2.88772055459408 0.00388044449377908 0.996918608105021 0.857142857142857 0.812056737588652 "Trp53bp1_RT" "non-targeting_RT"
"44" "Dusp6" 78.2228512649456 -0.811510585822766 -2.88611982105133 0.00390023639079564 0.996918608105021 0.476190476190476 0.624113475177305 "Trp53bp1_RT" "non-targeting_RT"
"45" "Ctnnbip1" 81.7541052337517 -0.672435901776568 -2.88187621246775 0.00395315002943425 0.996918608105021 0.650793650793651 0.659574468085106 "Trp53bp1_RT" "non-targeting_RT"
"46" "Spry4" 23.8432562290599 -1.30877129983059 -2.8481664395254 0.00439719212890709 0.996918608105021 0.174603174603175 0.315602836879433 "Trp53bp1_RT" "non-targeting_RT"
"47" "Grcc10" 524.33335448915 -0.347803492832279 -2.83018696792305 0.00465208095936415 0.996918608105021 0.873015873015873 0.925531914893617 "Trp53bp1_RT" "non-targeting_RT"
"48" "Wfdc3" 33.9372414082006 1.34594189032931 2.82047857263581 0.00479520758338172 0.996918608105021 0.253968253968254 0.226950354609929 "Trp53bp1_RT" "non-targeting_RT"
"49" "Oser1" 84.6530630918776 0.719564858302884 2.7942244580322 0.00520243549077632 0.996918608105021 0.634920634920635 0.592198581560284 "Trp53bp1_RT" "non-targeting_RT"
"50" "Gm47758" 11.9218415729293 1.96742486309156 2.79078112430696 0.00525810159799134 0.996918608105021 0.158730158730159 0.0638297872340425 "Trp53bp1_RT" "non-targeting_RT"
"51" "Jazf1" 6.16780484511737 2.23476877487037 2.78799590803787 0.0053035213690575 0.996918608105021 0.19047619047619 0.0460992907801418 "Trp53bp1_RT" "non-targeting_RT"
"52" "AC133103.1" 9.40023825786518 1.96565124884334 2.78507175528318 0.00535158788119029 0.996918608105021 0.142857142857143 0.0673758865248227 "Trp53bp1_RT" "non-targeting_RT"
"53" "Plk4" 127.729341503232 -0.739488152103072 -2.77292737768645 0.00555545170841434 0.996918608105021 0.666666666666667 0.531914893617021 "Trp53bp1_RT" "non-targeting_RT"
"54" "Hspe1" 1921.94595781073 0.285588585706615 2.77143729625997 0.005580942005089 0.996918608105021 0.952380952380952 0.978723404255319 "Trp53bp1_RT" "non-targeting_RT"
"55" "S100a10" 1539.0347135298 0.429066972437186 2.76334696861892 0.00572119132674905 0.996918608105021 0.952380952380952 0.950354609929078 "Trp53bp1_RT" "non-targeting_RT"
"56" "Zfhx3" 115.245051852223 -0.605282044734505 -2.76127003450233 0.00575770489093458 0.996918608105021 0.698412698412698 0.687943262411348 "Trp53bp1_RT" "non-targeting_RT"
"57" "Sesn2" 38.1348483578057 0.94538404645439 2.75284213610598 0.00590803773179201 0.996918608105021 0.492063492063492 0.333333333333333 "Trp53bp1_RT" "non-targeting_RT"
"58" "Gm10138" 13.0583312440215 1.39564743692034 2.74780867990014 0.00599950057435442 0.996918608105021 0.301587301587302 0.102836879432624 "Trp53bp1_RT" "non-targeting_RT"
"59" "Tiparp" 125.812600286447 0.575295674390507 2.74529028203967 0.00604573948010536 0.996918608105021 0.777777777777778 0.645390070921986 "Trp53bp1_RT" "non-targeting_RT"
"60" "Errfi1" 38.6442605959641 0.857232437166152 2.74196827683692 0.00610722395447487 0.996918608105021 0.380952380952381 0.297872340425532 "Trp53bp1_RT" "non-targeting_RT"
