"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "mt-Nd4" 1065.2296070718 1.24149536751003 15.1248857551712 1.10993095031389e-51 1.28851884021939e-47 1 0.997750281214848 "Aars2_noRT" "non-targeting_noRT"
"2" "mt-Nd2" 1485.90824884569 1.67567948362191 13.6184759120526 3.10990127408727e-42 1.80514219454395e-38 1 1 "Aars2_noRT" "non-targeting_noRT"
"3" "mt-Nd1" 1363.17933411132 1.26555893936722 10.112121056882 4.88157914821067e-24 1.88900841105259e-20 0.9375 1 "Aars2_noRT" "non-targeting_noRT"
"4" "mt-Cytb" 3598.48232236562 1.04673436433185 8.8898704757354 6.11801843970454e-19 1.77560190166325e-15 1 1 "Aars2_noRT" "non-targeting_noRT"
"5" "Fn1" 74.4590050860301 2.21496809450251 7.90995170860806 2.57488757289185e-15 5.9783739667403e-12 0.6875 0.266591676040495 "Aars2_noRT" "non-targeting_noRT"
"6" "mt-Nd3" 143.068216300437 1.49686146122343 7.66890227001482 1.73474544885151e-14 3.3564433192862e-11 0.8125 0.813273340832396 "Aars2_noRT" "non-targeting_noRT"
"7" "mt-Nd4l" 62.1105074308731 1.58214754468582 6.07576107903302 1.23401027380558e-09 2.04651789551556e-06 0.75 0.524184476940383 "Aars2_noRT" "non-targeting_noRT"
"8" "Ly6c1" 15.9547713452545 2.79050860308397 5.62188197239132 1.88888303771872e-08 2.74100539810958e-05 0.1875 0.0764904386951631 "Aars2_noRT" "non-targeting_noRT"
"9" "Rps2" 3622.45583637381 -0.331646451429774 -5.59602968358432 2.19316167877775e-08 2.82893488099233e-05 0.9375 1 "Aars2_noRT" "non-targeting_noRT"
"10" "Arl6ip1" 196.30700896559 0.937647608368507 5.56346381938936 2.64471716611476e-08 3.07025215814262e-05 0.6875 0.768278965129359 "Aars2_noRT" "non-targeting_noRT"
"11" "Ncam1" 29.375524306281 2.1232137524101 5.33046338779249 9.79624820392511e-08 0.000103386041272151 0.5 0.219347581552306 "Aars2_noRT" "non-targeting_noRT"
"12" "Pak3" 33.0533697323486 1.85169796947344 5.17915811767884 2.22889492006728e-07 0.000215627009392176 0.5 0.272215973003375 "Aars2_noRT" "non-targeting_noRT"
"13" "Fam199x" 12.9777383970992 2.67177959487163 4.8871181806698 1.02322677603054e-06 0.000913741510995272 0.3125 0.0978627671541057 "Aars2_noRT" "non-targeting_noRT"
"14" "Gm10801" 2.63878040791695 7.90801358290825 4.84996713549667 1.23481932053132e-06 0.00102392982086058 0.125 0 "Aars2_noRT" "non-targeting_noRT"
"15" "Rack1" 1778.30189518049 -0.386453797802158 -4.83332585022911 1.34270740435213e-06 0.00103916601714159 0.875 0.998875140607424 "Aars2_noRT" "non-targeting_noRT"
"16" "Rpl7a" 1103.25462223832 -0.415386514501798 -4.67139536931656 2.99160476545741e-06 0.00207403157614884 0.75 1 "Aars2_noRT" "non-targeting_noRT"
"17" "Trmu" 12.3453025389272 2.65757523458545 4.65898088735281 3.17778702698151e-06 0.00207403157614884 0.4375 0.0877390326209224 "Aars2_noRT" "non-targeting_noRT"
