"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "2410006H16Rik" 6884.46568004178 -0.591531656919503 -16.6175837805443 5.19859594368665e-62 5.92431993742531e-58 0.987090367428004 0.998899889988999 "Abtb1_RT" "non-targeting_RT"
"2" "Ly6e" 3047.69969894056 0.645383307229101 15.561788830434 1.32347629797468e-54 7.54116794585971e-51 0.972194637537239 0.8998899889989 "Abtb1_RT" "non-targeting_RT"
"3" "Enpp2" 464.587292115087 -1.57756611403949 -14.5050367099248 1.12577236470882e-47 4.27643395607392e-44 0.328699106256207 0.476347634763476 "Abtb1_RT" "non-targeting_RT"
"4" "Ldha" 2998.63543836866 0.589032905271507 13.055995000021 5.87375589138469e-39 1.6734330534555e-35 0.984111221449851 0.973597359735974 "Abtb1_RT" "non-targeting_RT"
"5" "Gas5" 8665.43489665622 -0.450459551334155 -12.9175679586418 3.58288118444288e-38 8.16610279558221e-35 0.996027805362463 0.998899889988999 "Abtb1_RT" "non-targeting_RT"
"6" "Prss12" 180.645127671999 -1.93450838900554 -12.7291338021673 4.07332991620941e-37 7.73661128752041e-34 0.173783515392254 0.388338833883388 "Abtb1_RT" "non-targeting_RT"
"7" "Lgals1" 13930.5252935473 0.337387163967953 12.668131314301 8.88047514185901e-37 1.44574135309465e-33 0.997020854021847 0.994499449944995 "Abtb1_RT" "non-targeting_RT"
"8" "Ifi27l2a" 4120.50110366716 0.596270067935355 12.4358365531221 1.66983412190733e-35 2.37867870665699e-32 0.977159880834161 0.971397139713971 "Abtb1_RT" "non-targeting_RT"
"9" "Shisa8" 230.896498398579 -1.61452173006396 -12.4025230760463 2.53222679509935e-35 3.20636183966135e-32 0.200595829195631 0.361936193619362 "Abtb1_RT" "non-targeting_RT"
"10" "Tpi1" 3648.03324922089 0.505817206952575 12.1843894459185 3.76462075000875e-34 4.29016180670997e-31 0.987090367428004 0.986798679867987 "Abtb1_RT" "non-targeting_RT"
"11" "Cited1" 415.053819750084 1.14544650066703 11.3085541298353 1.19034871532163e-29 1.23320126907321e-26 0.512413108242304 0.364136413641364 "Abtb1_RT" "non-targeting_RT"
"12" "Cd74" 5466.29343469731 -0.486917228225538 -11.0595164266334 1.97157588627066e-28 1.87233989999503e-25 0.964250248262165 0.991199119911991 "Abtb1_RT" "non-targeting_RT"
"13" "Chchd10" 940.812447264537 -0.875949470506921 -10.8275754605069 2.54812989500247e-27 2.23372986795755e-24 0.574975173783515 0.729372937293729 "Abtb1_RT" "non-targeting_RT"
"14" "Aldoa" 2792.99820211659 0.471369754649409 10.7050446052428 9.63842347735424e-27 7.84567671056635e-24 0.979145978152929 0.964796479647965 "Abtb1_RT" "non-targeting_RT"
"15" "Atf5" 752.829247490519 -0.762382681114585 -10.011701873372 1.35402919986249e-23 1.02870111744219e-20 0.646474677259186 0.782178217821782 "Abtb1_RT" "non-targeting_RT"
"16" "Ifitm3" 13218.3216444352 0.271437311977611 9.9526359199284 2.45590422646871e-23 1.74921778530234e-20 0.994041708043694 1 "Abtb1_RT" "non-targeting_RT"
"17" "Prkg2" 745.643229765236 -0.866346434559613 -9.77909053834413 1.38448973962132e-22 9.28096768983799e-20 0.598808341608739 0.765676567656766 "Abtb1_RT" "non-targeting_RT"
"18" "Slc2a1" 494.189920265665 0.855171794426118 9.56540780128948 1.1175999825953e-21 7.07564966758669e-19 0.614697120158888 0.497249724972497 "Abtb1_RT" "non-targeting_RT"
"19" "Tnfrsf13c" 148.186913158487 -1.53394205154292 -9.33529684795716 1.00708646640677e-20 6.04039861640607e-18 0.169811320754717 0.297029702970297 "Abtb1_RT" "non-targeting_RT"
"20" "S100a6" 9664.58512268249 0.358479536763844 9.18147392791441 4.25230558599475e-20 2.42296372289981e-17 0.991062562065541 0.994499449944995 "Abtb1_RT" "non-targeting_RT"
"21" "Gapdh" 18432.6764847626 0.318575227893922 8.98851563942413 2.50591819540465e-19 1.35987827403959e-16 0.998013902681231 0.998899889988999 "Abtb1_RT" "non-targeting_RT"
"22" "Tspo" 3023.01122504092 0.35963416662669 8.94459399430711 3.73319541540936e-19 1.93379522518205e-16 0.982125124131082 0.968096809680968 "Abtb1_RT" "non-targeting_RT"
"23" "Mif" 9948.4290897521 0.262271081055418 8.92528302982811 4.44560994037275e-19 2.20270308176034e-16 0.996027805362463 0.996699669966997 "Abtb1_RT" "non-targeting_RT"
"24" "H2-Ab1" 1676.34553716898 -0.483619557691624 -8.80660881492593 1.28988877795817e-18 6.12482188067138e-16 0.822244289970208 0.897689768976898 "Abtb1_RT" "non-targeting_RT"
"25" "Snhg12" 2068.29506685635 -0.394355497337018 -8.74177085242401 2.29484583558335e-18 1.04608252569232e-15 0.962264150943396 0.979097909790979 "Abtb1_RT" "non-targeting_RT"
"26" "Olig1" 1094.21014120749 0.501793141632288 8.52019688970073 1.59282306261785e-17 6.98146600830499e-15 0.851042701092353 0.764576457645765 "Abtb1_RT" "non-targeting_RT"
"27" "H2-Aa" 1643.88691891639 -0.440868242248279 -8.44533716137947 3.03169165379005e-17 1.27959844765153e-14 0.777557100297915 0.88998899889989 "Abtb1_RT" "non-targeting_RT"
