"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Trf" 691.596214385084 4.1384745952763 30.6480330996552 2.80706955536761e-206 2.84917559869812e-202 0.8 0.314631463146315 "Bard1_RT" "non-targeting_RT"
"2" "Cd74" 1059.82236360489 -1.57533308047888 -18.5336690582773 1.10489682825328e-76 5.60735140338539e-73 0.861538461538462 0.991199119911991 "Bard1_RT" "non-targeting_RT"
"3" "Rps12" 14606.1742646516 -0.641589327350712 -17.5093169219089 1.2164498392784e-68 4.11565528955859e-65 1 1 "Bard1_RT" "non-targeting_RT"
"4" "Rpl3" 3678.05075909122 -0.61986836455651 -16.5222841556604 2.53608663623126e-61 6.43531983943681e-58 0.984615384615385 1 "Bard1_RT" "non-targeting_RT"
"5" "Rps15" 5291.2673793703 -0.548820947382035 -14.4123996079872 4.32421336553134e-47 8.77815313202863e-44 1 1 "Bard1_RT" "non-targeting_RT"
"6" "Cald1" 142.002890090976 2.06394533690858 13.5727803371363 5.80765372880108e-42 9.82461422455516e-39 0.769230769230769 0.377337733773377 "Bard1_RT" "non-targeting_RT"
"7" "Serpina3n" 861.908423229595 1.01970219168861 12.8901605727271 5.11372271613513e-38 7.41489793839594e-35 0.938461538461538 0.92959295929593 "Bard1_RT" "non-targeting_RT"
"8" "Rps26" 4047.77154570874 -0.636114190253237 -12.3755756100238 3.54344777721562e-35 4.49574936734231e-32 1 1 "Bard1_RT" "non-targeting_RT"
"9" "H2-Ab1" 299.573567054239 -2.11982444050145 -12.1563233407182 5.30949961489128e-34 5.98793567679406e-31 0.584615384615385 0.897689768976898 "Bard1_RT" "non-targeting_RT"
"10" "Atp1a2" 103.488703399667 3.15695568594889 11.7798284879652 4.95938817115847e-32 5.03377899372585e-29 0.569230769230769 0.116611661166117 "Bard1_RT" "non-targeting_RT"
"11" "Sat1" 760.812329447392 1.04375008238903 11.724300553237 9.56881278681113e-32 8.82940452601209e-29 0.938461538461538 0.936193619361936 "Bard1_RT" "non-targeting_RT"
"12" "Rpl10" 4326.94108123484 -0.74267808417939 -11.3775035900602 5.41270028877253e-30 4.57824232758677e-27 1 0.998899889988999 "Bard1_RT" "non-targeting_RT"
"13" "Rps20" 15549.2009941016 -0.345970169760753 -10.5276991312044 6.43890917551272e-26 5.02730216395801e-23 1 1 "Bard1_RT" "non-targeting_RT"
"14" "Igtp" 567.427113013711 -0.829847378521978 -9.28680608652103 1.58987530157713e-20 1.15265959364342e-17 0.846153846153846 0.973597359735974 "Bard1_RT" "non-targeting_RT"
"15" "Igsf8" 89.8490742639589 1.65327097000984 9.24615033960122 2.32723736504197e-20 1.55497901569866e-17 0.676923076923077 0.365236523652365 "Bard1_RT" "non-targeting_RT"
"16" "Pdia3" 655.210494178789 0.715337703480197 9.24059955670748 2.45119844839197e-20 1.55497901569866e-17 0.938461538461538 0.965896589658966 "Bard1_RT" "non-targeting_RT"
"17" "Cd81" 585.308650204163 0.89534458697488 9.15730133273827 5.32113260071748e-20 3.17702917042838e-17 0.753846153846154 0.749174917491749 "Bard1_RT" "non-targeting_RT"
"18" "Atp5b" 1437.5394446434 -0.501618761413291 -9.12698292271812 7.04348262053181e-20 3.97174158879988e-17 0.984615384615385 1 "Bard1_RT" "non-targeting_RT"
"19" "Sri" 240.52092347533 -1.32905886479626 -9.08755195025314 1.01294007457567e-19 5.41123250365422e-17 0.784615384615385 0.882288228822882 "Bard1_RT" "non-targeting_RT"
"20" "Itih5" 44.7660097236258 2.51134070382312 8.8545611873151 8.40136689548984e-19 4.26369369946109e-16 0.476923076923077 0.127612761276128 "Bard1_RT" "non-targeting_RT"
"21" "Plaat3" 131.210732233131 -2.05421927074743 -8.73349398012581 2.46923866885356e-18 1.19346535661255e-15 0.353846153846154 0.820682068206821 "Bard1_RT" "non-targeting_RT"
"22" "H2-Eb1" 458.511760747549 -1.78793155438662 -8.63192391808465 6.03285094534425e-18 2.78333804978382e-15 0.584615384615385 0.95049504950495 "Bard1_RT" "non-targeting_RT"
"23" "Rpl26" 5307.12217034626 -0.273402276985549 -8.5771336827986 9.72665493973413e-18 4.23191161719239e-15 1 0.998899889988999 "Bard1_RT" "non-targeting_RT"
"24" "Serf2" 1544.17236984788 0.754101863745724 8.5738693904373 1.00064905234106e-17 4.23191161719239e-15 1 0.994499449944995 "Bard1_RT" "non-targeting_RT"
"25" "Gbp2" 310.200284218745 -1.18933092021673 -8.23418764367194 1.80780142693253e-16 7.33967379334605e-14 0.615384615384615 0.885588558855886 "Bard1_RT" "non-targeting_RT"
"26" "Cd9" 1527.05165547307 0.499841736737074 8.2155398940138 2.11211816986182e-16 8.24538439388363e-14 0.953846153846154 0.994499449944995 "Bard1_RT" "non-targeting_RT"
"27" "Psmb8" 901.51241860399 -0.615877926683586 -8.16187568732732 3.29861598158699e-16 1.24003526715215e-13 0.953846153846154 0.992299229922992 "Bard1_RT" "non-targeting_RT"
"28" "Cst3" 362.366706638562 0.775105542977791 8.05495221622779 7.95098640505301e-16 2.88223257183171e-13 1 0.932893289328933 "Bard1_RT" "non-targeting_RT"
"29" "Col3a1" 39.0219186166507 4.08400217304908 8.04641103713342 8.5257310442823e-16 2.9840058654988e-13 0.384615384615385 0.0363036303630363 "Bard1_RT" "non-targeting_RT"
"30" "Rpl30" 9922.48989435847 -0.306259965204521 -7.94820038208485 1.89240380484545e-15 6.30692080957275e-13 1 1 "Bard1_RT" "non-targeting_RT"
"31" "Eef2" 1884.22946581008 -0.470156506503731 -7.9460033822426 1.9262516758301e-15 6.30692080957275e-13 0.984615384615385 0.998899889988999 "Bard1_RT" "non-targeting_RT"
"32" "Mgst2" 53.6067074187371 2.05015771854158 7.79545922719027 6.41746572719434e-15 2.03553991034446e-12 0.507692307692308 0.209020902090209 "Bard1_RT" "non-targeting_RT"
"33" "Gas5" 2059.68220359925 -0.607621932277398 -7.77083223045862 7.79721163516939e-15 2.39823327566574e-12 1 0.998899889988999 "Bard1_RT" "non-targeting_RT"
"34" "Rpl19" 8461.35101860931 -0.259491390034586 -7.71427326458657 1.21673530165679e-14 3.63231273876955e-12 1 1 "Bard1_RT" "non-targeting_RT"
"35" "Eef1a1" 10372.4039658063 -0.192241988826397 -7.67252351721097 1.68645026221976e-14 4.89070576043731e-12 1 1 "Bard1_RT" "non-targeting_RT"
"36" "Rpl8" 8046.32700938435 -0.24823963194179 -7.60359320416463 2.88019646140481e-14 8.02798496698874e-12 1 1 "Bard1_RT" "non-targeting_RT"
"37" "Rps27a" 10975.7819517643 -0.237794733994181 -7.60153183554692 2.92645757417323e-14 8.02798496698874e-12 1 0.998899889988999 "Bard1_RT" "non-targeting_RT"
