"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Lgals1" 2405.40807924428 0.799816003236902 10.7877582926056 3.93265207117868e-27 4.22209526361744e-23 1 1 "Bora_noRT" "non-targeting_noRT"
"2" "Ripk2" 96.3597093730126 2.10999710515522 9.8654137927457 5.87915351226758e-23 3.15592960538524e-19 0.8125 0.447694038245219 "Bora_noRT" "non-targeting_noRT"
"3" "Cstb" 1857.57036732536 1.84789227054662 8.39468758125535 4.67134678981121e-17 1.67171930451377e-13 1 0.986501687289089 "Bora_noRT" "non-targeting_noRT"
"4" "S100a6" 1063.11729546785 0.611505070175501 7.2922183972855 3.04892381105746e-13 8.18331150887822e-10 1 0.992125984251969 "Bora_noRT" "non-targeting_noRT"
"5" "Cnp" 112.253590199181 1.47597024135906 7.25300239961142 4.07632858543382e-13 8.75269273864351e-10 0.75 0.524184476940383 "Bora_noRT" "non-targeting_noRT"
"6" "Coq8a" 24.2537756163622 3.34490424704744 7.18900946105666 6.5263052221989e-13 1.16777354775879e-09 0.3125 0.062992125984252 "Bora_noRT" "non-targeting_noRT"
"7" "Glod5" 65.5757156026573 3.40912943168855 7.13614806719995 9.5982617033332e-13 1.47209910924265e-09 0.375 0.113610798650169 "Bora_noRT" "non-targeting_noRT"
"8" "Uchl1" 157.707045149973 1.20809750653828 6.21030049060154 5.28833786665224e-10 6.40982891906432e-07 0.875 0.735658042744657 "Bora_noRT" "non-targeting_noRT"
"9" "Prrg4" 28.0691226195769 2.33167628292126 6.20779358664684 5.37336626970742e-10 6.40982891906432e-07 0.4375 0.174353205849269 "Bora_noRT" "non-targeting_noRT"
"10" "Arid4a" 66.2707722184894 1.53907300322359 5.77581037819808 7.65835840059598e-09 7.64244281180941e-06 0.8125 0.493813273340832 "Bora_noRT" "non-targeting_noRT"
"11" "Mkrn1" 124.028904977536 1.12349575532385 5.77206968701851 7.83037173341128e-09 7.64244281180941e-06 0.9375 0.707536557930259 "Bora_noRT" "non-targeting_noRT"
"12" "Opalin" 8.32395322666177 4.02386411181304 5.71980185226883 1.06648351438826e-08 9.54147250872699e-06 0.1875 0.015748031496063 "Bora_noRT" "non-targeting_noRT"
"13" "Sparc" 236.42630081515 -1.33405906284895 -5.66996467112481 1.42826968440865e-08 1.17953102552395e-05 0.875 0.884139482564679 "Bora_noRT" "non-targeting_noRT"
"14" "Tnfrsf9" 13.7668960819256 3.08031737773553 5.56865888421661 2.56707483963473e-08 1.96857967702275e-05 0.375 0.0607424071991001 "Bora_noRT" "non-targeting_noRT"
"15" "Sec11c" 197.500657134499 0.880037567338631 5.5243355282934 3.30734888122835e-08 2.36717983925784e-05 0.9375 0.874015748031496 "Bora_noRT" "non-targeting_noRT"
"16" "Khdrbs2" 22.9269833763472 2.32818808483432 5.44804398467577 5.09267660201018e-08 3.41718599994883e-05 0.375 0.140607424071991 "Bora_noRT" "non-targeting_noRT"
"17" "Snx30" 30.6812309704373 2.21591090269009 5.36597055199352 8.05150783731181e-08 5.08476400831645e-05 0.375 0.179977502812148 "Bora_noRT" "non-targeting_noRT"
"18" "Neb" 73.2704910089717 1.33192089459496 5.31863120210572 1.04550814113488e-07 6.23587522401338e-05 0.75 0.445444319460068 "Bora_noRT" "non-targeting_noRT"
"19" "Plac8" 12.4140675680072 3.29169829285409 5.29672293308857 1.17899377260295e-07 6.66193533824489e-05 0.3125 0.0348706411698538 "Bora_noRT" "non-targeting_noRT"
"20" "Tspo" 343.186395960445 0.682084935682479 5.26117235116875 1.4313977941878e-07 7.68374335920008e-05 1 0.973003374578178 "Bora_noRT" "non-targeting_noRT"
"21" "Fkbp15" 24.6706455522635 2.24087998019689 5.15768935361567 2.50015962750472e-07 0.00012781768457567 0.25 0.168728908886389 "Bora_noRT" "non-targeting_noRT"
"22" "Laptm4b" 107.440687299348 1.22248593905493 5.08660193366282 3.64535832812852e-07 0.000177893486412672 0.9375 0.696287964004499 "Bora_noRT" "non-targeting_noRT"
"23" "Dbi" 2002.40470740945 -0.667958213885294 -4.87835114632135 1.06976351318013e-06 0.000499347003369647 1 1 "Bora_noRT" "non-targeting_noRT"
"24" "Tubb4a" 7.58331222600873 3.52855167001882 4.83170461663924 1.35368994993518e-06 0.000605550637604338 0.1875 0.0179977502812148 "Bora_noRT" "non-targeting_noRT"
"25" "Slc1a3" 65.5432902049204 -2.33341147942566 -4.75064997702558 2.0276384397216e-06 0.000870749051554043 0.5 0.772778402699663 "Bora_noRT" "non-targeting_noRT"
"26" "Col9a1" 66.698441893386 -2.2004730036541 -4.70277372880246 2.56650795143449e-06 0.00105977036025387 0.4375 0.753655793025872 "Bora_noRT" "non-targeting_noRT"
"27" "Tnfaip2" 9.42146142615366 3.10618086661345 4.66313395370833 3.11429890052778e-06 0.00123801243635387 0.25 0.0359955005624297 "Bora_noRT" "non-targeting_noRT"
"28" "Sept4" 12.3991075877475 3.7636507959127 4.65570143601192 3.22879547484242e-06 0.00123801243635387 0.125 0.0326209223847019 "Bora_noRT" "non-targeting_noRT"
"29" "Dnttip1" 83.2331397661857 1.09658466418042 4.64266754243315 3.43939536468953e-06 0.0012732878839761 0.8125 0.656917885264342 "Bora_noRT" "non-targeting_noRT"
"30" "Cpe" 86.449143145092 1.10242548281932 4.59966254004062 4.23175898290651e-06 0.00151440548134948 0.875 0.611923509561305 "Bora_noRT" "non-targeting_noRT"
"31" "Got1" 82.186827054853 1.09885312580249 4.56261352379961 5.05207605081275e-06 0.00174964801553309 0.875 0.606299212598425 "Bora_noRT" "non-targeting_noRT"
