"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "H19" 174.937414637024 3.45114724854946 12.0004154086097 3.53517607194094e-33 3.63875673084881e-29 0.281914893617021 0.077615298087739 "Brca2_noRT" "non-targeting_noRT"
"2" "Cd81" 1422.00918632089 0.789142284292279 11.7186572279577 1.02280295407646e-31 5.26385540315448e-28 0.867021276595745 0.814398200224972 "Brca2_noRT" "non-targeting_noRT"
"3" "Krt8" 1957.59162499906 1.14705859632653 8.53103578128487 1.45043162070305e-17 4.97643089063218e-14 0.718085106382979 0.62429696287964 "Brca2_noRT" "non-targeting_noRT"
"4" "Ly6e" 922.057727885111 0.516714613856575 7.25434556925481 4.03608471011149e-13 1.03858549802944e-09 0.973404255319149 0.888638920134983 "Brca2_noRT" "non-targeting_noRT"
"5" "Bag1" 1206.24591553197 -0.429233025392761 -6.51297889777281 7.36748641043709e-11 1.51667075245258e-07 0.957446808510638 0.976377952755906 "Brca2_noRT" "non-targeting_noRT"
"6" "Fn1" 163.045440523751 1.2296381656985 6.36149733758002 1.99796373053215e-10 3.4275067797279e-07 0.308510638297872 0.266591676040495 "Brca2_noRT" "non-targeting_noRT"
"7" "Uchl1" 396.029377186472 0.563242688534169 5.96355817597319 2.4680352475748e-09 3.62906954332677e-06 0.835106382978723 0.735658042744657 "Brca2_noRT" "non-targeting_noRT"
"8" "H2-Ab1" 628.574679037774 -0.574488990268015 -5.91669360788839 3.28477766962782e-09 4.2262770691849e-06 0.765957446808511 0.83689538807649 "Brca2_noRT" "non-targeting_noRT"
"9" "H2-Aa" 663.104420953576 -0.569405273413382 -5.62733943326235 1.83010382478507e-08 2.09302874094586e-05 0.76063829787234 0.820022497187851 "Brca2_noRT" "non-targeting_noRT"
"10" "Cstb" 3304.63521879033 0.512982985505536 5.53773542476462 3.0640766679114e-08 3.1538541142812e-05 0.978723404255319 0.986501687289089 "Brca2_noRT" "non-targeting_noRT"
"11" "Ivns1abp" 52.0579174107853 1.23676420291805 5.41613744375337 6.0900293694486e-08 5.55118947471462e-05 0.393617021276596 0.191226096737908 "Brca2_noRT" "non-targeting_noRT"
"12" "Igtp" 789.375569982857 -0.399606321731502 -5.40525007103898 6.4718035263359e-08 5.55118947471462e-05 0.888297872340426 0.881889763779528 "Brca2_noRT" "non-targeting_noRT"
"13" "Iigp1" 301.206075445476 -0.552564557346041 -5.11218409093643 3.1845525807536e-07 0.000252143074720745 0.50531914893617 0.580427446569179 "Brca2_noRT" "non-targeting_noRT"
"14" "Cd48" 15.3690774823487 2.28443057923633 5.04867941534626 4.44874550373911e-07 0.000327078124785619 0.154255319148936 0.0359955005624297 "Brca2_noRT" "non-targeting_noRT"
"15" "H2-Eb1" 963.657727898977 -0.503560128297469 -5.02437713308499 5.05069019661856e-07 0.000346578361291965 0.882978723404255 0.902137232845894 "Brca2_noRT" "non-targeting_noRT"
"16" "Fkbp4" 684.540506073734 -0.378252964830475 -4.8151440139355 1.47093768637709e-06 0.000921755355646258 0.925531914893617 0.949381327334083 "Brca2_noRT" "non-targeting_noRT"
"17" "Brca2" 11.8266279507759 -5.87432722921538 -4.80827553273399 1.52237841698109e-06 0.000921755355646258 0 0.146231721034871 "Brca2_noRT" "non-targeting_noRT"
"18" "Atp1a2" 51.8967160243522 1.15492439846325 4.6579722825603 3.19339194338679e-06 0.00182608795962668 0.228723404255319 0.124859392575928 "Brca2_noRT" "non-targeting_noRT"
"19" "Hspe1" 2418.628636906 -0.300123299123452 -4.59183249401369 4.39370958654927e-06 0.00238023435654483 0.99468085106383 0.996625421822272 "Brca2_noRT" "non-targeting_noRT"
"20" "Ripk2" 154.76712118777 0.626929204746217 4.48969968591592 7.13236579585434e-06 0.00367067205683644 0.5 0.447694038245219 "Brca2_noRT" "non-targeting_noRT"
"21" "Sytl2" 47.9487299643024 1.06711387578996 4.4240233645756 9.68795359479005e-06 0.00474848125481781 0.292553191489362 0.170978627671541 "Brca2_noRT" "non-targeting_noRT"
"22" "Id2" 100.073598171823 -0.862310212683033 -4.38891218729861 1.13919053099463e-05 0.0053298582434217 0.265957446808511 0.330708661417323 "Brca2_noRT" "non-targeting_noRT"
"23" "Col3a1" 30.4534296608389 1.45071024445916 4.30607025242899 1.66180299940452e-05 0.00743692968385682 0.186170212765957 0.0866141732283465 "Brca2_noRT" "non-targeting_noRT"
"24" "Ly6a" 229.386124361828 0.568824088390799 4.28817099088144 1.80150392416025e-05 0.00772619995474227 0.50531914893617 0.428571428571429 "Brca2_noRT" "non-targeting_noRT"
"25" "Col11a1" 1015.28859572632 0.337623043563452 4.2575823667449 2.06649533478821e-05 0.00850817459239003 0.973404255319149 0.96400449943757 "Brca2_noRT" "non-targeting_noRT"
"26" "Kcnn4" 47.0045153401168 -1.58635462343667 -4.23636184182889 2.27170589745096e-05 0.00899333415479336 0.074468085106383 0.236220472440945 "Brca2_noRT" "non-targeting_noRT"
"27" "Bpgm" 344.518930139405 0.452193361491315 4.20941851767739 2.56028753336658e-05 0.0097603850299786 0.771276595744681 0.667041619797525 "Brca2_noRT" "non-targeting_noRT"
"28" "Vldlr" 36.6875740850569 1.19453343442522 4.18899439117184 2.80193324319932e-05 0.0103001067400895 0.212765957446809 0.125984251968504 "Brca2_noRT" "non-targeting_noRT"
"29" "Usp18" 220.571958140664 -0.547164590362385 -4.13077937376908 3.61535432580946e-05 0.0125801257955619 0.590425531914894 0.664791901012373 "Brca2_noRT" "non-targeting_noRT"
"30" "Stmn1" 480.264399014811 0.344671249346737 4.12754253962724 3.66660617766306e-05 0.0125801257955619 0.74468085106383 0.744656917885264 "Brca2_noRT" "non-targeting_noRT"
"31" "Neb" 178.74935177181 0.610464113882271 4.07366029074115 4.62799732217926e-05 0.0153664440119971 0.579787234042553 0.445444319460068 "Brca2_noRT" "non-targeting_noRT"
"32" "Adh7" 7.34219500468187 2.99077813230052 4.01489457008557 5.94723734790234e-05 0.0191296606318621 0.0691489361702128 0.0123734533183352 "Brca2_noRT" "non-targeting_noRT"
"33" "Hsp90b1" 2141.7649277871 -0.205924923876968 -4.00082199243695 6.31228301291453e-05 0.0196885845611907 0.98936170212766 0.997750281214848 "Brca2_noRT" "non-targeting_noRT"
"34" "Bricd5" 37.1443812421442 1.0730206776846 3.95844448480252 7.54394703120692e-05 0.0228381902330038 0.25531914893617 0.146231721034871 "Brca2_noRT" "non-targeting_noRT"
"35" "Nupr1" 286.672865520442 0.628400196034796 3.92225802830579 8.77229743116566e-05 0.0257980735597109 0.462765957446808 0.453318335208099 "Brca2_noRT" "non-targeting_noRT"
"36" "Tcf12" 448.766070033379 0.351373590723585 3.91093461476473 9.193966126858e-05 0.0262870814843748 0.856382978723404 0.858267716535433 "Brca2_noRT" "non-targeting_noRT"
"37" "Phb2" 787.972897410476 -0.298336295220682 -3.89810093396813 9.69500083269556e-05 0.0269704442083609 0.936170212765957 0.96400449943757 "Brca2_noRT" "non-targeting_noRT"
"38" "Rorb" 683.206423400723 0.316801486149493 3.88230460928824 0.000103471149330176 0.0280270668435659 0.925531914893617 0.893138357705287 "Brca2_noRT" "non-targeting_noRT"
"39" "Fxyd3" 145.670179156742 -0.73549675820246 -3.8556849962669 0.000115406017349639 0.0301586802025945 0.361702127659574 0.43644544431946 "Brca2_noRT" "non-targeting_noRT"
"40" "Psmd6" 162.126770212145 -0.554419026990694 -3.85190866537205 0.000117200739153189 0.0301586802025945 0.569148936170213 0.681664791901012 "Brca2_noRT" "non-targeting_noRT"
"41" "Emg1" 608.824220403372 -0.330231634153864 -3.79480533023166 0.000147759344363987 0.0370948032082564 0.946808510638298 0.937007874015748 "Brca2_noRT" "non-targeting_noRT"
"42" "Hbegf" 427.341677070654 -0.428771996512885 -3.75671622840102 0.000172157524445174 0.0414214306804155 0.707446808510638 0.767154105736783 "Brca2_noRT" "non-targeting_noRT"
"43" "Nrcam" 45.9594855978188 0.910104290643193 3.75543304178476 0.000173042020718728 0.0414214306804155 0.276595744680851 0.191226096737908 "Brca2_noRT" "non-targeting_noRT"
