"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Cdkn1a" 430.764938009996 -4.14650106792648 -29.47712666378 5.6559101984183e-191 1.64756664079925e-187 0.0701754385964912 0.696287964004499 "Cdkn1a_noRT" "non-targeting_noRT"
"2" "Fn1" 552.512758743897 1.70243040499472 17.3527288640619 1.88093078089118e-67 2.73957568236801e-64 0.484649122807018 0.266591676040495 "Cdkn1a_noRT" "non-targeting_noRT"
"3" "Rps24" 24398.0209980596 -0.322467718614979 -13.561072594023 6.81324543850594e-42 6.61566132078927e-39 0.999269005847953 1 "Cdkn1a_noRT" "non-targeting_noRT"
"4" "Rpl15" 19055.216388252 -0.296220532571352 -12.6075076100978 1.91968314179148e-36 1.39800924800964e-33 0.998538011695906 1 "Cdkn1a_noRT" "non-targeting_noRT"
"5" "Tpt1" 45302.8153493781 -0.27470510373354 -12.2105558744078 2.73017445320347e-34 1.59059963643634e-31 0.998538011695906 1 "Cdkn1a_noRT" "non-targeting_noRT"
"6" "Ifi27l2a" 3628.0590501995 0.39292785339425 10.7758159827648 4.47793866166835e-27 2.17403922023998e-24 0.972222222222222 0.9392575928009 "Cdkn1a_noRT" "non-targeting_noRT"
"7" "Ivns1abp" 151.665654514331 1.41344432967343 9.03582706511417 1.62766873351901e-19 NA 0.400584795321637 0.191226096737908 "Cdkn1a_noRT" "non-targeting_noRT"
"8" "Rpl18a" 35830.0792132938 -0.186500223985993 -8.36908106222701 5.8069294336639e-17 2.14829983955079e-14 1 1 "Cdkn1a_noRT" "non-targeting_noRT"
"9" "Ly6a" 630.773106298461 0.64285754468221 8.36720906353914 5.89989657274504e-17 2.14829983955079e-14 0.492690058479532 0.428571428571429 "Cdkn1a_noRT" "non-targeting_noRT"
"10" "Col2a1" 1225.44721148947 0.550692690986236 8.1697014130722 3.09153645951942e-16 9.73595630463896e-14 0.578947368421053 0.520809898762655 "Cdkn1a_noRT" "non-targeting_noRT"
"11" "Serpina3n" 1967.83858158741 0.424328573350856 8.16028883764359 3.34224383956023e-16 9.73595630463896e-14 0.87280701754386 0.839145106861642 "Cdkn1a_noRT" "non-targeting_noRT"
"12" "Ly6e" 2304.5463796296 0.348589461287874 7.84561293115659 4.30843924665023e-15 1.14095304777201e-12 0.929093567251462 0.888638920134983 "Cdkn1a_noRT" "non-targeting_noRT"
"13" "Selenok" 1866.96286101371 -0.355488733169466 -7.780943570314 7.19856016443567e-15 1.74745047991676e-12 0.943713450292398 0.967379077615298 "Cdkn1a_noRT" "non-targeting_noRT"
"14" "Rps15" 21023.6283876491 -0.17392354048407 -7.55237657145286 4.27386615852978e-14 9.57674778445943e-12 0.999269005847953 1 "Cdkn1a_noRT" "non-targeting_noRT"
"15" "Gpx2" 352.830949598418 0.791669166753267 7.49668226014084 6.5453383273062e-14 1.36189789624593e-11 0.338450292397661 0.258717660292463 "Cdkn1a_noRT" "non-targeting_noRT"
"16" "Mfsd13a" 67.3175428209337 -1.71591235614838 -7.36710742240413 1.74369977748159e-13 NA 0.0745614035087719 0.143982002249719 "Cdkn1a_noRT" "non-targeting_noRT"
"17" "H2-Aa" 1883.60694799169 -0.357209582754878 -7.13174528027578 9.91041528464702e-13 1.92460264827845e-10 0.779970760233918 0.820022497187851 "Cdkn1a_noRT" "non-targeting_noRT"
"18" "Jund" 1338.69614879014 -0.380093119147185 -7.0591370912231 1.67539722409336e-12 3.05027007111497e-10 0.864035087719298 0.904386951631046 "Cdkn1a_noRT" "non-targeting_noRT"
"19" "Rpl3" 15080.083044929 -0.189986982813193 -7.00643465691383 2.44467653072361e-12 4.1890251376458e-10 0.999269005847953 0.998875140607424 "Cdkn1a_noRT" "non-targeting_noRT"
"20" "Hes1" 519.202659734658 0.570956635498455 6.98943751134967 2.75990505493797e-12 4.46644634724128e-10 0.587719298245614 0.453318335208099 "Cdkn1a_noRT" "non-targeting_noRT"
"21" "Psme2" 2227.57221607064 -0.291956019501339 -6.9055937878392 4.99938657530402e-12 7.66484899676875e-10 0.944444444444444 0.970753655793026 "Cdkn1a_noRT" "non-targeting_noRT"
"22" "Phlda2" 1478.52630581142 0.349216408852912 6.81802930477102 9.22978185981259e-12 1.3443177278817e-09 0.656432748538012 0.686164229471316 "Cdkn1a_noRT" "non-targeting_noRT"
"23" "Rps2" 38493.8642435971 -0.140933000514714 -6.76099926792803 1.37043216658948e-11 1.90098519108341e-09 1 1 "Cdkn1a_noRT" "non-targeting_noRT"
"24" "Psme1" 2322.2400128811 -0.281017233198488 -6.49107073794155 8.52284469858547e-11 1.12850211849907e-08 0.952485380116959 0.976377952755906 "Cdkn1a_noRT" "non-targeting_noRT"
"25" "Malat1" 26194.7341089335 0.183128688268905 6.43712096761017 1.21760893764555e-10 1.54212818928761e-08 0.997076023391813 0.998875140607424 "Cdkn1a_noRT" "non-targeting_noRT"
"26" "Gatm" 738.640141323115 -0.462245173901966 -6.34759298003983 2.18709796073171e-10 2.65459014983811e-08 0.595760233918129 0.664791901012373 "Cdkn1a_noRT" "non-targeting_noRT"
"27" "Rpl32" 29009.6059047599 -0.142812587767403 -6.32755180412615 2.4908136271882e-10 2.89927335319053e-08 0.999269005847953 1 "Cdkn1a_noRT" "non-targeting_noRT"
"28" "Rps12" 65109.205631236 -0.125554556779356 -6.32165607374994 2.58774827267263e-10 2.89927335319053e-08 1 1 "Cdkn1a_noRT" "non-targeting_noRT"
"29" "Tuba1a" 7009.79034632181 -0.201391935323792 -6.25150210456481 4.06523622445888e-10 4.23639431804709e-08 0.986111111111111 0.993250843644544 "Cdkn1a_noRT" "non-targeting_noRT"
"30" "Cd74" 5576.94741248719 -0.219966103463849 -6.2512403014162 4.07205770358114e-10 4.23639431804709e-08 0.95687134502924 0.962879640044994 "Cdkn1a_noRT" "non-targeting_noRT"
"31" "Npm1" 23717.1889220983 -0.163726274139568 -6.2071854503735 5.39419307360672e-10 5.4183739391091e-08 0.999269005847953 1 "Cdkn1a_noRT" "non-targeting_noRT"
"32" "Eef1a1" 47280.3231703586 -0.131600598128946 -6.15188717290244 7.65663420272491e-10 7.43459181084588e-08 1 1 "Cdkn1a_noRT" "non-targeting_noRT"
"33" "Rps20" 67899.3249426096 -0.140062972909805 -6.13209639743998 8.67285225264549e-10 8.14968342321172e-08 1 1 "Cdkn1a_noRT" "non-targeting_noRT"
"34" "Tcim" 1261.83502631187 -0.384885723546197 -6.10520061275713 1.02671639348855e-09 9.34632766947541e-08 0.721491228070175 0.782902137232846 "Cdkn1a_noRT" "non-targeting_noRT"
