"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Rps24" 2482.66095862083 -0.623151831410313 -8.77238335573249 1.74923684607934e-18 1.77407600929366e-14 1 1 "Chek1_noRT" "non-targeting_noRT"
"2" "Rpl15" 1926.60655333759 -0.607902127100676 -8.38452332756613 5.09317201704086e-17 2.58274752984142e-13 1 1 "Chek1_noRT" "non-targeting_noRT"
"3" "Rpl18a" 3708.63540032625 -0.40718790215211 -6.74487071792742 1.53163340829888e-11 4.75416517828304e-08 1 1 "Chek1_noRT" "non-targeting_noRT"
"4" "Fau" 2878.07802485178 -0.428074490470716 -6.71543651526985 1.87504049626624e-11 4.75416517828304e-08 1 1 "Chek1_noRT" "non-targeting_noRT"
"5" "Rpl28" 2589.75094703219 -0.388360892198854 -5.5390303338253 3.04150964957013e-08 6.16939817318806e-05 1 1 "Chek1_noRT" "non-targeting_noRT"
"6" "Rps20" 7059.54877047265 -0.340084935292637 -5.30169957866265 1.14729530425465e-07 0.000168914645834343 1 1 "Chek1_noRT" "non-targeting_noRT"
"7" "Tpt1" 4612.78333915192 -0.555418630295826 -5.29877099041323 1.16584748653165e-07 0.000168914645834343 1 1 "Chek1_noRT" "non-targeting_noRT"
"8" "Zfp239" 46.0320997695267 1.5500147874601 5.17611857163739 2.26549509408062e-07 0.00028720814055207 0.8 0.402699662542182 "Chek1_noRT" "non-targeting_noRT"
"9" "Phactr1" 47.5420724472814 1.68522012672066 5.13306229415424 2.85065503051971e-07 0.000321237147994788 0.666666666666667 0.386951631046119 "Chek1_noRT" "non-targeting_noRT"
"10" "Rps5" 2683.75817223163 -0.325859716797773 -5.01531984018485 5.29453156275337e-07 0.000536971391094447 1 1 "Chek1_noRT" "non-targeting_noRT"
"11" "Rpl23" 5046.59302195972 -0.267093504960371 -4.83407504761936 1.33766119710161e-06 0.00123332362372768 1 1 "Chek1_noRT" "non-targeting_noRT"
"12" "Selenok" 175.112601562398 -0.969496130613491 -4.46347705728094 8.06402365271318e-06 0.00652460137526796 0.933333333333333 0.967379077615298 "Chek1_noRT" "non-targeting_noRT"
"13" "Gsx2" 4.39505236937392 4.25473923628568 4.45566834111145 8.36322400694967e-06 0.00652460137526796 0.133333333333333 0.0112485939257593 "Chek1_noRT" "non-targeting_noRT"
"14" "Rps15a" 2374.28517011798 -0.285513196283712 -4.39547241495689 1.10532100698618e-05 0.00789390499003924 1 1 "Chek1_noRT" "non-targeting_noRT"
"15" "Prxl2b" 9.65581861707923 2.82337558172503 4.37251580395547 1.22822922993908e-05 0.00789390499003924 0.4 0.0528683914510686 "Chek1_noRT" "non-targeting_noRT"
"16" "Wrb" 11.1818092285908 2.5324334873833 4.3601416443576 1.29978280662621e-05 0.00789390499003924 0.466666666666667 0.0742407199100112 "Chek1_noRT" "non-targeting_noRT"
"17" "Rps16" 3404.08786546462 -0.270633377813243 -4.35623704952257 1.32317476662066e-05 0.00789390499003924 1 1 "Chek1_noRT" "non-targeting_noRT"
"18" "Abhd3" 11.7526902300895 2.69046451977791 4.32265137525216 1.54165237856994e-05 0.00868635467969796 0.133333333333333 0.0674915635545557 "Chek1_noRT" "non-targeting_noRT"
"19" "Zfp74" 9.81930053834101 2.69825120995683 4.2664336920991 1.98622491931051e-05 0.0106022595429722 0.333333333333333 0.0573678290213723 "Chek1_noRT" "non-targeting_noRT"
"20" "Cd200" 10.3630364025819 2.71430731432494 4.24199458526367 2.21542038377095e-05 0.0112343967661025 0.466666666666667 0.0584926884139483 "Chek1_noRT" "non-targeting_noRT"
"21" "Ndfip1" 288.674361101873 0.615854073507055 4.20548044367385 2.60528117178324e-05 0.0125822674496312 1 0.955005624296963 "Chek1_noRT" "non-targeting_noRT"
"22" "Mef2c" 16.322033909702 2.09563478857964 4.18894811251011 2.80250463493391e-05 0.0129195463670453 0.333333333333333 0.122609673790776 "Chek1_noRT" "non-targeting_noRT"
"23" "Klk8" 66.6011991662494 1.06177049772364 4.15528781990685 3.24878313825496e-05 0.0143257211252964 0.6 0.456692913385827 "Chek1_noRT" "non-targeting_noRT"
"24" "S100a6" 999.809869981391 0.454783517289602 4.12551371176879 3.699081415682e-05 0.0156317015491029 1 0.992125984251969 "Chek1_noRT" "non-targeting_noRT"
"25" "Ms4a15" 3.24517834494928 5.70853895487457 4.0857633579266 4.39321372766754e-05 0.0175636949343938 0.0666666666666667 0.00224971878515186 "Chek1_noRT" "non-targeting_noRT"
"26" "Tcim" 114.759348639768 -1.10961867741629 -4.08004886651223 4.50262343023307e-05 0.0175636949343938 0.733333333333333 0.782902137232846 "Chek1_noRT" "non-targeting_noRT"
"27" "Laptm4b" 92.9860149029056 1.01062458008707 4.03864374441038 5.37611441400831e-05 0.0183714924564361 0.866666666666667 0.696287964004499 "Chek1_noRT" "non-targeting_noRT"
"28" "Phlda1" 263.95962835716 -0.830923192848529 -4.03805658759953 5.38958535633208e-05 0.0183714924564361 0.866666666666667 0.938132733408324 "Chek1_noRT" "non-targeting_noRT"
"29" "Clip1" 11.4826832742765 2.33461266890916 4.03622630215537 5.43178250534564e-05 0.0183714924564361 0.333333333333333 0.0877390326209224 "Chek1_noRT" "non-targeting_noRT"
"30" "Zdhhc9" 15.93861500698 1.97737226897882 4.0242325189504 5.71614203021568e-05 0.0183714924564361 0.4 0.149606299212598 "Chek1_noRT" "non-targeting_noRT"
"31" "Fbln5" 32.5728227161074 1.6379893525617 4.02379270900372 5.72683282308265e-05 0.0183714924564361 0.466666666666667 0.238470191226097 "Chek1_noRT" "non-targeting_noRT"
"32" "Rps7" 2240.86407470126 -0.39177963622042 -4.00279349685837 6.25989379273632e-05 0.0183714924564361 1 1 "Chek1_noRT" "non-targeting_noRT"
"33" "Styk1" 3.29744053139926 4.30727186873149 4.00117324071745 6.30291893123956e-05 0.0183714924564361 0.133333333333333 0.00899887514060742 "Chek1_noRT" "non-targeting_noRT"
"34" "Lars2" 32.053736039832 1.52594827259323 4.00059780392191 6.31826663630723e-05 0.0183714924564361 0.666666666666667 0.313835770528684 "Chek1_noRT" "non-targeting_noRT"
"35" "Syt4" 565.814140265723 0.439238013379116 3.99978541445272 6.33999443872276e-05 0.0183714924564361 0.933333333333333 0.962879640044994 "Chek1_noRT" "non-targeting_noRT"
"36" "Grasp" 47.9046715895344 -2.06389785465917 -3.95686528392799 7.5939728119589e-05 0.0208420799763139 0.2 0.538807649043869 "Chek1_noRT" "non-targeting_noRT"
"37" "Cd74" 559.230921641406 -0.534378886969997 -3.95265883597215 7.72875930669835e-05 0.0208420799763139 1 0.962879640044994 "Chek1_noRT" "non-targeting_noRT"
"38" "Gdnf" 13.5472702825975 2.13652172110273 3.95018438347561 7.80910115460392e-05 0.0208420799763139 0.4 0.0956130483689539 "Chek1_noRT" "non-targeting_noRT"
"39" "Pde10a" 26.961978973978 1.53810986658551 3.89476013938123 9.82959497849659e-05 0.0255619877620288 0.466666666666667 0.196850393700787 "Chek1_noRT" "non-targeting_noRT"
"40" "Ghr" 13.2906613126053 2.30954880404691 3.85952818867185 0.000113606152579089 0.028804839986428 0.2 0.0911136107986502 "Chek1_noRT" "non-targeting_noRT"
"41" "Rpl37" 4226.95965115385 -0.273060342153488 -3.83909401495036 0.000123489141670354 0.0301184541434926 1 1 "Chek1_noRT" "non-targeting_noRT"
"42" "Dynlrb1" 178.598028895187 0.666853842545205 3.83378676928438 0.000126185536355392 0.0301184541434926 0.933333333333333 0.921259842519685 "Chek1_noRT" "non-targeting_noRT"
"43" "Rps27" 1123.14934163069 -0.360514846334784 -3.83086015900313 0.000127696068642297 0.0301184541434926 1 1 "Chek1_noRT" "non-targeting_noRT"
"44" "Kctd12" 4.61333851279471 3.33386726782666 3.80813626932738 0.000140018111290449 0.0322741746524486 0.133333333333333 0.0213723284589426 "Chek1_noRT" "non-targeting_noRT"
"45" "Ifi47" 60.0374013857871 -1.62217137126809 -3.77695315189773 0.000158758578970833 0.0354655047566911 0.6 0.663667041619798 "Chek1_noRT" "non-targeting_noRT"
"46" "Ripk2" 53.1353553780839 1.06658491933258 3.76653213346014 0.000165530787528121 0.0354655047566911 0.466666666666667 0.447694038245219 "Chek1_noRT" "non-targeting_noRT"
"47" "Plp1" 86.7140520768073 0.90713247314455 3.76393596485322 0.000167259731238373 0.0354655047566911 0.8 0.566929133858268 "Chek1_noRT" "non-targeting_noRT"
"48" "Nktr" 80.7534906614285 0.901693199521857 3.76305400087051 0.00016785093949134 0.0354655047566911 0.866666666666667 0.682789651293588 "Chek1_noRT" "non-targeting_noRT"
"49" "Slc35f1" 10.4873899738681 2.59035972780058 3.75539870768475 0.000173065745704872 0.0358210774069144 0.266666666666667 0.0674915635545557 "Chek1_noRT" "non-targeting_noRT"
"50" "Rps8" 3942.69644479707 -0.21216327371484 -3.74613107236479 0.000179582785935486 0.036426572299154 1 1 "Chek1_noRT" "non-targeting_noRT"
