"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Gas5" 4377.20674697617 -0.476362918098015 -10.1768098455889 2.51677195321163e-24 2.11031328276796e-20 0.996 0.998899889988999 "Ercc4_RT" "non-targeting_RT"
"2" "2410006H16Rik" 3625.75178421815 -0.471775900408799 -9.93436500181183 2.9504979514994e-23 1.23699626616613e-19 1 0.998899889988999 "Ercc4_RT" "non-targeting_RT"
"3" "Lgals1" 7286.96873050736 0.406335069200072 9.62175292775993 6.47186992219889e-22 1.80888764325459e-18 1 0.994499449944995 "Ercc4_RT" "non-targeting_RT"
"4" "S100a4" 733.022460061894 0.863019670472384 9.5550185872878 1.23561738660573e-21 2.59016294667227e-18 0.756 0.680968096809681 "Ercc4_RT" "non-targeting_RT"
"5" "Fth1" 10353.7613739649 0.484005722185044 9.46071315297465 3.05850035797437e-21 5.12910510032302e-18 0.996 0.997799779977998 "Ercc4_RT" "non-targeting_RT"
"6" "Ldha" 1495.79245764702 0.54246000845243 9.15579749142873 5.39577751941002e-20 7.5405990833755e-17 0.992 0.973597359735974 "Ercc4_RT" "non-targeting_RT"
"7" "Ly6e" 1529.99848429436 0.620332335332099 8.71911150679276 2.80393327187691e-18 3.35871149781256e-15 0.984 0.8998899889989 "Ercc4_RT" "non-targeting_RT"
"8" "Mt3" 144.23801282722 1.32290784247843 8.36282296311403 6.12350682925006e-17 6.41820059540772e-14 0.56 0.313531353135314 "Ercc4_RT" "non-targeting_RT"
"9" "Tpt1" 26350.5988332695 -0.376642680155669 -8.29653957014009 1.07187828504533e-16 9.98633268900566e-14 1 1 "Ercc4_RT" "non-targeting_RT"
"10" "Gm364" 32.7667077851085 9.34096668066194 7.70133049779978 1.34656710173433e-14 1.12909651480424e-11 0.132 0 "Ercc4_RT" "non-targeting_RT"
"11" "Cst6" 2766.33605533736 0.515909518774241 7.50430998687583 6.17530143210966e-14 4.70726386438541e-11 0.996 0.942794279427943 "Ercc4_RT" "non-targeting_RT"
"12" "Prss12" 94.812175353481 -1.73196736155499 -7.46409248499964 8.38756751844628e-14 5.86081280351434e-11 0.168 0.388338833883388 "Ercc4_RT" "non-targeting_RT"
"13" "Rpl18a" 17079.3207965749 -0.32487397858044 -7.32633135866567 2.3653851793487e-13 1.49031322518564e-10 1 1 "Ercc4_RT" "non-targeting_RT"
