"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Fxyd3" 419.983964426136 -2.54165057372647 -19.5606831252998 3.3456503616028e-85 2.91305776984755e-81 0.352112676056338 0.693069306930693 "Fanca_RT" "non-targeting_RT"
"2" "Gpx2" 382.219040853225 -2.17433701981475 -16.1638323108007 9.07409780570842e-59 3.95040847971516e-55 0.225352112676056 0.565456545654565 "Fanca_RT" "non-targeting_RT"
"3" "Fn1" 370.517590419625 1.99393490506964 15.0273066043908 4.86383485699062e-51 1.41164700332725e-47 0.598591549295775 0.294829482948295 "Fanca_RT" "non-targeting_RT"
"4" "Enpp2" 206.572498337845 -2.91773868609832 -14.9371148146499 1.88982070433089e-50 4.11366721815227e-47 0.211267605633803 0.476347634763476 "Fanca_RT" "non-targeting_RT"
"5" "Ldha" 1686.67461066225 0.755838569058216 14.1848560398247 1.13698820040347e-45 1.9799512521826e-42 0.97887323943662 0.973597359735974 "Fanca_RT" "non-targeting_RT"
"6" "Kcnn4" 126.022617392649 -2.81507905936497 -11.9037576969511 1.13135613911142e-32 1.64178631720718e-29 0.0985915492957746 0.455445544554455 "Fanca_RT" "non-targeting_RT"
"7" "Shisa8" 101.894165509122 -3.08239223666834 -10.613534886918 2.57807041806164e-26 3.20675130429467e-23 0.0915492957746479 0.361936193619362 "Fanca_RT" "non-targeting_RT"
"8" "Ly6a" 631.048423430207 0.872878582987052 10.4836004113011 1.02755742036269e-25 1.11836780738724e-22 0.764084507042254 0.563256325632563 "Fanca_RT" "non-targeting_RT"
"9" "Rpl15" 10155.6810554596 -0.374973850149565 -10.4539854289346 1.40494356649105e-25 1.35920484815973e-22 1 0.998899889988999 "Fanca_RT" "non-targeting_RT"
"10" "Cd74" 2806.75662459847 -0.560748575587955 -10.1957179285382 2.0720787305975e-24 1.80415895073125e-21 0.971830985915493 0.991199119911991 "Fanca_RT" "non-targeting_RT"
"11" "Slc2a1" 302.398840110559 1.18961647826403 10.1033381483545 5.33931156931663e-24 4.22630780309454e-21 0.654929577464789 0.497249724972497 "Fanca_RT" "non-targeting_RT"
"12" "Prss12" 85.7729681779663 -2.79945123420847 -9.93748645413218 2.85951302917848e-23 2.07481499542142e-20 0.0880281690140845 0.388338833883388 "Fanca_RT" "non-targeting_RT"
"13" "Erbb3" 471.270013895077 -1.06966291704402 -9.90779752417236 3.85040409221842e-23 2.57888218699583e-20 0.690140845070423 0.832783278327833 "Fanca_RT" "non-targeting_RT"
"14" "Bag1" 2350.5013014386 -0.644682875800664 -9.74262581521587 1.98361286446167e-22 1.23366551506199e-19 0.98943661971831 0.99009900990099 "Fanca_RT" "non-targeting_RT"
"15" "Tpt1" 26373.8688844603 -0.471569442522446 -9.67811840797683 3.73526955993624e-22 2.16819947055766e-19 1 1 "Fanca_RT" "non-targeting_RT"
"16" "Prkg2" 366.909608241716 -1.13652597698735 -9.56486293850567 1.12350243607514e-21 6.1139598193164e-19 0.573943661971831 0.765676567656766 "Fanca_RT" "non-targeting_RT"
"17" "Gatm" 490.846804401715 -0.942998416815852 -9.51958909614037 1.73865163503016e-21 8.90496458012213e-19 0.619718309859155 0.795379537953795 "Fanca_RT" "non-targeting_RT"
"18" "Ctsh" 297.302953926431 -1.10960036392124 -9.49836258472282 2.13216455939145e-21 1.0313753788123e-18 0.559859154929577 0.773377337733773 "Fanca_RT" "non-targeting_RT"
"19" "H2-Aa" 797.837896824901 -0.719387966881564 -9.18752753693562 4.01974156289826e-20 1.84209946253448e-17 0.725352112676056 0.88998899889989 "Fanca_RT" "non-targeting_RT"
"20" "Adk" 483.327491642976 -0.844985785361066 -8.9858015531279 2.56855139219593e-19 1.1182188485925e-16 0.73943661971831 0.836083608360836 "Fanca_RT" "non-targeting_RT"
"21" "H2-Ab1" 831.722415545874 -0.685223047532131 -8.89100522105615 6.05585324503557e-19 2.51087210497737e-16 0.795774647887324 0.897689768976898 "Fanca_RT" "non-targeting_RT"
"22" "Aldoa" 1524.39534259186 0.569504235123258 8.8656183952557 7.60806237914929e-19 3.01106359705695e-16 0.98943661971831 0.964796479647965 "Fanca_RT" "non-targeting_RT"
"23" "Gpnmb" 1582.20173233973 0.557255163421439 8.80793187970754 1.27475860029484e-18 4.82579266642049e-16 0.919014084507042 0.88008800880088 "Fanca_RT" "non-targeting_RT"
"24" "Uchl1" 476.731878217305 0.748816796131319 8.74959899914339 2.14112219662638e-18 7.76781290251081e-16 0.848591549295775 0.717271727172717 "Fanca_RT" "non-targeting_RT"
