"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Ifi27l2a" 3523.00201428594 -2.31482668359879 -62.2048734300488 0 0 0.609154929577465 0.971397139713971 "Ifnar1_RT" "non-targeting_RT"
"2" "Isg15" 4070.49253341764 -1.98589177699483 -53.0026497928078 0 0 0.702171361502347 0.963696369636964 "Ifnar1_RT" "non-targeting_RT"
"3" "Ifitm3" 15025.1309161655 -1.31413693734752 -52.289043274302 0 0 0.988556338028169 1 "Ifnar1_RT" "non-targeting_RT"
"4" "Usp18" 1538.98818775604 -2.26909319650993 -43.0050728289605 0 0 0.442194835680751 0.853685368536854 "Ifnar1_RT" "non-targeting_RT"
"5" "Ly6e" 2786.20509613529 -1.6902395086093 -41.3062655188227 0 0 0.686619718309859 0.8998899889989 "Ifnar1_RT" "non-targeting_RT"
"6" "Ifit3" 900.50668294818 -2.65159746101398 -38.6992795057759 0 0 0.219483568075117 0.646864686468647 "Ifnar1_RT" "non-targeting_RT"
"7" "Ifi44" 759.774094986991 -2.76857131039575 -37.5123557440249 5.79282919267421e-308 1.07688694691814e-304 0.211854460093897 0.767876787678768 "Ifnar1_RT" "non-targeting_RT"
"8" "Mndal" 1665.86262242003 -1.74952344837265 -35.5809692809305 2.75934315745341e-277 4.48841656349265e-274 0.556924882629108 0.874587458745875 "Ifnar1_RT" "non-targeting_RT"
"9" "Apol9a" 928.208183452179 -2.29097737117488 -34.7104541313229 5.47937473942692e-264 7.92256705379584e-261 0.314260563380282 0.804180418041804 "Ifnar1_RT" "non-targeting_RT"
"10" "Ifit1" 1283.17498729337 -2.33850500242248 -34.480791340711 1.55675784496027e-260 2.0258089836468e-257 0.242664319248826 0.704070407040704 "Ifnar1_RT" "non-targeting_RT"
"11" "Oasl2" 967.472297230441 -1.96257933800558 -32.5500597918626 2.08972644637121e-232 2.47214638605714e-229 0.384389671361502 0.815181518151815 "Ifnar1_RT" "non-targeting_RT"
"12" "Bst2" 18207.3819340056 -0.812957478387825 -32.5282471646081 4.25232837726304e-232 4.61129576444366e-229 0.996772300469484 0.998899889988999 "Ifnar1_RT" "non-targeting_RT"
"13" "Ifi204" 520.837821870571 -2.37781471926635 -28.6823045102475 6.3428121662662e-181 6.34915497843246e-178 0.194835680751174 0.566556655665567 "Ifnar1_RT" "non-targeting_RT"
"14" "Chchd10" 1405.31657739208 -1.80672398905706 -28.4965884694956 1.29119216248778e-178 1.20016311503239e-175 0.410211267605634 0.729372937293729 "Ifnar1_RT" "non-targeting_RT"
"15" "Apol9b" 482.705011892838 -2.49595658105314 -28.1458488547364 2.69379965124038e-174 2.33696099077274e-171 0.180457746478873 0.631463146314632 "Ifnar1_RT" "non-targeting_RT"
"16" "Lgals9" 906.881196989864 -1.8980353265007 -27.3101609156759 3.21273999477688e-164 2.61296159700197e-161 0.409917840375587 0.773377337733773 "Ifnar1_RT" "non-targeting_RT"
"17" "Trim30a" 529.129462230739 -2.30625838855587 -27.1708568276727 1.43586634338175e-162 1.09911345449569e-159 0.213615023474178 0.634763476347635 "Ifnar1_RT" "non-targeting_RT"
"18" "Ifi203" 862.100798639389 -1.87128621147282 -26.3962672093757 1.51227309458157e-153 1.09328943221055e-150 0.346537558685446 0.70957095709571 "Ifnar1_RT" "non-targeting_RT"
"19" "Irf7" 438.635637811911 -2.54067476788954 -25.7075070984784 9.63479571710985e-146 6.5988208771974e-143 0.161678403755869 0.574257425742574 "Ifnar1_RT" "non-targeting_RT"
"20" "Rsad2" 1020.5637844342 -1.58720307320862 -25.289727081684 4.14375786388996e-141 2.69613605414e-138 0.273767605633803 0.583058305830583 "Ifnar1_RT" "non-targeting_RT"
"21" "H2-Eb1" 7446.06834806786 0.933771910384544 24.8293334112572 4.32426062702348e-136 2.67960016854555e-133 0.984741784037559 0.95049504950495 "Ifnar1_RT" "non-targeting_RT"
"22" "H2-Aa" 5048.08660565359 0.982775004703179 24.2971670539538 2.10025919149539e-130 1.24230331176952e-127 0.966255868544601 0.88998899889989 "Ifnar1_RT" "non-targeting_RT"
"23" "Xaf1" 1225.96798009295 -1.39895861218084 -23.8606107884455 7.85836793458776e-126 4.44612791012133e-123 0.572476525821596 0.861386138613861 "Ifnar1_RT" "non-targeting_RT"
"24" "Rtp4" 467.007955748247 -2.0299951691002 -23.5838229677575 5.64895896575561e-123 3.06291262589074e-120 0.219483568075117 0.608360836083608 "Ifnar1_RT" "non-targeting_RT"
"25" "Ifi27" 2598.79416965729 1.00833624447092 23.4163814050495 2.91041161711161e-121 1.51492745493894e-118 0.968016431924883 0.818481848184819 "Ifnar1_RT" "non-targeting_RT"
"26" "Apod" 374.36669182199 -2.33654479760823 -22.9541000995858 1.34089615786792e-116 6.71118527012893e-114 0.152288732394366 0.436743674367437 "Ifnar1_RT" "non-targeting_RT"
"27" "Prph" 1726.05890885298 1.18693105286264 22.6372070295039 1.86491638800247e-113 8.98820628039857e-111 0.812793427230047 0.629262926292629 "Ifnar1_RT" "non-targeting_RT"
