"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Rps24" 4974.23505692278 -0.380302939451467 -10.3995187866288 2.49188414447797e-25 1.65411269510448e-21 1 1 "Lmo7_noRT" "non-targeting_noRT"
"2" "Tinagl1" 223.828168008351 -1.45728491954265 -8.30414005198903 1.00544988283033e-16 3.33708816111387e-13 0.46875 0.763779527559055 "Lmo7_noRT" "non-targeting_noRT"
"3" "Ifit3" 140.197618421134 1.30423465564268 7.37864809161055 1.5990486259963e-13 3.53816159312115e-10 0.390625 0.389201349831271 "Lmo7_noRT" "non-targeting_noRT"
"4" "Fn1" 180.213588086442 2.50771589128137 7.01495902180763 2.30016360191483e-12 3.81712149737766e-09 0.484375 0.266591676040495 "Lmo7_noRT" "non-targeting_noRT"
"5" "Lcn2" 86.3087482515146 -3.48759728690722 -6.9648066290266 3.2885513384121e-12 3.99324346263575e-09 0.078125 0.0899887514060742 "Lmo7_noRT" "non-targeting_noRT"
"6" "Sparc" 790.806988369228 0.610763954561725 6.95168683256908 3.60943970711276e-12 3.99324346263575e-09 0.890625 0.884139482564679 "Lmo7_noRT" "non-targeting_noRT"
"7" "Avpi1" 141.592885226725 1.02524733317487 6.55810919139963 5.44943028512309e-11 5.16761689037815e-08 0.65625 0.55793025871766 "Lmo7_noRT" "non-targeting_noRT"
"8" "Ifit3b" 48.3493723535272 1.7100749448715 6.18241222537687 6.31294139187391e-10 5.23816311990737e-07 0.265625 0.203599550056243 "Lmo7_noRT" "non-targeting_noRT"
"9" "Tpt1" 8948.5247435763 -0.437237770724295 -5.99022863885972 2.09546237196956e-09 1.54551991390377e-06 1 1 "Lmo7_noRT" "non-targeting_noRT"
"10" "Pnp" 142.40700883588 -1.05766506631527 -5.60232813875032 2.11491693064256e-08 1.40388185856053e-05 0.484375 0.795275590551181 "Lmo7_noRT" "non-targeting_noRT"
"11" "Isg15" 749.821526124482 0.781457115235974 5.41163358958378 6.24523775506708e-08 3.76871711073957e-05 0.890625 0.914510686164229 "Lmo7_noRT" "non-targeting_noRT"
"12" "Csta2" 89.2474436568563 1.03429244208787 5.34144562553119 9.2208275102163e-08 5.10065441773465e-05 0.59375 0.43082114735658 "Lmo7_noRT" "non-targeting_noRT"
"13" "Emp3" 622.792502513619 0.408303451479705 5.29500258958408 1.19014723995538e-07 6.07707490678756e-05 0.953125 0.96400449943757 "Lmo7_noRT" "non-targeting_noRT"
"14" "Col2a1" 127.610918567515 -2.06159331386118 -5.26654924993355 1.39011965765941e-07 6.59115306253084e-05 0.265625 0.520809898762655 "Lmo7_noRT" "non-targeting_noRT"
"15" "AC168977.1" 24.3918668846455 1.77524381739667 5.17521093986476 2.27653631728397e-07 0.000100744320494207 0.296875 0.114735658042745 "Lmo7_noRT" "non-targeting_noRT"
"16" "Cd63" 1308.86208085449 0.338951289261712 5.09534197519527 3.48112291767533e-07 0.000144423087047055 1 0.995500562429696 "Lmo7_noRT" "non-targeting_noRT"
"17" "Cdc20" 161.522916435086 -0.893422505253883 -5.02575429318506 5.01457596611787e-07 0.000195804442724061 0.390625 0.528683914510686 "Lmo7_noRT" "non-targeting_noRT"
"18" "H2-Aa" 360.752255779626 -0.634555674317884 -4.90615545458644 9.28789211255266e-07 0.000342516821350692 0.71875 0.820022497187851 "Lmo7_noRT" "non-targeting_noRT"
"19" "Rpl15" 3866.56379176298 -0.369873816048311 -4.82301053054278 1.4140750213022e-06 0.000494033157442316 1 1 "Lmo7_noRT" "non-targeting_noRT"
"20" "App" 224.143957152688 0.610793441184464 4.76412825733467 1.89671838577627e-06 0.000629520832239143 0.90625 0.826771653543307 "Lmo7_noRT" "non-targeting_noRT"
"21" "Rpl18a" 7383.34465116988 -0.210103814298719 -4.70276169642639 2.56665925802046e-06 0.000811308769273324 1 1 "Lmo7_noRT" "non-targeting_noRT"
"22" "Polr2l" 100.095450450757 0.903604261359943 4.65974387203988 3.16603091236973e-06 0.000955277872559558 0.53125 0.424071991001125 "Lmo7_noRT" "non-targeting_noRT"
"23" "Bst2" 2324.12384116487 0.271355986077769 4.6223785246259 3.79364966634371e-06 0.00108698814156358 1 0.997750281214848 "Lmo7_noRT" "non-targeting_noRT"
