"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Cd81" 945.559322154378 1.47184241260814 14.3230617992936 1.57048715542207e-46 9.00831432350101e-43 1 0.814398200224972 "Mcm2_noRT" "non-targeting_noRT"
"2" "Cxcl10" 903.654627197515 1.66160697498076 14.1808206616306 1.20429907575059e-45 3.45392974925268e-42 0.736842105263158 0.460067491563555 "Mcm2_noRT" "non-targeting_noRT"
"3" "Fth1" 2644.24196590312 -0.727238525866521 -12.0839504205102 1.28399312672121e-33 2.45499485829096e-30 1 1 "Mcm2_noRT" "non-targeting_noRT"
"4" "Ly6e" 526.277485777277 0.922409358253264 10.1821464154002 2.38247301007752e-24 3.41646629645117e-21 1 0.888638920134983 "Mcm2_noRT" "non-targeting_noRT"
"5" "Vwa3a" 30.4706177234819 8.14212635695643 9.23192762559536 2.65804632052484e-20 3.0493107389061e-17 0.710526315789474 0.00337457817772778 "Mcm2_noRT" "non-targeting_noRT"
"6" "Fdps" 199.936556501036 1.39069814828244 8.81580800613913 1.18824957931241e-18 1.13596659782266e-15 0.894736842105263 0.626546681664792 "Mcm2_noRT" "non-targeting_noRT"
"7" "Krt8" 402.281306727267 -1.40635514876364 -8.42932129801289 3.47675770252995e-17 2.8489545973874e-14 0.763157894736842 0.62429696287964 "Mcm2_noRT" "non-targeting_noRT"
"8" "Tssc4" 52.9148476625286 2.06360319555572 8.183378901314 2.75993619445224e-16 1.97887425142226e-13 0.631578947368421 0.214848143982002 "Mcm2_noRT" "non-targeting_noRT"
"9" "Idi1" 103.647267814271 1.50762429878198 7.75168939968625 9.06779686991204e-15 5.77920920509061e-12 0.789473684210526 0.424071991001125 "Mcm2_noRT" "non-targeting_noRT"
"10" "Ftl1" 907.636865515525 -0.568581911053456 -7.31416561730722 2.58985563060665e-13 1.48554118971597e-10 1 0.998875140607424 "Mcm2_noRT" "non-targeting_noRT"
"11" "Gapdh" 2710.88792229382 -0.371702589796363 -7.16129417092409 7.99189419575911e-13 4.15258601805073e-10 1 1 "Mcm2_noRT" "non-targeting_noRT"
"12" "Mt1" 552.733623214432 -0.746589815851713 -7.14984777456374 8.68741844780487e-13 4.15258601805073e-10 0.973684210526316 0.971878515185602 "Mcm2_noRT" "non-targeting_noRT"
"13" "Dhcr24" 41.4241572299959 2.04851336474586 6.85639821885017 7.06183522177795e-12 3.11589898708603e-09 0.684210526315789 0.19347581552306 "Mcm2_noRT" "non-targeting_noRT"
"14" "F3" 396.89334126004 0.778083038547244 6.74120436963077 1.57079075539872e-11 6.43575412354789e-09 0.921052631578947 0.832395950506187 "Mcm2_noRT" "non-targeting_noRT"
"15" "S100a4" 89.3250538525241 -2.32991980595213 -6.65117707589981 2.90758207404897e-11 1.11185938511633e-08 0.236842105263158 0.56355455568054 "Mcm2_noRT" "non-targeting_noRT"
"16" "Cd48" 14.8816788447298 3.41537871329746 6.60068695121933 4.09256931372302e-11 NA 0.342105263157895 0.0359955005624297 "Mcm2_noRT" "non-targeting_noRT"
"17" "Pitpnc1" 35.6241103700779 1.85043795130649 6.37212466759629 1.86427242721075e-10 6.68341665155052e-08 0.526315789473684 0.174353205849269 "Mcm2_noRT" "non-targeting_noRT"
"18" "Sqle" 63.0568368689095 1.51838914713711 6.35367546724115 2.10230128202642e-10 7.09341185511974e-08 0.684210526315789 0.326209223847019 "Mcm2_noRT" "non-targeting_noRT"
"19" "Cd74" 1256.27411432098 0.401084471202342 6.28993242601623 3.17604193012509e-10 1.01209869506653e-07 1 0.962879640044994 "Mcm2_noRT" "non-targeting_noRT"
"20" "Lcn2" 68.5129596724703 -7.37116214098186 -6.1270500188986 8.95233355421784e-10 2.70266238247334e-07 0 0.0899887514060742 "Mcm2_noRT" "non-targeting_noRT"
"21" "Slc1a3" 239.717797547508 0.788688191625127 6.05743560591795 1.38308679707341e-09 3.86294576591526e-07 0.973684210526316 0.772778402699663 "Mcm2_noRT" "non-targeting_noRT"
"22" "Ifit3" 110.361587563201 1.11319341423834 6.05384825832367 1.41425838710287e-09 3.86294576591526e-07 0.710526315789474 0.389201349831271 "Mcm2_noRT" "non-targeting_noRT"
"23" "Col11a2" 138.527259462427 0.962334569673357 6.02704911916258 1.66980267829991e-09 4.35363098305831e-07 0.842105263157895 0.650168728908886 "Mcm2_noRT" "non-targeting_noRT"
"24" "Cmas" 173.479376533534 0.86272407359988 6.00038501292539 1.96850210312053e-09 4.90927307108667e-07 0.947368421052632 0.740157480314961 "Mcm2_noRT" "non-targeting_noRT"
"25" "H2afj" 175.927526801766 -1.06281138484653 -5.94665370144751 2.73679551160308e-09 6.54094127273135e-07 0.868421052631579 0.905511811023622 "Mcm2_noRT" "non-targeting_noRT"
"26" "Ncald" 293.856122931046 0.653236457778466 5.70757571879866 1.14596645877861e-08 2.55364734924367e-06 0.973684210526316 0.869516310461192 "Mcm2_noRT" "non-targeting_noRT"
"27" "Mmp16" 33.2772139577849 1.74717875368373 5.70586885221198 1.1575110020979e-08 2.55364734924367e-06 0.447368421052632 0.183352080989876 "Mcm2_noRT" "non-targeting_noRT"
"28" "S100a6" 1011.99895388523 -1.03132579174024 -5.65436875238597 1.56420069438418e-08 3.32305747518062e-06 0.973684210526316 0.992125984251969 "Mcm2_noRT" "non-targeting_noRT"
"29" "Hipk2" 122.91171151351 0.896846497162999 5.3264816375729 1.00133397864536e-07 2.05130417911063e-05 0.894736842105263 0.634420697412823 "Mcm2_noRT" "non-targeting_noRT"
"30" "Sema3e" 28.3686465017241 1.70701294528426 5.23866481795739 1.61742489590127e-07 3.19915489754816e-05 0.526315789473684 0.16310461192351 "Mcm2_noRT" "non-targeting_noRT"
"31" "Col11a1" 519.421487046363 0.480799704592101 5.19808583299662 2.01351156814635e-07 3.84983411829581e-05 1 0.96400449943757 "Mcm2_noRT" "non-targeting_noRT"
"32" "Asrgl1" 140.469913562933 0.830826572395602 5.14912337516311 2.61706703357259e-07 4.8424182272814e-05 0.894736842105263 0.699662542182227 "Mcm2_noRT" "non-targeting_noRT"
"33" "Ldlr" 54.314114368271 1.25584206645292 5.08830476774621 3.61278445668334e-07 6.18569469716818e-05 0.578947368421053 0.326209223847019 "Mcm2_noRT" "non-targeting_noRT"
"34" "Hmgcs1" 44.6636262441591 1.40709107013921 5.08674758253258 3.64256113148363e-07 6.18569469716818e-05 0.605263157894737 0.246344206974128 "Mcm2_noRT" "non-targeting_noRT"
"35" "Odc1" 512.806218858984 -0.942873385936655 -5.08550170211115 3.66655543416524e-07 6.18569469716818e-05 0.947368421052632 0.926884139482565 "Mcm2_noRT" "non-targeting_noRT"
"36" "Adamts1" 175.094900749113 1.01261272174839 5.00032322228953 5.72342838193646e-07 9.08494049679226e-05 0.815789473684211 0.582677165354331 "Mcm2_noRT" "non-targeting_noRT"
"37" "Slfn2" 32.5207389046887 1.54384187222839 4.99767084893283 5.80269209988385e-07 9.08494049679226e-05 0.421052631578947 0.165354330708661 "Mcm2_noRT" "non-targeting_noRT"
"38" "Phlda2" 175.85079306633 -1.01090427619842 -4.99576726516187 5.86023009730324e-07 9.08494049679226e-05 0.657894736842105 0.686164229471316 "Mcm2_noRT" "non-targeting_noRT"
"39" "Rpl23" 8241.07316394276 -0.249148233783533 -4.91327526942832 8.95673850082142e-07 0.000135199610633452 1 1 "Mcm2_noRT" "non-targeting_noRT"
"40" "H19" 28.9714197205386 1.65776161561657 4.89451389398542 9.8549014623939e-07 0.000144942858431516 0.289473684210526 0.077615298087739 "Mcm2_noRT" "non-targeting_noRT"
"41" "Cyp51" 89.7563147367068 0.998192629034868 4.82229814150479 1.41913615818505e-06 0.000203504125083736 0.815789473684211 0.455568053993251 "Mcm2_noRT" "non-targeting_noRT"
"42" "1700025G04Rik" 41.4013439719309 1.38543359600672 4.76357563478281 1.90192274581118e-06 0.000266083630974949 0.578947368421053 0.263217097862767 "Mcm2_noRT" "non-targeting_noRT"
"43" "Fau" 4872.03455211101 -0.303760738064119 -4.7563913350917 1.9708424720301e-06 0.000267290630608195 1 1 "Mcm2_noRT" "non-targeting_noRT"
"44" "Cald1" 53.7403011352705 1.14778492759571 4.75304596068995 2.00374775386199e-06 0.000267290630608195 0.657894736842105 0.34533183352081 "Mcm2_noRT" "non-targeting_noRT"
"45" "Isg15" 631.265343205297 0.714193808476611 4.74635576653671 2.07114291086098e-06 0.000270001721288604 0.973684210526316 0.914510686164229 "Mcm2_noRT" "non-targeting_noRT"
"46" "Rgcc" 368.763574668047 0.557202028536538 4.73320518956558 2.21001871214638e-06 0.000281703718508258 0.973684210526316 0.799775028121485 "Mcm2_noRT" "non-targeting_noRT"
"47" "Lgals9" 125.193829551399 0.819472000918744 4.6348266086216 3.57236788405353e-06 0.000445458743107197 0.789473684210526 0.61867266591676 "Mcm2_noRT" "non-targeting_noRT"
"48" "Lgals3" 1417.48702524648 -0.431533826329366 -4.62698807322459 3.71021871316256e-06 0.0004528045646532 1 0.982002249718785 "Mcm2_noRT" "non-targeting_noRT"
"49" "Shisa4" 90.7948367407194 0.869120198869426 4.60352339388856 4.15402510418561e-06 0.00049640599995018 0.789473684210526 0.568053993250844 "Mcm2_noRT" "non-targeting_noRT"
"50" "Arl2" 123.032009163335 0.764590027720332 4.59575994360619 4.31174883179904e-06 0.000504738597942843 0.921052631578947 0.687289088863892 "Mcm2_noRT" "non-targeting_noRT"
"51" "Aldoa" 364.806289291071 -0.569926407827923 -4.53104343546138 5.86930682910007e-06 0.000673326879434359 0.973684210526316 0.965129358830146 "Mcm2_noRT" "non-targeting_noRT"
"52" "Plscr2" 32.9149402735535 1.71598075659362 4.5146875063513 6.34101971004414e-06 0.000713178216800259 0.473684210526316 0.146231721034871 "Mcm2_noRT" "non-targeting_noRT"
"53" "Ccsap" 16.6330780206151 1.97159790908012 4.50929038287711 6.50448271635859e-06 0.000717494478096786 0.289473684210526 0.0888638920134983 "Mcm2_noRT" "non-targeting_noRT"
"54" "Epn2" 75.3807234113619 0.948112800314168 4.48590323089228 7.26056912053602e-06 0.000785785367460276 0.710526315789474 0.487064116985377 "Mcm2_noRT" "non-targeting_noRT"
"55" "Col9a3" 133.397726417346 0.761401287584957 4.45752438623987 8.29116075106961e-06 0.000875607553593477 0.736842105263158 0.604049493813273 "Mcm2_noRT" "non-targeting_noRT"
"56" "Fasn" 92.720487987522 0.861601848170062 4.4548277383847 8.39605805738174e-06 0.000875607553593477 0.789473684210526 0.553430821147357 "Mcm2_noRT" "non-targeting_noRT"
