"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Gpx2" 246.184557228172 -1.84298632418754 -11.7049684654397 1.20203917239431e-31 9.52375636288008e-28 0.290598290598291 0.565456545654565 "Nat2_RT" "non-targeting_RT"
"2" "Ly6e" 1031.77879323152 0.755500222099029 11.1443475086947 7.63014961657843e-29 3.02268377060754e-25 0.991452991452991 0.8998899889989 "Nat2_RT" "non-targeting_RT"
"3" "Ly6a" 459.935630433814 1.2324215652436 10.1319060828587 3.98798553796166e-24 1.05322698057568e-20 0.846153846153846 0.563256325632563 "Nat2_RT" "non-targeting_RT"
"4" "Phlda2" 663.582341989424 -0.854388486212232 -9.78282724935544 1.33430238257212e-22 2.64291944427974e-19 0.743589743589744 0.849284928492849 "Nat2_RT" "non-targeting_RT"
"5" "Tpt1" 16967.0432048556 -0.328628038401165 -8.34468117740618 7.14062580464087e-17 1.13150356500339e-13 1 1 "Nat2_RT" "non-targeting_RT"
"6" "Ccnd1" 1536.15540805279 0.412352617602304 8.22894434764395 1.88870496440603e-16 2.49403490549817e-13 0.974358974358974 0.962596259625963 "Nat2_RT" "non-targeting_RT"
"7" "Tspan4" 287.559209150211 0.77308483028088 7.88622257553443 3.11470874543253e-15 3.52540534143742e-12 0.863247863247863 0.691969196919692 "Nat2_RT" "non-targeting_RT"
"8" "Gbp4" 217.773634540246 0.862528664448379 7.74048687135571 9.90368295227693e-15 9.80836000386127e-12 0.64957264957265 0.565456545654565 "Nat2_RT" "non-targeting_RT"
"9" "Ifitm3" 4227.18313921314 0.247019229834521 7.65132064749587 1.98925620438202e-14 1.75120854525764e-11 1 1 "Nat2_RT" "non-targeting_RT"
"10" "Fxyd3" 266.793312116786 -2.28723799295097 -7.46550197094745 8.29826490855096e-14 6.57471528704492e-11 0.376068376068376 0.693069306930693 "Nat2_RT" "non-targeting_RT"
"11" "Shisa8" 62.8652135416427 -3.09194528033356 -7.43786989389808 1.02321760028829e-13 6.9822844737336e-11 0.094017094017094 0.361936193619362 "Nat2_RT" "non-targeting_RT"
"12" "Tpm1" 318.408910668595 0.737244910407783 7.43351132743058 1.05752131370445e-13 6.9822844737336e-11 0.760683760683761 0.741474147414741 "Nat2_RT" "non-targeting_RT"
