"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Fn1" 345.643618877748 2.06289749947016 16.0993392171418 2.57843475344506e-58 4.95059472661452e-55 0.517808219178082 0.266591676040495 "Prkdc_noRT" "non-targeting_noRT"
"2" "Ly6a" 406.116962773607 1.13755440885932 10.1343716659074 3.88865498362485e-24 3.73310878427985e-21 0.536986301369863 0.428571428571429 "Prkdc_noRT" "non-targeting_noRT"
"3" "Gm42418" 3919.11134027566 0.543541378943699 9.30654368175912 1.32059845053535e-20 8.45183008342624e-18 1 0.998875140607424 "Prkdc_noRT" "non-targeting_noRT"
"4" "Ly6e" 1300.73730009609 0.577882387907259 9.18871577250657 3.97559146531931e-20 1.90828390335327e-17 0.950684931506849 0.888638920134983 "Prkdc_noRT" "non-targeting_noRT"
"5" "Ivns1abp" 80.0009982278721 1.465262003393 7.17792966055752 7.07749539236424e-13 NA 0.421917808219178 0.191226096737908 "Prkdc_noRT" "non-targeting_noRT"
"6" "Tinagl1" 684.433071275166 -0.557712227151805 -6.86737015568353 6.53962280650228e-12 2.51121515769687e-09 0.610958904109589 0.763779527559055 "Prkdc_noRT" "non-targeting_noRT"
"7" "Malat1" 13747.014326313 0.236173700111761 6.31402370980314 2.71872258320363e-10 8.6999122662516e-08 0.994520547945206 0.998875140607424 "Prkdc_noRT" "non-targeting_noRT"
"8" "Ly6c1" 51.2861224659538 1.89521796427114 6.16168828322631 7.19734255575892e-10 NA 0.131506849315068 0.0764904386951631 "Prkdc_noRT" "non-targeting_noRT"
"9" "Hspe1" 3391.01600305391 -0.233881023749537 -5.50452117280504 3.70172974826171e-08 1.01533158809464e-05 0.986301369863014 0.996625421822272 "Prkdc_noRT" "non-targeting_noRT"
"10" "Mfsd13a" 33.2119828622898 -1.99044948722552 -5.2339580327319 1.65918139665741e-07 NA 0.063013698630137 0.143982002249719 "Prkdc_noRT" "non-targeting_noRT"
"11" "Chchd10" 360.9247572472 -0.523709180620115 -4.93900610222231 7.85217555734106e-07 0.000188452213376185 0.463013698630137 0.510686164229471 "Prkdc_noRT" "non-targeting_noRT"
"12" "Rps24" 13200.9835756722 -0.16354653554717 -4.82119593251503 1.42700109439407e-06 0.000304426900137401 0.997260273972603 1 "Prkdc_noRT" "non-targeting_noRT"
"13" "Rpl15" 10232.9379449576 -0.162243358242584 -4.73229645283136 2.2199387320307e-06 0.000426228236549895 0.997260273972603 1 "Prkdc_noRT" "non-targeting_noRT"
"14" "Selenok" 972.953759103136 -0.315543285969244 -4.62586916567434 3.73030730717594e-06 0.000651108184525255 0.931506849315068 0.967379077615298 "Prkdc_noRT" "non-targeting_noRT"
"15" "Gapdh" 8272.8375827854 -0.160060135147206 -4.54371022196835 5.52726287810255e-06 0.000884362060496408 1 1 "Prkdc_noRT" "non-targeting_noRT"
"16" "Prkdc" 8.20293568152964 -5.79855965577581 -4.53703077522619 5.70517837431721e-06 NA 0 0.0821147356580427 "Prkdc_noRT" "non-targeting_noRT"
"17" "Vwa3a" 7.55423763148985 4.55102018353287 4.52937565872291 5.9158236339892e-06 NA 0.0465753424657534 0.00337457817772778 "Prkdc_noRT" "non-targeting_noRT"
"18" "Cda" 81.8221913093768 0.969242160051705 4.50449393251503 6.6531298688257e-06 NA 0.213698630136986 0.167604049493813 "Prkdc_noRT" "non-targeting_noRT"
"19" "Gsn" 344.03665722208 -0.460571039642444 -4.48983493550397 7.12783870036877e-06 0.001052726946516 0.583561643835616 0.713160854893138 "Prkdc_noRT" "non-targeting_noRT"
"20" "Col18a1" 186.474703227499 0.66076000835725 4.45861949932698 8.24892043767362e-06 NA 0.523287671232877 0.427446569178853 "Prkdc_noRT" "non-targeting_noRT"
"21" "Tmem176b" 217.635135201613 0.580287657245964 4.27974846081613 1.87104657190748e-05 0.0025660067271874 0.545205479452055 0.428571428571429 "Prkdc_noRT" "non-targeting_noRT"
"22" "Tmem119" 102.360117034422 -0.955095122773441 -4.27617564130299 1.9013123828222e-05 NA 0.117808219178082 0.197975253093363 "Prkdc_noRT" "non-targeting_noRT"
"23" "Fkbp4" 969.889247337313 -0.275573539300557 -4.26285127540453 2.0183485903148e-05 0.00258348619560294 0.90958904109589 0.949381327334083 "Prkdc_noRT" "non-targeting_noRT"
"24" "Opalin" 15.8577405894503 2.51081122858277 4.25094281261805 2.1287252129098e-05 NA 0.0246575342465753 0.015748031496063 "Prkdc_noRT" "non-targeting_noRT"
"25" "Polr2l" 213.715299108009 0.545571202895532 4.13589494969188 3.53573924023974e-05 0.00424288708828769 0.506849315068493 0.424071991001125 "Prkdc_noRT" "non-targeting_noRT"
"26" "Mcm4" 60.958134602299 -1.0614312948914 -4.12304385084077 3.73898484600624e-05 NA 0.167123287671233 0.295838020247469 "Prkdc_noRT" "non-targeting_noRT"
"27" "Neb" 233.026916492229 0.487336121111193 4.08113380533598 4.48165441975486e-05 0.00506163322701725 0.523287671232877 0.445444319460068 "Prkdc_noRT" "non-targeting_noRT"
"28" "Mrpl51" 1083.29590921747 -0.260670519529667 -4.01112787231793 6.04293676472289e-05 0.00640882633471482 0.931506849315068 0.968503937007874 "Prkdc_noRT" "non-targeting_noRT"
"29" "Ifit3" 241.220016633175 0.490516973575381 3.9912057961373 6.57382034976943e-05 0.00640882633471482 0.421917808219178 0.389201349831271 "Prkdc_noRT" "non-targeting_noRT"
"30" "Jund" 703.120577975962 -0.313421622695248 -3.9875518843301 6.67586076532794e-05 0.00640882633471482 0.819178082191781 0.904386951631046 "Prkdc_noRT" "non-targeting_noRT"
"31" "Atp5l" 1860.24232359927 -0.19453522383762 -3.90544600207738 9.40517589701869e-05 0.00859901796298852 0.978082191780822 0.996625421822272 "Prkdc_noRT" "non-targeting_noRT"
"32" "Kcnn4" 73.8926038287277 -0.930967378286135 -3.8576957549049 0.000114460999988654 NA 0.0958904109589041 0.236220472440945 "Prkdc_noRT" "non-targeting_noRT"
"33" "Tspan4" 534.263115541152 0.375799631216292 3.77420519657585 0.000160518600712473 0.0140088960621794 0.76986301369863 0.726659167604049 "Prkdc_noRT" "non-targeting_noRT"
"34" "Klf2" 116.993822274958 -0.758485800138907 -3.74480627608743 0.000180533022584654 NA 0.227397260273973 0.327334083239595 "Prkdc_noRT" "non-targeting_noRT"
"35" "Maged2" 265.822773462878 -0.44292991873307 -3.68812596792963 0.000225911808524852 0.0188587248855528 0.575342465753425 0.687289088863892 "Prkdc_noRT" "non-targeting_noRT"
"36" "Ripk2" 204.647175043806 0.539383589429424 3.66644257742149 0.000245948115358311 0.0196758492286649 0.435616438356164 0.447694038245219 "Prkdc_noRT" "non-targeting_noRT"
"37" "Nhlrc3" 14.9445059144236 1.75802188118194 3.6589836631757 0.000253217479804277 NA 0.106849315068493 0.0371203599550056 "Prkdc_noRT" "non-targeting_noRT"
"38" "Tuba1a" 3651.40343616163 -0.162971555150562 -3.64637375706592 0.0002659670494793 0.0204262694000103 0.983561643835616 0.993250843644544 "Prkdc_noRT" "non-targeting_noRT"
"39" "Psme2" 1160.27387797325 -0.252633037754214 -3.594792674347 0.000324650004283984 0.0235340814568962 0.956164383561644 0.970753655793026 "Prkdc_noRT" "non-targeting_noRT"
"40" "Pnp" 423.532906329133 -0.369833017775884 -3.58978720171184 0.000330948020487603 0.0235340814568962 0.693150684931507 0.795275590551181 "Prkdc_noRT" "non-targeting_noRT"
"41" "Cebpd" 81.6839387149938 0.773537617085369 3.57780468589358 0.000346492206334632 NA 0.249315068493151 0.177727784026997 "Prkdc_noRT" "non-targeting_noRT"
"42" "H19" 57.7936882974365 0.898356718251922 3.51370697374493 0.000441899997417423 NA 0.104109589041096 0.077615298087739 "Prkdc_noRT" "non-targeting_noRT"
"43" "Col11a1" 1324.73090607265 0.200420675099258 3.46519102273058 0.00052985498127877 0.0363329130019728 0.96986301369863 0.96400449943757 "Prkdc_noRT" "non-targeting_noRT"
"44" "Phb2" 1107.25646513701 -0.226229850999754 -3.44092754069789 0.000579723757506778 0.0383817108418281 0.947945205479452 0.96400449943757 "Prkdc_noRT" "non-targeting_noRT"
"45" "Cyp4f18" 2.41203760219764 5.40739590076177 3.43124014900792 0.000600828447749419 NA 0.00821917808219178 0 "Prkdc_noRT" "non-targeting_noRT"
"46" "H2afj" 618.785682636757 -0.272668458908953 -3.39022234780569 0.000698359565096801 0.042996301472224 0.86027397260274 0.905511811023622 "Prkdc_noRT" "non-targeting_noRT"
"47" "Pnrc1" 477.054182316017 0.30320942407541 3.37991787432417 0.000725074919963795 0.042996301472224 0.83013698630137 0.791901012373453 "Prkdc_noRT" "non-targeting_noRT"
"48" "Tmsb10" 1019.8180194324 -0.217633958279868 -3.37473670876107 0.000738863432106211 0.042996301472224 0.912328767123288 0.943757030371204 "Prkdc_noRT" "non-targeting_noRT"
"49" "Fxyd3" 214.701619096881 -0.48413304120532 -3.37468624061304 0.00073899893155385 0.042996301472224 0.345205479452055 0.43644544431946 "Prkdc_noRT" "non-targeting_noRT"
"50" "Mcam" 110.443874027985 0.653933554767503 3.33928024488808 0.000839957796803233 NA 0.364383561643836 0.299212598425197 "Prkdc_noRT" "non-targeting_noRT"
"51" "1110038B12Rik" 1542.30755738395 0.183124567306494 3.32142810103002 0.000895580534555913 0.0496007297071916 0.967123287671233 0.979752530933633 "Prkdc_noRT" "non-targeting_noRT"
"52" "Cox8a" 4054.49531671832 -0.142817730850341 -3.31876033267591 0.00090417996862068 0.0496007297071916 0.994520547945206 1 "Prkdc_noRT" "non-targeting_noRT"
"53" "Ero1l" 487.865099374151 -0.315257107517314 -3.3009506651734 0.000963578244720948 0.0500821767732951 0.701369863013699 0.722159730033746 "Prkdc_noRT" "non-targeting_noRT"
"54" "Tpt1" 24614.1506558575 -0.105632871417266 -3.30050053923362 0.000965125281568708 0.0500821767732951 1 1 "Prkdc_noRT" "non-targeting_noRT"
"55" "Neat1" 1380.30930927986 0.212686976942118 3.28823954860238 0.00100816017999375 0.0509386196207369 0.934246575342466 0.915635545556805 "Prkdc_noRT" "non-targeting_noRT"
"56" "Tcim" 666.187007411502 -0.303011482485053 -3.28048166485769 0.00103630000281155 0.0510178462922608 0.676712328767123 0.782902137232846 "Prkdc_noRT" "non-targeting_noRT"
"57" "AI506816" 2918.45462924819 0.152982349130123 3.24677653835533 0.00116719993956153 0.0554728060438448 0.997260273972603 1 "Prkdc_noRT" "non-targeting_noRT"
"58" "Strap" 610.711802085705 -0.254562726595787 -3.2409231080451 0.00119143316273965 0.0554728060438448 0.841095890410959 0.90888638920135 "Prkdc_noRT" "non-targeting_noRT"
"59" "Cyc1" 828.701111154449 -0.222424203553283 -3.23569548420831 0.00121346763220911 0.0554728060438448 0.887671232876712 0.94488188976378 "Prkdc_noRT" "non-targeting_noRT"
"60" "Phf13" 56.7915342148367 0.770647022727397 3.23345392277127 0.00122303063564146 NA 0.295890410958904 0.192350956130484 "Prkdc_noRT" "non-targeting_noRT"
"61" "Slc29a1" 209.799994972135 -0.4710264456666 -3.22731215503329 0.00124959057583773 0.0556674175877458 0.493150684931507 0.519685039370079 "Prkdc_noRT" "non-targeting_noRT"
"62" "Emg1" 866.322210550352 -0.217140120492162 -3.21794451114757 0.00129112793184874 0.0556674175877458 0.912328767123288 0.937007874015748 "Prkdc_noRT" "non-targeting_noRT"
"63" "Pmepa1" 399.964031955498 0.348121866443905 3.21198003974505 0.00131823533809403 0.0556674175877458 0.682191780821918 0.68503937007874 "Prkdc_noRT" "non-targeting_noRT"
"64" "Tnfaip8" 279.796625058949 -0.369175929898286 -3.20862815946463 0.00133369854637308 0.0556674175877458 0.591780821917808 0.696287964004499 "Prkdc_noRT" "non-targeting_noRT"
"65" "Hip1" 29.9836471328845 1.07113483669869 3.20198212787412 0.00136485465673673 NA 0.180821917808219 0.0967379077615298 "Prkdc_noRT" "non-targeting_noRT"
"66" "Gm10138" 5.14604002386635 2.87001340627032 3.18718072212984 0.00143666976479641 NA 0.0383561643835616 0.00674915635545557 "Prkdc_noRT" "non-targeting_noRT"
"67" "Rgcc" 779.026329277331 -0.2697541404722 -3.17863638468533 0.00147969587081099 0.0593809999791234 0.764383561643836 0.799775028121485 "Prkdc_noRT" "non-targeting_noRT"
"68" "Klk8" 239.207314751124 0.46622992802262 3.17769172905224 0.00148452499947809 0.0593809999791234 0.517808219178082 0.456692913385827 "Prkdc_noRT" "non-targeting_noRT"
"69" "Ifit1" 338.103081632176 0.385949608749248 3.12188138913197 0.00179699321531158 0.0704127953754742 0.482191780821918 0.469066366704162 "Prkdc_noRT" "non-targeting_noRT"
"70" "Fign" 134.751035755983 0.505345866359036 3.11511146609912 0.00183875410806529 NA 0.419178082191781 0.365579302587177 "Prkdc_noRT" "non-targeting_noRT"
"71" "Bag1" 1796.27696789691 -0.169656356697636 -3.09430091827938 0.00197277283009966 0.0757544766758271 0.958904109589041 0.976377952755906 "Prkdc_noRT" "non-targeting_noRT"
"72" "Itga1" 52.6275779899706 0.830940722541191 3.07812641823098 0.00208306526924158 NA 0.208219178082192 0.147356580427447 "Prkdc_noRT" "non-targeting_noRT"
"73" "Osbp2" 4.43438447917361 3.26543420069217 3.06788414799788 0.00215580177451297 NA 0.0246575342465753 0.00449943757030371 "Prkdc_noRT" "non-targeting_noRT"
"74" "Cmas" 314.122185786138 -0.327836953745953 -3.06327877625481 0.00218926007458942 0.0824192028080723 0.654794520547945 0.740157480314961 "Prkdc_noRT" "non-targeting_noRT"
"75" "Chchd2" 3972.90246927318 -0.128036824529518 -3.03413394037563 0.00241227305415002 0.0879497547546359 1 0.997750281214848 "Prkdc_noRT" "non-targeting_noRT"
"76" "Cd109" 259.697551302575 0.34599506594333 3.03095897114033 0.00243778371171068 0.0879497547546359 0.654794520547945 0.62992125984252 "Prkdc_noRT" "non-targeting_noRT"
"77" "Hmga2" 429.139306381996 0.281698212183555 3.02655393741525 0.00247358685247414 0.0879497547546359 0.624657534246575 0.635545556805399 "Prkdc_noRT" "non-targeting_noRT"
"78" "Stox2" 91.5668585638536 0.593113444588934 2.99389602122007 0.00275439795043495 NA 0.350684931506849 0.295838020247469 "Prkdc_noRT" "non-targeting_noRT"
