"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Tmem176b" 90.7843471216935 1.78458528327447 8.17958754361267 2.84817086309819e-16 2.80601793432434e-12 0.818181818181818 0.428571428571429 "Rad51_noRT" "non-targeting_noRT"
"2" "Tmem176a" 60.6566709484134 2.01914585606166 7.80123979863105 6.13018976346355e-15 3.01973147748215e-11 0.590909090909091 0.310461192350956 "Rad51_noRT" "non-targeting_noRT"
"3" "Mcam" 53.5988610536507 2.16452173622134 7.68890793628207 1.4839619183552e-14 4.87333093987849e-11 0.727272727272727 0.299212598425197 "Rad51_noRT" "non-targeting_noRT"
"4" "Malat1" 4013.59378487212 0.684540399876261 7.25926786560254 3.89191079686246e-13 9.58577629267223e-10 1 0.998875140607424 "Rad51_noRT" "non-targeting_noRT"
"5" "Mt1" 893.377581683609 1.44346984870131 6.96757994951576 3.22439224344185e-12 6.35334247647782e-09 0.954545454545455 0.971878515185602 "Rad51_noRT" "non-targeting_noRT"
"6" "Urm1" 52.3948928883702 1.59738826912316 5.78901517866075 7.08003004608355e-09 1.16254093356692e-05 0.681818181818182 0.408323959505062 "Rad51_noRT" "non-targeting_noRT"
"7" "H1f0" 116.427253124187 1.264244205977 5.44768018593392 5.10310084789563e-08 7.18224993620968e-05 0.772727272727273 0.602924634420697 "Rad51_noRT" "non-targeting_noRT"
"8" "Hbegf" 105.802511756238 -1.59627629476081 -5.23906970072732 1.61388080497888e-07 0.000198749421133149 0.5 0.767154105736783 "Rad51_noRT" "non-targeting_noRT"
"9" "Gm35019" 59.8301373634996 1.62318185007807 5.0563725497161 4.27306207544198e-07 0.000467757861858382 0.727272727272727 0.374578177727784 "Rad51_noRT" "non-targeting_noRT"
"10" "Rpl39" 1937.891887094 0.334648354246365 5.00616697013998 5.55245975124643e-07 0.000547028334692798 1 0.998875140607424 "Rad51_noRT" "non-targeting_noRT"
"11" "Cd81" 622.194466798035 1.3528891662152 4.98578415629861 6.17110078463688e-07 0.000552706226638569 0.863636363636364 0.814398200224972 "Rad51_noRT" "non-targeting_noRT"
"12" "Cxcl10" 178.831068595606 -2.28691274951088 -4.75275141879387 2.00667002845019e-06 0.00164747609335761 0.409090909090909 0.460067491563555 "Rad51_noRT" "non-targeting_noRT"
"13" "Cdk1" 215.630270166125 0.858323654046591 4.66764634947437 3.04669724895707e-06 0.00230892779205577 0.818181818181818 0.548931383577053 "Rad51_noRT" "non-targeting_noRT"
"14" "Psmb10" 181.601276210193 -0.963546839951991 -4.64756791809438 3.35871523683555e-06 0.00236357589380742 0.863636363636364 0.937007874015748 "Rad51_noRT" "non-targeting_noRT"
"15" "Nme2" 1546.49594005296 -0.387451884328954 -4.56511951582818 4.99209850450007e-06 0.00327881029775565 1 1 "Rad51_noRT" "non-targeting_noRT"
"16" "Gpnmb" 613.229096163871 0.767771198691972 4.38852139688469 1.14123908216975e-05 0.00702717964846021 1 0.9392575928009 "Rad51_noRT" "non-targeting_noRT"
"17" "Cyth3" 10.0196483346896 2.64352220602599 4.32268127374602 1.54144340241739e-05 0.00893311788271536 0.227272727272727 0.0562429696287964 "Rad51_noRT" "non-targeting_noRT"
"18" "Mt2" 429.66389650114 0.828846297027904 4.28407805080218 1.83498492339093e-05 0.0100434841473597 0.954545454545455 0.888638920134983 "Rad51_noRT" "non-targeting_noRT"
"19" "Nr4a1" 113.586701493242 -1.14093744770885 -4.24528976854204 2.18311111544337e-05 0.011320005636499 0.636363636363636 0.789651293588301 "Rad51_noRT" "non-targeting_noRT"
"20" "Has2os" 13.777430825321 2.30465656884638 4.2117238579931 2.53429235012751e-05 0.0124839241167281 0.363636363636364 0.0888638920134983 "Rad51_noRT" "non-targeting_noRT"
"21" "Bst2" 1107.64951508841 -0.401834226735258 -4.18974162905794 2.7927225911471e-05 0.0131018585561815 1 0.997750281214848 "Rad51_noRT" "non-targeting_noRT"
"22" "Ptprn" 6.31054888788674 3.20356402562674 4.16846603117644 3.06656450598091e-05 0.0137326334149654 0.136363636363636 0.0269966254218223 "Rad51_noRT" "non-targeting_noRT"
"23" "Sri" 95.386400150018 -1.25888973131651 -4.14356185364896 3.41952784634118e-05 0.0141075391566233 0.636363636363636 0.78177727784027 "Rad51_noRT" "non-targeting_noRT"
"24" "Psme1" 254.381699158196 -0.696058299729127 -4.14241536032574 3.43667214534063e-05 0.0141075391566233 0.909090909090909 0.976377952755906 "Rad51_noRT" "non-targeting_noRT"
"25" "Sardh" 4.62468715351755 4.08081797337846 4.12353443186371 3.73102656699426e-05 0.014703229495211 0.136363636363636 0.0112485939257593 "Rad51_noRT" "non-targeting_noRT"
"26" "Hip1" 13.4117576956349 2.16687127192288 4.07402528740739 4.62074610309101e-05 0.0175090733106356 0.409090909090909 0.0967379077615298 "Rad51_noRT" "non-targeting_noRT"
"27" "Pcdh10" 17.2919005518128 1.85414978871657 4.0461061960362 5.20766154453142e-05 0.0190021783469347 0.409090909090909 0.141732283464567 "Rad51_noRT" "non-targeting_noRT"
"28" "Scrg1" 37.0031679580151 1.44744375298007 4.03002345901955 5.57712866304089e-05 0.0196235255672424 0.590909090909091 0.244094488188976 "Rad51_noRT" "non-targeting_noRT"
"29" "Zfp112" 6.33376887451676 3.34915588165592 3.99348343581778 6.51096291298887e-05 0.0221193126271608 0.227272727272727 0.0224971878515186 "Rad51_noRT" "non-targeting_noRT"
"30" "Tceal8" 54.2467661603721 1.1255422229346 3.96529546766552 7.33050866146216e-05 0.0240733904442417 0.727272727272727 0.515185601799775 "Rad51_noRT" "non-targeting_noRT"
"31" "Il1rap" 20.7258283146913 1.81316822569109 3.95024572154722 7.8071000885298e-05 0.0248114677652244 0.409090909090909 0.147356580427447 "Rad51_noRT" "non-targeting_noRT"
"32" "Iigp1" 85.3340663375992 -1.24444403635743 -3.94119135162254 8.10779134058411e-05 0.0249618625898233 0.318181818181818 0.580427446569179 "Rad51_noRT" "non-targeting_noRT"
"33" "Pfn2" 38.4800645248813 1.28586507074353 3.91784122837127 8.93455202735524e-05 0.0266736989616678 0.818181818181818 0.346456692913386 "Rad51_noRT" "non-targeting_noRT"
"34" "Ifi47" 65.5195834445115 -1.48473412674595 -3.89031680013789 0.00010011343514329 0.0282812719992851 0.227272727272727 0.663667041619798 "Rad51_noRT" "non-targeting_noRT"
"35" "Rack1" 2318.09977243434 -0.252911237712543 -3.88945057104266 0.000100471429148902 0.0282812719992851 1 0.998875140607424 "Rad51_noRT" "non-targeting_noRT"
"36" "Gjc3" 338.121487712521 0.54211238188068 3.87399641927534 0.00010706498612672 0.0293001178700125 1 0.961754780652418 "Rad51_noRT" "non-targeting_noRT"
"37" "Hist1h2ae" 41.0655433275763 -2.15593338996389 -3.84605519954522 0.000120034732022283 0.0319616805373928 0.272727272727273 0.359955005624297 "Rad51_noRT" "non-targeting_noRT"
"38" "Lcn2" 49.076532369282 -4.49598929183664 -3.82908336525304 0.00012862143491539 0.0333467993891165 0.0454545454545455 0.0899887514060742 "Rad51_noRT" "non-targeting_noRT"
"39" "Mis18bp1" 24.5236820682112 1.44799125419911 3.70058476907636 0.000215103207308734 0.054257746355045 0.5 0.188976377952756 "Rad51_noRT" "non-targeting_noRT"
"40" "Nfatc2ip" 8.82545290494336 2.44909345992623 3.68700426460233 0.000226909555767545 0.054257746355045 0.181818181818182 0.0573678290213723 "Rad51_noRT" "non-targeting_noRT"
"41" "H2-Aa" 186.373308131109 -1.2349132026507 -3.68348408019965 0.000230067658646088 0.054257746355045 0.681818181818182 0.820022497187851 "Rad51_noRT" "non-targeting_noRT"
"42" "4930589L23Rik" 3.59705020340489 4.18827826464798 3.68211627878449 0.000231305861440509 0.054257746355045 0.0909090909090909 0.0078740157480315 "Rad51_noRT" "non-targeting_noRT"
"43" "Dlgap5" 28.4602329301973 1.49238132517153 3.67578328590919 0.000237120752521575 0.0543282245079665 0.409090909090909 0.213723284589426 "Rad51_noRT" "non-targeting_noRT"
"44" "Tcp11x2" 2.41366195569275 6.31892976714921 3.65534110102448 0.000256840252768754 0.0575088675063128 0.0909090909090909 0.00112485939257593 "Rad51_noRT" "non-targeting_noRT"
"45" "2810454H06Rik" 7.60869031640712 2.81634850525213 3.64688155957562 0.00026544220077918 0.0581141458239218 0.181818181818182 0.0438695163104612 "Rad51_noRT" "non-targeting_noRT"
"46" "Rplp1" 4388.57944261285 0.176353592767335 3.63751800580656 0.000275277953661584 0.0588554480290689 1 1 "Rad51_noRT" "non-targeting_noRT"
"47" "Atg3" 28.3621111461405 1.31632095589065 3.63241958194855 0.000280776091896695 0.0588554480290689 0.636363636363636 0.310461192350956 "Rad51_noRT" "non-targeting_noRT"
"48" "Ifi206" 12.4628545728898 1.95347535481479 3.61778290942539 0.000297137460382937 0.060263332945595 0.227272727272727 0.100112485939258 "Rad51_noRT" "non-targeting_noRT"
"49" "Cpq" 87.5359343220169 0.79810570752028 3.6109526904001 0.000305074313156208 0.060263332945595 0.863636363636364 0.709786276715411 "Rad51_noRT" "non-targeting_noRT"
"50" "Plp1" 103.927181167772 0.856789457837959 3.6053941549418 0.000311679507372822 0.060263332945595 0.636363636363636 0.566929133858268 "Rad51_noRT" "non-targeting_noRT"
"51" "S100a13" 87.8561196682312 0.797700448794235 3.5998578772136 0.00031839115523175 0.060263332945595 0.863636363636364 0.697412823397075 "Rad51_noRT" "non-targeting_noRT"
"52" "Hexa" 116.83035482352 0.702778056112663 3.59884264194056 0.000319636514025243 0.060263332945595 0.863636363636364 0.770528683914511 "Rad51_noRT" "non-targeting_noRT"
"53" "Chit1" 16.2714864007818 1.82796754258774 3.59515882739917 0.000324193731842929 0.060263332945595 0.181818181818182 0.0967379077615298 "Rad51_noRT" "non-targeting_noRT"
"54" "Stmn1" 181.080068121555 0.641187727421054 3.58491202378981 0.000337191849755416 0.0615187796998215 0.818181818181818 0.744656917885264 "Rad51_noRT" "non-targeting_noRT"
"55" "Notch2" 11.8421297278422 1.99222647567902 3.57385428374238 0.000351764738438523 0.0629067110973225 0.318181818181818 0.0978627671541057 "Rad51_noRT" "non-targeting_noRT"
"56" "Hjurp" 57.420337426004 1.00457133430446 3.56956857368816 0.000357569612408654 0.0629067110973225 0.636363636363636 0.487064116985377 "Rad51_noRT" "non-targeting_noRT"
"57" "Psma3" 334.957035776817 -0.51079950565375 -3.56271046944426 0.000367045423964935 0.0634409038053077 1 0.985376827896513 "Rad51_noRT" "non-targeting_noRT"
"58" "Sec11c" 206.907217668098 0.741732701314789 3.54861380785879 0.000387264604868457 0.0649808423056684 1 0.874015748031496 "Rad51_noRT" "non-targeting_noRT"
"59" "Mgst3" 5.81219483478065 2.85191590644937 3.53770761551525 0.000403616732280157 0.0649808423056684 0.227272727272727 0.0303712035995501 "Rad51_noRT" "non-targeting_noRT"
"60" "Hes6" 19.5793204978529 1.54785593887711 3.53620553251014 0.000405918752099884 0.0649808423056684 0.5 0.194600674915636 "Rad51_noRT" "non-targeting_noRT"
"61" "Rps9" 3019.06704190596 0.200729592668084 3.53535032382063 0.0004072348770031 0.0649808423056684 1 1 "Rad51_noRT" "non-targeting_noRT"
"62" "Fn1" 61.7339866702672 1.55744504658481 3.53425041943204 0.000408933437165189 0.0649808423056684 0.590909090909091 0.266591676040495 "Rad51_noRT" "non-targeting_noRT"
"63" "Dynlt1b" 3.48836078045792 3.81127532451962 3.51040942329543 0.00044741720892877 0.0699675292439086 0.136363636363636 0.0101237345331834 "Rad51_noRT" "non-targeting_noRT"
"64" "Klf5" 32.4334003992707 -2.30465497585609 -3.49487917600723 0.000474276402867929 0.0730089237664819 0.227272727272727 0.55793025871766 "Rad51_noRT" "non-targeting_noRT"
"65" "Ppic" 75.872967493722 -1.10911305806012 -3.48762528382001 0.000487330546055008 0.0736429030735025 0.590909090909091 0.814398200224972 "Rad51_noRT" "non-targeting_noRT"
"66" "Mt3" 36.5385833118944 1.36089307528302 3.48312056796908 0.000495605107734785 0.0736429030735025 0.318181818181818 0.294713160854893 "Rad51_noRT" "non-targeting_noRT"
"67" "Tspan7" 30.2320191276652 1.30906336518571 3.48031766850845 0.000500819580382122 0.0736429030735025 0.454545454545455 0.275590551181102 "Rad51_noRT" "non-targeting_noRT"
"68" "Rps15" 2567.96052670592 -0.248259110847436 -3.47404028613931 0.00051268405239507 0.0738313227895684 1 1 "Rad51_noRT" "non-targeting_noRT"
"69" "Pim3" 94.7518021211986 0.75057826452643 3.46713145349658 0.000526044563704106 0.0738313227895684 0.636363636363636 0.656917885264342 "Rad51_noRT" "non-targeting_noRT"
"70" "Smc2" 125.58379801371 0.709879683684945 3.46544993584832 0.000529345071657063 0.0738313227895684 0.727272727272727 0.584926884139483 "Rad51_noRT" "non-targeting_noRT"
"71" "Ube2c" 399.212356305686 0.8920232813435 3.46406540052273 0.000532077133379959 0.0738313227895684 0.727272727272727 0.600674915635546 "Rad51_noRT" "non-targeting_noRT"
"72" "H19" 28.3784075474101 2.13265242891956 3.45302722152087 0.000554333060557043 0.0758512404528888 0.227272727272727 0.077615298087739 "Rad51_noRT" "non-targeting_noRT"
"73" "Psmb8" 428.083764343757 -0.444117268766395 -3.44690324676211 0.000567051619490822 0.076528665140049 1 0.982002249718785 "Rad51_noRT" "non-targeting_noRT"
"74" "Col2a1" 86.4393231528717 -1.35072048990927 -3.43707680176215 0.000588028840281819 0.0782872991142768 0.363636363636364 0.520809898762655 "Rad51_noRT" "non-targeting_noRT"
"75" "Eif5a" 553.502729102862 -0.407748258105019 -3.42656722987799 0.000611262423868344 0.0802954319993457 1 0.989876265466817 "Rad51_noRT" "non-targeting_noRT"
"76" "Slfn2" 20.0732571536208 1.45760807502546 3.41074449974442 0.000647857692822468 0.082581129986717 0.363636363636364 0.165354330708661 "Rad51_noRT" "non-targeting_noRT"
"77" "Psmb9" 237.074399140357 -0.604061048652115 -3.41029276456946 0.000648931796128555 0.082581129986717 0.909090909090909 0.955005624296963 "Rad51_noRT" "non-targeting_noRT"
"78" "Rad51" 10.2000722589494 -4.09616911242983 -3.40825018961472 0.000653809189907017 0.082581129986717 0 0.293588301462317 "Rad51_noRT" "non-targeting_noRT"
"79" "Chchd2" 910.406303399798 -0.330319493661253 -3.40278435306954 0.000667029051417595 0.0827345778696333 1 0.997750281214848 "Rad51_noRT" "non-targeting_noRT"
"80" "Layn" 5.3488130068654 2.65164189534637 3.40082852651059 0.000671819552331574 0.0827345778696333 0.136363636363636 0.0359955005624297 "Rad51_noRT" "non-targeting_noRT"
"81" "Pcbp4" 92.8740856121571 0.74672607171827 3.38767876645864 0.000704867660707985 0.0848928299396651 0.772727272727273 0.665916760404949 "Rad51_noRT" "non-targeting_noRT"
"82" "1700120G11Rik" 3.0303391578888 3.63377491533517 3.38701370967714 0.000706578568316335 0.0848928299396651 0.0909090909090909 0.0112485939257593 "Rad51_noRT" "non-targeting_noRT"
"83" "Cnih4" 248.576224021948 0.557724985014164 3.38086021127097 0.000722592939299355 0.0849142385813231 0.954545454545455 0.935883014623172 "Rad51_noRT" "non-targeting_noRT"
"84" "Khdc4" 24.1363816365906 1.38795295943829 3.38032762414262 0.000723994726028333 0.0849142385813231 0.5 0.253093363329584 "Rad51_noRT" "non-targeting_noRT"
"85" "Stmn4" 2.62104109311883 7.66950814838374 3.33297628507699 0.000859222658066712 0.0987215236808366 0.0454545454545455 0 "Rad51_noRT" "non-targeting_noRT"
"86" "Snrpf" 485.178998834372 -0.436080695279902 -3.33215606937395 0.000861759138911079 0.0987215236808366 0.954545454545455 0.997750281214848 "Rad51_noRT" "non-targeting_noRT"
"87" "Itpr2" 79.5445220152087 0.804748998410987 3.32340413787317 0.000889259806699805 0.100701007075937 0.636363636363636 0.535433070866142 "Rad51_noRT" "non-targeting_noRT"
"88" "Klhl24" 16.2460829710105 1.59157584857028 3.32013693900987 0.000899733027876428 0.100729202166347 0.409090909090909 0.159730033745782 "Rad51_noRT" "non-targeting_noRT"
"89" "Zfp931" 8.80449871521084 2.08509772823246 3.28219172723094 0.00103003543434798 0.114021450552767 0.272727272727273 0.0708661417322835 "Rad51_noRT" "non-targeting_noRT"
"90" "Ehd4" 13.3734158467795 1.82505118052946 3.26843227978739 0.00108145053803124 0.116816042255105 0.272727272727273 0.110236220472441 "Rad51_noRT" "non-targeting_noRT"
"91" "Vps35" 42.4438556385996 -1.54371549824284 -3.26820093626458 0.00108233494819425 0.116816042255105 0.363636363636364 0.667041619797525 "Rad51_noRT" "non-targeting_noRT"
"92" "Acaa1a" 8.98200591297072 -3.91309415496438 -3.265981904077 0.0010908522013266 0.116816042255105 0 0.319460067491564 "Rad51_noRT" "non-targeting_noRT"
"93" "Pdlim4" 5.02191102849657 2.95064833989423 3.26119648369586 0.00110943134784544 0.117528146655626 0.0454545454545455 0.0258717660292463 "Rad51_noRT" "non-targeting_noRT"
"94" "Rab26os" 16.1263850307423 1.72084832315552 3.25578313726171 0.00113080085941904 0.118517553904216 0.227272727272727 0.137232845894263 "Rad51_noRT" "non-targeting_noRT"
"95" "Hist1h2ap" 34.3620762366374 -1.82183707530401 -3.25072181981146 0.0011511243040208 0.118540171216376 0.318181818181818 0.335208098987627 "Rad51_noRT" "non-targeting_noRT"
"96" "Ctrl" 4.30857520747359 3.31975528668645 3.24974610504496 0.00115508084011085 0.118540171216376 0.136363636363636 0.0146231721034871 "Rad51_noRT" "non-targeting_noRT"
"97" "Neurl1b" 1.93126739065499 6.26307425532378 3.24344365088857 0.00118094167534967 NA 0.0909090909090909 0.00112485939257593 "Rad51_noRT" "non-targeting_noRT"
"98" "Ahnak2" 16.944952006167 1.85972202294083 3.2413782569272 0.00118953230650409 0.12081724003792 0.227272727272727 0.128233970753656 "Rad51_noRT" "non-targeting_noRT"
"99" "Rbak" 7.13681209212123 2.31799272108789 3.2310833507868 0.00123321972154555 0.123976333639456 0.227272727272727 0.0528683914510686 "Rad51_noRT" "non-targeting_noRT"
"100" "Spg21" 40.3331777140148 1.01570450950847 3.22766027791387 0.00124807100100761 0.124201974766939 0.681818181818182 0.43082114735658 "Rad51_noRT" "non-targeting_noRT"
"101" "Ivns1abp" 19.0588943731884 1.50168838100449 3.21348632337794 0.00131134043120848 0.128207838268626 0.454545454545455 0.191226096737908 "Rad51_noRT" "non-targeting_noRT"
"102" "Psme2" 261.874399886527 -0.540186976266688 -3.21282760356193 0.00131435156974536 0.128207838268626 0.909090909090909 0.970753655793026 "Rad51_noRT" "non-targeting_noRT"
"103" "Hsd17b10" 81.4474909219762 0.735768554609782 3.20457037003706 0.00135264220468173 0.129893953258489 0.863636363636364 0.722159730033746 "Rad51_noRT" "non-targeting_noRT"
"104" "Angptl2" 20.1444416509218 1.39567029023371 3.20343090753137 0.0013580062104775 0.129893953258489 0.272727272727273 0.185601799775028 "Rad51_noRT" "non-targeting_noRT"
"105" "Ptprc" 1.77182044255638 6.21750231175933 3.20001247174897 0.00137421640951921 NA 0.0454545454545455 0.00112485939257593 "Rad51_noRT" "non-targeting_noRT"
"106" "Zfpm2" 4.87281087423321 2.87038201864317 3.18600498285497 0.0014425211274695 0.134866538613535 0.181818181818182 0.0258717660292463 "Rad51_noRT" "non-targeting_noRT"
"107" "Pcdhgc3" 10.827880520685 1.8580378957154 3.18548260006517 0.00144512793846091 0.134866538613535 0.363636363636364 0.094488188976378 "Rad51_noRT" "non-targeting_noRT"
"108" "Lmna" 122.440397322797 -0.810048938282025 -3.18429689295157 0.00145106101228529 0.134866538613535 0.772727272727273 0.8785151856018 "Rad51_noRT" "non-targeting_noRT"
"109" "2210417A02Rik" 1.9538890069348 5.38498510365382 3.18003744827834 0.00147256021105269 NA 0.0454545454545455 0.00224971878515186 "Rad51_noRT" "non-targeting_noRT"
"110" "Plxnb1" 3.00053869416999 3.78433621591576 3.17923975648641 0.00147661898264843 0.135959347822919 0.136363636363636 0.0101237345331834 "Rad51_noRT" "non-targeting_noRT"
"111" "Gm30262" 1.90127392881468 4.78211476103329 3.16309491411316 0.00156101428892674 NA 0.0909090909090909 0.00337457817772778 "Rad51_noRT" "non-targeting_noRT"
"112" "Ran" 515.135696387997 -0.369913513963771 -3.15875720018456 0.00158443431967141 0.144535619605581 1 0.987626546681665 "Rad51_noRT" "non-targeting_noRT"
"113" "Trmt13" 21.6879237255525 1.35828187165769 3.14702168281967 0.0016494272975618 0.149084015922742 0.409090909090909 0.219347581552306 "Rad51_noRT" "non-targeting_noRT"
"114" "Tes3-ps" 1.92573364262517 4.37564616138987 3.1329745149724 0.00173044466418077 NA 0.0909090909090909 0.00449943757030371 "Rad51_noRT" "non-targeting_noRT"
"115" "Gsn" 70.2572885573196 -1.01206412970275 -3.12814342654673 0.00175914315506612 0.157169907478553 0.5 0.713160854893138 "Rad51_noRT" "non-targeting_noRT"
"116" "H2-DMa" 76.1892489834175 -0.953641958152896 -3.12571306835523 0.00177374524412435 0.157169907478553 0.5 0.712035995500562 "Rad51_noRT" "non-targeting_noRT"
"117" "Tulp3" 38.7280004498982 -1.49593462917317 -3.12356452841979 0.00178674681664615 0.157169907478553 0.272727272727273 0.614173228346457 "Rad51_noRT" "non-targeting_noRT"
"118" "Gm6566" 1.92757174015584 4.36812467281903 3.12343346893932 0.00178754273149377 NA 0.0909090909090909 0.00449943757030371 "Rad51_noRT" "non-targeting_noRT"
"119" "Gdf15" 33.4662729426341 -1.65796489902775 -3.11611327555115 0.0018325186509879 0.159536056962207 0.0909090909090909 0.355455568053993 "Rad51_noRT" "non-targeting_noRT"
"120" "Trim23" 7.51965825830412 2.16777393828103 3.11394606352098 0.0018460323278209 0.159536056962207 0.181818181818182 0.0573678290213723 "Rad51_noRT" "non-targeting_noRT"
"121" "Bsg" 568.231524238932 0.345494990652961 3.10714537392169 0.00188903478806299 0.161832788973883 1 0.997750281214848 "Rad51_noRT" "non-targeting_noRT"
"122" "Mcph1" 18.3926449230228 1.41280948043039 3.08867000876008 0.00201054622528826 0.170017361073023 0.409090909090909 0.195725534308211 "Rad51_noRT" "non-targeting_noRT"
"123" "Gm29358" 3.53890137725495 3.52273063785255 3.08741050400751 0.00201908559130569 0.170017361073023 0.0909090909090909 0.0123734533183352 "Rad51_noRT" "non-targeting_noRT"
"124" "Gm35963" 2.59391635277364 4.09782316805037 3.08190215488511 0.00205682433758905 0.170452433105548 0.0909090909090909 0.00562429696287964 "Rad51_noRT" "non-targeting_noRT"
"125" "Rwdd3" 3.67211782991646 3.27909189969882 3.07807305236567 0.00208343834677123 0.170452433105548 0.136363636363636 0.0146231721034871 "Rad51_noRT" "non-targeting_noRT"
"126" "Cxxc5" 10.3845202926904 1.83037921136778 3.07729674666538 0.00208887238787969 0.170452433105548 0.227272727272727 0.0911136107986502 "Rad51_noRT" "non-targeting_noRT"
"127" "Cks2" 264.571157797932 0.447697862373363 3.07599206916437 0.00209803425511864 0.170452433105548 0.954545454545455 0.820022497187851 "Rad51_noRT" "non-targeting_noRT"
"128" "Insrr" 3.15624660609853 3.3794464166315 3.07402987553146 0.00211188282667626 0.170452433105548 0.136363636363636 0.0134983127109111 "Rad51_noRT" "non-targeting_noRT"
"129" "Ubox5" 5.63857212559808 2.60860869442726 3.07175260127165 0.00212806021843102 0.170452433105548 0.181818181818182 0.031496062992126 "Rad51_noRT" "non-targeting_noRT"
"130" "Rpl27" 2209.42250103919 -0.242948553627841 -3.06858512143318 0.00215075046800806 0.170880593635608 1 1 "Rad51_noRT" "non-targeting_noRT"
"131" "Polr3k" 155.040277678601 0.747392567631536 3.06438971944271 0.00218114572878726 0.171909181760097 0.954545454545455 0.802024746906637 "Rad51_noRT" "non-targeting_noRT"
"132" "Ifi30" 7.6917477380274 -3.6898540662636 -3.05526294103507 0.00224863287405077 0.175821675199589 0 0.253093363329584 "Rad51_noRT" "non-targeting_noRT"
"133" "Ndrg2" 4.16104948637209 3.01797739611019 3.05169969403424 0.00227549631956478 0.176521179057892 0.181818181818182 0.0202474690663667 "Rad51_noRT" "non-targeting_noRT"
"134" "Bcas1" 81.6190468117644 0.97993863696289 3.04435464990612 0.00233180076880455 0.178227661039235 0.545454545454545 0.525309336332958 "Rad51_noRT" "non-targeting_noRT"
