"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Gpx2" 499.829987114683 -2.57765094303347 -23.5721272416378 7.44637315804543e-123 8.78001859065137e-119 0.283464566929134 0.565456545654565 "Shc1_RT" "non-targeting_RT"
"2" "Cstb" 4695.29258721303 -0.975403453722469 -23.4910466010385 5.03559361183309e-122 2.9687342138562e-118 0.988188976377953 0.988998899889989 "Shc1_RT" "non-targeting_RT"
"3" "Ly6a" 1133.73910285224 1.44373165427897 23.3697850348659 8.67384311929609e-121 3.40910947398734e-117 0.832677165354331 0.563256325632563 "Shc1_RT" "non-targeting_RT"
"4" "Ly6e" 2476.58521470274 0.929820544372827 18.9751213354024 2.73878446463207e-80 8.07325190561919e-77 0.990157480314961 0.8998899889989 "Shc1_RT" "non-targeting_RT"
"5" "Ldha" 2290.0800542865 0.736692340225861 17.4388902431018 4.18114069814867e-68 9.85996599437419e-65 0.978346456692913 0.973597359735974 "Shc1_RT" "non-targeting_RT"
"6" "Fxyd3" 679.437083749242 -1.38698102856499 -16.5725107042576 1.10129856503698e-61 2.1642352300585e-58 0.618110236220472 0.693069306930693 "Shc1_RT" "non-targeting_RT"
"7" "Rps12" 45289.7586772897 -0.388787803930582 -15.8702676842856 1.01805765499996e-56 1.7148454014435e-53 1 1 "Shc1_RT" "non-targeting_RT"
"8" "Bag1" 3208.320224574 -0.655559771409488 -15.0277157131586 4.83389382275838e-51 7.124555258018e-48 0.982283464566929 0.99009900990099 "Shc1_RT" "non-targeting_RT"
"9" "Csn3" 406.836773416961 -1.61888075525046 -14.7305933515643 4.10089349455361e-49 5.37262613269795e-46 0.297244094488189 0.547854785478548 "Shc1_RT" "non-targeting_RT"
"10" "Gas5" 6213.78438087307 -0.452434899945464 -14.6262928199928 1.90909716664655e-48 2.25101646919295e-45 1 0.998899889988999 "Shc1_RT" "non-targeting_RT"
"11" "Lgals1" 10154.0256452243 0.37813886944571 13.7378888121419 6.02059053114993e-43 6.4535257229808e-40 1 0.994499449944995 "Shc1_RT" "non-targeting_RT"
"12" "Prph" 651.225271032556 1.0603595204895 13.4349742387744 3.77199576754255e-41 3.70630017459118e-38 0.830708661417323 0.629262926292629 "Shc1_RT" "non-targeting_RT"
"13" "2410006H16Rik" 5064.15220560088 -0.504509529289866 -12.8967968062329 4.69198078921431e-38 4.25562657581738e-35 0.994094488188976 0.998899889988999 "Shc1_RT" "non-targeting_RT"
"14" "Afp" 95.6089323072596 2.69860824471646 11.9994256089517 3.5777066679478e-33 3.01319566584089e-30 0.350393700787402 0.0572057205720572 "Shc1_RT" "non-targeting_RT"
"15" "Aldoa" 2103.08242588346 0.588312096564151 11.7806396131756 4.91189217527425e-32 3.86107470924391e-29 0.988188976377953 0.964796479647965 "Shc1_RT" "non-targeting_RT"
"16" "Bst2" 10488.8685302494 0.328591150535778 11.3408387365995 8.23513721261915e-30 6.06878142962452e-27 1 0.998899889988999 "Shc1_RT" "non-targeting_RT"
"17" "Phlda2" 1535.65992271946 -0.6876326123458 -11.157447345594 6.58553722981376e-29 4.56765114569024e-26 0.848425196850394 0.849284928492849 "Shc1_RT" "non-targeting_RT"
"18" "Chit1" 150.112259844193 -1.81737448357572 -10.5376923213309 5.79022710958843e-26 3.79292043606429e-23 0.145669291338583 0.31023102310231 "Shc1_RT" "non-targeting_RT"
"19" "Slc16a3" 173.099396519631 1.54268151402055 10.426471282224 1.87731062072006e-25 1.16501944889001e-22 0.498031496062992 0.240924092409241 "Shc1_RT" "non-targeting_RT"
"20" "Ifi27l2a" 2772.75480175601 0.441380240347159 10.4107359274485 2.21502644592001e-25 1.30586884119214e-22 0.988188976377953 0.971397139713971 "Shc1_RT" "non-targeting_RT"
"21" "Moxd1" 2297.21667372265 -0.469819297638103 -10.3696605205984 3.4073306717461e-25 1.91313504526468e-22 0.970472440944882 0.976897689768977 "Shc1_RT" "non-targeting_RT"
"22" "Tpt1" 38886.1515394778 -0.227417611400065 -10.2714632276084 9.47564110104209e-25 5.07851291919942e-22 1 1 "Shc1_RT" "non-targeting_RT"
"23" "Erbb3" 694.186942268481 -0.76045586216769 -10.0800036223291 6.77236262889627e-24 3.47186642423113e-21 0.759842519685039 0.832783278327833 "Shc1_RT" "non-targeting_RT"
"24" "Rpl12" 14746.1565279205 -0.243127373860369 -10.0274420892721 1.15469173141292e-23 5.67290425212073e-21 1 1 "Shc1_RT" "non-targeting_RT"
"25" "Mt3" 203.315943183759 1.32055903296576 9.94301208690767 2.70521126317834e-23 1.27588584016543e-20 0.442913385826772 0.313531353135314 "Shc1_RT" "non-targeting_RT"
"26" "Prss12" 133.785446021836 -1.72225108151003 -9.86213733721054 6.07423880634316e-23 2.75466729867662e-20 0.192913385826772 0.388338833883388 "Shc1_RT" "non-targeting_RT"
