"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Fn1" 453.055344504797 2.4838624985864 20.6222143170097 1.73436111175457e-94 8.59896239207915e-91 0.614987080103359 0.266591676040495 "Trp53bp1_noRT" "non-targeting_noRT"
"2" "Ly6e" 1472.62178117049 0.806603601766352 12.615879342046 1.72620043671496e-36 4.27925088261639e-33 0.971576227390181 0.888638920134983 "Trp53bp1_noRT" "non-targeting_noRT"
"3" "Ly6a" 402.92719920799 1.07320211444984 8.68851118940311 3.67220051648734e-18 6.06892338691475e-15 0.558139534883721 0.428571428571429 "Trp53bp1_noRT" "non-targeting_noRT"
"4" "Krt8" 1430.15193848424 -0.591795882821529 -7.54571638060252 4.49807999396635e-14 5.57537015252128e-11 0.475452196382429 0.62429696287964 "Trp53bp1_noRT" "non-targeting_noRT"
"5" "Ly6c1" 51.0839901537616 1.84908128417971 7.09661091690999 1.27853343076289e-12 NA 0.157622739018088 0.0764904386951631 "Trp53bp1_noRT" "non-targeting_noRT"
"6" "Cytl1" 27.9096929645851 2.7646581469776 7.05679501347807 1.70386682783434e-12 NA 0.118863049095607 0.0213723284589426 "Trp53bp1_noRT" "non-targeting_noRT"
"7" "Gpx2" 90.4954906506037 -1.6517353033014 -6.85562455273559 7.10016281071342e-12 7.04052144310343e-09 0.118863049095607 0.258717660292463 "Trp53bp1_noRT" "non-targeting_noRT"
"8" "Pcolce" 81.3577812117179 1.56664743711953 6.79566788407991 1.07811885723244e-11 8.90885549026407e-09 0.315245478036176 0.181102362204724 "Trp53bp1_noRT" "non-targeting_noRT"
"9" "Tesc" 133.261771806891 -1.1289076055795 -6.35796190078304 2.0444816015449e-10 1.44807711149423e-07 0.242894056847545 0.367829021372328 "Trp53bp1_noRT" "non-targeting_noRT"
"10" "Ifitm3" 6325.35669572966 0.252580414898927 6.3172973653973 2.66177107297966e-10 1.64963262247914e-07 0.997416020671835 0.998875140607424 "Trp53bp1_noRT" "non-targeting_noRT"
"11" "Gatm" 366.04766291493 -0.688666473717186 -6.09980971282918 1.06194808731893e-09 5.85015401880807e-07 0.537467700258398 0.664791901012373 "Trp53bp1_noRT" "non-targeting_noRT"
"12" "Cd81" 1732.53144984973 0.436626368268103 6.02652233148298 1.67525174369378e-09 8.30589814523377e-07 0.875968992248062 0.814398200224972 "Trp53bp1_noRT" "non-targeting_noRT"
"13" "Serpina3n" 1050.28821411409 0.445168988214867 5.97358387213677 2.3209737475703e-09 1.04612616731396e-06 0.881136950904393 0.839145106861642 "Trp53bp1_noRT" "non-targeting_noRT"
"14" "Ccl2" 20.6410115400617 6.59703627924543 5.95357819680026 2.62342418704269e-09 NA 0.0439276485788114 0.00224971878515186 "Trp53bp1_noRT" "non-targeting_noRT"
"15" "Gpnmb" 2127.37837138899 0.317698432841879 5.73098524914454 9.98489505399121e-09 4.05123664733912e-06 0.950904392764858 0.9392575928009 "Trp53bp1_noRT" "non-targeting_noRT"
"16" "Ivns1abp" 73.0841760165523 1.2311610023533 5.72047855093924 1.06224438110949e-08 4.05123664733912e-06 0.385012919896641 0.191226096737908 "Trp53bp1_noRT" "non-targeting_noRT"
"17" "Epcam" 224.927217705112 -0.705588997749362 -5.3924455295265 6.95051726744081e-08 2.46147604371225e-05 0.431524547803618 0.536557930258718 "Trp53bp1_noRT" "non-targeting_noRT"
"18" "Matn2" 273.45059421421 0.600895836230455 5.26860895373876 1.37461444267618e-07 4.54355893785901e-05 0.630490956072351 0.516310461192351 "Trp53bp1_noRT" "non-targeting_noRT"
"19" "Tmsb10" 1006.04866334285 -0.35042674154911 -5.16076265171636 2.45945836174887e-07 7.6212465984693e-05 0.922480620155039 0.943757030371204 "Trp53bp1_noRT" "non-targeting_noRT"
"20" "Laptm4b" 365.186464912566 0.512909955903691 5.11619931313902 3.11753630561028e-07 9.0922029430681e-05 0.762273901808786 0.696287964004499 "Trp53bp1_noRT" "non-targeting_noRT"
"21" "Fxyd3" 204.056972236516 -0.780114834037102 -4.97739109575326 6.44470204767193e-07 0.000177515737513097 0.333333333333333 0.43644544431946 "Trp53bp1_noRT" "non-targeting_noRT"
"22" "Mfsd13a" 34.2441561634834 -1.97288793285703 -4.92222071757941 8.55676281869166e-07 NA 0.0671834625322997 0.143982002249719 "Trp53bp1_noRT" "non-targeting_noRT"
"23" "Cd109" 291.651624481033 0.565586755189434 4.85273515085209 1.21770264735972e-06 0.000317756301347868 0.757105943152455 0.62992125984252 "Trp53bp1_noRT" "non-targeting_noRT"
"24" "Mcam" 119.475257791022 0.788210995055245 4.76570150445822 1.88197703905504e-06 0.000455682904951717 0.410852713178295 0.299212598425197 "Trp53bp1_noRT" "non-targeting_noRT"
"25" "AA467197" 150.467973069422 0.737853725532219 4.76061064181262 1.93008088019081e-06 0.000455682904951717 0.333333333333333 0.265466816647919 "Trp53bp1_noRT" "non-targeting_noRT"
