"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Gatm" 263.990755260823 -1.74162252133878 -11.4377772742045 2.70732806337052e-30 2.1525965431859e-26 0.504347826086956 0.795379537953795 "Xrcc5_RT" "non-targeting_RT"
"2" "Fxyd3" 279.529873393837 -2.08156686073165 -10.7835742077935 4.11576078668796e-27 1.6362207007478e-23 0.443478260869565 0.693069306930693 "Xrcc5_RT" "non-targeting_RT"
"3" "Ly6e" 1062.37470268862 0.775106318492415 10.4617898892408 1.29388038508438e-25 3.4292143139353e-22 0.982608695652174 0.8998899889989 "Xrcc5_RT" "non-targeting_RT"
"4" "Gpx2" 243.587977859711 -2.06686109394877 -10.1262742370169 4.22440051956436e-24 8.39705213276406e-21 0.295652173913043 0.565456545654565 "Xrcc5_RT" "non-targeting_RT"
"5" "Bag1" 1506.77348344899 -0.579999851164215 -9.4255953448006 4.27672436779796e-21 6.80084708967231e-18 0.973913043478261 0.99009900990099 "Xrcc5_RT" "non-targeting_RT"
"6" "Cytl1" 16.204279517536 4.87914267272919 7.91631638467886 2.44650596227605e-15 3.24202815100948e-12 0.0956521739130435 0.0077007700770077 "Xrcc5_RT" "non-targeting_RT"
"7" "Shisa8" 66.2051052552207 -2.71482545644482 -7.46018032222376 8.64041471214447e-14 9.81427676803724e-11 0.0956521739130435 0.361936193619362 "Xrcc5_RT" "non-targeting_RT"
"8" "Erbb3" 315.242417138482 -0.812875054924436 -7.07499973821265 1.49449042924121e-12 1.48533667536211e-09 0.71304347826087 0.832783278327833 "Xrcc5_RT" "non-targeting_RT"
"9" "Plp1" 235.612364595636 -1.11849399139828 -7.03354020753971 2.01357914187338e-12 1.77888530633725e-09 0.539130434782609 0.774477447744774 "Xrcc5_RT" "non-targeting_RT"
"10" "Prss12" 53.6426237096652 -2.87263654245572 -6.89160439420705 5.51666143683166e-12 4.38629750842485e-09 0.104347826086957 0.388338833883388 "Xrcc5_RT" "non-targeting_RT"
"11" "Moxd1" 1052.38275252751 -0.483078114648247 -6.59085989969344 4.37286388609446e-11 3.16078552348518e-08 0.965217391304348 0.976897689768977 "Xrcc5_RT" "non-targeting_RT"
"12" "Ly6a" 382.524313709067 0.790474246782048 6.51869528386929 7.09215612325782e-11 4.69914444466858e-08 0.739130434782609 0.563256325632563 "Xrcc5_RT" "non-targeting_RT"
"13" "Phlda2" 706.478047569738 -0.690140880225532 -6.38509517373898 1.71290903527875e-10 1.04764151842318e-07 0.756521739130435 0.849284928492849 "Xrcc5_RT" "non-targeting_RT"
"14" "Cryl1" 59.7601828396961 -1.92790162347757 -6.32034387131878 2.60981893028286e-10 1.48219073676279e-07 0.156521739130435 0.442244224422442 "Xrcc5_RT" "non-targeting_RT"
"15" "Xrcc5" 47.5520656302607 -4.63271185213734 -6.22582839228926 4.79018163109719e-10 2.53911560992359e-07 0.0347826086956522 0.490649064906491 "Xrcc5_RT" "non-targeting_RT"
"16" "Taldo1" 611.174331225418 -0.510730826588587 -6.18816571250272 6.08683237048821e-10 3.02477526110949e-07 0.921739130434783 0.957095709570957 "Xrcc5_RT" "non-targeting_RT"
"17" "Bst2" 4817.00445817597 0.323826041437973 5.98183136622296 2.20642641303115e-09 1.03195861235357e-06 1 0.998899889988999 "Xrcc5_RT" "non-targeting_RT"
"18" "Lgals1" 4543.82979972363 0.306360119252677 5.89978722060023 3.63970652510238e-09 1.60773925450494e-06 1 0.994499449944995 "Xrcc5_RT" "non-targeting_RT"
"19" "Slc1a3" 306.60660937037 -0.849722034654742 -5.78204516031042 7.3797889208868e-09 3.06309797465375e-06 0.678260869565217 0.843784378437844 "Xrcc5_RT" "non-targeting_RT"
"20" "Tesc" 157.958962199149 -0.911084886828396 -5.77478943754001 7.7049376799239e-09 3.06309797465375e-06 0.417391304347826 0.561056105610561 "Xrcc5_RT" "non-targeting_RT"
"21" "Sept11" 172.936570934393 -0.896730002511202 -5.75483213602222 8.67279308947542e-09 3.28368465973424e-06 0.608695652173913 0.753575357535754 "Xrcc5_RT" "non-targeting_RT"
"22" "Tnfrsf13c" 43.8396184783278 -2.30453425939364 -5.71128588755671 1.121257031821e-08 4.05232484545853e-06 0.130434782608696 0.297029702970297 "Xrcc5_RT" "non-targeting_RT"
"23" "Spats2l" 314.521750192835 -0.638467859419883 -5.63388505516234 1.7619448054262e-08 5.9862688779043e-06 0.773913043478261 0.864686468646865 "Xrcc5_RT" "non-targeting_RT"
"24" "Ifit2" 114.566629657652 1.12801889008109 5.62953622378119 1.8069482212263e-08 5.9862688779043e-06 0.408695652173913 0.280528052805281 "Xrcc5_RT" "non-targeting_RT"
"25" "Ppp2r2b" 59.6656950208693 -1.60822516195122 -5.58935421740256 2.2791561515988e-08 7.24862822454481e-06 0.208695652173913 0.418041804180418 "Xrcc5_RT" "non-targeting_RT"
"26" "Tppp3" 83.6716059601578 -1.28031467722435 -5.5793202272427 2.41460353534363e-08 7.38404334981429e-06 0.278260869565217 0.482948294829483 "Xrcc5_RT" "non-targeting_RT"
"27" "Rpl3" 5360.35049048452 -0.301098205932256 -5.55452797412021 2.78362934572361e-08 8.19727293624016e-06 1 1 "Xrcc5_RT" "non-targeting_RT"
"28" "Cd274" 94.8794382655268 0.926713620574331 5.51687093924583 3.45088664643639e-08 9.79928561636278e-06 0.460869565217391 0.336633663366337 "Xrcc5_RT" "non-targeting_RT"
"29" "Ifit3" 351.47099140818 0.54019724071627 5.40645965275738 6.42826995782201e-08 1.76245429084975e-05 0.68695652173913 0.646864686468647 "Xrcc5_RT" "non-targeting_RT"
"30" "Gbp4" 221.391253056817 0.851197700205704 5.38339012166789 7.30958751411929e-08 1.88148541291171e-05 0.678260869565217 0.565456545654565 "Xrcc5_RT" "non-targeting_RT"
"31" "Paics" 765.50568046141 -0.42029824081077 -5.38274881887729 7.33568705826476e-08 1.88148541291171e-05 0.939130434782609 0.977997799779978 "Xrcc5_RT" "non-targeting_RT"
"32" "Tmem140" 69.7506565766179 1.09185285951223 5.36816290983185 7.95426902688763e-08 1.97638728227449e-05 0.426086956521739 0.270627062706271 "Xrcc5_RT" "non-targeting_RT"
"33" "Adck5" 80.103177575038 -1.22632060752947 -5.35273342657523 8.66354335881248e-08 2.08738888623994e-05 0.339130434782609 0.532453245324532 "Xrcc5_RT" "non-targeting_RT"
"34" "Laptm4b" 271.257628539898 0.666912362528259 5.28204831009505 1.27747499491985e-07 2.98741284841405e-05 0.834782608695652 0.713971397139714 "Xrcc5_RT" "non-targeting_RT"
"35" "Metrn" 358.88645441797 -0.521022305030731 -5.23867389594916 1.61734535041748e-07 3.67414653747697e-05 0.826086956521739 0.911991199119912 "Xrcc5_RT" "non-targeting_RT"
"36" "Tubb3" 38.9363003829263 1.54514194185395 5.21888133944319 1.8000703778379e-07 3.87846458471215e-05 0.269565217391304 0.121012101210121 "Xrcc5_RT" "non-targeting_RT"
"37" "Atp5g2" 1513.49853997874 -0.321156802114945 -5.21839067975155 1.80484454325682e-07 3.87846458471215e-05 1 0.994499449944995 "Xrcc5_RT" "non-targeting_RT"
"38" "Cav1" 105.73524060058 -1.01421815892914 -5.1986406533173 2.00751190416817e-07 4.20045451316872e-05 0.382608695652174 0.568756875687569 "Xrcc5_RT" "non-targeting_RT"
"39" "Ifi47" 308.429534906501 0.508374091431282 5.13104426836745 2.88139128412747e-07 5.87434412823014e-05 0.791304347826087 0.766776677667767 "Xrcc5_RT" "non-targeting_RT"
"40" "Cxcl10" 1318.61980995976 0.731404266666748 5.10966090548484 3.22737529815879e-07 6.41521524891513e-05 0.791304347826087 0.683168316831683 "Xrcc5_RT" "non-targeting_RT"
"41" "Hmcn1" 27.7381951710539 -2.92396552478425 -5.08006994554447 3.77295926042211e-07 7.31678026332103e-05 0.0347826086956522 0.270627062706271 "Xrcc5_RT" "non-targeting_RT"
"42" "Itm2b" 743.173238668397 0.427309817569116 5.07533497206305 3.86813950884014e-07 7.32275648447332e-05 0.982608695652174 0.973597359735974 "Xrcc5_RT" "non-targeting_RT"
"43" "Ndufa6" 458.718859841567 -0.465071234687121 -5.05442694771313 4.3168494841732e-07 7.98215587178166e-05 0.939130434782609 0.96039603960396 "Xrcc5_RT" "non-targeting_RT"
"44" "Pmel" 55.5196208004697 -1.47035959462567 -5.03544745408821 4.76733895012116e-07 8.61479818009395e-05 0.191304347826087 0.37953795379538 "Xrcc5_RT" "non-targeting_RT"
"45" "Hsp90ab1" 10292.8353810608 -0.147463917810663 -5.00978007900902 5.44922695773949e-07 9.62817856466371e-05 1 1 "Xrcc5_RT" "non-targeting_RT"
"46" "Col9a3" 147.149973144131 -0.865381631232033 -4.9872009263479 6.126034606735e-07 0.000105887176430761 0.460869565217391 0.657865786578658 "Xrcc5_RT" "non-targeting_RT"
"47" "Gas5" 2931.83806057516 -0.368075205492379 -4.93310828408075 8.09312577114596e-07 0.000136911580864641 1 0.998899889988999 "Xrcc5_RT" "non-targeting_RT"
"48" "Col11a2" 175.359113895405 -0.714551291789499 -4.8813540153815 1.05359904750588e-06 0.00017283026262592 0.608695652173913 0.765676567656766 "Xrcc5_RT" "non-targeting_RT"
"49" "Atm" 98.6824853209157 0.825779655765891 4.87921128452889 1.06510915214062e-06 0.00017283026262592 0.521739130434783 0.433443344334433 "Xrcc5_RT" "non-targeting_RT"
