"feature" "ave_expr" "log_fc" "stat" "pvalue" "padj" "rate1" "rate2" "group1" "group2"
"1" "Xrcc5" 120.513900650898 -3.81678210704747 -14.7790132188352 2.00075998240287e-49 NA 0.0415584415584416 0.518560179977503 "Xrcc5_noRT" "non-targeting_noRT"
"2" "H2-Aa" 1369.18657820323 -0.499119550753018 -8.9043663866923 5.36918390262493e-19 1.20430794935877e-15 0.757142857142857 0.820022497187851 "Xrcc5_noRT" "non-targeting_noRT"
"3" "Ivns1abp" 112.962326809488 1.37667632683337 7.77359534927814 7.6289179815378e-15 NA 0.427272727272727 0.191226096737908 "Xrcc5_noRT" "non-targeting_noRT"
"4" "H2-Ab1" 1312.82996042816 -0.468830111258312 -7.68313475393701 1.55242139587601e-14 1.74104059547494e-11 0.815584415584416 0.83689538807649 "Xrcc5_noRT" "non-targeting_noRT"
"5" "H2-Eb1" 2031.86586681225 -0.36585673756196 -7.44152285654665 9.95311577959255e-14 7.44161289787536e-11 0.845454545454545 0.902137232845894 "Xrcc5_noRT" "non-targeting_noRT"
"6" "Gpx2" 139.849049854296 -1.23124568595311 -7.32310912026954 2.42290620894371e-13 NA 0.171428571428571 0.258717660292463 "Xrcc5_noRT" "non-targeting_noRT"
"7" "H19" 103.665607282904 1.31756643057581 6.88450781983809 5.79876688738228e-12 NA 0.115584415584416 0.077615298087739 "Xrcc5_noRT" "non-targeting_noRT"
"8" "Cd74" 4114.51821622923 -0.308130032074719 -6.70621204602978 1.99741415979909e-11 1.12004999010734e-08 0.949350649350649 0.962879640044994 "Xrcc5_noRT" "non-targeting_noRT"
"9" "Col18a1" 283.001217171385 0.732263615073262 6.58657007142017 4.50103181031136e-11 2.01916287010568e-08 0.512987012987013 0.427446569178853 "Xrcc5_noRT" "non-targeting_noRT"
"10" "Iigp1" 602.819821239368 -0.59808596916961 -6.44514270132838 1.15491698773282e-10 4.31746467247452e-08 0.518181818181818 0.580427446569179 "Xrcc5_noRT" "non-targeting_noRT"
"11" "Ly6e" 1733.43467082136 0.32744670494668 6.2537663299443 4.00670366963256e-10 1.28386233299797e-07 0.944155844155844 0.888638920134983 "Xrcc5_noRT" "non-targeting_noRT"
"12" "Neat1" 2100.177033483 0.294465698943439 6.0054352860049 1.90819264744581e-09 5.3500951352762e-07 0.907792207792208 0.915635545556805 "Xrcc5_noRT" "non-targeting_noRT"
"13" "Hspe1" 5055.09556225356 -0.199819231189313 -5.94855743630573 2.7051596497737e-09 6.74185899382491e-07 0.98961038961039 0.996625421822272 "Xrcc5_noRT" "non-targeting_noRT"
"14" "H2-DMa" 525.500622096976 -0.501446017190289 -5.91615008673217 3.29564503741474e-09 6.84393437338517e-07 0.622077922077922 0.712035995500562 "Xrcc5_noRT" "non-targeting_noRT"
"15" "Fn1" 343.476064580094 1.31579882137152 5.91314495595079 3.35636549742474e-09 6.84393437338517e-07 0.42987012987013 0.266591676040495 "Xrcc5_noRT" "non-targeting_noRT"
"16" "Mfsd13a" 52.4774813357209 -1.53999404569161 -5.75611471250738 8.60719080948059e-09 NA 0.087012987012987 0.143982002249719 "Xrcc5_noRT" "non-targeting_noRT"
"17" "H2-K1" 4746.90147527813 -0.187491885447507 -5.56350855396552 2.64403896298966e-08 4.94214949498818e-06 0.998701298701299 0.998875140607424 "Xrcc5_noRT" "non-targeting_noRT"
"18" "Lap3" 925.871138458737 -0.358971680632663 -5.24735070863087 1.54301995790982e-07 2.66230289660903e-05 0.814285714285714 0.865016872890889 "Xrcc5_noRT" "non-targeting_noRT"
"19" "Psme2" 1705.95253368878 -0.260328411468352 -5.08765962807794 3.62509227703272e-07 5.80791569813172e-05 0.949350649350649 0.970753655793026 "Xrcc5_noRT" "non-targeting_noRT"
"20" "Psmb9" 1585.72334412647 -0.258554589306888 -5.04263502733987 4.59164525902554e-07 6.86604021066286e-05 0.932467532467532 0.955005624296963 "Xrcc5_noRT" "non-targeting_noRT"
"21" "Krt18" 70.8709702818384 -1.235664639433 -5.00772280705148 5.50777770482722e-07 NA 0.0597402597402597 0.0854893138357705 "Xrcc5_noRT" "non-targeting_noRT"
"22" "Gpnmb" 2936.49029126818 0.215643183673158 4.7924003902162 1.64797598792702e-06 0.00023102563380752 0.941558441558442 0.9392575928009 "Xrcc5_noRT" "non-targeting_noRT"
"23" "Gbp2" 1300.8361525157 -0.256759766765269 -4.69113793380145 2.71689722626448e-06 0.000358470616383014 0.749350649350649 0.823397075365579 "Xrcc5_noRT" "non-targeting_noRT"
"24" "Col3a1" 56.1088367640737 1.25900999738348 4.62893134239916 3.67557595910057e-06 NA 0.132467532467532 0.0866141732283465 "Xrcc5_noRT" "non-targeting_noRT"
"25" "Gbp4" 228.875965096672 -0.571309645271021 -4.61315446540781 3.9660333577231e-06 NA 0.328571428571429 0.40044994375703 "Xrcc5_noRT" "non-targeting_noRT"
"26" "H2-DMb1" 612.512404636682 -0.348618380115262 -4.48385692478629 7.33058234549519e-06 0.00091347201116365 0.74025974025974 0.779527559055118 "Xrcc5_noRT" "non-targeting_noRT"
"27" "Tubb4a" 20.3804297073471 1.93292561662819 4.46235335006606 8.10644057425552e-06 NA 0.0545454545454545 0.0179977502812148 "Xrcc5_noRT" "non-targeting_noRT"
"28" "AI506816" 4330.66716904475 0.17123058656633 4.39729624672535 1.09607696979626e-05 0.00129394770697527 0.993506493506494 1 "Xrcc5_noRT" "non-targeting_noRT"
"29" "Jam3" 179.455819625297 -0.61748598564002 -4.39602324709116 1.10252131424951e-05 NA 0.372727272727273 0.462317210348706 "Xrcc5_noRT" "non-targeting_noRT"
"30" "Irf8" 89.7511474436491 -0.890681510284653 -4.34814617937542 1.37293088348813e-05 NA 0.154545454545455 0.220472440944882 "Xrcc5_noRT" "non-targeting_noRT"
"31" "Csn3" 82.3402286784086 -0.951181691068267 -4.33038917574192 1.4884604353835e-05 NA 0.112987012987013 0.181102362204724 "Xrcc5_noRT" "non-targeting_noRT"
"32" "Timp3" 291.910829093949 0.519959214885465 4.32352163501823 1.53558071473822e-05 0.00172215377157891 0.381818181818182 0.330708661417323 "Xrcc5_noRT" "non-targeting_noRT"
"33" "mt-Co1" 18781.9911698649 0.121142165890863 4.30569861753345 1.66459559213754e-05 0.00177794662531643 1 1 "Xrcc5_noRT" "non-targeting_noRT"
"34" "Sri" 714.416153004662 -0.328081535016724 -4.2719451972636 1.93775204188341e-05 0.00197562628633841 0.757142857142857 0.78177727784027 "Xrcc5_noRT" "non-targeting_noRT"
"35" "Erbb3" 478.832975402586 -0.387749058449676 -4.25803223063482 2.06234220360567e-05 0.00201123198377718 0.628571428571429 0.673790776152981 "Xrcc5_noRT" "non-targeting_noRT"
"36" "Cct5" 2713.09271783076 -0.179543062149216 -4.24232733055169 2.21213727289133e-05 0.00206742662628969 0.979220779220779 0.992125984251969 "Xrcc5_noRT" "non-targeting_noRT"
"37" "Hspa8" 6598.87943303221 -0.129667326793043 -4.15904261296879 3.19584280285419e-05 0.00286731016272078 0.996103896103896 0.99437570303712 "Xrcc5_noRT" "non-targeting_noRT"
"38" "Ppa1" 1328.12668247396 -0.233815424386663 -4.03068961000861 5.56134447672591e-05 0.00479772910049855 0.893506493506493 0.925759280089989 "Xrcc5_noRT" "non-targeting_noRT"
"39" "Igtp" 1689.02128590615 -0.22397619788918 -4.01613589925935 5.91601492550464e-05 0.004914674621447 0.853246753246753 0.881889763779528 "Xrcc5_noRT" "non-targeting_noRT"
"40" "Ckb" 5456.97712161288 0.146401179921347 3.89368454521216 9.87330267438223e-05 0.00790922067808548 0.984415584415584 0.97525309336333 "Xrcc5_noRT" "non-targeting_noRT"
"41" "H2-D1" 3917.54359150878 -0.147903203635639 -3.83415320634707 0.000125997595399228 0.00974526229242996 0.990909090909091 0.996625421822272 "Xrcc5_noRT" "non-targeting_noRT"
"42" "Klf2" 183.319875290171 -0.520173350824429 -3.83343235185567 0.000126367563944153 NA 0.261038961038961 0.327334083239595 "Xrcc5_noRT" "non-targeting_noRT"
"43" "Txn2" 1127.20826130604 -0.219371035548623 -3.79838131472433 0.000145644140565913 0.0107985502878763 0.916883116883117 0.926884139482565 "Xrcc5_noRT" "non-targeting_noRT"
"44" "H1f0" 453.46193057231 0.369508278602961 3.79232346303628 0.000149244341918933 0.0107985502878763 0.632467532467533 0.602924634420697 "Xrcc5_noRT" "non-targeting_noRT"
"45" "Itga4" 31.7495455031148 1.24570981429219 3.78121223017522 0.00015606655385382 NA 0.107792207792208 0.0607424071991001 "Xrcc5_noRT" "non-targeting_noRT"
"46" "Cnp" 456.295471420195 0.344119036712596 3.75711525227997 0.000171883346498659 0.0120479483186403 0.5 0.524184476940383 "Xrcc5_noRT" "non-targeting_noRT"
"47" "Itih5" 60.6157652861157 0.932285156129668 3.74464531027864 0.000180648800088851 NA 0.188311688311688 0.12710911136108 "Xrcc5_noRT" "non-targeting_noRT"
"48" "Tnfrsf13c" 62.4326418132237 -0.882622743185796 -3.73356670560775 0.000188787164121175 NA 0.119480519480519 0.185601799775028 "Xrcc5_noRT" "non-targeting_noRT"
"49" "Psma2" 1827.23528366546 -0.174417474869347 -3.69582268722843 0.000219175904304846 0.0148973197986597 0.964935064935065 0.97525309336333 "Xrcc5_noRT" "non-targeting_noRT"
"50" "Ptpn2" 272.212614282595 -0.450342361189869 -3.68146074852932 0.000231901494782349 0.0149345472199106 0.515584415584416 0.598425196850394 "Xrcc5_noRT" "non-targeting_noRT"
"51" "Actb" 14757.5317285459 -0.0988452797764747 -3.68021192872277 0.000233040192909884 0.0149345472199106 0.998701298701299 1 "Xrcc5_noRT" "non-targeting_noRT"
"52" "Psmb10" 1369.51644360064 -0.201878185263852 -3.61674114168834 0.0002983353857615 0.0185879519517512 0.906493506493506 0.937007874015748 "Xrcc5_noRT" "non-targeting_noRT"
"53" "Shisa8" 61.1182130321006 -0.853245093026228 -3.61540026521638 0.000299883913523391 NA 0.0935064935064935 0.169853768278965 "Xrcc5_noRT" "non-targeting_noRT"
"54" "Mcam" 154.863473714146 0.543681729751425 3.61537840316143 0.000299909223442814 NA 0.353246753246753 0.299212598425197 "Xrcc5_noRT" "non-targeting_noRT"
"55" "Gsn" 528.316077212375 -0.319497849438782 -3.60548731582465 0.0003115677097381 0.0188877398092583 0.653246753246753 0.713160854893138 "Xrcc5_noRT" "non-targeting_noRT"
"56" "Hspd1" 3305.50371872246 -0.138676584594441 -3.58722787309431 0.000334212234362228 0.019313758947021 0.977922077922078 0.99437570303712 "Xrcc5_noRT" "non-targeting_noRT"
"57" "Nup37" 604.065032068657 -0.319202287964303 -3.58597853321055 0.000335816584455559 0.019313758947021 0.651948051948052 0.71541057367829 "Xrcc5_noRT" "non-targeting_noRT"
"58" "Adk" 527.076162604636 -0.306005378205513 -3.57457663154677 0.000350795061599901 0.0196708330792145 0.663636363636364 0.696287964004499 "Xrcc5_noRT" "non-targeting_noRT"
"59" "App" 705.490268681911 0.252677411710988 3.53649864030683 0.000405468588363072 0.0221820986267895 0.827272727272727 0.826771653543307 "Xrcc5_noRT" "non-targeting_noRT"
"60" "Uchl1" 708.710405248748 0.252091228062708 3.51350540283412 0.000442235419925916 0.0236174773069959 0.72987012987013 0.735658042744657 "Xrcc5_noRT" "non-targeting_noRT"
"61" "Col9a1" 817.954683164718 0.233981071121622 3.49148051967157 0.000480351492548093 0.0250379857920804 0.757142857142857 0.753655793025872 "Xrcc5_noRT" "non-targeting_noRT"
"62" "Klf6" 364.536528432023 0.349455239701283 3.48427230400119 0.000493477146169222 0.0250379857920804 0.527272727272727 0.509561304836895 "Xrcc5_noRT" "non-targeting_noRT"
"63" "Pecr" 67.3764005748655 -0.785917472702923 -3.48161002730317 0.000498408972096138 NA 0.155844155844156 0.266591676040495 "Xrcc5_noRT" "non-targeting_noRT"
"64" "Ncl" 3510.914014147 -0.137443957084964 -3.47951486718599 0.000502322496943208 0.0250379857920804 0.979220779220779 0.980877390326209 "Xrcc5_noRT" "non-targeting_noRT"
"65" "Fam13c" 16.5934362854974 1.61168894672896 3.45754486528473 0.00054512146594494 NA 0.0584415584415584 0.0258717660292463 "Xrcc5_noRT" "non-targeting_noRT"
"66" "Adamts1" 546.033587239331 0.294970695429007 3.43798905833583 0.000586051378723116 0.0285763748364337 0.606493506493507 0.582677165354331 "Xrcc5_noRT" "non-targeting_noRT"
"67" "Selenow" 1089.85181823288 0.203487492636609 3.39440206237392 0.000687786354649102 0.0322581679675271 0.935064935064935 0.930258717660292 "Xrcc5_noRT" "non-targeting_noRT"
"68" "Phlda3" 726.206682294918 0.297609757565066 3.39339430848584 0.000690321918163754 0.0322581679675271 0.697402597402597 0.668166479190101 "Xrcc5_noRT" "non-targeting_noRT"
"69" "Cct2" 1859.75710795448 -0.162181358965737 -3.36911339702801 0.000754103973510226 0.0345194941343559 0.955844155844156 0.978627671541057 "Xrcc5_noRT" "non-targeting_noRT"
"70" "Batf2" 98.6774636148947 -0.630811618180313 -3.35981127191178 0.000779957334548278 NA 0.203896103896104 0.27896512935883 "Xrcc5_noRT" "non-targeting_noRT"
"71" "Selenoh" 1533.20827747502 -0.177106142471552 -3.33676605644273 0.000847592601712554 0.0380230041128252 0.864935064935065 0.893138357705287 "Xrcc5_noRT" "non-targeting_noRT"
"72" "Cenpa" 867.511855970219 -0.228250453800652 -3.32491870282454 0.000884443205425357 0.0382647308268071 0.527272727272727 0.551181102362205 "Xrcc5_noRT" "non-targeting_noRT"
"73" "Ddx39" 763.698035994593 -0.237946500879208 -3.32408224084856 0.000887100313416839 0.0382647308268071 0.745454545454545 0.804274465691789 "Xrcc5_noRT" "non-targeting_noRT"
"74" "Gm10138" 6.91114815472235 2.72148486989125 3.31573651237005 0.000914019619426443 NA 0.0402597402597403 0.00674915635545557 "Xrcc5_noRT" "non-targeting_noRT"
"75" "Pnp" 647.27802264843 -0.249958240024472 -3.29137020601952 0.000997006127410346 0.0421940517694605 0.727272727272727 0.795275590551181 "Xrcc5_noRT" "non-targeting_noRT"
"76" "Ier3" 405.642763410713 0.304479785564449 3.26048133138595 0.00111223288766905 0.0461988586489198 0.554545454545455 0.559055118110236 "Xrcc5_noRT" "non-targeting_noRT"
"77" "Psmd6" 352.59258501626 -0.314485091614332 -3.2384995383109 0.00120160215455135 0.049003520593794 0.590909090909091 0.681664791901012 "Xrcc5_noRT" "non-targeting_noRT"
"78" "Tmem169" 19.7503712734952 -1.3897767574973 -3.21627847161161 0.00129864751803646 NA 0.0376623376623377 0.0967379077615298 "Xrcc5_noRT" "non-targeting_noRT"
"79" "Cacybp" 1427.55615927408 -0.167924698740238 -3.21606474042589 0.00129961510289329 0.0520542263533867 0.935064935064935 0.94488188976378 "Xrcc5_noRT" "non-targeting_noRT"
"80" "Ovgp1" 8.1133839180887 2.30116802703851 3.19789074609532 0.00138436718094634 NA 0.0428571428571429 0.0101237345331834 "Xrcc5_noRT" "non-targeting_noRT"
"81" "Malat1" 20007.3389831042 0.203681599448547 3.19319694661114 0.00140706944197776 0.0549212953257664 0.997402597402597 0.998875140607424 "Xrcc5_noRT" "non-targeting_noRT"
"82" "Tap2" 580.884306148096 -0.269570452109895 -3.19052058310889 0.00142016724426859 0.0549212953257664 0.703896103896104 0.799775028121485 "Xrcc5_noRT" "non-targeting_noRT"
"83" "Ltc4s" 2.51660741688903 4.9145228555832 3.17398747279007 0.00150360180135186 NA 0.00649350649350649 0 "Xrcc5_noRT" "non-targeting_noRT"
"84" "Abca7" 82.5633463077853 0.630542193126572 3.1677509020815 0.0015362308633462 NA 0.181818181818182 0.167604049493813 "Xrcc5_noRT" "non-targeting_noRT"
"85" "Pa2g4" 952.225943870963 -0.215841430571133 -3.14628851891481 0.00165356797319097 0.0618460958076667 0.84025974025974 0.877390326209224 "Xrcc5_noRT" "non-targeting_noRT"
"86" "Sept4" 20.0303766907711 1.35983230368611 3.14305397484232 0.00167195006938473 NA 0.0467532467532468 0.0326209223847019 "Xrcc5_noRT" "non-targeting_noRT"
"87" "Tspan15" 287.641229539412 0.337703852877547 3.14077851734158 0.00168499406762435 0.0618460958076667 0.579220779220779 0.530933633295838 "Xrcc5_noRT" "non-targeting_noRT"
"88" "Atad2" 477.237214189763 -0.278164796443429 -3.13998364734971 0.00168957265619608 0.0618460958076667 0.572727272727273 0.609673790776153 "Xrcc5_noRT" "non-targeting_noRT"
"89" "Tcf12" 860.459469102821 0.210029964690025 3.13654327797002 0.00170952204194175 0.0618460958076667 0.883116883116883 0.858267716535433 "Xrcc5_noRT" "non-targeting_noRT"
"90" "Lpcat2" 98.5060214072823 -0.646341511122114 -3.1345949549921 0.00172091547876476 NA 0.161038961038961 0.217097862767154 "Xrcc5_noRT" "non-targeting_noRT"
"91" "Rpl8" 23269.2998634235 -0.0931676711329452 -3.11696478763283 0.00182723395638737 0.0650553295901091 1 1 "Xrcc5_noRT" "non-targeting_noRT"
"92" "Cct8" 1305.93513993205 -0.172740505569708 -3.09396883524056 0.00197498231281688 0.069216958244504 0.924675324675325 0.946006749156355 "Xrcc5_noRT" "non-targeting_noRT"
"93" "H2afz" 5723.9136003115 -0.0984836187376685 -3.06880880198631 0.00214914088189167 0.0721510961708769 0.985714285714286 0.991001124859393 "Xrcc5_noRT" "non-targeting_noRT"
"94" "Snhg12" 1811.25447293888 0.171188150028187 3.06769144767417 0.00215719230306677 0.0721510961708769 0.944155844155844 0.953880764904387 "Xrcc5_noRT" "non-targeting_noRT"
"95" "Npm3" 1205.09670995229 -0.177463835665082 -3.06626551319994 0.00216750745121657 0.0721510961708769 0.918181818181818 0.934758155230596 "Xrcc5_noRT" "non-targeting_noRT"
"96" "Cenpf" 512.936902360448 -0.274556969865777 -3.06127669273982 0.00220395322254594 0.0721510961708769 0.397402597402597 0.410573678290214 "Xrcc5_noRT" "non-targeting_noRT"
"97" "Psma7" 3192.23198057828 -0.12013371358031 -3.05916632671888 0.00221953884787807 0.0721510961708769 0.984415584415584 0.988751406074241 "Xrcc5_noRT" "non-targeting_noRT"
"98" "Ifi27l2a" 2504.75339208764 0.145509673113306 3.03537048523147 0.00240240379256459 0.0765133156347568 0.958441558441558 0.9392575928009 "Xrcc5_noRT" "non-targeting_noRT"
"99" "Fkbp4" 1480.93878871105 -0.166787423461577 -3.0329253370736 0.00242195515384206 0.0765133156347568 0.942857142857143 0.949381327334083 "Xrcc5_noRT" "non-targeting_noRT"
"100" "Gbp5" 195.787122285995 -0.403401980377813 -3.01117489334079 0.00260238913183896 NA 0.333766233766234 0.368953880764904 "Xrcc5_noRT" "non-targeting_noRT"
"101" "Ccl2" 5.1143448240689 3.99329518331099 3.00886759499304 0.00262223367494262 NA 0.0038961038961039 0.00224971878515186 "Xrcc5_noRT" "non-targeting_noRT"
"102" "Zcrb1" 1082.02474266753 -0.182539113341939 -2.99655772676144 0.00273046535478703 0.0850615804276016 0.916883116883117 0.932508436445444 "Xrcc5_noRT" "non-targeting_noRT"
"103" "Socs1" 108.662961659089 -0.527570390199902 -2.9912587849979 0.00277829937251039 NA 0.209090909090909 0.265466816647919 "Xrcc5_noRT" "non-targeting_noRT"
"104" "Irf6" 37.013698701166 0.880551198110267 2.98310797813491 0.00285337308809995 NA 0.141558441558442 0.0843644544431946 "Xrcc5_noRT" "non-targeting_noRT"
"105" "Smim14" 447.64997195112 0.259755072575425 2.97252004387206 0.0029536592389446 0.0907542146979826 0.767532467532468 0.724409448818898 "Xrcc5_noRT" "non-targeting_noRT"
"106" "S100a6" 5938.72978857525 0.108832899523275 2.95460650348578 0.00313068074291101 0.0948934717074243 0.983116883116883 0.992125984251969 "Xrcc5_noRT" "non-targeting_noRT"
"107" "Gpm6b" 301.423916696922 0.315681880950505 2.94681629305427 0.00321063881578988 0.0960195048508893 0.561038961038961 0.524184476940383 "Xrcc5_noRT" "non-targeting_noRT"
"108" "Klrk1" 28.7827854990862 -1.17297353326489 -2.94674707693502 0.00321135751041869 NA 0.0415584415584416 0.0967379077615298 "Xrcc5_noRT" "non-targeting_noRT"
"109" "Hsp90aa1" 6246.53950068725 -0.102746074036843 -2.94036233220942 0.00327828643998901 0.0961366583435416 0.998701298701299 0.997750281214848 "Xrcc5_noRT" "non-targeting_noRT"
"110" "Tm9sf2" 582.809508742166 -0.228386646011828 -2.93829037082947 0.0033002776158951 0.0961366583435416 0.758441558441558 0.804274465691789 "Xrcc5_noRT" "non-targeting_noRT"
"111" "Brix1" 1189.98468921785 -0.168969043154419 -2.93195669915109 0.00336833707240749 0.0968612827360256 0.922077922077922 0.9392575928009 "Xrcc5_noRT" "non-targeting_noRT"
"112" "Opcml" 26.6906724920044 1.20496234160361 2.92635189111701 0.00342962765557344 NA 0.0688311688311688 0.0382452193475816 "Xrcc5_noRT" "non-targeting_noRT"
"113" "Cyc1" 1241.65913717806 -0.171260469800457 -2.92326563447542 0.00346380874972826 0.0972308338129591 0.903896103896104 0.94488188976378 "Xrcc5_noRT" "non-targeting_noRT"
"114" "Iscu" 264.961524518716 -0.340651566528435 -2.92289941030422 0.00346788528980683 0.0972308338129591 0.457142857142857 0.481439820022497 "Xrcc5_noRT" "non-targeting_noRT"
"115" "Cited2" 167.614174027614 0.418936223134077 2.91933547625942 0.00350778501185986 NA 0.371428571428571 0.331833520809899 "Xrcc5_noRT" "non-targeting_noRT"
"116" "Coq8a" 42.7486513697476 0.875993793323034 2.91867945959691 0.00351517475274973 NA 0.0714285714285714 0.062992125984252 "Xrcc5_noRT" "non-targeting_noRT"
"117" "Ggct" 895.05095696831 -0.194918130458817 -2.91673691958813 0.00353713976790436 0.0979482036964133 0.822077922077922 0.84251968503937 "Xrcc5_noRT" "non-targeting_noRT"
"118" "Ranbp1" 1485.89678665723 -0.149592503745757 -2.90035995281465 0.00372734357509829 0.101672810203502 0.920779220779221 0.943757030371204 "Xrcc5_noRT" "non-targeting_noRT"
"119" "Ifitm3" 8584.51843385449 0.101869467535506 2.89743291356458 0.00376230193798067 0.101672810203502 0.994805194805195 0.998875140607424 "Xrcc5_noRT" "non-targeting_noRT"
"120" "Ms4a4d" 18.5360297409204 -1.25994306192426 -2.88563529050761 0.00390624530793988 NA 0.0350649350649351 0.0674915635545557 "Xrcc5_noRT" "non-targeting_noRT"
"121" "Eny2" 1994.56397129404 -0.131297271446562 -2.87309740051114 0.00406468779390201 0.108536841925264 0.966233766233766 0.988751406074241 "Xrcc5_noRT" "non-targeting_noRT"
"122" "Fkbp7" 93.7976289668998 0.531321005972116 2.87154452933717 0.00408471229101633 NA 0.287012987012987 0.232845894263217 "Xrcc5_noRT" "non-targeting_noRT"
"123" "Oas2" 10.0926331471793 1.77411343482512 2.86695894667564 0.00414436769102716 NA 0.0493506493506494 0.0168728908886389 "Xrcc5_noRT" "non-targeting_noRT"
"124" "Mrpl51" 1658.78912989002 -0.142128114382373 -2.85293178484173 0.00433179191352076 0.114308344259142 0.95974025974026 0.968503937007874 "Xrcc5_noRT" "non-targeting_noRT"
"125" "Ncam1" 97.3039375470573 0.543484705965879 2.83710673741635 0.00455243901867646 NA 0.280519480519481 0.219347581552306 "Xrcc5_noRT" "non-targeting_noRT"
"126" "Tapbpl" 370.234200779024 -0.275695371850219 -2.83551777817294 0.00457514685990913 0.118399778563855 0.561038961038961 0.610798650168729 "Xrcc5_noRT" "non-targeting_noRT"
"127" "Psma5" 1630.50813818626 -0.151614145190979 -2.83431442048268 0.00459241227599438 0.118399778563855 0.944155844155844 0.965129358830146 "Xrcc5_noRT" "non-targeting_noRT"
"128" "Chn2" 10.0967329048313 1.78176950696348 2.81308369114142 0.00490688782745442 NA 0.0324675324675325 0.0134983127109111 "Xrcc5_noRT" "non-targeting_noRT"
"129" "Adh7" 8.23609087932047 1.96982613283191 2.81265018283896 0.0049135072586693 NA 0.025974025974026 0.0123734533183352 "Xrcc5_noRT" "non-targeting_noRT"
"130" "Enpp2" 171.027752436447 -0.822151670909013 -2.77564533569351 0.00550922700048442 NA 0.216883116883117 0.283464566929134 "Xrcc5_noRT" "non-targeting_noRT"
"131" "Ahnak" 862.827216961882 0.191469037881177 2.76813562205376 0.00563779893534876 0.140597491377745 0.774025974025974 0.821147356580427 "Xrcc5_noRT" "non-targeting_noRT"
"132" "Psma3" 2281.42282667841 -0.123621569594304 -2.76793889193481 0.00564120319118342 0.140597491377745 0.971428571428571 0.985376827896513 "Xrcc5_noRT" "non-targeting_noRT"
"133" "Psph" 724.668924223994 -0.206379146168934 -2.7679245848825 0.00564145083548686 0.140597491377745 0.776623376623377 0.832395950506187 "Xrcc5_noRT" "non-targeting_noRT"
"134" "Gm8126" 20.5159327013788 1.15424863857695 2.75089437023245 0.00594328043595707 NA 0.0818181818181818 0.0427446569178853 "Xrcc5_noRT" "non-targeting_noRT"
"135" "Gm4841" 27.0129106514115 -0.979020700416039 -2.74912884778069 0.00597538921576755 NA 0.051948051948052 0.0866141732283465 "Xrcc5_noRT" "non-targeting_noRT"
"136" "Rpl30" 30015.1556557916 -0.069020016596399 -2.74661295906324 0.00602141466607289 0.146813755076329 1 1 "Xrcc5_noRT" "non-targeting_noRT"
"137" "Avpi1" 373.396574823825 0.266702327945458 2.74506837796604 0.00604982908789928 0.146813755076329 0.549350649350649 0.55793025871766 "Xrcc5_noRT" "non-targeting_noRT"
"138" "Psme1" 1849.21247492566 -0.127149534076561 -2.7430446944796 0.00608723995635247 0.146813755076329 0.966233766233766 0.976377952755906 "Xrcc5_noRT" "non-targeting_noRT"
"139" "Sub1" 3358.05546825436 -0.103213945511896 -2.73756181398494 0.00618964866124353 0.14769555262946 0.990909090909091 0.996625421822272 "Xrcc5_noRT" "non-targeting_noRT"
"140" "Npm1" 18522.5121695198 -0.074035768346848 -2.7292050532927 0.00634872133000646 0.14874086660998 0.998701298701299 1 "Xrcc5_noRT" "non-targeting_noRT"
"141" "Anxa6" 221.816925071206 0.340207716364546 2.72522062627154 0.00642585321632807 NA 0.498701298701299 0.454443194600675 "Xrcc5_noRT" "non-targeting_noRT"
